"Popolazione per età, vista per singola area - Comune: 020019 - Ceresara"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Ceresara"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;23;26;14;20;20;22;33;30;31;23;36;27;29;22;24;24;16;13
1;30;25;25;15;21;19;25;33;29;37;23;33;27;31;21;26;24;15
2;23;30;26;23;16;21;18;24;35;26;36;22;30;27;29;21;24;26
3;22;22;28;27;24;14;21;19;26;35;27;33;23;32;28;30;21;22
4;17;24;23;31;29;23;16;24;22;27;35;26;34;22;33;27;27;21
5;22;18;26;25;33;30;23;15;25;23;26;33;26;35;22;32;26;27
6;31;23;22;24;28;31;31;24;16;25;23;26;35;27;33;22;28;27
7;24;31;23;22;24;29;33;32;25;17;25;21;24;36;26;32;23;30
8;10;24;32;23;23;24;28;33;31;25;17;26;18;24;34;26;26;20
9;36;14;24;31;21;23;24;28;35;31;25;17;24;21;23;33;27;26
10;18;37;14;25;31;21;23;24;28;38;32;28;20;25;21;21;31;28
11;21;17;40;14;26;31;22;23;23;28;36;35;28;20;25;21;21;31
12;29;21;20;41;14;27;31;22;22;24;28;36;33;30;18;24;21;21
13;28;31;21;18;41;15;27;31;22;21;24;27;37;32;29;16;21;21
14;21;27;33;21;16;41;15;27;31;21;21;24;25;37;32;29;15;20
15;21;22;28;31;22;14;40;15;28;31;21;21;23;27;36;32;31;15
16;30;19;23;28;33;22;14;41;15;29;32;22;21;23;27;31;31;29
17;22;29;20;23;28;34;22;14;39;14;28;32;23;21;22;25;28;29
18;18;24;31;21;24;26;33;23;16;40;14;28;32;24;21;22;26;28
19;22;17;24;31;21;25;25;34;24;17;39;13;27;33;25;21;23;26
20;34;24;20;20;32;21;24;25;33;24;18;39;14;27;32;25;20;22
21;30;34;24;20;22;32;21;27;24;34;24;20;40;16;27;32;24;21
22;23;33;33;25;21;23;32;20;28;24;33;31;19;41;16;26;29;24
23;34;23;31;34;24;24;22;34;20;27;24;33;32;20;43;15;26;29
24;25;33;21;34;34;25;27;22;37;22;27;27;33;28;20;38;16;26
25;27;31;34;23;35;33;25;25;25;34;24;27;26;30;30;19;36;16
26;32;30;29;35;26;34;33;22;28;25;38;26;30;25;32;33;18;36
27;31;34;31;29;38;29;36;31;22;26;27;38;27;29;26;35;36;20
28;39;31;32;31;32;38;29;35;34;26;28;25;35;28;30;26;33;30
29;44;42;35;35;36;29;41;29;40;32;26;25;27;34;25;28;27;34
30;37;52;49;30;43;37;34;37;34;38;36;24;27;29;30;28;27;22
31;40;38;53;47;31;42;38;33;37;34;33;33;23;30;25;27;29;26
32;44;39;40;53;46;33;43;35;32;40;35;29;36;25;28;25;27;28
33;31;45;41;36;50;47;36;46;36;34;39;30;30;34;28;23;26;31
34;49;32;50;42;36;44;50;34;50;37;33;36;31;34;35;28;23;25
35;30;48;35;50;44;35;45;53;39;50;38;34;34;31;34;32;27;25
36;43;32;48;38;49;43;36;42;51;37;50;37;31;37;32;35;34;29
37;45;43;35;47;38;46;47;38;44;53;35;48;35;31;33;33;35;30
38;52;45;43;35;47;41;48;47;39;44;55;36;49;34;33;29;36;31
39;38;55;48;42;34;46;45;48;46;41;44;49;32;47;34;29;31;37
40;49;38;54;48;45;33;49;44;46;44;40;45;44;33;44;33;29;31
41;36;46;41;53;49;48;34;49;42;47;45;41;42;44;33;44;30;28
42;42;37;46;41;53;49;42;36;50;39;46;47;41;42;43;33;40;31
43;35;43;37;47;42;52;49;42;34;52;38;44;46;41;41;42;34;42
44;39;36;44;36;50;39;54;50;43;36;49;36;41;47;41;41;44;34
45;36;39;35;43;36;50;40;53;51;44;38;48;36;41;45;40;40;45
46;30;37;39;35;45;34;50;39;52;50;44;38;49;37;40;46;37;42
47;34;31;37;39;37;47;36;50;40;52;49;44;37;51;37;41;45;37
48;31;36;33;37;38;39;46;36;51;40;50;49;44;37;51;38;43;42
49;28;33;37;33;37;40;41;46;36;48;40;51;49;46;35;50;34;43
50;25;30;33;37;33;36;44;41;46;38;49;41;52;50;45;35;52;34
51;31;25;29;33;38;31;36;44;40;45;38;50;42;50;48;43;37;53
52;25;31;26;30;34;38;35;35;43;40;45;40;50;42;51;50;46;37
53;38;25;31;25;31;33;39;35;35;44;39;44;38;51;42;47;49;44
54;32;37;24;30;25;30;34;38;35;34;45;39;43;38;50;44;47;51
55;36;32;37;25;30;25;34;34;36;35;34;45;38;42;38;49;44;46
56;25;36;32;34;26;30;25;34;33;36;36;34;43;38;43;37;49;43
57;29;25;35;31;36;27;29;26;34;34;36;34;33;41;36;44;36;51
58;23;29;25;35;31;36;27;29;26;34;35;37;34;37;42;36;44;36
59;30;23;29;25;35;32;35;26;30;27;34;34;34;32;35;43;37;42
60;19;30;23;31;24;37;32;35;24;30;27;35;33;34;32;36;44;37
61;21;19;28;25;30;25;37;32;34;23;31;26;36;35;34;32;36;45
62;36;22;18;28;24;29;24;37;30;34;23;30;27;37;34;29;29;36
63;25;34;22;18;28;23;29;22;36;33;33;25;29;28;34;32;29;32
64;17;25;34;22;18;27;24;28;22;36;34;33;25;27;28;34;31;28
65;23;17;25;34;22;17;26;23;29;22;37;34;32;25;27;28;32;32
66;18;22;16;27;30;22;17;27;23;29;22;36;33;31;25;27;28;31
67;24;19;22;16;24;31;22;16;26;23;29;22;34;33;31;23;27;28
68;30;24;19;22;15;24;31;21;15;25;24;29;22;34;33;31;23;27
69;29;30;21;18;22;15;24;30;19;14;24;23;29;21;33;32;30;22
70;28;29;30;21;18;21;15;24;30;19;15;24;22;29;20;31;33;31
71;27;29;29;29;20;18;21;15;24;30;19;15;25;22;27;20;31;33
72;21;27;28;28;30;20;18;19;15;24;29;19;14;25;21;26;20;31
73;28;22;26;26;27;30;20;18;19;14;23;28;20;13;25;20;25;19
74;17;27;21;27;26;27;30;19;17;20;14;22;28;19;12;24;19;25
75;22;18;26;21;28;26;22;31;19;18;20;14;22;28;18;12;23;19
76;14;22;13;25;18;27;25;22;30;19;17;20;13;22;28;19;12;23
77;39;15;20;12;24;17;27;24;22;30;19;17;20;13;22;27;21;12
78;29;37;13;20;11;24;17;24;22;21;30;19;15;20;12;22;27;21
79;16;27;34;13;21;12;22;15;23;22;21;29;19;14;20;12;22;26
80;15;16;25;32;13;19;12;21;13;22;22;21;28;18;14;20;12;22
81;20;15;16;25;30;13;18;10;19;12;23;22;21;26;18;13;20;12
82;18;18;15;15;24;24;11;18;10;18;12;22;22;21;25;18;13;18
83;4;15;15;14;12;21;20;10;20;11;18;10;20;21;20;25;17;13
84;6;4;14;13;13;11;18;19;9;19;9;16;10;19;21;15;23;17
85;12;6;3;13;12;9;10;18;20;7;15;9;16;10;17;20;15;22
86;14;11;7;3;13;11;7;8;15;17;7;11;8;15;10;16;17;14
87;8;13;9;7;3;13;11;6;8;15;16;5;10;6;14;8;15;16
88;6;8;12;7;6;3;12;12;6;7;15;16;4;10;4;13;8;13
89;10;6;6;8;6;7;3;9;10;6;6;12;15;3;9;4;13;6
90;3;6;2;6;8;5;7;3;9;9;5;4;11;13;2;5;4;13
91;2;3;5;2;4;8;5;5;3;8;9;4;3;11;10;2;4;4
92;0;2;3;4;2;3;8;5;4;3;7;7;1;3;8;8;1;4
93;4;0;1;3;2;2;3;7;3;4;2;6;6;0;2;8;6;1
94;0;2;0;1;3;2;2;3;6;2;4;1;4;4;0;0;7;4
95;1;0;1;0;1;3;2;1;3;4;2;3;1;2;4;0;0;6
96;0;0;0;1;0;0;3;2;1;2;4;2;2;1;2;3;0;0
97;0;0;0;0;0;0;0;3;1;1;1;3;2;2;1;2;0;0
98;0;0;0;0;0;0;0;0;1;0;1;1;2;1;1;0;2;0
99;1;0;0;0;0;0;0;0;0;1;0;1;1;2;0;1;0;2
100 e oltre;0;1;1;1;1;1;1;1;1;1;1;1;2;1;3;3;4;3
Totale;2457;2515;2536;2535;2577;2570;2631;2629;2666;2688;2715;2695;2673;2698;2663;2618;2590;2577
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;11;15;8;8;10;17;17;20;17;13;19;18;14;14;11;14;6;9
1;19;12;15;8;9;10;18;17;19;19;12;17;19;16;13;13;14;6
2;9;20;14;14;10;9;9;15;18;17;17;12;15;18;15;13;11;15
3;7;8;18;15;12;8;9;10;15;19;18;16;13;15;19;13;13;11
4;9;9;9;20;16;12;9;12;11;16;19;16;14;12;16;18;13;12
5;10;10;11;10;21;16;12;9;12;11;16;19;15;15;12;15;18;13
6;18;10;14;10;12;19;16;13;10;12;11;16;19;15;15;12;14;18
7;12;18;10;14;10;13;20;16;14;10;12;10;15;20;15;15;11;14
8;7;13;18;10;13;10;13;20;16;14;10;12;10;15;20;15;14;11
9;20;10;13;17;10;13;10;13;21;16;14;10;11;12;14;20;16;14
10;8;21;10;13;17;10;13;10;13;23;17;16;13;11;12;14;19;17
11;15;7;24;10;14;17;10;13;9;13;21;19;16;13;11;12;14;18
