"Popolazione per età, vista per singola area - Comune: 020054 - Sabbioneta"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Sabbioneta"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;33;33;33;29;27;32;45;33;41;46;23;32;30;39;34;24;24;31
1;27;34;33;35;27;26;36;43;36;41;44;24;32;30;39;33;24;25
2;34;29;34;31;34;27;31;38;44;35;36;46;22;29;25;34;34;24
3;36;35;28;35;31;35;28;29;36;44;38;36;49;23;31;21;31;33
4;32;38;36;29;37;29;37;29;27;35;43;36;33;46;20;32;22;33
5;30;32;38;35;29;37;33;37;29;27;35;45;39;34;42;22;32;21
6;32;33;31;38;36;29;36;33;37;31;27;33;45;39;32;45;25;32
7;30;34;33;34;41;36;30;37;33;37;31;27;30;42;41;33;45;26
8;37;35;36;33;34;43;35;29;37;34;38;31;25;31;46;36;31;45
9;37;40;37;37;33;33;42;36;30;42;30;38;32;24;32;45;36;32
10;33;36;40;32;38;34;34;44;34;32;42;32;38;35;25;31;47;38
11;34;32;35;39;38;38;35;36;43;31;31;42;31;36;34;27;29;48
12;31;34;30;36;41;36;41;35;37;43;33;29;40;33;35;30;26;31
13;39;31;35;31;35;42;35;40;33;35;46;33;32;37;32;37;30;23
14;26;42;32;37;31;35;40;35;41;31;35;45;33;33;38;31;37;31
15;48;24;40;35;40;33;34;42;35;42;30;35;45;33;35;39;30;37
16;38;47;25;40;39;41;32;33;40;35;44;31;35;45;34;33;40;31
17;34;37;46;28;42;38;40;34;36;40;38;45;33;35;43;32;34;39
18;40;32;40;49;29;45;36;38;32;36;42;39;42;34;33;45;33;33
19;35;40;32;43;49;31;39;34;37;32;35;43;43;43;32;35;47;32
20;32;36;45;33;41;49;34;39;35;42;32;37;42;39;43;29;36;48
21;52;34;37;44;30;42;50;30;42;37;43;35;39;41;43;43;29;36
22;46;54;37;34;49;27;45;54;29;43;36;43;39;35;43;46;42;31
23;35;45;53;37;33;43;32;43;52;26;47;37;45;44;35;45;41;42
24;64;40;49;52;35;34;43;31;47;53;26;51;36;45;39;34;47;42
25;56;65;39;50;49;42;36;44;34;49;58;28;46;40;45;34;33;46
26;59;55;66;39;51;51;41;31;47;31;53;58;29;51;35;45;30;33
27;57;58;59;69;43;50;49;46;33;46;32;55;60;31;52;34;45;36
28;54;54;60;55;68;38;54;51;44;33;50;35;52;58;29;48;34;44
29;79;53;51;63;54;67;40;59;54;44;35;50;34;52;56;32;46;33
30;57;80;60;52;63;55;71;46;58;58;42;34;51;33;45;53;33;41
31;55;64;78;68;52;65;55;73;50;51;54;42;34;57;41;45;52;38
32;64;58;67;86;66;48;67;51;72;47;48;55;43;36;54;44;44;46
33;65;67;57;71;90;62;55;61;58;73;45;48;56;43;31;53;50;46
34;80;63;72;58;68;94;64;57;56;62;71;44;46;57;41;31;60;51
35;67;79;66;67;59;65;92;62;54;54;61;75;43;46;54;43;34;58
36;60;64;79;62;65;64;68;89;64;53;54;64;73;44;46;50;41;36
37;76;65;66;72;66;64;63;68;90;64;54;54;64;72;43;49;51;41
38;68;73;68;67;73;66;66;66;68;84;65;52;56;64;69;44;49;52
39;63;68;76;68;69;71;68;66;67;69;83;65;52;51;59;69;46;48
40;64;66;69;79;68;68;73;67;68;62;67;84;65;51;52;64;67;45
41;66;63;65;68;81;68;69;74;70;67;60;69;77;63;53;50;57;68
42;57;61;60;68;69;78;69;67;74;75;64;58;68;77;64;58;51;59
43;44;56;62;62;65;67;80;71;65;75;79;65;59;73;78;67;57;53
44;51;49;57;62;65;65;67;82;72;67;77;78;63;58;70;75;68;61
45;66;53;50;57;65;64;67;68;80;71;67;75;75;62;56;67;74;69
46;40;67;56;53;59;68;62;69;68;82;71;65;76;77;65;56;68;73
47;51;40;67;53;53;60;64;62;67;67;86;69;64;74;76;64;53;69
48;51;52;40;67;54;50;61;65;62;67;66;86;70;64;76;76;64;53
49;55;52;53;39;65;54;49;60;65;70;64;68;87;72;63;78;74;62
50;47;57;50;54;39;64;55;49;62;61;72;62;69;90;72;65;81;75
51;69;50;58;49;56;39;64;55;49;62;61;72;61;71;91;73;66;77
52;57;68;50;57;49;56;40;63;53;49;62;61;69;57;73;92;69;66
53;73;58;67;51;59;48;55;40;63;52;48;62;62;68;59;68;89;68
54;70;72;58;67;49;59;49;51;40;65;52;48;61;60;67;60;67;87
55;55;70;72;59;68;47;58;50;51;42;66;53;49;61;58;66;61;68
56;39;55;73;73;59;71;47;58;49;51;42;67;51;47;59;61;66;58
57;53;39;55;72;71;61;70;49;60;50;52;42;66;50;47;58;58;68
58;70;53;41;55;73;71;58;71;50;60;50;52;41;65;50;47;62;58
59;56;69;53;39;54;75;72;57;71;52;57;52;50;42;65;53;46;63
60;55;56;68;53;41;54;74;72;57;69;51;57;50;51;41;66;55;47
