"Popolazione per età, vista per singola area - Comune: 021021 - Chienes"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Chienes"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;41;23;33;28;33;24;28;24;34;32;27;38;27;32;29;31;26;30
1;34;41;22;35;28;32;22;24;25;29;29;24;43;29;32;29;35;26
2;33;35;40;20;38;27;32;23;27;26;30;29;21;41;28;32;29;34
3;27;32;33;39;23;36;29;33;23;26;24;31;32;21;40;29;33;29
4;31;28;32;31;40;24;36;28;35;26;26;22;34;31;20;36;27;35
5;34;30;28;33;32;43;23;33;28;35;24;26;25;32;32;20;38;29
6;37;36;30;29;34;32;43;23;32;28;35;22;26;25;30;33;22;39
7;34;36;35;30;28;32;31;41;24;32;27;33;25;27;22;28;31;23
8;34;34;36;35;30;29;31;29;43;23;33;27;36;24;28;21;29;34
9;45;34;33;35;35;30;30;32;30;41;23;32;28;35;23;26;23;29
10;38;45;34;33;35;34;31;30;32;30;39;24;32;29;37;21;27;23
11;33;38;45;33;34;35;35;31;31;32;31;40;25;33;28;38;21;26
12;32;32;39;44;35;36;36;34;31;30;32;31;40;24;33;31;39;21
13;26;31;35;37;44;36;35;34;35;30;29;33;32;40;25;35;32;37
14;25;26;30;36;36;45;36;36;34;34;30;30;35;34;40;24;36;33
15;31;24;26;30;37;36;46;36;36;34;34;30;31;35;34;42;24;38
16;31;31;24;26;30;37;37;45;35;34;34;34;32;31;35;34;42;24
17;26;31;31;24;26;31;37;38;47;36;34;35;32;33;31;36;32;43
18;31;26;30;30;27;26;30;38;36;45;35;36;36;30;34;30;37;30
19;40;31;28;33;31;27;25;31;37;36;44;36;37;36;31;35;30;38
20;36;41;31;28;32;31;27;28;34;36;36;43;38;37;37;30;35;33
21;44;36;42;33;29;31;31;28;28;35;36;38;44;38;37;39;31;37
22;36;41;34;39;33;31;31;30;28;30;37;35;35;43;37;36;36;34
23;50;35;39;32;41;34;30;32;30;28;30;34;36;34;43;37;34;39
24;36;51;33;39;31;36;34;30;31;31;26;31;34;37;34;46;40;34
25;48;35;48;32;42;32;36;34;30;33;30;25;28;33;38;34;42;40
26;44;51;36;48;32;39;32;39;35;28;33;30;31;27;31;36;33;42
27;42;45;50;35;48;33;37;31;40;37;28;32;29;29;27;34;34;33
28;62;43;42;49;38;49;30;36;29;40;35;29;30;31;26;28;36;37
29;45;60;43;41;47;40;44;29;41;27;41;35;29;31;30;32;29;33
30;56;46;62;39;40;43;37;43;26;41;30;39;36;27;29;29;36;28
31;49;53;44;58;42;39;42;38;46;22;38;30;39;32;28;30;29;35
32;51;51;52;42;60;38;39;43;41;49;25;35;33;40;34;31;31;28
33;64;54;52;50;41;58;38;37;46;34;47;27;33;34;41;33;32;33
34;47;58;57;53;46;42;53;38;37;46;35;45;28;33;34;45;34;34
35;48;45;59;55;50;50;40;48;41;38;47;32;44;25;31;33;46;33
36;46;48;45;57;52;50;50;40;48;43;37;45;33;43;25;32;34;48
37;58;49;54;46;59;54;47;51;40;57;40;39;39;34;45;22;35;37
38;41;58;49;57;45;55;55;53;48;39;55;39;38;42;33;43;25;38
39;47;42;55;46;57;45;50;57;55;46;37;52;39;38;43;36;42;27
40;45;46;43;55;47;56;43;53;54;53;46;39;51;40;37;46;31;41
41;41;45;48;40;55;44;56;45;57;54;51;48;40;52;36;37;45;34
42;42;41;45;49;39;55;43;55;45;57;54;51;49;41;53;34;38;46
43;28;40;41;46;48;39;54;43;54;44;56;55;55;51;41;52;32;38
44;30;27;39;41;49;47;39;54;43;54;43;57;55;54;52;41;51;33
45;31;30;27;40;41;46;48;40;53;43;53;45;59;55;55;50;41;55
46;25;31;27;27;39;40;46;48;39;52;43;53;47;60;55;53;47;41
47;26;25;32;28;27;39;40;43;48;40;53;43;55;49;61;59;50;47
48;40;26;24;31;28;27;40;41;44;48;39;54;44;52;49;60;59;50
49;19;39;26;23;32;28;27;40;40;43;48;40;55;48;52;47;60;55
50;25;19;39;27;22;32;29;27;40;39;43;50;40;56;45;52;47;65
51;26;25;19;40;27;21;32;30;26;40;40;43;48;40;57;44;51;46
52;26;26;24;19;40;27;21;32;30;28;41;39;41;48;40;55;43;51
53;33;26;26;24;21;40;27;20;33;30;28;41;40;41;49;39;55;44
54;29;33;24;25;25;22;38;27;23;32;29;28;41;39;42;51;39;56
55;32;30;33;23;25;26;22;38;27;22;34;28;27;40;38;41;49;39
56;19;32;30;33;23;25;25;22;37;28;22;35;26;27;40;38;42;50
57;24;19;32;30;32;23;25;25;22;37;28;22;32;26;28;40;38;43
58;31;24;19;32;29;32;23;25;24;20;38;26;23;31;27;28;39;38
59;29;31;24;19;32;28;32;23;25;24;20;38;27;23;31;26;29;38
60;31;28;31;24;19;32;27;32;23;26;24;20;38;27;23;31;27;29
61;28;31;27;31;25;19;31;28;32;23;26;23;22;37;27;22;30;27
62;18;31;30;27;31;25;20;34;28;32;23;25;25;23;37;26;22;29
63;26;19;31;28;27;31;26;19;35;28;32;23;27;25;22;38;28;23
64;23;28;18;29;28;27;28;26;19;35;27;32;23;26;26;22;39;28
65;22;22;27;18;28;26;27;28;22;19;35;27;33;23;24;26;22;39
66;22;22;20;28;18;28;25;26;29;22;19;35;27;32;23;24;27;22
67;25;22;22;20;28;18;28;25;27;28;21;19;34;27;31;23;23;26
68;22;24;22;21;20;28;20;28;26;26;27;20;19;34;27;31;23;22
69;26;22;24;22;21;20;28;20;28;26;25;26;19;19;34;27;31;22
70;26;26;22;23;22;20;19;25;20;28;26;24;25;19;19;34;26;31
71;20;26;26;22;20;22;20;20;24;20;27;26;25;24;19;19;33;24
72;16;19;25;25;22;20;22;19;21;23;20;27;26;25;24;19;19;33
73;7;16;19;24;25;22;20;22;19;21;22;20;26;25;25;24;19;19
74;13;7;16;19;21;25;22;19;20;19;21;22;20;25;24;25;23;18
75;7;11;8;15;18;20;25;21;19;20;19;21;22;20;25;23;25;24
76;10;8;11;8;15;18;20;22;20;17;20;16;21;21;19;26;23;25
77;12;8;8;11;7;14;18;19;23;18;16;18;15;19;19;18;26;23
78;14;12;8;8;10;6;13;17;19;22;18;16;18;14;18;18;18;26
79;8;13;11;6;8;10;5;13;17;18;22;17;16;19;15;17;18;17
80;7;8;13;9;7;8;10;4;11;17;18;19;17;15;17;14;16;18
81;8;7;8;11;7;8;8;9;5;10;17;18;19;16;12;14;14;16
82;4;8;7;8;11;7;8;6;8;4;9;16;17;19;15;11;12;14
83;3;4;8;6;8;10;7;6;4;7;4;9;13;15;17;15;11;11
84;4;3;4;7;6;8;10;7;6;4;7;4;9;12;15;14;14;10
85;4;3;2;4;5;5;6;7;6;6;4;6;4;8;11;15;12;11
86;5;3;1;2;4;6;5;5;7;6;5;4;6;4;8;9;15;11
87;6;4;2;0;2;3;5;4;5;6;6;5;3;7;4;7;8;15
88;6;4;3;2;0;2;2;3;4;4;5;6;4;1;6;4;7;6
89;4;5;2;3;2;1;2;1;3;4;2;4;5;4;1;6;4;4
90;1;4;5;2;3;2;0;1;0;3;3;2;3;5;3;1;5;2
91;4;0;4;5;2;2;0;0;1;0;3;2;2;3;4;3;1;5
92;0;3;0;4;4;2;2;0;0;1;0;2;2;2;3;3;3;0
93;0;0;1;0;4;3;2;2;0;0;0;0;2;1;2;2;2;3
94;1;0;0;0;0;4;3;3;1;0;0;0;0;2;0;2;2;2
95;0;1;0;0;0;0;3;2;3;1;0;0;0;0;1;0;2;2
96;0;0;0;0;0;0;0;2;2;1;0;0;0;0;0;0;0;1
97;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0
98;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
99;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
100 e oltre;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Totale;2647;2653;2659;2644;2680;2681;2663;2664;2711;2714;2707;2719;2768;2782;2783;2803;2823;2872
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;19;10;14;14;13;11;15;17;10;16;15;16;22;16;14;17;14;13
1;14;19;10;16;15;12;11;13;18;8;15;14;17;23;15;12;20;14
2;14;13;21;8;17;14;12;12;14;17;10;16;10;16;23;15;11;19
3;22;15;11;21;10;17;17;13;12;15;15;11;17;12;16;24;15;13
4;18;22;15;10;21;10;17;16;15;15;15;13;12;17;12;14;22;16
5;15;17;22;16;11;21;10;14;16;16;14;15;15;10;18;11;14;23
6;14;17;17;22;16;10;21;10;14;17;16;15;14;16;10;19;13;14
7;16;14;16;17;21;14;9;20;10;14;17;16;16;13;13;8;17;14
8;19;16;14;16;17;21;14;9;23;9;14;16;17;16;14;12;8;19
9;27;19;16;14;16;17;22;15;9;22;9;13;16;18;16;13;14;8
10;12;27;19;16;14;15;18;22;15;9;20;9;13;17;18;14;13;14
11;14;12;27;18;17;14;16;18;22;15;9;19;11;13;17;17;15;12
12;13;14;12;27;18;19;14;15;18;21;15;9;18;10;13;20;17;15
13;12;12;15;12;27;18;18;14;15;16;20;15;9;19;10;15;20;17
14;12;12;11;15;12;27;18;19;14;15;16;21;16;9;19;10;15;20
15;18;11;12;11;16;12;27;18;19;14;15;16;21;16;9;21;10;17
16;21;18;11;12;11;16;12;26;17;18;14;15;17;21;16;9;21;10
17;15;21;18;11;12;12;16;12;26;18;18;14;15;18;21;18;9;21
18;14;15;20;19;13;12;11;16;12;26;17;19;15;13;19;20;19;9
19;23;14;16;21;19;12;11;11;15;12;26;17;21;15;14;18;20;19
20;15;24;14;16;20;20;12;13;13;14;12;26;19;21;15;14;19;22
21;16;15;25;15;17;20;20;12;12;13;14;13;26;19;21;16;15;20
22;17;15;14;22;15;18;20;20;12;14;14;13;13;27;18;20;14;15
23;31;16;15;14;23;15;18;19;20;12;15;13;15;13;27;18;20;17
24;19;31;16;15;14;21;15;17;19;20;10;15;13;16;14;28;19;19
25;28;19;29;16;17;14;20;16;16;20;20;12;15;13;17;12;25;20
26;19;30;18;30;15;18;15;21;16;16;20;18;13;14;12;16;13;25
27;22;19;29;17;29;16;18;15;21;15;16;20;17;14;14;14;16;16
28;35;22;19;30;18;29;15;18;14;21;14;17;20;18;11;14;16;16
29;24;35;20;19;27;19;27;14;22;15;21;16;17;20;16;14;14;17
30;32;25;34;17;17;27;18;26;13;22;16;22;17;15;19;17;15;15
31;23;30;25;33;16;19;24;19;26;11;21;14;23;15;15;19;16;15
32;29;24;29;23;33;16;20;22;20;29;11;20;14;23;17;15;19;18
33;44;29;26;29;23;31;16;19;22;18;29;11;17;14;24;18;17;20
34;23;40;31;25;24;21;28;16;18;24;20;28;12;16;17;24;18;20
35;25;23;41;31;25;26;20;27;18;20;22;18;29;12;16;17;25;16
36;23;25;23;38;31;25;26;21;27;21;19;21;18;27;11;18;18;27
37;35;26;28;22;40;32;24;27;20;33;20;18;18;20;28;11;19;18
38;20;35;26;29;23;39;33;27;24;21;33;20;17;17;21;26;12;21
39;29;20;32;25;29;22;35;34;26;23;21;30;19;16;17;22;25;13
40;20;29;20;33;26;31;20;35;32;25;23;22;29;18;16;19;18;24
41;21;20;30;18;33;23;31;21;39;32;24;24;23;30;16;17;19;19
42;26;21;20;29;17;32;22;30;21;38;32;24;26;24;32;13;17;19
43;15;24;22;20;29;17;31;21;29;20;37;31;26;28;25;30;12;16
44;11;14;24;22;22;28;18;31;21;28;20;37;31;24;30;24;29;14
45;18;11;14;25;22;22;29;18;31;21;28;21;38;30;24;29;24;33
46;14;18;11;14;24;21;23;30;18;30;21;28;22;38;30;23;27;24
47;10;14;19;12;14;24;21;20;30;19;30;21;29;24;38;31;21;26
48;17;10;14;18;12;14;24;23;19;30;18;31;22;28;25;37;31;21
49;11;16;10;14;19;12;14;24;22;19;30;18;31;22;28;23;37;29
50;13;11;16;11;14;19;12;14;24;22;19;30;18;31;22;28;23;38
51;16;13;11;16;11;13;19;12;13;24;22;19;30;18;33;20;27;22
52;10;16;13;11;16;11;13;19;12;15;25;22;19;30;18;31;19;26
53;15;10;16;13;13;16;11;12;19;12;15;24;22;19;30;17;31;20
54;15;15;10;15;13;14;15;11;14;18;12;15;24;21;19;31;17;31
55;19;16;15;10;15;14;14;15;11;14;19;12;15;24;20;18;30;17
56;8;19;16;15;10;15;13;13;14;11;14;19;12;15;24;20;19;30
57;11;8;19;16;15;10;15;13;13;15;11;14;16;12;16;24;20;19
58;21;11;8;19;15;15;10;15;13;11;15;11;15;16;13;16;24;20
59;17;21;11;8;19;14;15;10;15;13;11;15;12;15;16;12;16;24
60;20;16;21;11;8;19;13;14;10;16;13;11;15;12;15;16;13;16
61;13;20;15;20;11;8;18;13;14;10;16;13;11;15;12;14;16;13
62;11;13;19;15;20;11;8;21;13;14;10;15;13;12;15;11;14;16
63;11;12;13;17;15;20;11;8;21;13;14;10;17;13;12;16;12;14
64;12;13;11;11;17;15;19;11;8;21;12;14;10;16;14;12;16;12
65;11;12;13;11;11;15;15;19;9;8;21;12;15;10;15;14;12;16
66;5;11;10;13;11;11;14;15;20;9;8;21;12;15;10;15;15;12
67;10;5;11;10;13;11;11;14;17;19;9;8;20;12;15;10;14;14
68;13;9;5;10;10;13;11;11;15;16;18;8;8;20;12;15;10;13
69;14;13;9;5;10;10;13;11;11;15;16;18;7;8;20;12;15;9
70;17;13;13;9;5;9;10;12;11;11;15;15;17;7;8;20;11;15
71;9;17;13;13;9;5;9;10;11;11;10;15;15;16;7;8;19;9
72;7;9;16;12;13;9;5;9;10;10;11;10;15;15;16;7;8;19
73;2;7;9;15;12;13;9;5;9;10;9;11;10;14;15;15;7;8
74;6;2;7;9;13;12;13;9;3;9;10;9;11;9;13;15;14;6
75;3;5;3;6;8;12;12;13;9;3;9;10;9;11;9;13;15;15
76;6;3;5;3;6;8;12;11;12;7;3;7;10;9;11;10;13;15
77;5;6;3;5;2;5;7;11;12;10;7;3;7;10;9;11;10;13
78;8;5;6;3;5;2;4;6;11;12;10;7;3;7;10;8;11;10
79;4;7;4;4;3;5;2;4;6;11;12;9;7;3;8;9;8;10
80;1;4;7;2;5;3;5;2;3;6;11;11;9;7;3;7;9;8
81;5;1;4;5;1;6;3;4;2;2;6;11;11;8;6;1;7;9
82;1;4;1;4;5;1;5;2;3;1;2;6;10;11;8;5;1;7
83;1;1;4;0;4;4;1;3;0;3;1;2;3;10;10;8;5;1
84;1;1;1;4;0;4;4;1;3;0;3;1;2;3;10;8;7;5
85;0;1;0;1;2;0;3;3;1;3;0;2;1;2;2;10;6;5
86;1;0;1;0;1;3;0;3;3;1;2;0;2;1;2;1;10;5
