"Popolazione per età, vista per singola area - Comune: 021047 - Marebbe"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Marebbe"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;39;33;47;30;37;41;30;33;34;29;41;34;36;41;47;43;41;46
1;36;40;30;50;33;38;44;31;34;31;28;41;38;32;42;46;47;44
2;39;36;38;28;50;31;40;45;31;35;32;29;42;37;32;40;42;47
3;30;40;38;40;28;51;32;40;42;30;36;27;28;38;37;31;41;46
4;38;29;40;39;43;31;49;32;38;42;32;34;26;31;34;36;32;39
5;31;38;28;42;39;43;32;49;31;37;42;33;35;24;31;39;33;34
6;28;29;39;28;44;40;44;32;47;32;37;41;33;35;26;31;40;33
7;35;28;29;39;29;44;39;44;32;47;32;38;42;30;36;27;29;40
8;37;34;28;30;39;29;44;39;44;32;47;33;37;42;29;36;28;30
9;28;37;35;28;30;39;29;44;38;44;32;47;33;37;42;30;36;28
10;41;27;37;35;28;30;39;28;44;40;43;33;47;32;35;42;30;36
11;31;40;27;36;35;28;30;39;28;43;40;44;33;47;33;35;43;30
12;36;31;40;28;36;36;28;30;40;28;43;40;44;31;48;31;35;43
13;39;36;31;41;29;36;36;28;30;39;27;44;40;44;31;48;32;35
14;31;39;37;32;42;30;37;36;29;30;39;27;45;40;44;31;48;32
15;29;31;38;37;32;40;29;37;35;29;30;38;27;45;41;44;31;48
16;36;29;31;37;38;32;40;29;37;35;30;30;38;26;45;42;44;31
17;37;36;30;34;37;38;32;40;29;37;36;32;30;37;26;43;41;44
18;32;37;36;30;34;37;38;32;41;30;38;36;33;31;37;26;43;40
19;44;31;39;38;30;32;37;37;32;40;30;38;34;31;30;37;28;43
20;43;45;31;40;40;30;33;36;39;32;40;30;39;34;31;31;36;30
21;42;43;46;31;41;42;30;32;35;39;31;40;30;41;35;30;31;37
22;28;41;43;45;31;39;42;31;32;35;39;34;39;29;43;35;31;32
23;37;29;40;43;46;31;36;43;31;31;33;39;34;36;28;43;33;31
24;44;38;31;40;41;44;31;36;42;30;34;33;40;34;33;28;44;32
25;31;44;37;31;40;42;45;31;36;44;29;34;34;38;38;36;30;43
