"Popolazione per età, vista per singola area - Comune: 021052 - Monguelfo-Tesido"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Monguelfo-Tesido"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;43;42;28;31;45;39;42;41;31;25;35;25;30;34;35;18;19;28
1;35;44;44;30;32;47;42;43;42;28;24;33;27;29;33;31;18;19
2;38;32;46;43;30;32;48;38;45;43;27;26;32;27;28;33;30;19
3;31;39;32;47;45;31;33;42;40;45;44;27;30;33;26;28;34;29
4;42;33;42;29;47;44;34;33;46;38;43;43;26;29;30;23;26;37
5;33;43;33;42;34;47;44;35;33;47;38;43;41;28;26;31;23;28
6;31;35;43;33;42;35;46;43;34;33;48;37;46;42;29;26;32;22
7;27;33;36;43;35;41;35;46;43;34;32;49;37;47;44;26;25;34
8;31;27;33;33;41;35;40;32;51;43;34;32;49;39;47;44;26;25
9;19;33;27;32;33;41;33;41;33;51;43;34;33;51;38;44;41;27
10;37;20;34;28;32;33;41;33;41;33;51;44;37;30;51;38;45;39
11;28;38;20;33;27;32;33;39;36;41;31;51;45;37;32;49;35;44
12;25;30;38;18;34;27;32;34;39;36;41;31;52;45;37;32;47;36
13;30;25;30;37;18;35;27;35;33;39;36;41;31;51;45;37;33;48
14;29;30;24;29;37;18;37;30;34;32;40;36;42;32;52;47;41;34
15;25;29;29;23;30;37;18;36;30;34;33;41;36;42;32;51;47;40
16;21;23;29;29;23;30;40;18;37;30;34;31;40;35;41;34;51;47
17;40;21;23;25;29;23;30;39;17;37;30;34;30;41;36;42;32;52
18;34;39;21;20;25;29;23;29;38;19;37;29;35;30;42;37;43;31
19;33;34;39;21;20;25;29;23;29;37;20;37;28;35;32;42;37;43
20;18;33;34;38;21;20;26;29;25;30;37;19;36;29;37;34;42;38
21;33;18;33;35;39;21;22;25;31;23;29;37;16;37;30;36;33;42
22;42;29;20;32;36;39;22;22;25;32;22;28;37;18;41;30;36;35
23;36;44;29;22;33;38;41;25;24;24;33;26;28;39;23;40;27;36
24;33;38;41;28;22;36;39;44;26;22;22;32;24;28;43;25;37;27
25;32;35;38;43;29;24;36;40;44;25;21;22;31;26;23;41;27;37
26;34;34;35;41;44;27;26;37;45;44;27;22;19;31;23;24;37;29
27;46;33;32;37;43;44;30;30;35;42;46;25;27;20;29;27;24;38
28;35;44;36;29;38;44;42;34;29;34;41;47;28;27;19;31;27;24
29;41;35;46;39;27;38;39;42;35;29;32;41;50;30;30;19;31;30
30;54;40;37;49;41;29;42;38;48;35;29;33;44;47;33;28;20;35
31;46;56;41;40;49;43;28;41;38;46;36;29;37;45;45;33;29;22
32;39;45;57;42;40;49;42;26;43;34;42;34;28;38;42;43;32;28
33;38;41;45;55;43;40;48;40;30;42;35;41;35;28;38;38;41;33
34;50;37;40;44;54;43;39;47;37;32;43;35;38;35;28;35;38;41
35;49;50;38;39;49;54;42;40;49;37;29;41;35;40;35;28;35;36
36;43;49;49;39;36;52;54;42;37;51;40;28;45;35;40;34;29;33
37;51;43;49;48;39;39;54;52;43;37;51;39;26;43;36;42;32;28
38;47;54;41;48;49;42;38;50;52;44;37;54;39;25;44;34;44;34
39;45;47;55;38;49;47;44;40;50;52;43;37;56;40;24;43;36;44
40;34;45;46;55;38;51;48;46;44;52;52;41;36;52;37;25;40;36
41;27;36;43;49;55;36;51;51;48;43;54;51;39;36;53;38;25;42
42;41;26;35;42;49;53;35;51;51;50;43;55;52;41;36;51;37;27
43;44;42;25;31;43;50;49;36;51;54;51;42;57;52;44;37;51;38
44;31;45;42;26;33;42;51;51;38;50;54;49;42;58;52;45;37;51
45;37;30;46;40;25;33;43;52;52;38;52;54;49;41;55;52;46;37
46;28;37;29;43;39;24;34;41;52;52;37;53;55;48;41;56;52;45
47;29;28;37;29;43;40;26;34;41;52;51;38;54;56;48;41;53;55
48;30;29;28;37;29;42;40;27;32;42;52;51;38;53;57;50;40;54
49;29;31;29;27;37;31;43;40;26;31;42;52;52;39;53;58;49;41
50;27;30;31;28;26;38;31;41;41;26;31;44;52;51;38;51;56;50
51;29;24;30;30;28;26;39;31;41;42;26;30;46;51;50;38;52;58
52;27;28;24;28;30;29;25;38;32;41;42;27;31;45;50;50;36;52
53;30;27;27;27;28;30;29;25;37;33;42;42;27;29;46;50;51;36
54;19;30;25;27;27;28;30;29;26;37;33;41;41;27;31;43;50;51
55;26;19;30;25;27;27;27;30;29;26;37;32;41;41;27;31;44;49
56;22;26;18;30;25;27;26;27;31;29;26;38;32;40;42;27;31;44
57;23;22;26;18;31;26;28;27;27;31;29;25;38;32;40;42;27;33
58;26;22;22;28;21;31;27;27;27;27;30;30;22;38;33;40;41;27
59;22;26;22;22;28;23;32;26;29;27;28;30;30;21;37;33;41;40
60;37;22;27;22;21;26;23;33;27;29;27;29;30;30;22;37;34;41
61;20;37;22;26;22;22;26;22;32;27;30;25;28;31;29;22;35;34
62;25;20;37;22;25;22;21;29;21;32;27;30;24;28;31;29;22;35
