"Popolazione per età, vista per singola area - Comune: 021064 - Plaus"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Plaus"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;11;11;5;6;4;7;8;8;9;9;6;9;10;5;7;10;6;6
1;14;11;9;5;6;5;7;8;8;8;10;6;8;10;5;6;9;8
2;15;12;11;9;5;4;7;6;6;8;8;11;5;7;8;4;6;11
3;12;15;11;11;9;4;7;7;5;6;8;8;10;5;8;10;4;7
4;12;11;15;12;11;9;4;10;6;5;9;9;8;10;5;6;8;4
5;8;11;11;16;12;12;9;5;10;5;5;10;9;7;11;5;5;8
6;4;8;11;12;15;12;12;9;5;8;5;5;10;9;8;11;5;6
7;5;4;6;11;12;15;12;13;11;5;8;6;5;9;9;6;11;6
8;11;5;4;6;12;13;16;13;12;11;6;8;6;5;9;8;6;11
9;11;11;5;4;6;12;14;17;15;12;11;6;8;6;5;8;8;6
10;11;12;12;5;4;6;12;13;17;14;12;11;6;7;6;5;7;8
11;6;10;12;12;5;4;6;12;13;17;15;12;10;6;7;5;6;7
12;12;6;10;14;12;6;4;6;12;13;18;15;12;10;7;9;5;6
13;5;12;7;13;12;13;6;4;7;12;13;18;15;11;10;7;10;5
14;6;5;13;7;13;12;13;6;4;7;12;13;19;14;12;10;7;10
15;3;6;5;13;7;13;12;13;7;4;7;12;13;19;16;13;8;7
16;7;3;6;5;13;7;13;11;13;8;4;7;12;13;19;16;11;8
17;5;7;3;6;5;13;7;12;12;13;8;4;7;12;14;19;16;12
18;2;5;6;3;6;5;13;6;12;14;14;9;4;7;12;14;18;16
19;4;4;5;6;3;6;6;13;7;12;14;15;9;4;7;13;14;18
20;7;2;3;6;7;3;6;5;10;7;12;15;13;8;4;6;13;13
21;6;7;2;3;4;5;4;7;7;10;7;12;15;10;8;4;6;12
22;6;5;6;3;4;5;7;5;7;9;10;7;12;15;11;8;5;6
23;8;8;4;9;4;6;5;5;7;7;9;11;6;11;16;11;7;5
24;6;8;9;4;9;4;9;6;6;5;7;10;9;6;11;17;12;7
25;6;8;8;10;5;10;6;8;10;6;5;8;10;7;6;11;14;14
26;10;6;7;8;10;7;8;5;7;10;7;3;8;10;9;6;14;15
27;11;10;6;7;9;7;10;8;5;4;9;8;4;8;10;11;6;13
28;9;11;10;7;10;7;8;10;8;4;4;10;9;4;9;8;13;8
29;7;12;11;12;6;9;7;8;10;10;4;5;13;10;5;9;6;13
30;11;6;13;12;11;5;9;9;9;10;10;4;4;9;12;5;11;6
31;11;10;7;15;11;11;5;10;9;8;11;9;4;4;8;9;4;10
32;16;12;8;9;14;14;14;7;9;7;9;10;8;5;4;8;10;5
33;11;16;12;9;11;16;15;13;8;10;7;9;11;8;5;4;8;10
34;18;11;15;13;12;10;16;15;15;8;11;7;8;9;6;5;5;8
35;12;19;11;16;13;13;14;16;15;16;8;10;8;7;10;8;6;3
36;14;12;17;11;16;13;13;16;16;16;17;8;12;8;11;8;10;5
37;14;14;12;18;12;16;12;13;16;15;15;17;9;11;8;13;6;12
38;7;14;15;11;17;13;16;13;14;13;15;15;19;10;11;8;13;6
39;10;7;14;17;10;19;13;16;12;14;13;16;15;17;10;11;7;11
40;8;10;6;14;17;10;18;13;16;13;13;11;17;15;18;10;11;7
41;6;8;11;7;15;17;10;17;13;17;11;14;13;19;18;17;9;12
42;9;8;8;11;7;16;16;10;18;11;17;10;14;13;19;18;17;9
43;7;9;9;10;11;7;16;15;10;19;13;17;11;15;13;19;18;18
44;4;7;9;9;10;12;8;15;15;9;19;12;16;11;15;13;16;19
45;5;4;7;9;9;10;13;7;16;16;9;19;12;15;11;15;14;17
46;7;5;4;6;9;9;9;13;7;16;17;9;19;12;15;11;14;14
47;2;7;4;4;6;9;9;9;13;7;15;16;9;19;12;15;11;14
48;7;2;7;4;3;6;9;8;10;13;6;16;16;10;18;12;15;11
49;7;5;3;8;4;3;6;9;9;10;14;6;17;15;10;17;11;16
50;6;7;5;3;8;3;4;6;9;9;10;13;7;17;17;10;15;12
51;3;6;7;6;2;9;2;3;6;9;9;10;14;7;16;17;9;15
52;6;3;8;7;6;2;9;3;4;6;8;9;10;13;6;17;14;9
53;4;6;3;8;7;7;2;8;4;5;6;8;10;10;13;6;16;14
54;7;4;5;3;8;7;7;2;7;5;5;6;8;10;10;13;6;18
55;8;7;4;6;3;8;6;8;2;7;5;4;6;8;10;12;12;6
56;4;7;7;4;7;3;8;6;8;2;7;5;6;6;7;10;12;12
57;4;4;7;7;4;7;4;8;6;8;2;6;5;6;6;7;10;11
58;5;4;4;7;7;4;7;4;8;6;8;2;6;6;6;6;6;10
59;4;5;4;5;7;7;5;8;4;8;6;8;3;6;4;6;7;6
60;9;4;5;4;5;7;6;5;8;4;7;5;8;3;6;4;5;7
61;5;9;4;5;5;5;7;6;5;8;4;7;5;8;3;6;4;5
62;5;5;7;4;6;5;5;7;6;5;8;3;7;5;8;4;6;5
63;2;5;4;7;4;6;5;5;7;6;5;8;3;7;5;7;4;6
64;6;2;5;4;5;5;6;5;5;6;6;5;7;3;7;6;7;4
65;0;6;2;5;4;5;5;6;5;5;6;6;4;7;3;7;6;8
66;4;0;6;2;5;4;4;5;6;4;5;5;6;3;7;2;7;6
67;7;4;0;6;2;5;4;5;5;6;5;5;5;6;3;7;3;7
68;4;5;4;0;6;2;5;4;5;5;6;5;5;6;6;3;7;3
69;4;4;5;4;0;5;2;5;4;5;5;6;4;5;6;5;3;7
70;2;4;4;5;4;1;5;2;6;4;5;5;6;4;5;6;5;4
71;1;2;4;4;5;4;1;5;2;6;4;5;4;6;4;4;6;4
72;2;1;2;4;4;5;4;2;5;2;6;4;5;5;5;4;4;6
73;1;2;1;2;4;4;5;4;1;6;2;6;4;5;5;6;3;4
74;2;1;2;1;2;5;4;5;3;0;6;1;6;4;6;5;6;2
75;3;2;1;2;0;2;5;5;5;3;0;6;1;6;4;5;5;6
76;1;2;2;0;2;0;2;5;5;5;3;0;6;1;4;4;5;5
77;4;1;2;2;0;2;0;2;5;5;5;3;0;6;0;5;4;5
