"Popolazione per età, vista per singola area - Comune: 021117 - La Valle"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: La Valle"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;16;10;13;15;14;15;20;15;14;27;15;21;15;13;14;18;18;12
1;15;14;14;13;16;14;14;21;15;13;29;14;23;16;15;13;16;18
2;14;16;15;14;12;16;14;14;21;15;10;26;13;23;17;16;13;20
3;14;14;16;16;14;12;16;13;16;20;15;11;27;14;23;17;16;13
4;19;14;14;16;16;14;12;15;14;16;18;16;13;28;16;23;18;16
5;18;19;15;14;16;16;15;11;15;14;16;19;16;13;28;16;23;17
6;20;18;19;15;14;16;15;15;12;14;14;17;19;16;13;28;16;23
7;19;20;18;19;15;14;16;15;15;12;14;13;17;20;16;13;28;15
8;18;19;20;17;19;15;14;16;15;14;11;14;13;17;21;16;15;28
9;17;18;19;20;17;19;15;14;16;15;14;11;14;14;21;23;17;15
10;22;17;18;19;20;17;19;15;14;16;15;14;11;14;15;21;23;17
11;19;22;17;17;19;20;17;20;15;14;15;15;14;11;14;15;20;23
12;12;19;24;17;17;19;20;17;20;15;14;15;15;14;11;14;15;19
13;15;12;19;24;17;17;19;20;17;20;15;14;15;15;14;11;14;15
14;15;15;13;19;24;17;17;19;20;17;20;15;14;15;15;14;11;14
15;16;15;15;13;19;25;17;17;19;20;17;20;15;14;14;15;14;11
16;15;16;15;16;13;19;24;17;17;19;19;17;21;15;14;14;15;14
17;22;15;16;15;16;13;19;25;17;17;19;19;18;22;15;14;14;16
18;18;22;15;16;16;16;12;19;25;17;17;19;19;18;22;15;14;14
19;16;18;22;15;16;16;16;12;19;25;17;17;20;19;18;21;15;16
20;14;16;19;21;15;16;16;15;12;19;25;17;17;20;19;17;22;14
21;19;13;16;19;21;15;16;16;16;12;20;25;18;16;20;21;17;24
22;20;18;13;16;19;21;16;16;16;17;11;20;26;18;16;20;21;20
23;13;20;20;14;16;19;21;15;17;16;18;12;20;26;18;16;18;21
24;17;12;21;20;14;16;18;22;15;17;16;18;13;19;29;18;15;18
25;16;17;11;20;20;15;16;17;22;16;18;17;21;13;20;28;19;16
26;26;16;18;12;20;20;14;16;17;25;12;14;18;21;13;20;29;20
27;17;26;15;17;12;20;21;14;19;17;24;12;14;16;23;13;19;27
28;27;16;26;13;17;12;19;20;13;19;16;24;12;14;14;23;12;23
29;26;27;15;26;12;17;13;18;19;13;19;16;25;12;14;14;21;11
30;27;23;28;15;26;11;19;13;18;22;11;20;16;24;12;15;14;19
31;25;24;23;27;18;26;12;20;11;17;23;10;19;17;24;12;17;13
32;23;24;23;23;27;18;27;10;18;11;17;23;11;21;16;21;12;17
33;28;24;24;23;23;28;19;27;11;17;12;16;24;12;22;18;21;12
34;23;30;22;23;24;22;27;18;27;11;16;12;16;26;13;22;18;20
35;18;23;30;21;25;24;21;29;18;29;11;14;12;17;27;13;25;18
36;18;18;24;29;21;25;24;23;29;17;29;11;14;12;17;27;13;22
37;17;18;19;22;29;20;26;25;24;29;17;28;11;15;14;17;26;12
38;23;17;18;18;21;29;19;26;25;23;26;16;28;12;14;14;18;25
39;20;23;17;18;18;22;28;18;26;28;24;26;16;29;12;14;12;18
40;18;21;24;16;20;18;22;29;17;27;26;26;26;17;30;12;15;10
41;22;18;21;25;16;20;20;22;28;16;26;26;26;26;17;30;11;15
42;13;23;18;21;25;16;20;20;23;27;16;26;26;25;25;17;30;11
43;14;13;23;18;21;25;17;20;19;23;26;16;27;26;26;25;17;30
44;18;14;12;23;18;21;24;17;19;19;22;25;16;27;26;26;25;16
45;11;18;14;12;23;18;21;24;17;17;19;24;25;16;29;26;24;24
46;14;11;18;15;12;23;17;21;27;17;18;21;24;25;16;28;26;24
47;14;14;11;17;15;12;23;17;21;27;17;18;20;24;25;16;27;26
48;7;14;14;11;17;13;12;22;17;21;27;17;18;20;25;25;16;26
49;14;7;13;14;11;17;13;12;22;17;21;26;17;18;18;24;25;16
50;14;14;7;13;13;11;17;13;12;22;18;21;26;17;20;18;24;25
51;9;14;14;6;13;13;10;17;13;13;22;18;21;26;18;19;17;23
52;16;9;14;14;6;13;13;10;17;13;13;23;18;22;27;18;19;17
53;13;16;9;15;14;7;13;13;10;17;13;13;22;18;22;27;19;19
54;9;13;16;9;15;14;7;13;13;10;17;13;13;22;18;23;27;19
55;8;9;13;16;9;15;14;8;13;13;10;17;13;13;22;17;23;27
56;8;8;9;13;15;9;15;12;8;13;13;10;17;13;13;22;17;23
57;17;8;8;9;13;13;9;15;12;8;13;13;10;17;13;13;22;17
58;10;17;8;8;9;13;12;8;15;12;8;13;14;10;17;13;13;22
59;14;11;17;9;8;9;13;12;7;15;11;8;14;13;10;17;13;13
60;8;14;11;17;9;8;9;13;12;8;15;11;8;15;13;12;17;13
61;15;8;14;10;17;9;8;9;13;12;8;15;11;8;15;13;12;18
62;10;16;8;14;10;17;9;8;9;13;12;8;15;11;8;14;13;12
63;9;10;16;8;14;10;17;9;8;9;13;12;8;13;10;8;14;13
64;13;9;10;15;8;14;10;17;9;8;9;13;12;8;13;9;8;14
65;4;14;9;10;16;8;14;10;16;9;8;9;12;12;8;12;9;8
66;10;4;14;9;10;16;8;13;10;16;9;8;9;12;12;8;12;9
67;11;9;3;14;9;10;15;8;13;9;15;9;8;9;12;12;8;12
68;7;11;9;3;15;9;10;15;8;13;9;16;9;8;9;12;12;8
69;12;7;11;9;3;13;9;10;15;8;13;9;15;8;9;9;13;12
70;7;12;7;12;9;3;13;9;9;15;8;13;8;15;8;9;9;13
71;6;7;12;7;12;10;3;13;9;9;14;8;13;9;15;8;9;10
72;10;7;7;10;7;12;10;3;13;9;9;13;8;15;9;15;8;8
73;6;10;5;9;10;6;11;10;2;14;9;10;13;8;15;9;15;8
74;9;6;10;5;9;10;6;10;10;1;14;9;10;13;8;15;9;14
75;9;9;5;11;5;9;10;6;9;8;1;14;8;10;11;8;15;9
76;7;10;9;5;10;5;8;10;6;9;9;1;14;8;10;11;8;15
77;8;7;10;9;5;9;5;8;10;5;9;9;1;14;8;10;11;8
78;9;8;7;10;9;5;9;5;7;8;5;8;9;1;14;8;10;11
79;8;9;7;7;6;7;5;9;5;7;8;5;8;9;0;14;8;10
80;13;8;9;7;7;5;7;4;9;6;7;8;5;9;9;0;14;8
81;4;12;7;9;6;7;5;5;3;9;6;7;7;5;9;8;0;14
82;2;4;12;7;9;6;7;5;4;3;9;6;6;6;5;9;8;0
83;0;2;3;11;7;8;6;5;4;4;3;9;6;6;5;5;9;8
84;2;0;2;3;11;7;6;6;4;4;4;4;8;6;5;5;5;9
85;0;2;0;1;2;11;7;6;4;3;3;3;4;8;5;5;4;5
86;2;0;2;0;1;2;11;6;5;4;3;2;2;4;9;5;5;4
87;0;2;0;2;0;1;3;10;6;5;4;3;1;2;3;9;5;4
88;2;0;2;0;2;0;0;2;8;4;5;4;3;1;1;3;7;4
89;1;2;0;2;0;2;0;0;2;8;4;4;4;3;1;1;3;6
90;0;1;2;0;1;0;2;0;0;2;7;4;2;2;3;1;0;3
91;1;0;1;2;0;1;0;2;0;0;2;6;4;2;2;3;2;0
92;0;1;0;1;1;0;1;0;2;0;0;1;6;3;2;1;2;1
93;3;0;1;0;1;1;0;1;0;1;0;0;1;6;3;2;1;1
94;0;2;0;1;0;1;0;0;1;0;1;0;0;0;5;3;2;0
95;1;0;2;0;1;0;1;0;0;1;0;0;0;0;0;3;3;2
96;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;3;3
