"Popolazione per età, vista per singola area - Comune: 022040 - Capriana"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Capriana"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;9;6;7;3;3;11;3;7;5;6;4;4;1;3;3;2;8;3
1;5;9;6;7;3;3;13;4;6;6;7;4;4;2;3;3;2;8
2;7;5;8;6;9;3;1;13;7;6;5;6;5;4;2;3;4;2
3;3;7;4;8;6;9;3;1;12;7;5;5;6;5;4;2;3;3
4;8;4;8;4;8;6;9;3;1;12;7;4;5;7;5;4;2;4
5;6;7;5;7;4;8;5;9;4;1;11;7;3;5;8;6;4;2
6;8;6;8;6;7;4;8;5;8;3;1;11;9;3;5;5;6;4
7;7;8;6;7;6;7;4;8;6;8;3;0;11;9;5;5;5;6
8;6;7;8;6;7;6;7;4;8;6;8;3;2;11;8;4;5;6
9;8;6;7;7;6;7;6;7;5;8;6;8;3;2;11;7;4;5
10;5;8;6;7;8;6;7;6;7;7;8;6;10;3;3;11;7;4
11;9;5;8;6;8;8;6;7;6;8;6;8;6;11;3;3;11;8
12;5;9;5;8;6;8;8;6;7;5;8;6;9;5;10;3;3;11
13;14;5;9;5;8;6;8;8;6;8;5;8;9;9;5;10;3;2
14;7;14;6;9;5;8;6;8;8;6;8;5;8;8;11;5;9;3
15;7;7;14;6;9;5;7;7;8;7;6;8;5;8;9;11;5;9
16;5;7;7;14;7;9;5;7;8;8;7;7;7;5;9;8;10;5
17;6;5;7;7;14;7;9;5;7;8;8;7;7;7;5;8;7;8
18;8;6;4;7;7;14;7;9;5;7;8;9;7;7;7;5;8;7
19;4;8;6;4;7;6;14;7;9;5;6;8;10;7;7;7;5;9
20;5;4;8;6;4;7;6;14;7;9;5;7;8;10;7;6;7;5
21;8;5;4;8;6;3;6;6;15;5;9;5;7;8;8;7;6;8
22;5;8;5;4;9;6;3;5;7;14;5;10;5;7;8;7;7;6
23;7;6;8;4;4;7;5;3;6;7;14;5;11;5;7;9;7;6
24;6;8;5;7;4;4;6;5;3;6;7;14;5;10;5;8;8;7
25;3;10;10;3;7;4;6;6;5;3;8;7;15;4;10;6;7;7
26;5;4;11;8;4;8;5;6;6;4;2;9;6;13;3;9;8;7
27;8;5;4;11;7;4;8;5;5;6;4;3;7;4;12;3;8;8
28;2;10;4;4;13;7;3;8;4;5;5;3;3;10;4;12;2;7
29;9;3;11;4;2;13;9;4;6;5;6;5;3;3;10;5;15;1
30;9;11;3;10;6;4;10;12;2;6;5;6;5;3;3;9;3;13
31;3;9;13;3;10;6;3;10;13;2;7;6;7;6;3;4;11;3
32;8;3;9;9;3;10;7;3;11;12;2;6;7;7;5;3;3;10
33;5;7;4;9;7;3;10;5;5;10;11;2;8;7;6;4;3;4
34;7;6;7;5;10;8;3;10;5;7;11;10;2;8;9;6;4;4
35;11;7;7;8;5;10;8;3;11;4;9;11;9;2;7;7;6;4
36;10;11;6;6;8;5;12;8;4;11;4;10;11;9;2;7;7;6
37;8;10;13;5;5;10;5;12;7;4;11;4;10;10;10;4;7;6
38;16;8;10;12;7;5;9;5;11;7;5;11;4;10;10;10;4;7
39;8;17;8;10;12;7;4;9;5;12;8;5;11;4;9;10;12;4
40;10;7;15;9;10;12;7;5;11;4;12;7;5;10;6;9;11;11
41;10;8;8;15;8;10;12;7;6;11;4;12;7;6;10;5;10;11
42;12;10;9;7;14;8;10;12;8;6;11;4;10;6;7;10;4;10
43;8;12;10;9;6;16;10;10;12;8;7;11;5;10;6;7;10;4
44;7;9;14;10;10;6;15;10;10;12;8;7;11;5;10;6;5;10
45;11;7;9;14;10;10;6;15;10;10;12;8;7;10;5;12;6;4
46;4;10;7;9;14;11;11;6;15;10;12;12;9;6;11;6;12;6
47;11;4;11;8;8;14;11;11;7;15;10;13;12;8;5;11;6;12
48;5;11;3;11;8;8;13;11;11;7;14;10;11;11;8;6;10;5
49;14;5;11;3;11;8;8;13;12;11;7;13;10;11;11;8;6;10
50;5;14;4;12;3;13;8;9;13;12;12;7;13;10;11;11;9;6
51;3;5;15;4;12;3;12;8;9;13;12;12;7;13;10;11;10;10
52;7;3;7;15;4;10;3;12;7;7;13;14;12;7;13;10;11;10
53;5;7;2;7;14;4;10;3;12;7;7;14;15;12;7;13;11;11
54;7;5;7;2;7;14;4;9;3;11;7;7;14;15;12;7;13;11
55;8;7;5;7;2;6;14;4;8;3;11;7;7;15;15;12;6;13
56;3;8;7;5;7;2;5;14;4;8;3;11;7;7;15;15;11;6
57;3;3;8;7;5;7;2;5;13;4;7;3;12;5;7;15;15;13
58;6;3;3;9;7;5;7;2;6;13;4;7;3;11;6;7;15;15
59;5;6;3;2;8;7;5;7;2;6;14;4;7;4;11;7;7;15
60;7;5;7;3;2;8;7;5;7;2;6;15;4;7;4;11;7;6
61;4;7;5;7;3;2;8;7;5;7;2;6;15;4;7;4;12;6
62;7;4;6;5;7;3;2;8;7;5;8;2;6;15;4;7;4;12
63;6;7;5;6;5;7;3;1;8;7;5;8;2;7;14;4;8;4
64;6;6;5;5;7;5;8;3;1;8;7;5;8;2;7;14;5;8
65;4;6;6;6;6;7;5;8;3;1;8;7;5;8;2;7;14;4
66;6;4;6;6;6;6;7;5;8;4;1;8;7;5;8;2;7;15
67;5;6;3;6;5;6;6;7;5;8;4;1;7;7;5;8;2;5
68;8;5;6;3;6;5;6;6;8;5;7;4;1;7;6;5;8;2
69;8;8;5;6;3;6;5;6;6;8;5;7;4;0;7;6;5;8
70;5;8;8;5;6;3;6;5;6;6;7;5;7;4;0;7;6;5
71;7;5;8;8;5;8;3;6;5;6;6;6;5;7;4;0;8;6
72;4;6;5;8;9;5;8;3;6;5;6;6;6;5;7;4;0;8
73;8;4;4;5;8;9;5;8;3;5;5;6;6;5;5;6;4;0
74;5;8;3;4;5;6;8;4;8;2;5;5;6;5;5;5;6;4
75;6;6;8;3;3;5;6;8;4;8;2;5;5;6;5;5;5;6
76;3;7;6;8;3;3;5;5;8;4;8;2;5;5;6;5;5;5
77;3;3;7;5;8;3;3;5;5;7;4;8;3;4;5;6;3;5
78;5;3;3;7;5;8;3;3;5;5;6;3;8;3;4;5;6;3
79;8;5;3;3;7;5;7;3;3;5;5;5;3;8;3;4;5;6
80;5;8;5;3;3;6;4;7;3;3;4;5;5;3;7;3;4;5
81;9;4;7;5;2;2;6;4;6;3;3;4;5;5;3;7;3;4
82;7;9;3;6;5;2;2;6;4;6;3;3;4;4;5;3;7;3
83;2;6;8;2;6;5;2;2;6;4;5;2;3;4;4;4;3;7
84;2;2;6;7;2;6;5;2;2;6;3;5;1;3;4;4;4;3
85;0;2;2;6;8;1;6;5;2;2;6;2;5;1;2;4;4;4
86;1;0;2;2;6;8;1;6;5;2;2;6;2;5;1;2;4;4
87;2;1;0;1;1;4;7;1;6;5;2;1;5;2;5;1;2;4
88;1;1;0;0;1;1;3;7;1;4;4;2;1;4;1;5;1;2
89;2;1;1;0;0;1;1;3;7;1;4;5;1;1;4;0;4;1
90;2;2;1;1;0;0;1;0;2;5;1;4;5;0;0;4;0;4
91;2;2;2;1;1;1;0;1;0;2;4;1;3;4;0;0;4;0
92;1;2;1;2;0;1;1;0;1;0;2;3;0;3;2;0;0;4
93;2;1;2;1;1;0;0;0;0;1;0;2;2;0;3;1;0;0
94;0;2;1;2;1;1;0;0;0;0;1;0;1;1;0;3;0;0
95;1;0;2;1;2;1;1;0;0;0;0;0;0;0;1;0;2;0
96;0;1;0;1;1;2;0;1;0;0;0;0;0;0;0;1;0;1
97;0;0;1;0;2;1;2;0;1;0;0;0;0;0;0;0;0;0
98;0;0;0;1;0;2;1;1;0;0;0;0;0;0;0;0;0;0
99;0;0;0;0;1;0;2;1;1;0;0;0;0;0;0;0;0;0
100 e oltre;0;0;0;0;0;1;1;1;2;2;1;0;0;0;0;0;0;0
Totale;578;592;600;586;591;602;594;597;610;603;604;605;611;597;597;593;596;589
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;4;2;3;0;1;6;1;4;4;3;2;3;1;2;0;2;3;2
1;2;4;2;4;0;1;8;1;4;4;4;2;3;1;2;0;2;3
2;4;2;3;2;5;0;1;8;4;4;3;4;2;3;1;2;1;2
3;3;4;2;3;2;5;0;1;7;4;3;3;4;2;3;1;2;1
