"Popolazione per età, vista per singola area - Comune: 022042 - Carisolo"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Carisolo"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;10;9;5;13;13;16;8;8;9;10;9;9;8;8;10;7;15;4
1;12;10;10;6;14;13;15;9;8;8;13;9;6;10;9;9;7;14
2;9;13;9;8;6;15;13;15;9;9;11;12;11;6;11;10;7;4
3;15;11;13;13;10;7;14;14;13;9;11;12;11;10;6;11;11;9
4;11;15;11;12;12;11;7;14;12;13;10;12;11;11;11;6;9;10
5;14;12;14;11;12;12;11;8;14;12;13;10;12;11;13;10;7;9
6;10;17;13;13;11;12;13;13;7;13;12;14;10;12;11;13;11;8
7;6;11;16;12;11;11;12;13;15;8;12;12;13;9;9;11;9;14
8;11;6;11;16;12;11;11;12;14;14;8;12;11;14;9;8;12;9
9;12;12;6;11;15;14;11;11;12;12;14;7;13;10;14;9;9;13
10;11;12;11;6;11;15;12;11;10;12;12;12;5;13;9;13;8;11
11;6;11;12;11;6;11;14;11;11;10;12;12;10;5;14;11;12;8
12;11;6;11;11;11;6;10;14;12;12;10;12;13;9;5;14;11;11
13;9;11;6;10;11;10;6;10;14;11;11;11;11;12;10;5;15;11
14;7;9;12;6;10;10;10;6;9;14;11;12;11;10;12;10;6;14
15;16;7;9;12;5;10;10;11;6;9;14;11;11;11;10;12;10;6
16;12;16;7;9;12;5;10;10;11;6;10;13;13;11;9;10;11;10
17;8;13;16;6;9;11;4;11;10;12;5;10;14;14;12;9;10;11
18;14;8;13;14;6;8;11;4;11;11;11;5;10;15;12;12;10;9
19;7;14;7;12;14;6;8;11;5;11;11;11;5;10;15;11;12;12
20;11;9;13;9;11;15;6;6;11;5;11;10;12;5;9;15;11;12
21;6;11;8;10;9;9;15;7;6;10;4;10;13;10;7;8;16;12
22;15;6;11;7;10;7;9;15;11;6;10;4;11;15;10;6;8;14
23;7;14;6;10;8;11;7;10;16;10;7;10;6;12;15;10;7;8
24;13;9;17;6;11;7;14;7;12;16;10;6;9;4;11;15;10;4
25;14;13;8;16;6;11;9;16;7;12;18;11;7;11;8;9;15;9
26;12;16;13;9;15;8;12;9;15;9;14;15;12;6;12;9;8;10
27;16;14;17;14;9;14;9;13;9;13;9;12;13;9;6;11;7;7
28;14;16;13;16;13;10;14;11;12;10;12;13;10;11;10;4;11;8
29;17;14;19;14;13;13;12;14;13;13;10;11;16;9;10;9;6;10
30;14;17;15;18;14;14;10;11;17;15;13;8;10;14;7;9;9;8
31;19;14;18;16;20;16;13;11;10;14;14;15;8;8;15;9;7;9
32;11;18;15;16;17;19;16;12;12;10;12;12;14;10;8;16;7;6
33;14;12;20;15;18;13;18;15;12;14;11;13;13;14;10;8;16;6
34;19;13;12;19;15;18;12;18;13;12;13;11;14;15;12;12;8;14
35;19;19;13;15;19;16;19;12;17;13;12;13;13;14;15;12;11;9
36;17;19;19;14;15;19;15;17;13;16;18;16;13;12;16;16;12;12
37;20;17;16;21;12;16;19;16;15;15;17;19;17;15;11;16;13;14
38;12;19;19;17;21;11;15;21;17;15;14;20;18;14;14;11;15;18
39;10;12;19;18;17;21;12;17;19;17;15;14;19;20;13;13;11;13
40;15;10;12;19;15;17;20;12;17;21;17;14;15;15;18;15;15;12
41;8;14;10;13;18;15;19;20;14;17;21;17;15;15;17;16;18;15
42;10;8;13;10;13;16;15;18;20;14;17;20;17;13;15;15;17;16
43;12;10;8;14;10;14;16;16;17;21;13;18;20;17;11;15;16;17
44;22;13;12;9;12;10;12;15;18;19;21;12;13;19;16;12;11;16
45;11;22;13;9;8;12;10;13;15;18;20;22;12;13;21;15;11;11
46;12;11;23;14;8;8;12;10;13;15;18;20;24;12;13;21;16;12
47;8;12;11;22;15;8;8;12;11;13;15;18;18;24;13;12;21;17
48;11;8;11;11;23;15;9;8;12;10;13;15;19;17;22;12;13;19
49;18;11;8;12;10;22;16;8;8;13;10;13;15;18;18;22;12;12
50;13;18;10;8;11;9;21;14;8;8;13;10;12;15;16;18;21;12
51;13;14;17;10;8;11;10;20;15;8;8;13;11;12;15;16;18;19
52;10;13;13;15;10;8;11;10;20;16;7;8;13;14;12;15;16;18
53;13;9;12;13;15;9;9;11;10;20;16;8;8;13;16;12;15;16
54;6;13;9;12;12;16;9;9;12;10;20;13;8;8;13;15;12;14
55;11;6;13;10;12;13;17;9;9;12;10;20;14;6;8;13;14;12
56;9;11;6;13;9;12;13;17;10;9;12;10;20;14;6;8;13;13
57;9;9;11;6;12;9;13;12;17;9;9;10;10;20;14;6;8;13
58;12;6;9;11;6;12;9;13;12;18;9;9;11;10;20;12;6;8
59;17;12;6;9;11;6;12;9;13;12;19;8;9;10;11;20;12;5
60;7;17;12;7;9;12;6;13;8;14;12;19;8;8;9;12;17;14
61;8;7;17;13;7;9;12;6;13;9;14;12;19;8;8;9;11;17
62;15;8;7;17;14;8;9;13;6;13;9;14;12;19;8;8;9;11
63;8;14;8;7;17;15;8;9;13;6;14;9;14;12;16;7;8;9
64;9;8;14;8;7;17;15;7;9;13;6;14;9;13;12;16;6;8
65;13;8;7;14;8;6;16;16;7;9;12;6;13;9;13;13;16;5
66;6;13;9;7;12;6;6;16;14;7;11;13;6;12;9;14;13;17
67;10;6;13;9;7;13;6;6;16;14;7;10;14;7;12;9;14;13
68;5;10;5;13;10;7;13;6;6;16;14;6;10;15;7;11;9;15
69;4;7;12;5;12;6;5;13;6;9;16;14;6;11;15;8;11;8
70;7;4;7;11;5;12;6;5;13;6;8;15;14;5;11;15;8;11
71;9;7;4;7;11;6;12;7;5;12;6;8;16;14;5;12;15;7
72;8;9;7;4;7;10;6;12;7;6;15;6;8;16;14;5;13;13
73;5;8;9;7;3;8;10;5;12;7;6;14;6;8;16;14;5;13
74;7;5;7;10;7;2;8;10;5;12;7;6;13;6;8;15;14;5
75;9;7;5;7;10;5;2;8;10;5;12;7;6;12;6;9;14;14
76;4;9;6;5;6;9;5;2;8;8;6;11;7;5;12;6;8;14
77;2;4;9;6;3;6;9;5;2;8;8;6;12;7;5;11;8;8
78;3;2;4;8;6;3;6;8;4;1;8;8;6;11;7;5;9;7
79;6;3;2;4;8;6;3;6;7;4;1;7;7;6;11;7;8;9
80;0;6;3;2;3;8;7;2;6;7;4;1;7;7;6;11;6;7
81;4;0;5;2;2;3;8;7;2;7;7;4;1;7;7;6;10;6
82;1;4;0;5;1;2;2;8;6;2;7;7;3;1;7;6;5;9
83;2;1;5;0;6;1;2;2;6;6;1;6;7;3;1;7;5;5
84;1;2;1;5;0;6;2;2;2;6;6;2;5;7;2;0;7;5
85;2;1;2;1;5;0;6;2;1;2;5;6;2;4;6;1;0;7
86;1;2;0;2;1;5;0;6;2;1;2;4;5;1;4;6;1;0
87;7;1;2;0;2;0;4;0;5;2;1;2;4;4;1;3;5;1
88;6;5;1;2;0;2;0;4;0;4;2;1;2;4;4;1;3;3
89;1;5;4;0;2;0;2;0;3;0;3;1;1;3;4;3;0;3
90;5;1;3;4;0;2;0;2;0;3;0;3;2;0;2;3;3;0
91;2;5;1;2;4;0;2;0;2;1;3;0;3;2;0;2;3;3
92;0;2;5;1;2;4;0;2;0;1;1;3;0;3;2;0;1;1
93;3;0;1;3;1;1;4;0;2;0;1;1;3;0;3;2;0;1
94;0;3;0;0;3;0;0;3;0;2;0;1;1;2;0;3;2;0
95;0;0;3;0;0;2;0;0;3;0;1;0;1;1;2;0;3;2
96;1;0;0;2;0;0;1;0;0;1;0;1;0;0;1;2;0;1
97;0;0;0;0;2;0;0;1;0;0;0;0;1;0;0;1;2;0
98;0;0;0;0;0;2;0;0;1;0;0;0;0;1;0;0;1;1
99;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
100 e oltre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Totale;912;929;930;932;925;928;931;944;952;968;988;987;995;978;982;972;968;950
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;5;4;3;6;8;10;3;6;4;2;6;5;3;2;4;3;9;2
1;9;5;5;4;6;8;9;4;6;3;5;6;4;3;2;3;3;8
2;4;10;5;3;4;7;8;9;5;6;5;4;7;5;3;2;3;2
3;8;6;9;7;5;4;6;8;8;5;7;4;3;6;5;3;2;4
4;5;8;6;8;7;5;4;6;7;7;6;8;3;3;5;5;3;3
5;8;5;8;6;8;7;5;5;6;7;7;6;8;4;3;5;7;3
6;5;9;5;8;6;8;7;5;5;5;7;7;6;7;5;3;5;8
7;1;6;8;5;7;6;8;7;8;6;5;6;7;5;6;5;1;6
8;9;1;6;7;5;7;6;8;8;7;6;5;5;8;5;5;5;2
9;5;10;1;6;7;7;7;6;8;6;7;6;5;5;8;5;5;5
10;6;5;9;1;6;7;7;7;5;8;6;6;4;5;5;8;4;6
11;2;6;5;9;1;6;7;6;7;5;8;6;5;4;7;7;8;4
12;8;2;6;5;9;1;5;7;7;7;5;8;7;4;4;7;7;7
13;2;8;2;6;5;8;1;5;7;6;7;5;8;6;5;4;7;7
14;3;2;8;2;6;5;8;1;4;7;6;8;5;8;6;5;5;6
15;6;3;2;8;1;6;5;9;1;4;7;6;7;5;8;6;5;5
16;5;6;3;2;8;1;5;5;8;1;5;7;6;7;4;8;5;5
17;4;6;6;2;2;7;1;5;5;9;0;5;7;6;8;4;8;5
18;4;4;6;4;2;1;7;1;5;6;9;0;5;8;5;8;5;7
19;3;4;4;4;4;2;1;7;2;5;6;9;0;5;8;5;8;6
20;8;3;4;4;4;4;2;1;7;2;5;5;10;0;4;8;5;8
21;3;8;2;4;4;4;5;2;1;7;2;5;5;8;1;4;8;6
22;8;3;8;1;4;3;4;5;3;1;7;2;6;5;8;1;4;7
23;5;8;3;8;1;4;3;5;5;2;1;7;3;6;5;8;1;4
24;4;5;9;3;8;1;6;3;5;6;2;0;6;2;6;5;8;0
25;8;4;4;10;3;8;2;7;3;5;7;3;0;7;2;5;5;7
26;7;8;5;4;10;3;9;2;6;4;7;6;3;0;7;2;4;4
27;11;8;9;5;4;10;4;9;2;5;4;5;6;1;0;7;2;3
28;5;11;7;7;5;4;10;5;9;2;5;6;4;6;1;0;7;2
29;8;5;12;7;6;6;5;11;6;9;2;5;6;6;6;1;1;7
30;9;8;5;12;7;7;4;6;13;9;10;2;5;5;4;4;1;1
31;9;8;8;6;14;7;6;4;5;10;8;11;2;4;6;4;2;2
32;8;9;9;8;7;13;8;6;4;5;10;6;10;2;4;6;3;2
33;7;8;11;9;8;5;12;7;6;4;6;9;5;11;2;4;6;4
34;9;6;8;10;10;8;5;12;7;6;3;6;9;7;9;3;4;8
35;12;9;6;11;10;10;8;5;12;7;6;3;6;9;7;9;3;4
36;10;12;9;7;11;10;9;7;6;11;9;9;3;6;10;8;9;3
37;8;10;9;9;6;10;9;10;5;8;11;10;8;5;5;11;6;9
38;4;8;11;10;9;6;9;9;10;5;7;12;9;7;5;6;10;11
39;9;4;8;11;10;9;6;9;8;10;6;7;12;10;6;4;6;9
40;7;9;4;8;9;10;9;7;9;9;10;6;7;10;10;8;5;6
41;2;7;9;4;8;9;12;8;8;9;9;10;5;7;10;8;11;5
42;4;2;7;9;4;6;9;11;8;8;9;9;10;5;8;10;8;9
43;7;4;2;8;9;5;6;10;10;9;8;8;9;10;4;8;10;8
44;11;8;4;3;6;9;4;6;11;11;8;7;7;9;9;5;6;10
45;5;11;8;4;2;6;9;5;6;11;12;8;7;7;11;9;5;6
46;10;5;11;8;4;2;6;9;5;6;11;12;9;7;7;11;10;6
47;2;10;5;10;9;4;2;6;9;5;6;11;10;9;7;6;11;9
48;8;2;9;5;11;9;4;2;6;9;5;6;12;9;7;8;7;10
49;6;8;2;10;5;10;9;3;2;6;9;5;6;11;11;7;7;7
50;9;6;8;2;9;5;9;8;3;2;6;9;4;6;9;11;6;7
51;5;10;6;8;3;9;5;8;9;3;2;6;9;4;6;9;10;6
52;5;5;9;6;8;3;9;5;8;9;3;2;6;11;4;6;9;10
53;9;4;4;9;6;7;3;9;5;8;9;3;2;7;12;4;6;9
