"Popolazione per età, vista per singola area - Comune: 022047 - Castello-Molina di Fiemme"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Castello-Molina di Fiemme"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;19;27;22;23;26;26;18;19;22;15;25;23;23;25;24;17;19;22
1;22;21;26;20;22;27;22;17;22;22;17;25;20;22;25;20;16;21
2;24;26;23;25;22;23;27;23;20;21;26;18;24;21;21;24;22;16
3;24;24;26;24;24;23;22;28;28;22;20;25;19;22;21;20;27;22
4;31;25;24;27;20;25;22;22;27;29;20;18;24;19;20;21;24;29
5;15;30;27;26;27;20;25;23;24;28;25;22;18;26;19;19;22;25
6;18;15;31;24;28;27;20;25;24;26;31;26;25;18;26;18;18;23
7;19;18;20;31;25;28;26;19;24;26;26;28;26;23;19;24;19;19
8;23;19;18;16;32;25;27;26;20;25;24;28;28;22;23;19;25;19
9;26;23;19;19;17;33;26;28;27;20;25;23;26;27;21;23;19;24
10;15;27;23;21;18;16;33;25;29;30;20;25;27;25;27;20;23;20
11;29;15;27;23;21;18;14;32;26;29;30;19;25;27;23;28;21;23
12;18;29;15;28;22;21;18;14;32;26;28;30;19;26;27;23;29;19
13;16;18;29;13;28;22;21;18;17;32;26;31;30;15;26;26;23;29
14;20;17;18;30;13;28;22;21;18;17;32;26;30;29;15;26;27;24
15;17;21;17;18;30;13;29;24;21;19;18;33;24;28;31;17;27;27
16;18;17;19;17;19;30;13;28;25;21;19;20;32;24;28;34;15;27
17;12;19;16;19;17;19;30;12;30;27;21;19;19;31;24;27;37;15
18;13;14;19;16;19;16;19;30;13;31;27;21;22;19;30;24;27;35
19;17;14;13;19;16;19;19;21;30;14;31;27;21;22;18;33;23;28
20;22;18;16;11;20;19;20;18;22;29;12;32;26;22;23;20;33;24
21;23;23;19;15;12;18;16;22;21;21;28;12;29;28;23;23;18;32
22;25;24;24;18;15;14;20;15;21;22;22;28;12;31;28;25;20;20
23;33;27;26;23;22;14;15;20;17;18;23;24;27;12;31;27;25;21
24;30;35;28;28;27;24;17;17;22;21;19;18;25;27;11;31;28;27
25;22;33;38;30;26;25;20;17;22;19;23;21;20;24;29;12;30;27
26;29;24;36;37;31;26;24;20;19;24;20;24;22;19;24;27;11;29
27;37;32;23;36;41;31;23;22;19;18;21;20;23;24;23;21;26;12
28;29;38;33;26;38;43;29;21;23;19;20;24;20;24;26;21;23;23
29;24;30;41;35;29;36;42;32;23;24;18;18;21;26;26;29;22;24
30;37;22;32;37;32;31;35;46;24;24;25;22;19;20;23;25;30;24
