"Popolazione per età, vista per singola area - Comune: 022061 - Civezzano"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Civezzano"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;36;49;39;58;37;48;58;36;59;42;54;53;48;41;27;33;37;25
1;34;35;51;44;60;38;47;56;38;57;46;52;52;45;41;28;34;38
2;32;34;39;51;44;63;36;50;54;39;55;46;50;52;42;38;25;41
3;33;34;34;41;50;46;60;41;48;57;40;51;45;47;53;41;40;28
4;36;33;35;35;41;51;46;61;40;45;54;39;49;44;48;54;42;38
5;31;41;33;37;40;44;52;45;60;38;44;54;39;49;39;49;51;42
6;25;33;42;33;42;40;46;55;45;58;40;43;54;39;49;39;48;50
7;35;22;33;40;36;45;41;46;54;48;58;39;42;53;39;48;42;48
8;36;36;24;35;42;36;44;41;46;52;46;56;39;43;53;37;49;45
9;30;36;37;23;37;42;35;46;43;46;52;46;55;39;43;51;38;49
10;22;31;36;38;25;36;42;36;45;43;47;52;45;55;38;44;50;40
11;31;22;31;36;38;26;39;41;36;46;43;48;50;46;56;39;42;53
12;18;31;23;31;36;39;27;40;41;37;48;41;48;50;47;57;36;44
13;31;17;32;23;33;36;40;29;39;41;38;48;42;48;51;52;57;36
14;34;31;17;30;23;35;36;41;28;38;40;37;46;42;49;50;50;58
15;23;32;31;17;31;23;33;39;40;26;36;42;38;43;42;49;50;48
16;31;22;32;32;17;30;23;33;41;40;27;35;42;36;44;43;49;49
17;30;31;22;31;33;17;30;23;34;42;42;27;34;43;38;46;43;50
18;30;32;33;21;31;32;18;31;22;34;42;42;26;32;44;36;45;41
19;39;31;33;32;21;35;33;19;30;26;34;42;40;29;32;41;36;45
20;32;39;30;33;33;23;35;35;17;30;30;34;43;39;29;33;41;39
21;33;31;38;31;35;33;26;35;32;18;32;32;35;43;36;29;33;40
