"Popolazione per età, vista per singola area - Comune: 022063 - Cloz"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Cloz"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;5;5;2;11;3;6;5;13;5;8;5;8;4;4;6;4;3;1
1;8;4;5;4;12;4;6;6;11;5;7;6;6;6;4;7;4;3
2;3;9;4;5;5;13;3;5;6;12;5;7;6;6;6;4;5;3
3;4;3;6;5;5;5;13;3;6;6;12;6;7;7;6;4;4;5
4;12;4;3;6;7;7;4;14;3;8;5;12;7;7;7;6;4;4
5;7;12;4;3;6;8;8;4;14;5;8;6;14;7;7;9;6;4
6;6;6;12;4;4;6;8;8;4;12;5;9;5;14;9;7;7;5
7;7;6;6;12;4;5;6;8;9;3;12;5;9;5;12;9;7;7
8;8;8;7;6;12;4;5;6;8;8;3;12;5;8;5;13;8;6
9;8;8;7;7;6;11;3;6;6;8;8;2;12;6;7;5;11;8
10;13;9;8;7;7;6;11;5;7;7;8;8;2;12;3;7;5;10
11;10;13;10;8;5;7;6;11;5;7;7;8;8;2;13;3;6;5
12;15;11;13;10;8;5;8;7;11;5;7;7;8;7;2;13;3;6
13;5;15;11;14;10;6;5;8;7;11;7;7;7;8;7;2;12;3
14;11;5;15;11;12;10;6;5;10;7;12;7;6;7;8;7;2;12
15;7;12;5;15;11;12;10;7;5;12;7;12;7;6;7;8;6;2
16;6;7;11;5;15;11;12;10;7;5;13;7;12;8;5;7;7;6
17;10;7;9;11;5;15;11;12;10;8;5;13;7;9;5;5;7;7
18;9;11;7;9;11;5;15;12;12;10;8;5;12;6;8;6;5;7
19;13;9;8;7;9;11;5;14;11;12;11;8;5;12;6;8;5;5
20;9;13;9;8;8;9;11;5;14;12;12;10;11;5;7;6;8;5
21;6;9;13;8;9;9;9;11;5;16;12;12;10;11;6;7;6;9
22;10;7;9;14;8;9;8;8;11;5;17;11;13;11;11;6;7;5
23;9;10;6;9;13;7;10;8;8;12;7;16;12;13;9;10;5;7
24;6;8;10;8;9;14;7;11;8;8;12;8;15;10;13;9;9;5
25;9;6;8;12;8;9;15;8;8;8;8;10;7;15;10;13;9;8
26;10;8;6;10;12;10;9;15;7;8;9;8;10;7;14;10;11;10
27;9;11;10;8;10;11;9;9;14;7;8;10;8;12;7;14;10;10
28;11;9;11;11;8;10;11;9;9;12;7;7;9;9;13;7;14;8
29;7;12;10;12;11;10;10;12;8;8;13;7;6;10;8;13;6;13
30;3;8;11;13;11;11;12;10;9;8;8;13;7;5;10;6;11;5
31;10;5;6;12;16;11;10;14;10;9;8;7;14;7;5;9;6;11
32;10;11;5;7;11;17;11;8;14;9;9;9;6;12;7;5;8;5
33;6;10;10;3;6;11;14;11;7;10;10;7;9;6;12;7;5;6
34;10;5;11;12;2;8;12;12;11;8;10;8;7;10;6;12;8;4
35;14;9;6;11;10;2;9;13;11;11;8;10;11;8;8;6;14;7
36;7;13;11;5;11;11;2;7;14;10;11;9;9;11;7;8;6;13
37;5;6;13;11;4;11;10;2;7;15;10;10;8;10;13;6;8;6
38;7;5;5;13;11;5;11;10;2;7;16;9;11;8;6;13;7;8
39;10;7;5;5;13;10;3;12;10;3;7;16;8;9;7;7;13;7
40;7;10;5;6;5;14;10;4;13;10;5;8;14;8;9;7;5;14
41;8;7;12;5;6;6;14;9;5;12;10;4;7;14;7;11;6;5
42;9;9;7;10;4;5;6;14;9;5;12;11;6;6;12;7;10;7
43;12;10;10;7;10;5;5;6;15;9;5;12;10;6;6;13;7;10
44;17;11;10;10;7;10;5;4;6;15;9;5;11;10;6;4;13;7
45;7;17;12;10;10;7;10;5;4;8;16;10;5;12;9;5;4;13
46;13;7;16;12;10;10;7;10;5;5;8;16;11;5;11;9;5;4
47;6;13;7;16;12;10;9;6;11;5;5;8;16;11;5;11;9;5
48;7;6;13;7;16;13;10;8;6;11;5;4;8;14;12;5;11;9
49;7;7;6;13;6;16;13;9;8;6;11;5;5;7;13;12;5;10
50;12;7;8;6;13;6;16;12;9;8;7;10;5;5;7;13;11;6
51;10;12;7;8;6;13;7;16;12;9;8;7;11;7;5;7;13;12
52;9;11;11;7;8;6;13;7;16;11;9;8;6;11;7;5;8;13
53;7;9;11;11;7;8;6;13;7;16;11;9;8;7;12;8;5;8
