"Popolazione per età, vista per singola area - Comune: 022195 - Terzolas"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Terzolas"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;2;3;2;8;6;5;5;1;11;4;6;1;6;7;5;10;6;6
1;3;2;3;2;7;6;6;4;1;10;4;6;1;6;7;5;10;7
2;5;3;5;3;2;9;6;7;5;1;11;4;9;2;5;6;5;10
3;7;4;3;6;3;2;9;5;7;5;2;11;4;10;3;6;6;6
4;1;7;4;3;6;3;2;9;5;7;6;2;11;4;11;4;4;6
5;5;2;8;4;3;7;3;2;9;5;7;6;1;11;5;10;3;4
6;2;5;4;6;4;3;7;3;2;9;5;7;5;1;10;5;9;3
7;5;2;4;4;6;4;3;9;3;2;9;5;7;5;1;10;5;9
8;3;5;1;7;4;6;4;3;9;4;3;9;5;7;5;1;10;5
9;3;2;5;1;8;4;6;4;3;9;4;3;8;5;6;4;1;10
10;4;3;2;5;1;8;4;6;4;3;9;4;3;7;6;6;4;1
11;6;4;2;3;5;1;8;4;6;4;3;9;5;3;9;6;6;5
12;9;6;4;3;3;6;1;7;4;6;4;3;9;5;3;10;6;7
13;3;9;6;5;3;3;6;1;7;4;6;4;4;8;5;3;10;7
14;6;2;9;6;6;3;3;6;1;7;4;6;4;4;8;5;3;10
15;6;6;2;9;6;6;3;4;6;1;7;4;6;4;4;7;5;4
16;7;6;5;3;9;6;6;3;4;6;1;8;4;6;5;4;7;5
17;3;7;6;5;3;10;7;6;3;4;6;2;8;4;6;6;4;7
18;9;3;7;6;5;3;11;7;7;3;4;6;3;8;4;6;6;3
19;4;9;3;7;6;5;3;10;7;7;3;5;7;3;7;4;6;6
20;9;4;9;3;7;6;6;3;11;8;8;3;4;7;3;7;4;6
21;8;8;4;9;2;8;7;6;3;11;8;8;4;4;7;3;5;4
22;12;6;8;4;8;2;8;7;5;3;10;9;9;4;4;8;3;5
23;7;12;6;8;4;9;3;8;7;5;4;9;10;9;4;5;8;3
24;7;6;11;6;8;5;11;9;9;6;4;4;7;11;10;5;7;9
25;7;5;5;12;6;8;5;10;6;7;6;5;5;6;10;10;4;7
26;12;8;7;6;13;6;8;5;11;6;7;5;4;4;6;10;9;4
27;10;12;11;9;4;13;5;7;4;11;7;7;7;4;6;7;10;10
28;9;10;11;11;9;5;14;5;7;4;12;7;6;6;4;6;5;9
29;9;9;8;11;11;9;6;13;7;6;4;10;6;6;6;5;5;5
30;7;9;8;7;10;10;9;6;14;5;7;4;9;6;9;6;6;5
31;5;3;8;7;9;8;11;8;6;16;6;9;4;9;6;8;8;6
32;7;7;3;10;7;10;7;10;8;7;17;8;7;4;9;4;8;7
33;6;8;8;3;10;7;8;8;10;9;7;19;9;6;4;10;6;8
34;12;5;8;10;3;11;7;7;8;10;7;6;20;11;5;4;11;6
35;6;10;5;13;11;4;11;8;7;9;10;7;7;19;11;4;3;11
36;11;8;10;7;12;11;6;11;8;7;9;11;8;7;18;9;4;4
37;8;11;9;9;8;12;11;6;11;8;8;10;12;9;7;17;9;6
38;6;10;11;10;9;8;11;11;8;11;9;8;11;13;9;7;17;8
39;5;6;10;10;10;9;8;10;11;10;11;9;7;9;13;9;6;17
40;13;5;6;12;10;12;9;9;10;11;10;11;9;6;9;13;9;7
41;5;12;5;6;11;9;11;10;9;9;10;12;11;9;6;10;12;8
42;8;5;10;6;6;10;9;11;9;9;9;10;10;10;10;6;10;12
43;8;8;5;9;6;7;10;9;11;9;9;10;9;10;11;10;6;9
44;7;8;7;9;9;8;7;10;9;11;9;9;11;10;10;11;10;8
45;9;7;8;7;8;10;8;7;11;9;11;9;9;10;10;9;10;11
46;7;9;7;8;7;9;11;8;7;11;9;11;10;9;10;10;8;10
47;8;7;9;7;8;7;9;10;8;7;11;10;12;10;9;11;9;9
48;12;9;7;10;7;8;7;9;10;8;8;11;13;12;10;9;11;8
49;9;12;9;7;10;7;8;7;9;10;7;8;11;13;12;10;7;11
50;13;10;12;9;7;10;7;8;6;9;9;7;8;11;13;12;9;8
51;5;13;10;12;9;8;10;7;8;6;9;9;7;8;11;12;15;10
52;9;5;13;10;12;9;8;9;7;9;6;10;10;7;8;10;12;14
53;15;9;6;13;10;12;9;8;9;7;9;7;9;12;7;8;10;12
54;11;15;9;6;12;10;12;9;8;9;7;9;8;9;12;8;8;9
55;7;11;15;9;6;13;9;12;9;8;9;7;9;9;8;10;8;9
56;6;7;10;15;9;6;13;10;11;9;8;9;7;9;9;8;10;9
57;9;6;8;11;17;9;6;12;10;11;9;8;10;7;8;9;8;10
58;4;9;6;8;11;17;9;6;12;10;12;9;8;9;7;8;8;8
59;8;4;9;6;8;11;16;9;6;11;10;12;9;8;9;5;8;9
60;8;8;4;9;6;8;11;16;9;6;12;10;13;10;8;9;5;8
61;8;8;8;4;8;6;8;10;16;9;6;12;10;11;9;9;9;5
62;7;6;9;8;4;8;6;8;10;16;9;6;12;10;11;9;9;9
63;7;7;6;9;8;5;8;3;8;10;16;9;6;12;11;11;8;9
64;9;7;7;6;9;8;5;8;3;8;10;16;9;6;13;11;11;8
65;6;9;7;7;7;9;8;5;8;3;8;9;16;12;6;13;11;11
66;8;5;10;7;6;7;9;8;5;8;3;8;9;16;13;6;13;11
67;2;8;5;10;7;6;7;9;8;6;8;3;8;9;17;12;6;12
68;6;2;7;5;10;7;6;7;8;7;6;8;3;8;9;17;12;6
