"Popolazione per età, vista per singola area - Comune: 022233 - Dimaro Folgarida"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Dimaro Folgarida"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;14;25;21;18;17;17;20;24;25;21;25;27;25;26;21;15;16;23
1;25;14;24;20;18;18;16;21;26;26;18;26;25;25;21;19;17;12
2;24;28;14;23;18;18;18;17;19;27;24;20;25;25;25;20;18;16
3;15;22;31;16;20;20;18;19;20;20;26;25;18;26;25;25;20;15
4;15;15;23;31;16;20;21;18;17;19;21;24;25;20;23;27;22;18
5;21;17;15;23;30;15;20;18;20;18;21;19;26;27;21;25;25;22
6;16;22;19;14;24;30;13;22;20;20;19;23;20;26;27;22;24;22
7;16;17;22;17;14;26;30;12;23;20;22;18;21;19;27;27;20;21
8;25;16;17;22;18;14;25;30;12;22;19;21;19;20;19;27;25;18
9;19;25;16;18;22;17;15;25;30;14;22;19;24;17;20;20;24;24
10;11;19;24;16;17;22;17;16;25;28;14;23;17;22;17;20;19;22
11;22;11;20;26;16;18;22;19;16;24;27;12;26;18;22;16;20;19
12;18;22;11;19;26;16;18;21;20;19;23;27;12;26;19;23;16;20
13;21;18;24;10;20;27;20;19;22;22;19;21;28;12;25;20;20;13
14;25;21;19;23;9;20;27;20;18;22;23;19;21;28;13;26;19;20
15;12;25;21;20;23;10;22;26;20;19;25;22;18;21;28;14;27;18
16;23;12;24;21;20;23;11;23;26;21;20;26;20;19;21;29;14;25
17;22;24;13;24;21;20;25;12;21;26;22;21;24;19;19;21;28;17
18;18;23;23;12;24;22;20;26;12;20;25;21;21;23;19;16;22;27
19;25;17;23;23;12;25;24;23;24;12;21;24;21;21;23;19;18;23
20;18;24;19;22;23;13;29;26;24;26;12;22;23;22;22;25;19;16
21;29;17;24;18;20;24;16;29;26;23;29;13;21;25;22;22;26;20
22;18;31;19;24;21;21;25;18;30;27;23;31;12;24;26;20;22;26
23;20;17;34;24;28;21;24;23;18;30;27;27;29;14;24;24;21;26
24;24;19;20;33;24;30;21;24;22;16;35;27;25;29;14;21;25;24
25;32;26;22;18;32;27;30;22;25;25;15;37;28;25;29;13;21;24
26;30;31;24;20;20;31;29;30;21;22;24;18;34;31;28;32;13;24
27;29;31;34;29;21;23;35;29;31;23;20;27;18;34;31;28;30;15
28;31;29;31;33;25;25;27;36;27;31;25;23;28;25;32;27;31;29
29;31;31;33;35;38;30;32;27;32;28;33;26;26;31;21;32;28;29
30;27;30;32;33;34;37;31;35;25;36;29;35;25;32;33;21;30;32
31;31;29;33;32;32;40;37;33;34;23;34;30;34;29;31;32;19;26
32;27;31;32;33;33;33;41;40;33;35;22;34;29;35;29;29;28;17
33;25;28;30;28;32;34;35;39;40;30;37;21;35;27;37;28;24;32
34;23;24;31;28;27;30;38;32;36;40;31;30;21;33;25;37;31;24
35;42;22;24;28;28;29;27;34;32;35;45;34;32;21;31;25;36;27
36;44;42;23;27;28;31;32;27;35;30;35;48;29;28;19;34;21;36
37;35;46;47;23;27;28;32;32;25;39;28;34;44;29;27;17;31;20
38;39;38;48;48;21;28;33;32;29;26;40;29;31;42;31;27;17;33
39;37;37;38;46;47;22;28;33;33;30;22;40;32;29;39;30;27;20
40;28;37;36;34;45;47;21;27;31;33;31;24;37;32;31;38;32;25
41;33;27;35;36;34;45;48;24;29;32;33;27;24;37;32;30;38;32
42;31;32;28;40;36;33;45;48;24;29;31;37;25;25;38;35;29;35
43;31;33;33;27;41;36;34;42;46;27;27;32;37;28;26;39;33;27
44;20;32;34;32;27;40;34;33;40;47;28;30;32;35;30;28;39;32
45;26;20;33;35;32;27;37;35;33;40;47;27;31;32;35;31;29;38
46;28;28;20;35;32;34;26;37;36;32;38;47;28;31;31;34;29;28
47;30;28;29;19;34;36;35;26;38;36;32;38;47;28;29;30;34;34
48;33;30;27;30;19;34;37;37;26;37;37;34;40;47;28;29;31;34
49;25;34;28;25;29;19;34;37;37;26;38;39;35;41;48;27;30;32
50;22;25;34;28;26;30;18;33;38;36;26;34;39;34;43;48;28;29
51;20;22;25;34;28;25;31;20;32;37;36;26;33;39;37;43;44;31
52;29;20;23;25;34;28;25;32;20;33;35;36;25;33;38;36;43;44
53;29;27;21;23;24;35;25;26;35;21;33;35;35;25;36;36;36;41
54;24;28;30;19;25;24;35;24;24;30;21;35;35;35;26;36;34;36
55;25;24;29;30;19;25;25;35;25;24;31;22;36;38;33;28;35;34
56;22;25;24;29;33;19;25;25;35;25;24;31;20;33;38;34;25;37
57;26;23;25;25;29;32;20;25;25;34;25;23;32;22;33;37;34;25
58;28;24;22;27;26;29;31;21;24;25;34;25;23;31;22;35;36;35
59;18;27;22;23;29;26;28;31;20;25;24;33;28;25;31;21;36;36
60;18;18;28;22;23;30;25;27;29;20;23;25;33;29;24;31;19;33
61;29;17;18;27;20;22;28;26;27;29;21;23;24;32;29;24;28;19
62;28;29;17;18;30;21;23;26;24;28;29;20;23;24;33;30;22;28
63;21;27;28;17;16;29;21;22;23;24;26;29;21;22;23;33;28;22
64;25;21;27;28;16;16;28;20;22;24;24;26;31;21;22;23;33;26
65;17;25;24;27;27;14;18;28;21;22;24;22;25;30;22;22;23;32
66;15;18;25;24;27;27;15;18;27;22;22;23;22;27;31;22;22;21
67;22;15;17;24;25;27;27;15;19;27;21;21;23;21;27;29;20;22
68;14;22;15;18;24;24;26;28;16;19;25;21;22;21;21;27;28;19
69;11;14;22;16;17;23;23;26;24;15;19;26;22;22;22;21;26;27
70;12;10;15;22;16;15;23;24;25;23;15;19;27;22;22;22;21;25
71;21;12;9;15;19;16;15;23;24;25;23;14;19;28;21;23;20;22
72;11;20;11;9;16;18;17;16;21;23;24;23;12;19;26;20;23;19
73;12;11;20;11;9;15;17;17;15;22;21;23;22;12;17;24;21;22
74;17;11;11;20;11;9;15;17;15;14;22;21;23;20;12;17;24;21
75;19;17;11;10;20;10;9;14;17;13;14;23;20;21;20;10;17;26
76;15;18;17;12;10;21;9;9;13;17;13;14;21;20;20;19;10;17
77;11;14;18;17;11;10;20;8;9;13;16;13;15;21;20;19;16;10
78;16;9;14;18;17;11;9;20;8;9;12;16;13;16;20;20;18;15
79;14;16;10;14;17;17;10;8;17;8;9;11;17;12;15;19;20;17
80;7;14;16;10;14;14;16;10;8;17;8;8;11;17;12;13;19;19
81;7;7;14;15;11;12;14;14;10;8;17;7;8;12;14;12;12;19
82;7;7;7;13;14;9;11;12;14;6;9;15;7;7;9;14;11;12
83;2;7;7;7;12;14;8;11;11;13;6;8;15;7;7;8;13;11
84;2;2;6;7;6;12;12;7;12;9;10;5;6;13;7;7;7;12
85;3;2;1;6;8;5;12;12;5;11;10;10;5;6;12;7;5;7
86;6;4;2;1;5;7;5;10;11;5;11;9;9;4;6;10;7;4
87;6;5;4;2;1;5;5;5;11;8;5;11;7;8;4;6;8;7
88;0;5;3;3;2;1;5;4;6;8;6;4;11;4;7;5;6;7
