"Popolazione per età, vista per singola area - Comune: 022248 - Vallelaghi"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Vallelaghi"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;43;50;47;42;38;47;58;49;51;67;46;58;54;48;51;39;31;38
1;42;44;50;44;42;36;47;57;52;50;68;44;61;55;55;52;38;34
2;57;42;41;49;48;41;41;50;56;53;49;69;50;60;55;53;53;38
3;39;56;42;41;52;48;46;41;55;58;52;55;67;48;60;56;50;52
4;33;39;57;43;41;51;50;45;42;56;56;53;55;68;48;59;55;50
5;52;33;38;59;44;40;54;49;46;43;55;59;55;55;70;47;61;53
6;42;53;36;42;60;47;40;53;51;45;44;57;65;53;55;74;49;60
7;34;42;53;36;44;66;47;41;51;53;46;45;54;66;53;54;71;51
8;41;36;45;50;34;45;64;44;42;49;56;46;48;54;65;52;50;71
9;43;42;35;46;52;37;49;64;43;46;50;59;48;48;54;66;52;53
10;48;45;43;37;46;53;37;48;63;43;46;50;63;49;49;54;66;55
11;41;48;45;44;42;45;53;36;51;61;42;46;51;60;50;49;53;65
12;46;41;51;45;45;41;43;52;38;52;62;42;46;51;60;50;50;53
13;47;46;43;51;47;46;42;43;53;38;52;62;45;47;52;63;52;50
14;28;48;47;44;51;50;44;42;44;55;40;53;62;45;51;52;63;51
15;26;26;48;51;43;53;50;45;42;46;54;40;57;62;44;54;51;63
16;36;26;27;49;53;43;52;52;45;44;47;54;38;57;57;44;57;54
17;31;36;27;30;47;54;41;53;52;48;46;47;55;39;56;60;45;58
18;35;32;37;28;34;47;55;42;53;53;47;45;48;55;42;55;62;47
19;37;37;32;38;30;32;48;59;42;53;53;47;47;45;55;40;55;64
20;38;36;34;32;38;29;34;46;57;40;52;53;53;46;46;56;40;54
21;37;38;37;34;31;36;28;35;49;57;42;51;56;53;45;47;57;41
22;31;38;35;41;35;32;34;31;35;54;57;43;52;56;51;49;47;56
23;41;27;37;33;42;35;33;35;35;38;53;57;44;52;57;50;48;49
24;33;45;28;41;36;44;37;36;41;33;41;48;56;44;56;55;52;47
25;43;36;45;28;42;38;49;41;33;42;39;43;50;53;47;56;53;51
26;57;48;42;50;31;42;43;50;42;39;44;43;44;55;57;47;56;51
27;77;56;48;44;53;30;47;48;53;47;45;45;51;46;55;62;41;59
28;49;80;54;56;42;53;36;52;53;55;43;47;47;51;47;52;64;46
29;56;51;80;55;56;42;62;41;65;54;52;46;49;48;53;51;56;65
30;64;59;50;89;59;51;49;67;46;64;50;54;44;51;45;52;51;58
31;60;66;65;51;92;67;48;53;68;48;64;50;58;44;55;54;52;46
32;56;62;64;74;56;99;61;49;58;63;52;62;54;60;43;53;53;54
33;76;59;60;71;71;69;99;64;58;63;63;57;63;55;59;46;54;51
34;70;74;62;58;77;69;70;95;66;58;60;64;60;64;54;58;49;52
35;78;70;74;62;63;84;71;68;96;69;58;61;69;64;66;51;60;52
36;77;82;80;76;63;67;87;74;71;101;74;59;64;69;61;67;52;62
37;86;82;85;81;85;68;71;92;78;69;102;75;63;63;68;57;68;52
38;84;86;80;88;85;81;69;75;90;81;68;104;79;60;63;72;56;74
39;67;84;87;84;92;89;84;74;76;88;78;74;103;84;56;67;74;58
40;58;68;83;89;85;97;90;81;78;80;92;76;72;102;79;62;62;75
41;49;57;70;83;92;86;100;89;81;81;85;94;77;75;102;80;62;65
42;62;51;57;75;81;92;91;102;90;82;82;86;97;75;71;99;80;65
43;58;59;49;59;75;84;93;93;106;95;83;85;90;97;75;70;95;81
44;49;57;59;51;57;74;82;96;98;107;94;82;88;90;100;73;68;94
45;48;51;59;60;54;56;75;80;94;98;103;95;83;93;88;101;75;68
46;63;48;51;64;60;57;56;74;78;99;96;106;91;84;91;86;99;76
47;55;63;46;51;63;64;59;58;75;81;99;101;111;88;85;89;86;94
48;47;54;62;46;49;60;65;56;58;76;82;98;102;110;89;87;90;90
49;53;48;54;64;47;48;59;67;57;61;81;83;97;105;109;89;84;90
50;48;54;48;54;64;52;48;59;68;58;63;80;83;97;103;109;95;84
51;47;48;53;48;54;62;53;50;60;68;60;67;80;81;96;101;108;98
52;43;47;47;52;49;54;68;53;51;61;68;57;68;78;80;96;101;107
53;50;43;51;46;51;49;53;65;54;50;60;66;60;71;79;84;94;100
54;44;52;42;51;47;51;50;55;66;53;50;63;68;60;70;80;83;94
55;49;47;52;42;54;47;56;53;56;65;56;50;65;68;62;71;79;82
56;45;51;46;53;45;54;48;58;54;56;65;53;49;65;68;58;72;81
57;41;43;48;47;52;48;54;51;58;53;55;64;53;49;65;66;60;69
58;58;41;45;47;52;52;49;55;52;58;54;56;67;56;49;68;66;60
59;51;57;41;47;50;52;51;49;55;53;56;58;58;70;55;48;67;65
60;45;51;55;41;48;51;54;50;48;55;56;56;58;58;69;56;50;66
61;57;43;52;56;42;48;49;56;53;49;55;55;58;56;60;72;54;50
62;47;57;43;52;56;41;47;49;57;53;49;57;53;59;56;62;74;54
63;47;46;57;41;53;53;42;49;48;57;54;46;58;51;59;54;61;72
64;43;45;46;56;40;52;54;41;50;50;56;54;47;57;56;57;54;60
65;49;44;45;46;56;39;51;50;40;48;49;58;51;47;57;55;58;56
66;37;48;44;45;44;56;41;51;51;40;47;51;56;50;47;57;54;57
67;52;36;47;42;46;43;53;41;50;51;40;48;51;55;53;48;56;54
68;48;52;34;46;43;45;41;53;42;49;51;38;48;53;54;52;47;55
69;34;47;50;36;46;43;44;43;50;43;47;50;37;49;54;54;51;46
70;45;35;47;50;36;45;42;43;43;51;42;47;49;37;48;55;54;55
71;34;42;35;45;50;38;45;41;42;42;50;41;47;49;37;48;51;54
72;35;32;40;36;44;49;38;44;41;40;42;50;40;47;49;35;47;51
73;33;35;31;38;36;44;49;37;43;41;40;42;49;40;47;48;35;48
74;42;34;32;30;32;36;43;46;36;43;41;40;42;49;40;45;46;34
75;46;41;34;29;27;30;36;42;45;36;43;40;40;41;48;40;44;43
76;27;45;41;33;27;26;30;35;41;44;34;42;38;39;41;50;39;43
77;34;27;43;39;33;27;24;30;34;41;44;33;42;37;39;40;50;42
78;37;33;26;40;39;32;26;24;30;35;39;44;33;42;37;37;39;48
79;26;34;34;24;37;38;29;25;26;25;33;38;43;31;40;37;36;38
80;28;23;34;30;22;33;38;29;25;25;23;32;38;43;31;38;38;34
81;21;24;23;30;27;21;32;37;28;25;24;23;32;37;41;29;37;37
82;23;17;22;23;26;23;18;33;34;27;24;24;22;32;35;39;29;35
83;11;20;14;23;23;26;22;18;32;32;25;23;22;21;31;32;34;28
84;6;11;20;11;23;22;22;21;16;32;31;24;20;19;19;27;29;32
85;8;6;9;19;11;23;19;23;21;16;30;31;22;20;18;18;26;28
86;12;8;6;9;18;10;21;17;23;19;15;27;31;20;18;18;17;25
87;16;12;8;6;8;17;11;22;15;21;17;13;24;28;16;16;17;16
88;15;14;10;7;5;7;15;11;22;13;16;16;10;20;24;15;13;14
89;14;14;13;7;7;2;7;14;10;19;11;15;16;9;20;21;13;13
90;11;8;14;10;6;7;2;6;12;9;18;8;13;14;6;16;18;10
91;5;8;7;14;10;5;6;2;4;12;7;16;8;10;13;5;13;13
92;5;5;7;7;13;8;4;6;2;4;8;3;14;7;7;10;5;12
93;3;4;5;4;7;11;9;4;6;2;4;5;2;12;7;4;8;5
94;1;1;4;3;3;6;6;5;5;5;2;4;3;2;9;5;1;7
95;4;1;1;4;3;3;3;4;4;5;3;0;3;2;2;6;5;0
96;0;4;0;1;3;0;3;2;4;3;1;2;0;2;1;2;5;3
97;2;0;2;2;1;3;0;3;1;4;2;1;2;0;1;1;1;5
98;0;1;0;0;1;1;2;0;2;1;2;1;1;2;0;1;1;1
99;0;1;1;0;0;1;0;2;0;1;1;2;0;1;1;0;1;1
100 e oltre;0;0;1;1;1;0;1;1;3;2;1;0;2;1;1;1;0;1
Totale;4002;4049;4091;4182;4276;4351;4452;4545;4670;4781;4809;4887;5012;5046;5074;5098;5084;5122
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;25;22;25;24;26;23;29;20;31;37;25;31;30;18;23;20;16;16
1;27;27;24;24;24;25;25;28;22;30;34;23;29;31;24;23;19;17
2;26;28;25;26;27;24;29;29;28;23;28;34;25;27;30;25;26;17
3;19;27;27;24;28;28;26;27;31;29;22;29;32;22;27;31;25;26
4;18;19;27;28;25;27;29;25;28;31;26;23;29;34;25;28;32;24
5;29;17;18;26;28;24;26;27;26;28;30;30;24;28;34;24;30;30
6;20;30;17;21;25;27;24;26;28;25;28;32;35;24;30;38;26;30
7;15;20;31;18;22;28;26;25;26;27;26;29;30;36;25;29;35;25
8;22;15;21;28;16;23;28;26;24;25;29;26;33;30;34;24;27;34
9;26;22;15;22;29;16;27;28;26;24;26;31;28;33;29;35;23;30
10;26;27;22;18;21;30;16;26;28;26;24;26;34;28;34;31;35;23
11;24;26;26;23;23;21;30;16;26;27;26;25;27;32;29;33;30;34
12;22;24;27;26;24;22;19;29;17;26;28;26;26;27;32;29;35;31
13;32;22;25;26;25;24;23;19;29;17;26;27;29;26;29;35;31;34
14;11;32;22;27;26;28;24;23;20;30;18;27;28;29;26;29;33;30
15;9;11;32;25;26;28;28;24;23;20;29;18;30;28;28;28;28;33
16;15;9;12;33;26;26;27;28;24;24;21;28;18;30;26;28;28;30
17;17;16;9;13;33;28;24;27;28;25;25;21;30;18;30;26;29;28
18;14;17;17;10;15;34;28;24;28;29;24;26;22;30;19;29;26;30
19;22;15;17;18;12;13;35;28;24;27;30;26;27;20;31;19;29;27
20;17;22;14;16;18;12;14;33;28;24;27;30;28;26;20;31;19;27
21;14;17;23;14;16;17;11;13;33;28;25;27;30;28;25;19;32;19
22;18;15;14;25;14;16;17;14;15;34;30;26;28;31;28;26;20;32
23;27;16;16;14;25;14;17;18;18;15;35;30;25;28;28;29;24;21
24;20;29;16;16;16;26;16;20;18;16;16;33;28;27;31;26;31;22
25;19;22;29;17;18;17;29;15;21;19;17;17;34;28;26;31;28;29
26;30;21;25;33;19;18;19;29;15;22;20;19;19;38;30;27;30;30
27;39;30;19;29;33;17;19;21;28;18;24;20;26;18;36;32;22;30
28;22;41;29;20;26;32;22;23;23;27;16;25;22;27;21;36;34;24
29;25;23;36;28;20;25;34;24;31;23;24;17;23;22;29;20;37;32
30;36;26;25;40;31;19;27;37;25;31;22;27;18;27;20;29;21;39
31;31;38;33;25;41;34;19;30;36;27;27;23;31;19;30;26;29;19
32;33;32;35;37;29;47;32;22;31;34;32;27;23;33;19;27;25;30
33;42;33;29;40;36;34;47;33;25;32;34;33;29;26;32;21;29;23
34;38;38;33;29;42;34;33;49;34;25;31;32;33;29;24;34;19;25
35;37;39;40;33;31;46;36;31;49;34;27;32;35;36;30;20;35;23
36;41;40;45;42;34;33;47;36;34;51;35;27;36;34;35;29;23;34
37;44;43;42;45;43;40;35;52;38;32;49;34;28;36;33;34;30;24
38;47;44;43;43;49;40;39;38;49;40;32;49;37;27;36;35;32;31
39;36;49;44;45;44;51;43;42;38;50;37;33;49;40;26;39;38;33
40;33;37;49;43;46;49;53;42;41;39;52;37;31;52;36;30;36;39
41;17;31;38;49;45;48;51;52;42;42;41;54;38;34;54;35;29;39
42;33;18;32;39;47;45;50;52;51;43;42;42;55;37;33;52;34;30
43;25;32;17;34;39;48;47;50;54;54;45;45;43;54;38;33;50;34
44;27;25;33;19;32;39;46;46;55;55;53;44;48;42;54;34;29;49
45;21;29;26;34;19;32;42;48;42;54;52;53;45;51;41;55;36;30
46;38;21;30;27;34;20;32;41;46;44;55;56;49;45;49;40;54;38
47;31;38;20;30;26;37;22;33;41;47;44;57;59;47;47;48;40;51
48;25;30;36;20;28;25;38;20;33;40;47;44;54;56;49;46;49;42
49;27;25;31;36;21;27;24;39;21;33;46;48;43;56;54;49;43;48
50;27;28;25;31;36;24;26;23;40;21;34;45;49;43;52;54;52;43
51;24;27;27;25;31;35;24;29;24;41;21;35;45;47;42;52;53;53
52;21;23;26;28;25;31;40;24;30;26;40;20;36;43;47;42;53;52
53;28;21;25;25;28;25;31;38;24;30;26;38;20;38;42;48;42;51
54;21;29;20;24;25;28;26;32;38;22;29;28;40;19;37;43;48;42
55;28;24;30;21;26;25;30;26;30;39;24;29;28;40;19;36;43;47
56;24;29;23;30;23;26;25;32;28;30;39;22;28;29;40;20;37;43
