"Popolazione per età, vista per singola area - Comune: 023003 - Angiari"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Angiari"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;13;13;19;17;17;17;16;29;29;25;31;23;12;24;10;22;21;10
1;15;13;14;18;18;18;19;14;31;32;26;30;21;12;21;15;22;24
2;11;17;13;14;15;16;18;20;17;33;33;25;29;24;13;22;16;22
3;13;13;16;13;14;14;20;19;20;16;33;32;23;32;22;12;21;18
4;10;12;13;18;12;13;13;21;19;22;17;32;35;24;29;24;14;22
5;16;12;11;13;18;12;16;14;22;22;22;20;30;35;24;32;25;13
6;14;16;11;11;14;16;12;16;16;21;23;24;20;31;35;24;31;24
7;14;14;17;13;13;15;17;13;18;16;20;24;25;20;31;35;22;30
8;11;15;12;15;13;17;17;17;13;18;17;21;23;27;19;31;35;21
9;17;11;17;12;16;14;17;18;18;14;18;18;22;23;26;19;32;36
10;24;17;11;18;12;16;16;17;18;15;14;18;18;23;25;25;20;33
11;20;24;17;11;19;11;17;16;17;18;15;14;19;20;24;25;23;19
12;10;21;23;17;12;20;11;17;16;18;18;15;13;19;19;23;27;20
13;11;10;23;24;18;12;21;12;19;16;17;16;18;13;19;19;23;23
14;21;11;9;21;24;19;11;20;13;19;16;17;16;19;13;20;18;22
15;16;18;12;9;21;24;19;11;19;12;20;17;16;17;19;14;20;18
16;19;16;18;12;8;19;25;19;11;19;12;19;17;17;16;21;13;19
17;22;18;16;18;11;7;19;23;20;11;19;14;18;17;17;16;22;13
18;13;24;17;16;20;11;9;19;22;19;10;22;14;18;17;18;19;21
19;11;12;24;17;16;20;13;9;19;24;18;11;22;14;17;17;16;20
20;23;12;10;23;17;15;23;10;14;19;23;18;11;20;14;18;19;16
21;27;24;13;11;23;18;18;23;12;14;20;25;18;10;18;14;18;18
22;23;27;23;13;10;22;20;19;27;13;14;18;26;16;12;19;13;18
23;25;24;25;23;15;13;23;18;18;27;16;14;19;27;17;13;19;14
24;20;24;25;24;24;16;13;23;19;21;28;16;13;21;26;19;13;18
25;27;21;24;24;24;24;15;13;25;22;20;27;14;15;23;26;18;13
26;33;31;21;24;26;30;26;17;14;27;22;18;28;15;18;22;29;21
27;25;35;30;23;28;28;29;23;18;19;27;22;19;32;18;18;26;28
28;25;23;35;27;21;30;33;34;26;22;18;25;22;23;30;21;19;23
29;26;26;25;33;28;23;35;37;39;29;25;18;27;25;21;31;24;18
30;19;23;31;27;27;31;27;38;39;39;32;27;18;27;23;28;29;25
31;32;23;27;32;25;25;33;31;37;43;39;34;28;18;27;26;29;30
32;30;36;22;26;35;25;30;33;34;40;41;41;34;27;19;29;27;30
33;28;27;40;20;27;36;33;35;31;32;44;40;39;36;24;20;30;28
34;30;29;30;41;21;30;38;36;35;34;35;46;41;35;31;26;20;32
35;24;31;30;31;35;17;33;41;35;35;37;40;50;41;33;28;26;23
36;35;25;31;30;32;33;18;34;40;33;35;34;39;50;42;33;33;28
37;39;31;24;33;31;33;36;24;32;38;34;35;34;40;49;47;38;34
38;32;37;34;24;35;30;31;38;27;34;37;37;35;35;37;52;44;38
39;30;32;38;34;24;35;33;30;37;30;34;38;37;34;36;38;44;45
40;26;30;29;40;33;21;37;31;32;37;31;33;36;37;38;38;40;40
41;20;23;29;26;42;32;24;37;36;35;37;30;33;36;39;35;36;39
42;26;22;26;29;28;39;32;26;36;36;36;39;32;37;37;40;38;35
43;29;27;22;24;31;28;40;32;29;36;36;39;37;31;37;37;37;34
44;34;29;28;23;23;27;28;40;35;30;37;39;40;39;31;36;37;37
45;28;36;30;28;22;24;29;30;43;37;32;38;39;38;39;36;35;36
46;26;29;35;31;29;22;25;31;32;45;35;33;38;39;35;40;35;36
47;24;26;27;37;33;28;25;25;32;34;44;34;33;39;38;35;41;33
48;22;25;26;29;37;35;25;27;25;33;34;45;34;34;38;40;36;43
49;28;21;25;25;29;38;34;24;30;29;34;34;46;34;33;39;42;37
50;22;28;20;24;27;29;37;34;25;30;29;33;32;47;32;34;41;41
51;37;22;30;21;25;26;30;38;33;28;30;28;32;31;49;33;34;41
52;25;38;22;30;20;24;28;30;39;31;28;29;27;32;31;49;33;35
53;26;26;38;22;28;20;24;27;31;40;30;28;29;26;33;31;47;31
54;25;25;26;40;24;27;22;24;27;32;38;30;29;29;27;33;32;47
55;27;24;23;26;39;24;27;22;25;28;32;39;29;31;30;26;33;32
56;16;27;24;23;26;38;26;27;22;24;28;30;39;31;31;32;27;32
57;29;16;27;24;24;26;38;26;28;23;24;29;31;38;32;31;33;27
58;18;29;16;28;24;25;27;38;26;26;22;27;30;32;37;31;34;34
59;23;18;28;18;28;24;25;26;38;22;25;22;26;31;32;36;28;35
60;18;23;18;28;17;28;24;26;26;37;22;26;23;26;31;33;37;27
61;25;18;23;18;28;17;29;24;26;25;37;22;27;24;27;30;33;35
62;25;24;18;23;19;27;17;30;26;26;25;36;22;26;23;27;30;33
63;21;25;23;18;23;17;26;17;29;24;28;25;36;20;26;24;29;29
64;18;22;24;23;20;23;17;24;17;29;24;28;25;36;21;28;24;27
65;20;20;22;23;23;20;23;18;25;17;29;24;27;25;36;21;27;23
66;20;19;19;22;23;23;21;24;18;25;17;27;24;26;25;37;21;28
67;28;20;19;20;22;23;23;20;25;18;24;17;26;23;26;24;37;21
68;20;27;20;19;19;21;25;25;20;25;17;25;17;26;23;25;24;37
69;17;20;27;20;18;19;21;25;26;20;24;17;25;17;25;23;25;24
70;18;17;20;27;19;18;16;20;24;26;20;24;17;25;17;25;24;24
71;19;17;18;19;27;19;16;15;20;24;26;18;23;16;25;17;25;24
72;13;18;17;17;19;24;19;16;15;19;24;25;18;22;16;24;16;25
73;24;12;18;16;16;19;24;17;16;15;19;24;25;16;21;16;24;15
74;23;22;10;18;16;16;19;24;15;16;15;19;24;25;16;21;16;24
75;13;23;22;11;18;16;16;19;25;14;16;15;19;23;24;15;20;15
76;17;13;23;21;11;17;16;16;19;21;14;16;15;19;24;24;16;20
77;18;16;15;23;19;10;15;15;16;17;21;13;16;13;17;22;24;16
78;20;19;16;14;24;19;10;15;15;16;15;21;13;16;11;17;23;22
79;11;19;18;12;15;23;19;9;13;14;16;15;20;13;16;11;17;21
80;13;11;19;19;12;15;22;19;8;12;14;16;16;18;13;15;11;17
81;10;11;11;18;19;10;14;21;18;7;13;13;15;16;18;13;13;11
82;6;9;12;11;17;18;10;15;18;17;7;12;12;15;15;16;10;10
