"Popolazione per età, vista per singola area - Comune: 023008 - Bevilacqua"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Bevilacqua"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;25;17;15;26;17;25;20;23;22;19;22;16;20;17;15;11;11;15
1;17;25;16;16;24;16;25;21;24;21;18;20;17;20;14;16;13;11
2;15;20;24;17;15;23;18;24;21;24;19;17;20;15;18;15;16;13
3;16;15;20;23;16;15;21;18;24;20;24;17;18;19;14;15;16;15
4;17;18;16;20;23;16;15;21;18;23;20;23;17;17;20;14;17;14
5;13;17;16;15;18;21;17;16;22;20;22;20;22;16;17;19;15;18
6;16;13;16;21;15;17;21;16;18;22;18;22;21;22;18;16;18;16
7;9;16;13;17;22;15;17;19;16;18;22;15;24;22;22;19;15;17
8;9;8;19;13;18;21;14;16;19;16;18;22;14;23;21;21;18;17
9;13;9;10;19;13;17;18;14;17;19;16;18;21;16;26;21;20;14
10;11;11;10;9;21;13;17;17;13;17;19;18;18;21;17;25;20;20
11;18;10;11;11;9;21;11;17;15;13;17;19;19;18;20;17;25;19
12;19;21;9;12;10;10;21;11;19;15;12;17;19;19;18;20;19;25
13;11;18;21;10;13;10;10;20;13;19;14;12;16;19;17;17;20;19
14;13;14;18;21;9;14;9;10;20;10;20;14;12;16;18;16;16;19
15;9;13;14;19;21;8;15;10;9;20;9;20;14;12;16;18;17;15
16;20;11;14;12;18;21;8;15;9;10;20;10;21;14;12;16;19;17
17;14;18;10;14;13;17;22;9;14;8;10;20;10;21;14;13;15;18
18;13;16;18;8;15;13;19;22;10;15;8;11;21;10;22;14;15;19
19;12;12;16;18;8;16;13;20;22;10;15;10;12;21;9;16;15;16
20;14;14;14;13;22;8;14;15;18;22;10;15;10;12;21;7;16;16
21;30;13;14;13;13;22;10;15;14;21;22;11;15;10;12;21;6;17
22;23;31;14;13;16;13;25;10;14;16;19;21;11;16;12;12;22;9
23;25;23;31;15;10;15;13;27;12;13;17;17;21;14;18;11;12;21
24;19;26;22;37;15;10;16;13;24;12;13;17;17;20;16;18;11;13
25;27;23;32;23;35;14;11;17;12;26;13;16;17;16;18;15;17;12
26;24;25;25;34;26;31;18;10;19;14;24;12;19;16;15;19;16;19
27;20;24;31;21;36;26;32;17;8;17;13;27;10;16;16;15;19;18
28;18;20;26;39;21;33;27;31;17;9;19;14;23;12;12;13;16;20
29;41;21;20;31;40;20;32;26;28;21;11;22;13;26;12;12;14;13
30;32;44;28;24;36;39;27;32;25;32;21;14;20;11;26;11;10;12
31;29;30;49;28;32;40;39;30;32;29;27;18;16;18;10;24;12;8
32;27;33;31;49;23;33;39;37;30;34;25;28;21;18;17;10;23;11
33;39;28;31;32;47;24;35;37;33;30;33;22;28;17;15;17;9;23
34;35;40;20;32;30;44;27;31;35;30;29;34;22;28;14;18;17;11
35;25;40;41;23;32;30;40;27;31;29;29;26;37;19;30;14;20;17
36;25;23;38;42;23;33;32;39;29;27;28;29;29;36;19;30;14;19
37;36;28;25;39;41;21;34;31;39;28;27;25;33;25;34;22;27;14
38;32;37;27;23;32;42;27;34;35;44;26;26;25;32;25;31;21;24
39;17;33;39;27;25;32;43;27;33;35;42;25;27;28;30;25;30;21
40;24;17;34;39;26;25;34;42;27;36;34;42;22;27;30;31;26;28
41;25;25;16;37;40;25;25;32;41;28;34;35;42;22;28;29;31;26
42;33;27;27;21;36;40;28;25;32;41;26;33;32;39;23;28;27;28
43;23;33;28;28;21;35;40;29;27;34;37;28;31;31;42;22;28;27
44;23;23;32;27;26;20;33;40;30;28;34;36;27;31;33;46;22;28
45;19;23;23;35;29;26;21;33;40;27;27;33;37;29;31;32;47;24
46;24;18;22;22;35;30;27;19;33;39;27;27;32;37;29;31;30;47
47;23;22;18;23;22;34;28;26;18;34;39;27;27;32;37;28;30;30
48;13;23;21;17;22;22;32;27;24;16;34;39;25;27;33;35;28;30
49;17;13;24;21;17;22;21;32;26;23;17;34;39;24;26;31;34;30
50;31;17;14;24;23;16;22;20;30;28;24;17;32;38;24;25;29;34
51;21;31;19;14;24;22;17;24;20;32;26;27;17;32;38;22;25;29
52;18;20;31;18;13;25;19;17;26;22;32;25;27;18;33;35;23;25
53;25;19;23;32;18;13;24;20;17;27;21;31;24;26;17;31;35;23
54;18;25;19;24;31;17;13;25;20;17;24;20;31;24;26;17;31;36
55;22;19;23;20;22;30;17;13;24;21;18;25;20;31;24;26;16;32
56;15;22;18;23;20;21;31;17;13;23;21;18;25;20;32;22;25;15
57;26;15;23;17;25;20;21;31;17;12;23;21;18;24;20;31;22;25
58;19;24;16;22;17;23;22;21;33;15;11;23;21;18;24;20;34;21
59;26;19;23;16;21;18;23;22;21;34;15;12;23;20;17;24;21;34
60;17;26;19;25;16;21;18;23;22;21;32;14;12;22;19;17;23;21
61;26;18;27;18;24;16;21;18;24;22;22;31;14;11;21;19;17;20
62;22;26;18;26;18;24;15;21;18;25;22;20;30;15;11;21;21;16
63;13;22;26;17;27;18;24;15;22;18;25;22;19;29;14;12;21;20
64;22;14;20;25;17;27;17;25;15;23;18;26;22;19;29;13;12;21
65;12;25;11;20;25;17;26;17;25;15;21;18;25;22;19;30;12;12
66;10;13;25;11;21;23;18;25;17;25;15;21;18;24;22;18;29;12
67;19;11;13;26;11;22;23;17;24;17;25;15;20;19;23;21;17;29
68;16;17;11;13;26;11;20;23;17;24;17;25;15;18;19;24;21;18
69;20;16;17;11;13;25;10;20;23;16;24;17;25;14;16;18;24;20
70;21;20;16;18;10;11;25;10;19;21;15;24;16;25;14;16;17;24
71;22;21;20;16;18;9;11;23;10;18;21;15;24;16;25;15;15;17
72;14;22;20;19;15;17;7;10;21;10;18;21;15;23;16;23;15;15
73;19;13;22;19;19;14;16;7;10;21;10;18;22;15;22;16;22;15
74;19;19;13;22;18;19;13;16;7;10;21;10;17;22;15;22;16;23
75;21;18;19;13;20;18;19;13;16;7;9;21;10;16;22;13;21;16
76;16;20;18;18;10;20;18;18;15;17;7;10;20;10;15;21;13;19
77;16;16;19;17;18;10;20;16;16;15;17;7;10;19;8;14;20;13
78;6;15;16;19;17;17;10;19;15;16;15;16;7;10;19;8;12;19
79;9;6;15;14;17;17;16;9;17;17;14;15;13;6;9;18;8;12
80;14;9;5;15;11;15;14;16;9;17;15;14;15;12;6;6;18;8
81;6;14;9;4;16;11;14;13;16;11;17;15;13;13;10;6;6;18
82;6;5;14;7;4;11;8;14;13;14;10;15;15;11;11;10;7;7
83;7;6;6;14;6;4;10;6;14;11;14;9;15;15;9;11;9;7
84;2;6;5;3;12;6;3;11;6;13;11;13;7;14;14;6;10;8
85;5;1;5;4;2;11;4;3;10;6;12;10;12;7;12;14;5;8
86;9;5;1;5;3;1;10;4;3;10;5;11;9;11;6;10;13;5
87;7;7;5;2;4;3;1;9;4;3;10;4;11;8;9;6;8;11
88;10;6;7;5;2;4;3;0;9;4;3;9;3;11;7;9;5;5
89;7;9;5;4;2;2;4;2;0;7;4;3;8;3;9;5;8;5
90;0;5;7;5;5;2;2;4;1;1;6;4;3;6;2;7;3;5
91;3;0;4;6;5;5;1;2;1;1;0;4;2;3;5;0;5;3
92;3;3;0;4;3;5;5;0;1;2;1;0;3;3;2;5;0;5
93;0;3;3;0;3;2;5;4;0;1;1;0;0;2;2;1;4;0
94;0;0;3;3;0;1;2;5;2;0;1;1;0;0;2;2;1;4
95;0;0;0;3;1;0;1;1;5;0;0;1;1;0;0;0;2;1
96;1;0;0;0;3;1;0;0;0;3;0;0;1;1;0;0;0;1
97;1;1;0;0;0;2;1;0;0;0;1;0;0;1;1;0;0;0
98;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
99;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
100 e oltre;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
Totale;1694;1732;1764;1810;1803;1785;1806;1800;1800;1827;1794;1793;1795;1775;1752;1707;1696;1690
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;12;9;5;18;10;15;13;15;12;10;11;7;11;11;3;7;5;4
1;11;13;10;5;18;8;14;14;15;11;10;9;7;10;8;4;8;6
2;9;11;14;11;5;18;8;14;14;15;10;9;10;7;9;8;4;8
3;8;9;11;14;10;4;17;8;14;13;15;9;8;11;7;8;8;5
4;8;9;8;11;14;10;4;17;8;14;13;14;8;7;11;7;9;7
5;3;8;8;7;11;13;9;4;18;10;13;14;13;7;7;10;7;9
6;9;3;8;10;7;11;14;9;6;18;8;13;15;12;7;7;10;7
7;4;9;3;8;11;7;11;12;9;6;18;6;14;16;12;8;7;9
