"Popolazione per età, vista per singola area - Comune: 023075 - San Pietro di Morubio"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: San Pietro di Morubio"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;25;22;18;23;29;21;26;38;29;35;32;37;24;20;23;22;30;23
1;21;23;22;19;23;29;24;28;38;33;36;28;38;23;19;22;21;35
2;34;24;23;22;19;25;29;24;29;40;36;39;26;36;19;21;26;18
3;21;33;22;24;19;23;25;29;25;32;40;36;38;26;40;22;20;27
4;23;21;35;22;25;23;22;26;29;26;35;40;35;37;26;41;23;23
5;23;23;20;33;19;30;24;25;27;32;26;36;37;32;33;27;41;25
6;29;22;23;21;32;21;29;23;25;26;32;26;35;37;30;35;26;40
7;18;29;22;21;22;33;24;29;20;27;28;31;25;39;36;28;35;26
8;17;16;29;24;22;22;35;24;28;20;26;28;30;24;40;33;29;34
9;38;18;16;28;25;23;22;36;22;27;21;27;31;30;24;40;31;31
10;24;37;19;17;31;24;26;21;36;23;28;22;25;29;28;23;40;34
11;29;25;38;20;18;30;24;27;20;35;23;26;22;29;31;27;22;32
12;29;29;25;39;21;21;32;27;27;21;35;24;27;22;29;32;28;21
13;21;27;28;25;39;20;23;35;27;28;21;34;25;26;23;29;30;30
14;34;24;27;29;25;38;20;24;33;27;28;21;34;25;27;23;29;31
15;34;32;24;26;28;25;38;21;26;34;26;28;20;33;23;27;20;25
16;29;34;32;24;26;28;25;38;21;24;35;25;24;20;35;23;24;20
17;31;30;34;33;24;28;29;24;38;20;25;34;29;25;21;34;22;22
18;32;29;30;35;33;24;29;32;25;38;20;25;32;28;25;21;34;23
19;30;36;32;30;34;34;24;29;31;26;37;21;27;31;29;26;21;35
20;35;29;37;32;29;34;35;22;30;30;27;35;21;26;29;26;25;21
21;37;34;29;33;32;30;35;37;20;31;32;27;36;22;27;29;23;23
22;42;39;34;27;36;35;33;33;39;22;29;34;30;38;21;27;30;26
23;47;42;38;32;26;36;37;33;35;36;24;27;35;30;40;20;25;28
24;45;47;43;41;30;25;35;38;30;40;37;25;26;34;28;42;20;28
25;31;46;44;43;43;32;24;36;37;35;43;35;25;29;30;27;40;19
26;38;35;49;44;42;43;37;21;34;38;39;40;34;24;29;30;26;43
27;44;44;37;49;43;47;45;37;19;34;38;41;37;37;22;31;26;26
28;46;46;40;41;48;44;46;48;39;22;37;40;38;34;34;27;31;24
29;49;50;42;38;40;48;47;47;45;45;29;40;40;35;35;37;21;37
30;58;49;47;43;39;49;52;48;45;44;46;35;38;44;39;34;37;19
31;46;57;46;45;44;43;47;49;45;51;45;46;37;41;45;37;32;39
32;40;45;59;46;43;43;43;47;47;41;54;41;48;40;43;41;39;31
33;55;40;46;59;46;45;44;43;46;50;37;54;42;48;43;40;43;36
34;39;55;37;45;54;44;44;45;40;43;51;40;56;42;46;44;37;45
35;38;39;51;36;43;57;45;42;44;47;43;53;39;54;41;48;47;37
36;39;39;41;48;36;41;54;47;42;46;44;41;53;41;48;37;46;45
37;55;38;39;41;47;41;41;57;49;41;43;46;39;52;39;48;41;46
38;49;55;39;39;43;48;39;42;54;47;42;41;49;40;54;37;48;41
39;41;47;53;37;41;44;51;42;41;52;49;43;45;51;41;55;35;49
40;42;41;49;54;39;42;44;50;41;42;55;48;43;42;48;44;50;38
41;42;42;42;49;56;42;43;42;50;41;44;56;51;49;40;47;47;48
42;41;41;42;42;50;54;43;42;43;50;45;41;54;48;50;40;46;46
43;37;41;43;41;42;49;56;44;39;44;50;43;43;53;48;49;43;48
44;43;36;39;42;41;41;51;61;44;39;45;50;42;45;51;45;44;45
45;31;41;36;39;42;39;42;52;60;46;39;45;54;39;44;53;44;40
46;37;34;41;36;38;41;39;45;50;58;48;40;46;54;43;44;54;41
47;47;38;34;41;39;38;41;42;45;51;58;46;40;43;56;45;44;53
48;44;48;37;34;41;41;37;41;42;43;50;58;50;39;43;54;44;41
49;35;44;47;37;36;44;40;38;41;43;42;51;60;49;38;42;54;42
50;40;36;43;45;36;36;44;44;37;45;43;42;52;59;50;36;43;51
51;36;40;33;43;44;36;36;45;45;36;45;41;41;54;63;48;34;42
52;35;35;40;33;42;45;37;35;44;45;33;43;40;40;52;61;47;37
53;40;34;36;41;30;42;44;40;34;41;46;32;41;41;41;50;60;44
54;31;41;34;35;41;29;41;41;39;35;41;45;31;39;39;43;48;56
55;32;31;41;34;35;41;30;42;40;39;35;41;45;32;39;39;46;47
56;20;34;30;40;33;35;42;31;44;41;41;35;41;47;31;39;40;45
57;33;22;36;30;40;33;35;42;31;44;42;41;35;41;45;33;39;43
58;29;34;22;35;29;39;34;36;40;31;45;42;39;36;39;44;33;38
59;27;27;36;21;35;29;38;34;36;40;31;44;41;39;34;39;43;33
60;27;27;27;36;21;34;31;38;35;38;39;33;45;42;38;33;38;42
61;35;27;26;26;34;23;34;31;38;35;37;38;35;44;42;37;33;39
62;36;33;27;26;28;34;23;33;31;38;35;38;38;37;44;43;36;33
63;30;35;33;27;26;28;35;21;35;31;38;33;40;38;35;44;42;36
64;35;27;35;33;25;26;28;34;22;35;31;39;32;41;37;34;45;41
65;34;33;28;33;32;25;24;28;34;22;34;30;38;32;41;36;36;45
66;27;32;32;28;33;35;24;24;27;34;22;33;29;37;32;39;37;38
67;32;27;32;32;27;33;34;23;25;27;33;23;32;29;37;32;39;36
68;22;31;27;31;31;25;33;31;22;25;26;33;24;32;29;38;31;36
69;28;22;29;26;30;30;26;33;31;21;25;26;33;24;32;28;38;30
70;26;26;22;27;26;30;30;26;32;33;21;25;25;34;24;32;27;37
71;30;25;26;24;27;26;30;30;26;32;32;20;25;25;34;23;33;27
72;26;30;24;26;24;28;27;29;30;27;30;33;20;26;25;34;21;35
73;46;25;30;22;26;21;28;26;29;30;26;29;34;20;25;26;34;20
74;26;45;25;30;21;25;21;28;26;29;29;26;29;32;18;25;26;31
75;26;26;43;25;31;21;24;21;28;25;28;28;26;26;30;17;25;25
76;27;26;26;42;25;31;20;23;21;28;25;26;27;26;25;29;17;25
77;27;27;26;26;41;22;30;19;22;21;24;24;26;27;25;26;28;18
78;20;25;26;26;25;42;20;28;20;22;22;23;23;27;26;24;25;27
79;19;18;24;25;28;26;40;20;27;19;21;22;19;23;27;27;20;24
80;24;19;19;23;26;27;25;37;19;25;19;21;21;20;21;27;25;19
81;10;24;19;16;22;25;25;24;35;19;24;19;21;21;18;20;27;24
82;9;8;22;17;16;23;25;25;20;35;19;23;19;21;18;16;19;27
83;5;7;6;20;14;17;22;20;25;18;31;16;22;18;19;17;15;17
84;4;4;7;9;17;16;15;22;19;21;15;28;15;19;17;18;17;14
85;8;2;4;6;9;15;15;17;22;19;18;13;27;13;18;16;19;17
86;9;7;2;4;6;10;14;14;13;19;18;17;12;27;9;16;13;16
87;12;8;7;1;4;7;10;14;14;14;16;18;14;11;23;9;18;12
88;10;12;6;7;0;5;6;9;14;11;12;14;15;12;10;22;8;17
89;7;9;9;5;4;0;5;5;6;12;7;11;13;13;10;11;17;7
90;10;6;6;9;4;4;0;6;4;6;11;8;6;9;11;9;12;16
91;9;7;5;2;6;4;2;0;6;3;4;8;8;6;6;5;6;11
92;4;6;4;4;0;5;4;2;0;3;2;3;5;7;2;6;4;4
93;2;4;5;4;4;0;4;3;2;0;3;1;3;4;4;2;4;5
94;0;2;0;4;3;5;0;4;2;3;0;3;0;2;3;2;1;4
95;2;0;1;0;4;3;2;0;3;2;3;0;3;0;1;1;1;1
96;1;0;0;1;1;3;2;2;0;2;2;2;0;3;0;1;2;1
97;1;1;0;0;1;1;3;1;1;0;1;2;0;0;1;0;1;1
98;1;1;1;0;0;1;1;2;0;1;0;1;2;0;1;1;0;0
99;0;1;0;1;0;0;1;1;2;0;1;0;1;2;0;0;1;0
100 e oltre;0;0;1;1;1;1;0;0;1;3;1;0;0;0;2;1;1;1
Totale;2845;2845;2823;2811;2811;2884;2924;2975;2951;3011;3042;3046;3048;3053;3009;2995;2969;2955
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;14;13;11;9;20;9;10;17;15;15;17;18;10;14;15;9;14;14
1;9;12;14;12;10;22;9;12;17;19;16;14;17;9;14;15;9;16
2;25;11;12;15;13;11;20;11;15;20;20;17;12;16;9;14;16;7
3;17;24;11;13;13;17;12;20;11;16;20;21;15;13;18;10;13;16
4;9;17;24;11;14;15;16;13;20;12;18;20;19;14;15;19;12;15
5;10;9;16;22;8;18;15;17;13;23;12;20;20;18;13;15;19;13
6;9;10;10;17;21;8;17;15;17;12;23;13;20;18;17;13;15;21
7;12;9;10;10;17;23;10;17;14;17;13;22;14;21;17;16;13;15
8;8;12;9;10;11;16;24;10;17;15;16;12;22;13;21;16;16;12
9;23;8;12;8;10;11;16;25;10;16;15;17;13;21;13;21;16;17
10;9;22;8;11;10;10;13;14;25;10;16;15;16;12;19;13;23;19
11;12;9;23;9;12;9;11;13;14;25;10;14;15;19;15;19;12;18
12;15;12;9;23;10;13;10;12;13;14;25;10;15;15;19;16;18;12
13;9;14;11;9;23;10;13;10;12;13;14;25;10;14;15;19;14;20
14;18;11;14;11;9;22;10;13;9;12;13;14;26;10;15;16;18;15
15;15;18;11;13;11;9;23;11;13;11;11;14;14;25;10;15;15;16
16;13;15;18;11;13;11;9;23;11;13;12;11;13;14;25;10;13;15
17;17;14;15;19;11;14;12;9;23;11;14;11;12;14;14;23;9;12
18;18;16;14;16;18;11;15;13;9;23;11;14;10;11;14;14;23;8
19;20;18;19;14;15;19;11;16;13;9;23;11;15;9;12;14;15;24
20;15;20;18;19;14;15;20;11;17;11;10;23;11;15;8;11;13;17
