"Popolazione per età, vista per singola area - Comune: 023087 - Tregnago"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Tregnago"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;37;43;57;50;47;39;46;48;48;42;42;52;45;45;57;47;36;53
1;54;36;44;55;50;47;42;49;51;49;44;41;48;49;49;57;50;39
2;53;56;40;47;52;53;48;42;49;47;49;45;41;50;48;50;60;50
3;49;56;56;41;46;51;57;50;39;48;48;47;47;46;51;46;49;58
4;47;49;58;55;41;45;51;59;49;38;47;45;46;47;46;50;48;49
5;53;44;49;56;53;41;46;53;56;54;38;45;41;47;46;46;46;48
6;50;52;44;51;52;54;42;47;54;56;54;38;46;43;48;46;44;48
7;40;52;51;44;48;53;54;43;45;55;55;54;37;45;43;50;45;45
8;51;39;51;49;46;48;57;55;43;44;56;56;51;37;46;44;51;41
9;55;51;39;51;49;42;48;57;52;42;44;57;56;50;38;48;47;48
10;59;53;51;37;52;48;45;50;58;50;41;42;57;56;47;40;48;44
11;57;59;53;50;39;49;47;45;49;56;50;41;41;58;57;48;39;46
12;53;56;55;53;51;38;51;47;46;49;57;48;40;41;57;56;47;36
13;59;53;60;53;54;50;41;49;47;48;49;55;48;40;39;57;53;51
14;49;61;53;61;53;53;52;41;48;47;48;47;53;49;42;40;59;51
15;52;49;60;54;61;52;54;53;40;48;47;49;47;53;50;43;40;56
16;54;51;49;59;53;62;54;54;54;40;46;47;50;52;50;50;43;38
17;41;54;54;49;62;55;63;54;53;53;39;46;45;50;50;51;48;43
18;58;44;53;55;46;61;55;61;57;53;54;38;45;44;47;51;51;49
19;65;60;48;55;56;46;64;58;62;58;54;55;39;47;44;46;52;51
20;69;65;59;47;56;55;47;63;57;61;58;56;56;40;47;44;46;54
21;76;70;61;56;48;58;54;47;60;59;62;57;56;56;40;50;45;45
22;59;74;74;66;57;48;60;55;49;59;61;62;60;55;57;41;51;48
23;66;60;76;76;67;60;53;62;55;53;58;63;60;62;53;54;42;49
24;70;65;61;75;79;70;59;54;58;53;55;58;59;59;60;58;56;38
25;79;69;69;57;73;81;70;66;58;59;55;55;57;60;58;60;57;53
26;63;77;67;74;62;70;76;72;67;52;56;58;50;56;54;60;60;57
27;70;62;76;63;69;64;68;75;68;69;54;55;60;52;58;57;57;57
28;78;68;59;73;63;74;62;73;69;68;69;53;59;65;55;57;57;54
29;70;77;70;53;72;57;73;62;72;73;62;70;52;64;63;56;55;57
30;69;72;82;68;57;70;62;73;64;71;72;63;66;50;69;60;51;51
31;58;65;73;78;65;55;65;65;67;59;68;72;62;64;54;68;61;46
32;69;60;72;67;75;64;55;69;58;62;60;73;71;65;61;57;69;58
33;68;71;67;71;71;74;66;62;65;64;62;60;73;70;66;63;55;68
34;70;68;72;63;74;68;70;64;59;70;65;62;53;73;69;65;68;53
35;69;74;63;74;60;71;64;68;66;60;68;67;62;54;71;70;67;65
36;76;63;68;65;73;63;77;69;66;67;60;64;65;62;55;71;72;68
37;76;73;67;70;63;74;67;75;68;65;70;63;62;68;66;59;73;67
38;85;74;73;65;73;66;74;70;77;68;64;70;67;70;65;68;61;72
39;65;85;68;72;62;71;70;73;69;75;71;67;68;64;74;65;61;59
40;70;65;88;72;73;61;71;69;70;69;74;70;67;70;65;76;64;60
41;73;68;65;90;73;72;65;72;72;70;68;69;67;67;69;65;75;59
42;67;73;67;64;92;72;71;65;71;70;69;68;72;66;70;68;67;75
43;62;66;75;67;64;91;73;72;67;70;70;66;70;78;60;67;66;67
44;73;60;67;74;70;61;93;71;70;68;68;72;62;67;81;63;70;67
45;78;72;63;67;73;69;63;89;74;71;66;69;73;64;66;76;64;70
46;61;79;72;62;68;73;70;64;88;74;70;67;65;74;66;67;77;61
47;72;60;79;74;60;69;74;70;64;83;75;68;67;67;72;66;64;76
48;64;72;59;80;74;62;69;74;70;66;85;75;68;66;66;75;65;64
49;58;61;71;62;81;70;61;67;74;70;66;82;76;65;65;70;74;60
50;70;58;60;74;60;81;70;60;65;73;70;65;83;75;71;65;72;71
51;67;69;56;62;73;60;83;72;61;69;76;69;65;83;74;72;63;73
52;62;64;71;57;60;75;63;80;75;61;71;77;68;61;85;74;75;67
53;66;61;64;72;57;61;77;63;77;75;67;70;75;66;59;83;73;77
54;63;65;59;67;72;54;65;74;65;79;72;63;70;73;67;59;81;74
55;55;61;62;60;68;72;53;63;72;64;80;73;61;68;72;66;59;79
56;41;55;63;62;60;68;73;52;63;70;64;81;73;63;67;74;66;60
