"Popolazione per età, vista per singola area - Comune: 024047 - Grumolo delle Abbadesse"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Grumolo delle Abbadesse"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;60;44;25;35;47;49;52;39;38;38;28;31;41;35;36;33;43;34
1;37;61;48;24;37;53;49;49;38;38;39;28;30;41;36;36;32;42
2;47;38;58;47;28;35;55;47;49;39;40;35;33;32;42;38;36;29
3;32;47;39;56;42;31;34;49;45;46;37;40;32;33;31;39;40;38
4;32;30;50;41;53;38;30;30;47;40;46;35;39;31;32;32;33;42
5;24;34;28;49;40;52;40;30;28;45;38;45;37;37;29;29;30;31
6;30;25;33;32;49;40;51;40;27;27;48;37;47;43;39;27;30;29
7;38;31;26;35;33;53;38;49;41;28;28;50;41;47;42;39;31;32
8;30;36;33;30;35;33;54;44;49;42;29;32;53;40;48;39;39;31
9;29;32;38;38;30;36;34;56;43;48;43;27;34;50;42;46;37;39
10;44;32;32;36;38;31;38;35;59;40;48;46;25;33;49;37;44;36
11;23;42;31;33;38;37;34;41;38;59;42;48;43;28;34;50;37;45
12;40;21;41;35;32;39;32;35;39;36;57;44;48;40;27;35;47;40
13;27;43;21;42;35;32;40;31;38;41;36;54;44;48;43;27;35;48
14;30;30;42;23;43;35;33;42;33;36;43;37;53;42;47;44;25;35
15;22;29;27;41;26;44;37;34;44;34;36;43;39;57;40;49;41;25
16;33;23;27;30;39;26;43;36;34;46;35;34;44;39;55;39;49;43
17;25;34;23;27;32;41;27;40;37;38;46;33;34;43;35;53;41;51
18;50;27;34;23;30;32;40;26;43;38;38;44;34;35;42;34;52;41
19;28;50;25;33;22;29;37;41;30;43;40;35;46;35;34;44;34;51
20;37;28;52;30;38;25;29;37;44;31;45;40;32;46;33;34;42;38
21;28;37;35;52;31;41;25;35;37;44;33;44;44;33;46;32;34;42
22;30;26;40;37;56;29;41;29;34;35;41;33;48;41;34;47;36;36
23;37;32;32;42;40;55;34;43;32;32;38;42;31;52;41;35;47;34
24;47;41;36;37;44;39;56;34;42;31;33;36;44;31;49;41;35;47
25;57;47;49;36;39;44;41;54;31;43;31;32;38;38;33;51;44;36
26;46;58;50;52;44;42;43;36;59;32;40;33;36;34;41;38;53;41
