"Popolazione per età, vista per singola area - Comune: 025010 - Cencenighe Agordino"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Cencenighe Agordino"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;12;12;12;8;12;7;8;18;11;12;8;12;7;4;6;7;8;8
1;7;9;12;11;8;13;7;9;16;9;11;8;12;7;4;6;7;10
2;15;9;9;13;12;10;14;9;9;14;10;8;9;10;7;4;5;7
3;13;14;9;9;13;14;8;15;7;8;15;10;9;9;8;6;3;5
4;16;13;13;9;11;10;14;8;14;7;8;18;10;8;9;8;7;3
5;14;17;13;13;9;11;10;12;7;13;6;7;17;11;8;9;7;8
6;8;15;16;13;13;7;12;10;12;7;15;6;7;16;11;7;9;7
7;16;7;14;16;12;13;7;12;10;11;8;14;6;8;14;11;7;9
8;9;15;7;15;14;12;13;7;13;10;11;8;12;5;8;13;11;7
9;14;11;16;8;11;14;11;16;9;13;10;11;7;12;6;8;12;12
10;7;15;11;16;7;11;13;12;16;9;14;9;12;8;12;6;8;13
11;11;9;15;12;16;6;13;12;11;16;10;12;9;13;9;12;6;8
12;13;11;9;16;12;16;7;14;12;12;16;11;12;9;13;8;12;6
13;14;13;11;10;16;12;16;7;13;12;11;16;11;12;9;13;8;11
14;14;14;13;11;11;17;12;16;6;13;12;11;15;10;13;9;13;8
15;11;14;14;14;11;12;18;11;16;6;13;12;12;15;10;12;9;12
16;12;11;14;14;13;11;12;19;11;17;6;13;12;11;15;10;12;8
17;17;12;11;14;14;12;12;13;19;11;18;5;12;12;11;15;9;13
18;10;18;14;11;13;14;14;12;12;18;10;17;5;12;12;11;15;9
19;6;10;21;13;11;13;14;14;11;10;18;9;19;6;13;11;11;15
20;12;6;10;22;13;11;14;14;13;12;8;18;9;16;6;14;11;10
21;12;13;6;9;22;15;12;16;15;13;12;8;17;7;18;6;14;12
22;17;12;14;8;9;21;17;13;15;15;12;11;7;17;8;20;6;13
23;16;16;11;12;9;9;21;17;13;16;14;12;11;7;17;8;20;8
24;15;17;17;11;10;9;9;24;17;13;17;11;13;11;7;15;9;19
25;26;17;16;17;13;6;8;9;20;16;13;14;11;13;13;7;15;11
26;23;24;17;18;15;13;7;9;10;22;17;11;14;11;13;13;8;15
27;15;22;22;14;15;15;13;9;8;12;20;15;12;14;11;13;14;7
28;24;15;18;19;14;21;19;18;9;9;10;20;13;12;16;11;14;12
29;33;21;16;19;20;12;24;17;12;8;8;11;18;13;12;15;11;15
30;27;36;22;17;20;22;12;22;19;10;11;7;11;19;14;14;13;10
31;29;26;35;21;12;21;22;15;18;18;9;9;8;10;17;16;12;16
32;20;30;29;32;20;13;23;24;13;18;20;8;8;6;10;13;17;11
33;28;20;26;30;31;20;14;26;23;13;15;20;9;9;6;8;13;16
34;25;29;18;28;28;31;17;15;27;21;11;15;18;10;9;8;9;13
35;23;24;26;18;28;29;35;18;15;24;15;11;13;17;9;11;7;9
36;23;24;21;26;18;28;27;41;17;15;25;15;12;13;14;9;10;6
37;17;23;24;22;27;18;31;28;38;16;14;25;15;13;18;15;10;9
38;21;18;22;24;22;27;20;32;28;33;18;11;25;14;14;18;15;12
39;21;24;16;24;25;24;32;20;30;26;33;16;10;24;15;14;14;15
40;24;22;24;19;23;26;23;33;21;27;28;35;17;10;22;15;14;13
41;26;25;23;25;19;22;23;23;34;21;27;26;35;15;11;23;15;13
42;21;28;25;21;26;17;24;24;26;31;23;26;26;29;16;11;24;15
43;23;21;26;24;20;27;17;22;24;27;31;21;27;28;28;16;11;25
44;28;24;19;26;22;19;27;16;22;23;26;31;22;27;28;28;17;13
45;15;27;25;19;27;22;19;25;16;19;23;24;30;23;27;27;28;18
46;27;15;28;26;19;28;22;19;25;15;17;21;24;30;21;28;23;27
47;20;25;14;30;25;20;27;23;18;23;15;18;21;22;32;22;28;23
48;17;20;25;15;29;27;22;26;23;18;22;16;19;21;22;33;22;27
49;15;17;22;27;15;32;27;22;27;23;18;22;16;19;21;22;33;20
50;16;15;17;22;28;14;30;25;21;25;23;17;22;16;19;22;20;33
51;22;17;15;16;22;28;16;30;24;21;23;23;17;23;14;19;21;22
52;18;24;17;16;16;21;27;17;31;25;21;24;23;17;21;14;18;20
53;15;18;24;16;16;16;20;25;17;30;23;21;22;23;17;21;14;18
54;22;12;17;24;16;17;14;19;25;16;29;23;21;23;22;17;21;14
55;25;22;14;17;24;16;16;14;19;25;16;29;23;19;21;22;17;21
