"Popolazione per età, vista per singola area - Comune: 025051 - San Vito di Cadore"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: San Vito di Cadore"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;17;18;15;18;10;17;28;14;22;10;13;13;16;12;12;17;14;18
1;21;19;18;15;17;9;20;25;12;22;10;12;16;16;16;12;15;16
2;23;26;20;16;18;18;9;22;24;12;21;9;15;12;18;18;13;17
3;15;24;25;19;18;14;18;12;16;22;10;22;10;16;14;18;20;14
4;18;16;25;27;17;17;15;17;12;15;22;11;22;12;17;14;17;22
5;23;16;13;23;31;17;18;15;15;13;15;23;10;25;12;19;10;18
6;16;22;17;15;23;30;20;19;15;14;12;15;22;11;26;12;20;10
7;18;16;22;16;15;21;28;20;18;15;15;11;14;23;12;27;12;21
8;15;17;15;20;17;15;21;28;19;16;16;15;14;14;22;12;25;12
9;17;14;15;16;21;15;15;20;30;21;17;16;13;16;15;20;14;25
10;10;17;13;15;16;19;17;15;21;29;23;16;16;13;15;16;19;17
11;17;10;15;12;14;16;19;18;13;21;33;22;18;17;12;15;16;20
12;20;18;13;14;12;15;17;21;18;13;23;32;23;19;17;12;15;16
13;13;20;13;14;14;12;17;15;21;18;13;20;33;23;18;18;13;14
14;14;12;20;12;15;16;14;15;15;20;18;13;22;34;23;18;20;13
15;9;14;11;21;14;14;17;14;15;15;21;19;13;22;33;21;17;18
16;20;9;12;11;21;14;15;18;15;17;15;20;21;14;20;33;20;17
17;18;20;10;12;10;20;14;12;18;16;16;15;18;21;12;20;29;21
18;14;18;22;10;12;12;19;14;11;17;16;15;15;18;21;12;21;29
19;11;14;18;23;9;11;11;18;13;10;17;15;15;15;19;19;12;19
20;16;10;14;17;24;9;10;11;16;13;11;17;15;14;14;20;16;11
21;14;14;10;12;16;24;9;11;12;16;13;12;17;14;14;15;18;15
22;13;12;15;10;12;15;21;9;11;13;17;13;13;17;15;13;15;19
23;27;13;14;16;10;12;15;23;9;12;13;18;14;14;18;15;14;15
24;22;25;13;17;15;11;15;15;25;7;14;15;19;12;13;19;17;15
25;21;22;24;15;17;15;14;17;13;22;8;14;15;20;11;18;21;16
26;25;19;24;23;16;15;15;14;17;14;25;10;17;15;20;13;18;22
27;22;27;20;26;28;17;15;17;15;19;14;27;13;17;15;23;12;13
28;20;26;27;21;29;30;18;12;17;17;21;14;30;18;18;15;22;14
29;26;22;28;24;23;27;30;18;14;16;17;20;15;29;18;21;18;23
30;28;30;22;27;26;28;26;31;18;14;15;17;20;15;30;18;20;19
31;27;30;28;23;25;29;28;24;26;18;14;11;18;17;14;29;17;18
32;22;29;27;27;26;26;25;28;23;26;20;17;14;17;19;20;32;18
33;29;21;26;27;32;23;29;23;24;23;23;19;18;17;14;19;19;32
34;29;27;18;24;28;31;19;25;22;25;23;25;20;16;20;16;18;28
35;32;32;27;17;24;29;26;21;27;22;25;24;26;23;21;22;17;19
36;30;32;33;30;17;29;32;24;22;29;25;24;27;27;21;21;22;18
37;32;31;32;32;29;16;29;34;25;21;29;26;26;27;28;19;18;25
38;29;30;33;34;34;31;20;30;31;24;21;28;24;28;28;30;19;17
39;21;33;33;37;34;37;34;22;31;31;25;20;30;23;25;26;30;20
40;20;22;28;33;35;36;38;37;21;30;33;25;21;31;24;30;29;28
41;35;19;24;29;33;36;39;35;36;22;33;33;25;21;31;21;26;28
42;30;37;21;27;30;33;36;38;35;33;21;34;33;27;22;31;24;27
43;26;31;35;22;26;31;32;35;40;31;33;20;33;33;26;25;33;27
44;28;27;28;34;24;29;33;31;30;38;31;33;22;33;32;25;21;32
45;28;28;28;27;37;19;28;33;33;32;38;31;35;23;34;28;27;22
46;19;28;33;29;28;38;19;29;30;33;32;37;33;35;21;32;28;29
47;42;19;28;32;28;28;35;19;30;27;36;33;37;32;34;22;31;26
