"Popolazione per età, vista per singola area - Comune: 026015 - Cessalto"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Cessalto"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;33;35;36;44;39;36;38;42;52;54;46;41;46;52;40;31;52;36
1;24;36;36;35;44;39;39;41;45;52;55;44;36;45;48;38;35;51
2;27;25;36;38;37;47;40;44;37;45;52;49;41;34;41;47;40;34
3;29;27;29;39;40;38;48;37;42;37;47;51;49;41;35;43;53;37
4;34;28;28;31;44;43;40;46;36;40;40;49;53;52;38;36;45;54
5;30;36;29;28;33;44;43;43;48;35;40;41;48;53;54;41;40;43
6;26;32;37;34;30;35;42;43;39;46;36;42;40;45;48;55;41;41
7;32;27;33;37;34;31;34;44;40;40;46;37;41;40;42;47;55;39
8;41;34;26;31;38;36;35;34;48;41;39;45;38;42;43;39;47;58
9;36;42;35;27;34;42;36;35;36;50;36;42;46;38;41;43;39;46
10;21;36;45;37;27;30;44;35;33;37;51;35;41;43;38;40;42;43
11;28;20;39;46;37;27;31;45;34;30;38;49;33;39;42;38;44;40
12;22;27;21;40;44;37;32;31;43;33;31;36;48;37;39;41;35;43
13;28;22;27;21;44;45;37;32;31;42;33;34;38;47;39;38;40;36
14;36;29;23;31;24;42;46;37;31;30;42;33;35;38;45;40;38;40
15;26;35;30;24;32;25;47;45;38;32;30;39;32;35;36;44;39;37
16;32;26;35;34;24;34;27;46;46;40;34;30;39;32;33;37;44;41
17;30;32;24;38;38;26;35;29;46;45;42;32;28;40;31;32;36;48
18;30;27;32;25;40;37;30;37;31;46;45;38;37;27;37;31;31;37
19;38;31;28;33;28;40;37;35;37;32;46;44;39;36;28;38;31;36
20;42;40;29;27;37;34;44;33;37;38;35;49;44;39;34;26;39;32
21;31;42;42;29;28;36;33;47;33;33;40;42;51;41;34;32;25;42
