"Popolazione per età, vista per singola area - Comune: 026020 - Colle Umberto"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Colle Umberto"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;30;43;45;66;61;43;56;50;55;57;56;47;49;50;40;35;40;39
1;43;32;46;48;73;53;40;58;46;55;59;55;42;50;43;41;34;38
2;37;49;32;47;48;74;57;43;59;46;49;59;56;37;46;42;39;35
3;49;41;52;34;51;48;72;65;45;60;46;52;61;54;36;43;44;34
4;43;53;47;52;37;52;47;71;67;44;62;48;51;61;53;35;43;45
5;46;44;52;49;53;35;50;43;65;69;43;60;49;51;58;55;38;40
6;36;50;43;51;46;48;35;48;44;62;63;42;60;48;51;57;55;37
7;58;37;52;42;50;48;46;35;48;45;61;64;42;60;46;46;54;56
8;28;59;37;53;43;50;46;44;37;43;47;60;64;46;55;49;49;54
9;49;28;61;39;55;41;49;47;43;39;45;45;58;64;41;52;49;51
10;41;50;29;58;42;56;42;49;45;42;38;46;42;58;62;39;54;52
11;44;41;53;32;57;45;52;40;49;43;43;39;43;42;57;63;39;54
12;33;45;44;51;32;57;43;53;40;48;43;45;40;44;43;58;61;40
13;36;33;48;44;45;32;55;44;54;39;48;43;44;40;43;39;58;60
14;42;37;34;47;43;47;31;58;46;57;38;48;41;44;39;44;40;59
15;34;42;37;35;46;42;47;36;58;50;58;42;47;42;45;40;46;44
16;45;35;45;37;35;44;41;48;36;58;51;59;41;46;41;44;41;46
17;49;43;40;45;37;36;44;41;50;34;57;52;57;41;43;41;44;42
18;54;51;44;38;43;38;37;44;42;52;36;57;52;56;40;45;42;45
19;46;55;51;43;38;41;39;38;45;41;51;38;56;53;55;40;46;44
20;49;48;56;53;45;38;44;43;39;47;43;51;39;56;49;55;42;46
21;55;47;51;56;53;52;41;46;44;38;46;42;50;41;57;51;55;44
22;43;58;51;50;58;54;58;43;45;42;36;48;44;50;40;59;50;55
23;54;45;58;47;49;58;58;60;42;46;40;39;48;44;47;39;62;54
24;57;56;44;58;49;48;63;61;61;44;49;42;37;47;44;48;43;63
25;60;62;57;41;57;55;49;70;62;59;43;52;44;37;43;47;51;40
26;68;68;63;58;40;54;51;55;63;62;61;44;51;44;36;42;48;51
27;78;77;69;67;64;41;56;54;55;67;57;62;44;54;42;34;43;43
28;71;79;84;76;69;72;43;61;56;53;72;51;57;44;55;46;35;40
29;75;74;86;93;81;64;76;50;57;63;51;71;49;51;42;47;53;36
30;68;81;76;95;102;80;58;81;49;60;68;53;71;51;51;42;36;50
31;81;77;90;85;104;102;79;63;86;49;63;62;53;73;51;56;45;40
32;89;76;75;85;92;99;101;86;63;87;53;63;62;56;72;51;61;44
33;80;85;84;84;93;93;93;97;86;66;80;54;63;64;53;71;48;54
34;68;78;92;85;85;89;93;96;89;87;68;83;57;67;63;53;71;45
35;62;72;84;90;89;83;86;92;93;97;84;71;82;54;65;63;57;71
36;80;65;80;84;88;88;86;89;90;93;90;84;71;84;51;63;59;58
37;87;75;73;83;80;93;87;84;90;91;93;99;82;68;79;49;60;58
38;79;97;76;76;78;89;96;88;82;84;87;96;100;81;59;85;53;60
39;67;81;105;79;79;77;84;95;87;83;84;86;98;100;84;61;79;53
40;69;68;88;102;75;81;79;85;95;87;84;87;88;96;97;80;66;79
41;65;72;70;95;100;76;78;85;84;97;84;86;84;87;100;97;86;69
42;79;62;73;70;92;105;79;77;92;82;97;86;86;85;88;93;98;84
43;75;79;63;72;75;96;106;84;82;91;84;92;88;83;85;84;89;90
44;73;73;81;63;71;76;91;104;85;85;90;83;92;87;83;84;89;91
45;70;74;74;82;65;71;71;94;106;80;85;92;83;93;83;81;87;100
46;78;70;74;71;83;73;70;73;90;101;80;85;91;87;92;83;81;85
47;86;83;70;75;72;82;74;72;72;90;98;78;88;93;89;93;77;83
48;57;86;82;72;74;76;82;74;70;72;95;103;82;86;92;82;94;78
49;42;56;88;82;73;74;77;83;75;69;69;90;100;85;80;88;83;95
50;61;41;57;87;79;72;73;76;83;76;70;69;84;98;84;81;88;86
51;65;61;47;57;89;80;72;76;78;81;76;66;70;84;97;85;82;85
52;66;66;61;43;56;87;80;72;78;78;85;76;65;71;84;95;88;83
53;58;66;67;63;45;56;90;80;75;78;76;87;74;65;70;81;99;87
54;58;58;67;71;63;46;58;90;78;74;80;76;88;74;68;71;83;97
55;67;58;54;70;72;64;46;59;90;78;75;77;77;85;75;67;66;83
56;47;67;60;55;70;72;68;45;62;86;75;77;74;75;83;74;61;66
57;72;47;70;62;58;71;70;70;46;63;83;77;76;74;77;82;77;64
58;52;72;45;73;61;60;72;70;70;47;63;84;81;76;71;79;77;79
59;58;51;75;44;73;59;55;68;68;69;48;64;84;79;73;72;77;75
60;51;57;51;75;44;70;59;55;68;69;70;47;63;80;78;72;71;75
61;51;50;55;52;74;45;70;58;55;66;69;69;48;64;78;79;73;70
62;57;51;51;55;53;73;45;68;61;55;63;70;69;48;63;79;76;70
63;62;58;52;50;55;50;74;44;68;61;56;63;69;71;46;62;80;75
64;56;62;58;54;51;55;51;72;43;69;61;55;62;68;69;46;60;76
