"Popolazione per età, vista per singola area - Comune: 028006 - Arre"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Arre"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;18;18;11;16;18;21;21;19;18;20;13;25;10;15;16;17;12;14
1;18;15;18;12;17;20;23;22;22;20;20;14;26;9;15;18;22;12
2;19;16;14;20;13;16;18;20;22;21;22;21;18;26;9;15;18;20
3;21;19;15;14;19;15;16;19;20;22;22;22;21;20;24;10;16;15
4;21;21;22;15;16;19;16;19;22;18;22;23;23;20;19;24;11;16
5;16;20;19;19;16;17;22;15;19;21;18;24;22;20;20;20;21;10
6;16;18;19;20;20;18;18;21;15;19;20;18;24;19;19;19;18;21
7;16;16;19;18;18;21;20;19;20;13;19;22;21;24;18;19;20;19
8;20;13;17;19;18;21;22;19;17;19;13;19;22;21;23;18;19;21
9;20;21;13;19;18;18;21;22;19;16;20;14;20;22;20;22;19;19
10;18;20;21;14;19;18;18;20;21;19;17;20;15;20;22;20;25;17
11;13;17;20;22;14;20;18;20;20;20;20;18;20;16;21;20;21;26
12;28;14;18;20;22;14;20;18;20;20;20;19;19;20;16;21;23;22
13;22;28;12;16;20;22;14;20;17;20;20;20;20;19;21;16;22;23
14;21;23;28;12;16;23;22;14;18;17;21;20;21;19;19;21;15;22
15;16;22;23;27;12;19;23;22;14;20;18;20;20;18;20;19;22;15
16;10;18;22;24;27;11;19;23;23;14;20;18;20;20;19;21;19;23
17;18;11;17;22;24;28;14;19;23;23;14;19;18;20;20;19;22;18
18;21;20;11;18;22;23;30;14;19;23;22;14;20;17;23;20;18;20
19;25;22;20;12;17;21;23;29;13;18;22;22;13;19;17;21;20;18
20;18;22;22;21;12;18;22;22;30;13;18;22;22;13;18;17;23;19
21;15;19;21;23;22;13;17;23;23;29;13;18;20;21;13;18;17;24
22;22;17;18;22;22;20;12;17;20;25;30;13;16;20;20;13;22;17
23;33;22;15;19;24;22;19;14;20;21;27;32;10;16;20;18;13;21
24;21;32;23;16;23;24;23;16;16;21;23;33;31;11;16;21;18;14
25;27;21;33;26;16;25;26;22;14;12;22;24;33;29;11;17;20;19
26;24;28;21;35;27;18;33;23;24;16;17;24;24;30;28;11;15;19
27;35;21;31;25;31;28;18;29;26;27;20;18;25;20;29;29;13;16
28;22;31;27;28;25;33;33;24;27;24;28;24;19;23;20;31;29;12
29;29;23;35;27;28;27;30;33;26;30;22;27;21;25;21;20;30;27
30;39;28;27;34;28;25;30;33;36;28;31;26;29;19;25;22;21;28
31;32;37;30;27;34;27;27;32;37;35;33;35;27;29;17;23;22;24
32;37;32;40;27;30;32;25;27;32;37;36;33;33;26;29;15;24;21
33;31;36;35;39;33;32;31;29;27;28;39;38;31;31;28;31;16;23
34;32;31;36;36;43;31;38;27;30;30;30;41;41;29;29;28;33;15
35;28;33;33;40;36;43;32;44;29;31;30;27;39;34;26;30;29;35
36;28;32;31;37;40;38;44;34;42;28;32;30;27;38;33;22;31;31
37;39;29;27;35;33;38;38;39;35;47;31;31;31;28;35;33;25;32
38;34;40;29;28;34;34;41;37;41;35;48;31;32;34;26;35;35;23
39;36;36;48;28;26;40;37;41;40;39;35;46;33;33;32;26;36;36
40;47;35;31;49;27;26;43;41;37;39;38;31;46;33;31;30;29;33
41;31;46;33;29;43;26;28;44;38;43;39;40;32;46;34;32;30;32
42;25;30;47;34;28;46;28;26;44;40;46;40;40;34;46;32;34;29
43;28;25;30;49;35;27;46;27;28;45;41;47;37;39;33;48;34;32
44;31;30;27;29;49;36;27;45;27;29;47;39;49;37;41;30;49;33
45;36;31;32;27;30;51;38;28;46;29;27;48;39;48;37;40;28;48
46;21;37;29;33;28;32;50;38;26;45;31;27;49;40;47;37;38;29
47;27;22;37;29;34;29;33;51;38;29;46;32;29;49;39;48;39;38
48;23;25;24;37;29;34;30;34;53;38;30;47;33;29;48;37;48;38
49;27;24;25;24;36;29;34;30;33;52;38;29;47;33;28;49;36;48
50;24;27;25;24;23;37;31;34;29;33;53;38;30;47;33;27;48;37
51;33;24;27;24;24;23;37;31;32;27;32;54;39;32;48;32;27;45
52;18;32;26;27;24;24;24;34;29;32;27;32;52;39;33;48;32;24
53;22;19;33;26;27;22;24;24;34;29;32;28;32;49;39;32;47;32
54;20;21;20;33;26;27;22;24;24;34;29;32;27;30;50;38;31;48
55;24;22;22;19;33;26;27;22;24;24;36;29;32;28;31;50;38;30
56;10;24;24;22;19;32;26;28;22;23;24;35;29;31;27;31;49;37
57;22;10;24;25;22;18;32;27;28;22;24;24;35;30;32;27;31;48
58;21;21;9;24;25;21;18;32;28;30;22;24;25;36;31;31;27;31
59;20;21;21;9;24;25;21;19;31;27;29;22;24;24;36;30;31;26
60;26;20;20;22;9;23;26;21;19;33;27;29;21;24;26;36;29;31
61;21;25;20;22;22;10;24;27;21;20;35;28;29;21;25;26;33;30
62;24;21;25;20;21;22;10;24;27;21;20;35;27;29;21;25;24;33
63;22;24;22;25;19;21;23;11;26;27;21;19;35;27;29;21;24;24
64;21;22;22;22;25;19;21;23;11;27;29;21;19;35;26;31;18;24
65;26;21;18;21;21;23;19;21;22;11;27;29;21;19;34;27;31;17
66;17;25;21;19;20;23;23;19;20;20;11;27;29;21;19;34;26;31
67;19;17;26;21;18;20;23;24;19;20;20;11;26;28;21;18;33;25
68;33;19;16;26;21;17;18;23;24;19;19;20;11;26;27;21;18;33
69;21;30;17;17;24;20;18;18;23;24;18;18;20;11;26;26;21;18
70;24;21;29;18;18;23;18;17;17;22;23;18;17;20;11;26;26;19
71;19;22;18;29;18;17;21;18;18;17;22;23;18;17;18;11;24;26
72;22;21;22;19;29;18;16;20;18;17;17;22;22;18;17;18;11;24
73;21;22;18;20;19;27;17;17;20;18;14;17;22;21;18;17;18;10
74;27;22;20;18;20;19;27;17;18;19;18;14;17;22;21;17;17;18
75;22;27;21;20;16;18;19;25;17;17;19;18;14;17;22;20;16;17
76;19;22;26;20;19;16;18;17;24;16;17;18;18;14;17;22;19;16
77;21;18;19;23;19;19;15;19;15;21;15;16;17;17;13;17;19;19
78;19;20;20;18;24;18;18;15;19;15;20;13;15;15;16;12;16;18
79;25;19;20;21;16;22;16;17;16;17;15;20;13;15;15;14;11;15
80;21;25;15;18;21;15;21;16;16;15;14;14;19;12;15;14;14;11
81;17;20;24;14;17;21;15;22;15;14;14;14;13;19;11;15;13;14
82;9;15;21;22;15;18;21;15;20;14;14;13;12;12;18;9;15;13
83;6;9;15;21;21;15;16;17;15;19;14;11;13;10;12;17;9;14
84;7;5;8;15;20;21;13;16;13;16;17;13;11;13;9;12;16;9
85;7;7;4;7;14;19;20;11;12;10;15;15;12;11;13;9;10;15
86;10;7;6;4;7;13;15;17;11;10;10;15;11;11;11;12;9;10
87;12;7;6;4;4;4;13;13;16;9;8;10;12;11;11;10;10;7
88;9;11;7;6;4;3;4;12;10;15;8;8;10;9;10;10;8;8
89;7;8;10;6;5;3;3;4;10;9;10;7;5;9;8;8;9;7
90;2;6;6;10;5;3;3;3;3;8;8;9;7;4;7;6;7;9
91;0;2;5;5;8;5;4;4;3;3;7;5;9;7;4;7;5;6
92;3;0;1;4;4;8;2;2;2;3;3;5;2;8;6;4;6;4
93;0;3;0;1;4;4;6;2;2;2;3;3;3;1;6;4;3;3
94;0;0;3;0;1;4;2;5;2;2;1;2;3;3;1;4;3;2
95;0;0;0;0;0;1;1;1;2;1;1;1;1;1;3;1;3;3
96;0;0;0;0;0;0;1;1;0;2;0;0;1;1;0;2;0;3
97;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;1;0
98;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;1
99;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0
100 e oltre;0;0;1;0;0;0;0;0;0;0;1;2;2;1;0;0;0;0
Totale;2029;2032;2039;2063;2067;2096;2143;2154;2156;2164;2195;2226;2220;2188;2170;2154;2156;2132
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;12;7;4;10;8;7;11;10;10;11;6;16;4;9;7;6;5;6
1;7;10;7;5;11;9;7;11;14;12;11;6;17;3;9;7;10;4
2;11;5;8;7;6;10;8;8;11;14;13;12;8;17;3;8;6;8
3;13;11;5;8;7;6;8;9;8;10;14;13;12;8;16;4;10;6
4;14;13;12;5;9;8;7;11;11;7;10;15;14;11;8;16;6;10
5;14;13;12;11;5;10;10;7;11;10;7;11;14;12;11;8;14;5
6;7;14;11;11;12;7;10;9;7;11;10;7;12;10;11;10;8;14
7;6;7;13;11;10;13;7;11;8;7;11;12;8;12;9;10;9;9
8;9;6;7;13;11;12;14;6;11;7;7;11;11;8;11;10;10;10
9;13;9;6;8;12;11;12;14;6;10;8;7;12;11;8;10;11;11
10;11;13;9;6;8;12;11;11;13;6;11;8;7;12;11;8;13;11
11;6;11;13;9;6;8;12;13;11;12;7;12;8;8;13;10;8;13
12;13;7;12;13;9;7;8;12;13;11;12;6;12;8;8;13;11;9
13;11;13;7;12;13;9;7;8;12;13;11;12;6;12;9;8;13;11
14;12;11;13;8;12;15;9;7;7;12;14;11;12;5;12;9;7;13
15;6;13;11;11;8;13;15;9;7;7;13;14;11;12;6;12;10;7
16;5;6;13;12;11;7;13;15;9;7;7;13;14;11;13;7;12;10
17;7;5;6;13;12;11;8;13;15;10;7;6;13;14;11;13;7;12
18;11;7;5;7;13;12;12;8;13;15;10;7;6;13;15;11;13;6
19;11;12;7;5;7;12;12;12;7;12;16;10;6;6;12;13;11;13
20;9;10;12;7;5;8;13;12;12;7;12;16;9;6;6;12;15;10
21;9;10;9;11;8;5;8;13;12;13;7;12;15;9;6;6;12;16
22;11;10;10;9;11;8;5;8;11;12;13;6;11;15;8;6;7;13
23;16;11;10;12;10;11;8;5;8;11;13;14;6;11;15;8;6;8
24;9;16;11;10;15;11;12;8;7;10;13;15;13;6;11;16;8;7
25;15;9;17;11;10;15;14;13;6;6;10;14;15;12;6;10;14;10
26;10;14;10;18;11;11;15;13;15;6;9;12;13;14;13;6;8;14
27;17;10;14;14;17;13;12;14;13;15;8;10;13;12;14;14;10;10
28;10;18;12;11;13;18;15;14;13;11;16;10;9;11;12;16;16;9
29;12;12;20;14;12;15;16;16;15;14;10;15;10;10;10;13;14;14
30;21;10;16;19;13;10;16;16;17;16;14;12;15;9;9;9;12;12
31;14;20;11;16;17;13;12;20;17;17;20;16;11;14;8;9;9;14
32;22;13;21;9;17;17;13;12;21;16;19;20;16;10;15;6;9;10
33;16;22;16;20;11;15;18;15;14;19;18;21;19;15;12;14;8;10
34;14;18;23;15;22;11;17;16;15;16;18;20;22;16;14;14;16;8
35;16;15;19;24;15;21;12;21;17;13;17;16;20;18;15;15;14;15
36;15;20;16;23;24;16;21;14;21;15;15;19;15;19;17;12;16;14
37;20;16;17;20;21;20;16;18;14;21;17;14;20;14;17;17;15;19
38;22;20;16;18;20;22;21;16;19;15;21;18;15;23;13;18;18;14
39;17;22;24;15;16;24;23;21;19;19;15;21;20;16;21;12;18;18
40;25;17;18;23;14;17;26;23;19;18;20;12;22;20;16;20;12;18
41;13;24;15;18;20;13;18;27;21;23;18;20;13;22;19;16;20;15
42;12;12;26;14;18;20;14;16;27;21;25;18;19;15;22;18;17;19
43;14;12;12;28;14;17;20;13;17;27;21;26;16;19;14;22;19;15
44;18;14;12;11;27;14;18;20;13;18;29;20;28;16;19;11;23;18
45;17;18;15;12;11;28;14;18;21;13;17;30;20;27;15;19;11;23
46;9;17;18;15;13;13;28;14;17;20;15;17;30;22;26;16;19;12
47;15;10;17;18;16;14;14;28;14;18;21;16;18;30;21;27;16;19
48;12;14;12;17;18;16;15;14;29;14;19;21;17;18;30;19;27;15
49;16;13;14;12;16;18;14;15;14;29;15;18;21;17;18;30;18;27
50;11;16;13;13;11;16;19;14;15;14;30;15;18;21;17;17;30;18
51;16;12;16;13;13;10;16;19;14;14;14;31;16;18;21;16;17;30
52;11;15;12;16;13;13;11;16;17;14;14;14;30;15;18;21;16;17
53;11;12;15;12;16;12;13;11;15;15;14;14;14;29;15;18;21;16
54;10;10;12;15;12;16;13;13;11;16;14;14;14;14;30;14;18;21
55;13;12;12;12;15;11;16;12;14;11;16;14;14;15;14;30;14;17
56;5;13;13;12;12;15;11;16;12;14;11;16;14;14;14;14;30;14
57;13;5;13;14;12;11;15;12;16;12;15;11;16;14;14;13;14;29
58;15;12;4;13;14;11;11;15;13;16;12;15;12;16;15;13;13;14
59;9;15;12;5;13;14;11;11;14;13;16;12;15;11;16;16;13;12
60;13;9;13;13;5;12;14;11;10;15;14;16;12;15;13;16;16;13
61;7;12;9;13;13;5;12;15;11;11;16;14;16;12;16;12;14;17
62;16;7;12;9;13;13;5;12;15;13;11;16;14;16;12;16;10;14
63;9;15;7;12;9;13;14;5;14;16;13;11;16;14;16;12;15;9
64;10;9;14;7;12;9;13;14;5;15;15;13;12;15;13;18;11;15
65;12;10;9;13;7;12;9;13;13;5;15;15;13;12;15;14;18;10
66;4;11;10;9;13;9;12;9;12;13;5;15;15;13;12;15;13;18
67;9;4;12;10;8;13;9;13;9;11;13;5;14;15;12;12;14;13
68;14;10;4;12;10;7;12;9;13;9;10;13;5;14;15;12;12;14
69;9;14;8;4;12;9;8;12;9;13;8;9;13;5;14;15;12;12
70;10;9;13;8;4;12;7;7;11;8;13;8;9;13;5;13;15;11
71;9;8;6;13;8;4;10;7;7;11;8;13;8;9;11;5;11;15
72;8;11;8;6;13;8;4;10;7;6;11;8;13;8;9;11;5;11
73;6;8;10;6;6;11;8;5;10;7;5;11;8;12;8;9;11;5
74;11;7;7;10;6;6;11;8;5;9;7;5;11;8;11;7;9;11
75;8;11;6;7;8;4;6;9;8;5;9;7;5;11;8;10;7;9
76;7;8;11;6;7;8;5;6;8;7;5;8;6;5;11;8;9;7
77;11;6;5;9;6;7;7;6;4;7;6;4;7;5;4;11;5;9
78;2;10;6;5;10;4;6;7;6;4;8;4;4;6;4;4;10;5
79;10;2;10;7;4;8;3;5;8;6;4;8;4;4;6;3;3;9
80;9;9;1;9;7;3;8;4;5;7;6;4;7;4;4;6;3;3
81;7;8;9;0;8;7;3;8;4;5;6;6;4;7;3;4;6;3
82;4;5;8;8;1;8;7;3;6;4;5;5;5;4;7;3;4;6
83;2;4;5;8;8;1;8;5;3;5;4;4;5;3;4;7;3;4
84;2;1;4;5;8;8;1;8;4;3;4;3;4;5;3;4;6;3
85;5;2;0;4;4;7;8;1;5;3;2;3;3;4;5;3;3;6
86;5;5;2;0;4;3;7;7;1;5;3;2;2;3;4;4;3;3
87;2;5;4;2;0;2;3;6;7;0;3;3;1;2;3;4;3;3
88;1;2;5;4;2;0;2;3;5;8;0;2;3;1;2;3;2;2
89;3;1;2;5;3;2;0;2;2;4;5;0;1;3;1;2;2;2
90;0;2;1;2;4;2;2;0;2;2;3;5;0;0;3;0;2;2
91;0;0;2;1;2;4;2;2;0;2;2;1;5;0;0;3;0;2
92;0;0;0;1;1;2;1;1;1;0;2;2;0;4;0;0;3;0
93;0;0;0;0;1;1;2;1;1;1;0;2;2;0;3;0;0;1
94;0;0;0;0;0;1;1;2;1;1;1;0;2;2;0;2;0;0
95;0;0;0;0;0;0;1;1;0;0;1;1;0;1;2;0;2;0
96;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;2;0;2
97;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0
98;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1
99;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
100 e oltre;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0
Totale;984;987;989;1002;1003;1007;1036;1054;1056;1058;1090;1111;1112;1092;1079;1067;1070;1072
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Femmine
0;6;11;7;6;10;14;10;9;8;9;7;9;6;6;9;11;7;8
1;11;5;11;7;6;11;16;11;8;8;9;8;9;6;6;11;12;8
