"Popolazione per età, vista per singola area - Comune: 028010 - Barbona"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Barbona"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;6;6;9;8;5;2;5;3;4;4;7;8;1;2;7;1;2;3
1;8;7;5;9;6;5;2;6;2;4;4;7;7;1;2;8;1;2
2;6;8;7;5;7;7;5;3;5;3;4;3;7;7;1;2;8;0
3;7;6;8;7;5;7;7;5;3;5;4;3;3;7;7;0;3;8
4;3;7;6;8;6;4;7;7;4;4;4;4;3;3;7;7;1;3
5;7;3;7;6;8;7;4;7;7;3;4;4;2;2;3;7;7;1
6;7;7;4;7;6;8;7;4;7;9;4;4;4;2;2;3;7;7
7;4;7;7;4;7;6;8;8;4;7;10;4;4;5;4;2;3;7
8;10;4;7;7;5;7;6;8;7;5;7;11;3;4;5;4;2;3
9;8;10;4;7;7;4;7;7;8;7;5;7;11;3;4;5;4;2
10;7;8;10;3;7;6;4;7;7;8;8;5;6;9;3;4;5;3
11;10;7;8;10;3;7;6;4;7;7;8;7;5;6;9;4;4;5
12;10;11;9;8;10;3;7;6;3;7;7;8;6;6;6;9;4;4
13;6;10;11;10;8;10;3;8;8;3;6;7;8;6;6;6;9;4
14;5;6;12;11;10;8;8;5;8;8;3;6;7;7;6;5;6;9
15;5;5;6;12;10;10;8;8;6;8;8;3;6;7;7;6;5;6
16;6;5;5;6;12;11;10;11;8;6;8;8;3;6;7;7;6;5
17;12;5;3;5;6;12;11;10;11;8;6;8;7;3;6;8;7;6
18;8;12;3;3;7;6;12;11;11;11;8;6;8;7;3;6;8;7
19;8;8;11;3;3;7;6;14;11;11;10;8;6;10;7;3;6;9
20;9;7;8;11;3;3;7;6;15;11;9;9;8;3;12;7;3;6
21;5;9;7;8;12;4;3;8;6;16;11;8;11;8;3;13;5;3
22;4;5;8;7;10;11;5;3;8;6;17;10;9;11;9;3;12;5
23;8;4;6;9;7;11;11;5;3;8;6;17;10;8;11;9;3;10
