"Popolazione per età, vista per singola area - Comune: 028030 - Cervarese Santa Croce"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Cervarese Santa Croce"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;43;49;48;48;61;82;50;69;77;55;60;53;48;47;51;54;47;30
1;54;48;50;49;55;65;84;50;66;80;60;60;55;48;46;49;51;39
2;45;55;49;51;48;56;61;83;51;66;83;54;60;55;47;46;52;52
3;44;44;61;53;56;49;56;62;77;52;65;82;50;50;54;47;46;48
4;61;45;46;61;51;61;52;59;61;74;54;64;87;50;54;56;46;42
5;50;65;48;46;63;53;62;56;60;62;76;51;61;87;51;53;56;47
6;38;52;68;49;44;67;56;63;55;58;66;74;52;59;88;51;55;54
7;46;39;56;67;49;48;67;57;66;58;58;66;73;51;59;88;49;51
8;44;46;39;59;64;51;51;71;55;67;60;56;64;68;51;64;89;46
9;36;43;47;42;61;66;54;51;74;54;68;60;58;62;67;52;68;86
10;39;34;41;47;40;63;69;52;50;70;56;66;57;60;60;66;51;63
11;49;40;34;44;47;42;66;72;51;50;68;56;63;60;58;61;70;53
12;51;49;38;38;43;47;45;66;72;53;50;67;59;62;62;58;62;68
13;50;53;48;37;39;45;45;48;63;71;53;53;69;60;62;61;58;60
14;46;50;53;49;40;39;44;46;47;65;71;53;54;61;61;62;63;58
15;37;47;54;55;50;41;39;45;49;47;66;75;53;55;60;62;62;61
16;43;38;47;55;56;52;42;37;43;50;48;69;74;50;55;60;64;61
17;54;44;39;51;53;55;52;42;37;45;50;47;69;75;51;54;60;62
18;56;54;45;37;55;55;57;48;39;40;44;51;47;69;80;52;54;60
19;53;56;53;48;37;58;56;57;50;37;40;45;50;47;71;78;52;53
20;52;53;57;58;53;43;60;58;57;47;37;40;46;46;49;71;77;56
21;61;51;52;59;62;54;46;56;61;57;47;38;42;47;47;47;69;77
22;54;63;54;55;60;64;51;47;54;62;58;47;39;42;49;45;47;67
23;59;55;65;55;60;61;60;51;43;51;63;60;53;39;41;49;44;45
24;56;63;58;70;59;57;65;60;47;48;56;61;61;52;38;40;53;44
25;64;58;63;64;77;63;68;65;59;46;50;52;62;63;51;44;40;53
26;76;69;59;73;68;81;71;67;69;61;46;51;52;59;63;47;43;39
27;65;79;71;65;84;75;84;70;68;71;57;41;48;48;59;65;52;40
28;80;70;79;86;75;81;79;81;71;65;65;50;40;52;53;58;59;55
29;82;81;75;88;94;81;85;76;84;68;66;63;53;45;51;57;56;58
30;79;83;81;85;96;101;98;90;78;78;66;61;63;53;47;54;54;54
31;93;79;84;94;98;104;109;98;89;77;75;63;58;59;50;50;55;54
32;88;96;85;90;116;104;107;107;101;88;73;75;64;53;63;52;44;53
33;89;87;97;86;95;116;101;111;99;97;79;73;63;63;65;63;53;41
34;80;91;94;103;97;104;118;108;105;97;96;78;77;62;65;60;59;53
35;86;81;95;95;116;106;110;117;108;108;91;95;78;71;62;70;66;58
36;113;85;85;103;103;129;113;107;113;108;110;93;96;83;72;66;70;62
37;94;114;82;95;111;117;131;116;108;112;105;105;97;94;83;65;67;67
38;101;95;116;83;102;115;112;132;116;105;115;102;109;92;88;86;70;68
39;73;104;101;127;86;104;118;114;127;117;106;115;102;113;88;88;83;71
40;78;73;110;105;125;91;108;122;113;127;115;103;112;103;119;89;86;86
41;69;77;72;115;111;135;94;110;117;114;124;115;109;110;103;116;91;83
42;70;69;74;75;112;113;130;97;107;121;120;125;115;103;112;104;118;92
43;72;69;71;77;84;116;117;127;99;106;124;117;122;107;108;114;101;115
44;63;72;74;73;81;86;114;115;127;97;105;125;117;121;106;108;117;96
45;63;63;73;77;80;80;85;118;112;130;97;106;122;115;117;107;111;119
46;66;65;64;76;79;90;82;84;116;108;123;95;107;122;117;121;108;109
47;48;65;66;71;79;82;87;82;83;115;106;119;96;111;116;117;123;110
48;60;50;68;72;72;83;81;88;81;86;111;106;118;94;110;119;119;118
49;70;62;51;69;79;68;82;78;86;81;85;110;102;117;95;109;116;119
50;52;72;61;55;73;78;67;86;78;87;76;86;111;99;119;93;108;118
51;55;52;73;64;57;73;80;63;84;79;91;73;85;112;103;118;96;106
52;63;56;52;76;61;56;76;79;62;82;77;91;71;84;115;105;118;95
53;68;63;56;54;76;67;57;75;79;64;83;75;89;73;85;116;108;120
54;55;68;64;59;55;74;67;56;75;79;62;82;76;88;74;83;113;107
55;70;57;68;67;60;50;75;65;54;72;77;62;80;76;88;76;86;109
56;61;71;58;67;68;60;53;76;65;52;72;74;62;79;79;90;75;90
57;49;62;75;60;68;70;60;51;79;66;51;72;74;63;81;80;88;74
58;68;45;61;76;60;66;68;59;53;79;62;53;75;76;64;81;82;88
59;53;68;46;62;78;61;69;69;62;54;79;62;56;75;75;65;78;82
60;55;54;68;42;60;77;58;68;67;64;54;76;62;55;75;79;64;77
61;58;53;52;68;43;61;77;55;67;67;63;56;77;60;53;74;78;63
62;47;59;53;48;69;44;59;76;54;68;63;64;56;78;62;50;74;76
63;49;46;60;54;49;67;42;60;76;55;69;61;66;54;77;61;48;74
64;44;51;46;62;55;43;68;41;61;74;54;67;64;64;53;77;61;47
65;50;43;50;46;64;54;44;68;43;60;74;52;67;63;65;53;77;63
66;52;48;43;50;47;64;55;45;67;46;61;72;51;67;66;64;52;78
67;44;50;47;44;49;48;63;55;45;65;46;61;72;50;66;68;64;48
68;44;44;48;47;43;49;49;63;51;47;64;44;59;72;50;67;67;60
69;35;45;43;47;46;44;50;50;60;50;45;64;45;59;72;50;68;67
70;32;33;44;44;46;47;45;52;51;60;52;44;66;43;58;69;50;69
71;45;31;32;43;43;47;45;44;51;51;60;50;42;66;43;56;69;50
72;23;45;30;32;41;42;47;44;45;50;52;58;49;41;67;43;53;69
73;33;23;44;31;31;39;42;47;44;45;49;53;56;50;39;67;42;52
74;28;30;22;43;30;31;37;41;44;42;45;49;53;54;49;38;62;42
75;22;26;28;23;43;29;31;33;40;43;39;44;47;53;52;49;37;62
76;34;21;24;26;23;38;28;30;29;37;42;38;43;43;53;51;49;35
77;28;30;19;23;26;23;36;27;29;29;37;41;36;41;43;52;50;48
78;35;28;28;18;24;26;23;35;24;28;27;36;43;35;41;40;46;49
79;24;32;25;28;18;23;23;22;34;24;26;24;33;42;33;37;39;44
80;24;23;28;22;27;18;24;23;21;31;23;25;24;32;41;33;37;39
81;28;24;23;28;20;25;17;22;23;21;29;20;25;24;30;40;29;36
82;23;25;21;21;28;20;23;16;21;23;20;27;20;24;23;25;39;28
83;10;21;23;21;20;27;19;21;16;19;20;18;27;19;21;23;24;38
84;10;9;20;22;18;18;22;17;16;16;16;20;18;22;16;21;23;21
85;11;9;8;18;21;15;17;21;15;15;15;15;17;16;22;14;21;21
86;17;11;6;8;18;20;15;16;21;13;14;15;14;16;16;21;14;21
87;16;15;9;3;8;16;15;14;15;21;11;15;13;13;14;17;18;13
88;22;15;11;6;3;7;16;15;12;14;17;11;14;13;14;11;15;18
89;9;18;12;9;3;3;6;11;13;10;10;15;8;11;8;12;10;16
90;13;8;14;9;5;2;3;3;9;10;7;10;11;5;8;8;7;9
91;5;10;7;13;8;6;2;3;3;5;9;6;9;10;4;7;8;4
92;3;4;8;5;11;8;7;2;2;2;4;8;6;7;8;3;5;6
93;2;3;1;6;3;9;9;6;2;2;0;3;7;4;5;4;3;2
94;1;2;3;1;4;2;5;8;4;2;2;0;2;4;4;3;4;2
95;4;1;1;3;0;4;1;5;6;3;2;1;0;1;4;1;2;2
96;0;4;1;1;3;0;3;0;4;5;3;1;1;0;1;3;1;3
97;1;0;1;1;1;2;0;3;0;5;5;2;1;1;0;1;3;0
98;1;1;0;0;0;1;0;0;2;0;4;4;2;0;1;0;1;1
99;0;1;0;0;0;0;1;0;0;1;0;3;3;2;0;0;0;1
100 e oltre;1;1;0;0;0;0;0;0;0;0;1;0;3;4;5;2;2;1
Totale;4720;4784;4857;5086;5333;5553;5673;5727;5719;5739;5731;5689;5717;5658;5720;5756;5774;5700
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;25;24;24;22;34;36;33;32;45;33;26;29;17;23;27;31;28;18
1;25;27;23;24;27;36;37;32;33;47;34;26;28;17;22;25;29;22
2;26;26;28;22;25;27;35;38;35;33;51;29;26;28;20;22;25;29
3;19;22;29;30;28;27;30;35;33;36;32;51;26;20;28;21;21;25
4;31;20;23;28;27;28;29;30;35;32;38;31;54;28;22;28;21;19
5;26;33;22;24;28;29;29;33;30;35;34;35;31;52;29;22;30;22
