"Popolazione per età, vista per singola area - Comune: 028068 - Pontelongo"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Pontelongo"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;33;34;30;37;26;41;45;36;34;27;39;37;25;37;23;25;39;31
1;31;35;30;32;39;34;42;47;41;31;24;38;35;24;36;23;24;42
2;42;26;36;34;31;40;34;40;42;37;33;28;36;36;23;38;23;26
3;39;42;26;33;34;30;38;34;38;43;38;31;27;37;33;23;32;24
4;24;41;40;26;30;32;34;35;31;38;46;37;32;25;36;33;21;34
5;31;24;37;41;28;37;33;35;38;32;37;44;36;29;23;33;33;22
6;29;34;25;35;41;28;41;30;36;37;31;37;42;34;27;25;32;36
7;30;27;33;28;37;45;30;38;29;35;36;32;37;40;33;24;29;31
8;29;33;25;36;29;36;43;31;34;30;36;38;32;34;40;36;23;25
9;25;28;33;30;36;30;37;41;27;35;32;35;40;33;37;39;31;27
10;39;25;24;33;32;36;31;40;41;24;34;33;33;39;33;36;42;31
11;41;40;25;22;33;31;37;28;41;45;26;35;35;34;40;32;33;38
12;24;43;39;25;22;32;32;36;28;42;46;26;35;35;36;38;32;35
13;31;24;41;39;23;23;33;33;37;28;41;42;26;36;33;34;39;31
14;33;32;24;42;39;24;24;32;34;37;28;39;45;27;35;31;32;37
15;32;34;34;24;40;41;25;26;35;35;38;27;38;44;27;36;33;34
16;35;33;34;34;24;39;41;26;27;31;36;38;27;38;46;27;35;31
17;36;34;32;35;34;25;39;41;24;29;32;36;37;27;37;46;27;34
18;34;37;33;33;36;36;30;36;43;24;27;29;38;37;26;37;47;27
19;37;36;41;37;35;36;38;29;37;44;28;26;29;41;35;27;37;45
20;35;35;35;39;39;37;39;36;28;35;46;28;26;30;41;38;28;36
21;43;36;34;38;37;43;40;41;36;29;36;45;26;26;30;40;37;26
22;38;45;39;35;40;38;45;40;39;37;29;33;46;25;25;30;32;35
23;41;42;46;38;35;38;43;47;40;38;36;33;34;49;26;25;35;31
24;47;39;46;49;43;38;38;48;49;39;39;35;34;39;43;26;29;38
25;46;52;43;48;51;45;42;45;49;46;38;42;36;32;36;42;25;29
26;52;48;60;48;50;57;48;38;49;47;48;41;46;36;29;36;40;25
27;57;55;49;60;49;52;64;50;37;51;50;48;42;45;34;29;33;43
28;38;58;57;52;59;51;59;62;48;35;42;49;51;37;48;31;25;33
29;70;37;61;60;54;67;60;62;62;43;39;43;46;52;43;43;31;26
