"Popolazione per età, vista per singola area - Comune: 030019 - Cassacco"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Cassacco"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;22;21;21;18;16;14;21;27;27;24;20;17;27;17;19;19;16;17
1;21;25;20;21;18;16;15;21;25;28;27;21;17;25;18;18;19;13
2;27;20;26;21;23;17;16;16;21;25;26;25;23;20;25;23;16;21
3;24;28;20;26;21;22;17;17;19;19;25;27;22;26;20;23;21;19
4;22;26;30;21;23;24;23;18;16;19;21;24;26;24;25;23;20;20
5;18;26;25;30;23;23;25;25;20;16;18;18;23;27;22;25;24;21
6;14;18;27;26;30;23;23;25;26;20;19;19;19;25;29;24;24;23
7;27;14;19;24;26;29;22;22;24;27;20;20;19;20;25;31;23;26
8;18;27;14;21;26;28;29;24;25;26;26;20;22;19;17;23;34;25
9;34;21;29;14;21;26;29;29;22;24;26;26;21;21;18;20;23;34
10;45;35;22;31;13;21;26;29;27;22;25;27;28;19;21;18;18;24
11;20;46;34;25;31;13;22;26;29;27;22;24;28;26;22;20;17;19
12;30;21;44;35;24;32;12;22;26;28;29;20;24;27;27;20;20;18
13;23;28;21;44;36;24;33;12;22;25;30;29;19;24;28;28;21;20
14;21;25;29;21;45;36;26;33;13;20;25;30;29;19;24;27;31;21
15;20;22;24;29;20;47;39;29;31;13;22;24;29;29;20;21;28;32
16;18;22;21;26;27;22;46;39;25;31;14;22;24;28;29;18;24;29
17;27;18;23;19;25;29;22;46;37;25;31;14;22;24;28;29;18;22
18;25;26;19;26;22;25;29;24;43;34;26;31;15;21;24;25;33;19
19;27;25;25;22;28;22;25;30;24;41;33;25;30;16;20;22;28;33
20;25;28;24;25;23;30;24;27;30;27;42;34;27;31;16;21;26;27
21;25;24;24;24;26;22;28;24;26;31;27;40;34;27;30;14;21;27
22;22;26;26;28;23;27;20;28;26;28;33;29;42;33;28;30;15;22
23;32;23;26;27;28;22;25;21;26;27;28;34;29;41;33;26;33;14
24;26;32;23;26;30;26;23;26;21;25;26;32;35;29;43;31;28;38
25;31;26;33;21;26;30;26;24;31;23;26;28;27;39;28;41;26;22
26;36;35;32;31;20;29;28;27;22;33;18;24;30;32;38;26;42;23
27;41;37;37;30;33;22;27;27;25;22;32;20;25;30;32;36;29;36
28;36;41;45;36;30;26;23;27;27;27;21;29;20;27;32;32;41;31
29;51;41;40;46;38;33;26;27;25;30;30;18;31;19;25;32;37;38
30;40;43;36;44;47;43;29;24;30;25;28;28;21;33;18;25;31;38
