"Popolazione per età, vista per singola area - Comune: 030077 - Porpetto"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Porpetto"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;20;26;20;21;27;14;22;14;20;12;13;13;12;21;19;11;14;8
1;24;18;25;19;20;26;16;24;13;18;12;13;13;9;24;18;12;16
2;19;25;21;26;21;21;27;15;23;12;19;13;14;14;9;24;15;13
3;24;20;27;20;27;23;22;26;13;25;12;19;14;10;14;10;24;15
4;16;24;20;27;22;29;25;22;27;14;26;12;20;12;11;14;12;24
5;14;16;23;21;27;23;30;25;23;27;15;27;13;18;13;13;13;16
6;20;14;16;23;19;28;22;30;24;22;27;15;26;13;18;11;12;13
7;21;19;17;16;23;19;28;23;28;23;22;26;16;26;13;18;11;12
8;15;21;21;17;18;23;20;27;22;27;24;21;25;16;26;14;16;14
9;17;15;23;22;17;17;24;21;26;23;29;23;22;24;16;25;15;16
10;28;19;15;24;22;17;17;24;22;26;21;30;24;20;23;17;25;15
11;24;28;19;16;25;22;17;17;24;22;27;20;31;24;20;23;17;26
12;18;24;29;19;16;26;22;17;16;22;23;27;21;30;25;21;24;16
13;16;18;24;29;17;18;26;22;16;16;22;25;27;21;29;23;21;23
14;24;16;19;25;29;17;19;27;20;17;16;23;26;28;21;29;25;22
15;26;23;15;19;24;28;18;19;27;21;16;16;23;26;28;21;29;24
16;21;26;24;15;19;24;32;18;20;27;21;16;16;23;25;28;21;28
17;27;21;26;23;15;20;24;33;18;19;27;20;16;17;22;23;29;21
18;31;26;22;23;23;15;21;25;31;18;18;27;20;17;18;22;22;29
19;35;31;24;22;23;23;14;23;26;30;18;17;26;20;17;18;23;20
20;27;35;32;24;22;25;25;13;23;26;30;18;17;26;20;16;18;24
21;30;26;38;32;25;23;24;26;16;23;26;28;19;17;27;21;17;16
22;29;30;24;37;35;27;23;23;27;15;24;27;26;18;17;25;22;16
23;44;30;30;23;35;33;27;23;23;23;15;25;27;28;17;17;27;22
24;29;41;29;30;24;35;29;22;22;22;24;16;24;28;29;19;18;27
25;30;30;48;28;32;25;34;29;19;24;20;25;19;20;28;29;19;22
26;31;32;32;51;30;29;26;37;31;18;24;21;23;18;24;24;30;21
27;37;32;35;36;46;25;28;24;35;32;18;23;21;20;19;22;24;32
28;45;40;33;33;36;45;23;27;22;32;32;12;23;22;19;19;25;22
29;38;44;43;33;34;34;49;21;27;26;32;31;15;20;20;21;17;25
30;40;38;45;47;35;30;35;51;21;24;26;32;27;15;21;23;23;16
31;40;43;37;42;48;38;33;37;47;20;18;24;34;23;14;20;22;21
32;45;35;50;36;44;52;35;35;34;42;19;19;26;32;22;15;23;21
33;37;44;35;50;37;45;53;32;32;32;46;20;19;27;31;20;16;20
34;37;40;43;37;50;41;48;50;30;30;30;44;18;20;26;30;23;14
35;53;39;44;39;40;55;42;48;53;34;28;30;44;20;20;26;28;21
36;40;52;38;45;37;41;56;43;46;55;32;25;31;43;20;24;26;33
37;40;43;49;40;43;36;44;55;44;45;56;32;23;32;45;21;24;27
38;38;40;44;48;39;43;39;45;55;42;47;57;31;25;32;48;22;23
39;43;38;44;42;49;39;42;39;42;54;42;47;59;31;27;32;47;20
40;45;42;38;43;43;50;44;40;36;42;56;44;49;56;33;27;32;47
41;43;46;43;40;45;41;48;43;40;37;40;54;45;47;57;33;29;32
42;45;43;44;43;40;44;42;49;41;40;39;40;55;45;47;58;31;31
43;37;45;39;46;42;39;45;43;49;41;39;40;40;53;45;47;60;31
44;33;38;46;41;44;42;38;47;42;49;42;41;39;41;56;44;46;60
45;34;33;37;46;42;41;43;39;47;42;50;39;43;43;41;57;43;44
46;43;34;31;38;44;41;41;44;38;44;45;50;44;42;41;40;59;42
47;47;43;35;28;41;44;41;42;44;39;46;46;50;44;43;42;40;59
48;36;49;42;37;31;40;45;40;42;44;35;43;46;50;42;42;40;42
49;34;35;48;42;38;29;38;45;42;42;44;36;43;45;51;44;42;38
50;39;37;37;51;44;38;28;38;45;40;42;45;37;44;42;51;44;45
51;36;40;37;37;51;44;37;27;39;45;39;42;44;37;44;41;53;42
52;33;34;40;37;38;48;44;40;27;37;46;41;41;46;37;42;41;53
53;47;34;34;40;37;35;44;43;38;27;40;45;41;41;47;36;43;40
54;40;48;37;34;41;37;36;44;43;39;28;40;44;42;42;46;35;43
55;41;42;47;35;34;41;38;36;46;45;41;28;43;45;45;42;45;36
56;23;42;43;48;35;34;41;38;36;45;44;39;27;41;45;44;43;45
57;31;23;41;42;46;35;33;41;38;37;45;43;39;27;39;45;45;40
58;44;34;23;40;42;49;35;35;41;38;37;44;41;38;27;39;44;40
59;24;44;34;23;40;42;48;34;35;41;36;37;44;39;39;28;38;44
60;32;25;44;33;23;42;42;46;36;35;41;36;36;44;38;37;28;38
61;50;30;25;43;32;23;42;43;47;35;35;41;35;35;43;38;37;30
62;38;51;30;24;43;33;23;41;43;46;35;33;41;35;35;43;37;37
63;29;40;50;32;23;42;32;23;41;44;47;35;34;41;36;34;42;37
64;33;29;39;51;32;22;42;32;24;41;43;47;36;33;40;36;33;41
65;15;32;28;37;51;32;23;41;32;24;40;43;46;38;32;41;36;33
66;37;15;32;30;36;51;31;22;40;34;24;39;44;45;35;30;41;36
67;40;37;13;33;30;34;50;31;21;40;34;25;37;43;45;34;28;40
68;36;37;35;13;31;30;34;48;32;23;40;34;25;38;42;45;34;28
69;30;35;36;35;13;31;29;35;48;30;22;40;34;24;38;40;43;34
70;35;29;35;36;34;13;30;28;32;47;30;22;39;34;23;38;39;43
71;20;34;31;33;36;34;12;31;27;32;47;32;22;37;34;24;38;39
72;38;21;32;31;32;35;34;12;29;27;32;45;31;21;37;33;23;38
73;33;39;19;30;30;30;34;34;12;28;27;31;45;31;21;34;33;23
74;20;33;37;18;30;30;30;34;34;12;27;27;30;45;29;20;33;33
75;27;20;31;35;17;28;30;31;32;34;12;27;26;28;43;28;17;32
76;23;26;19;31;35;16;28;29;30;32;33;12;26;25;28;43;28;16
77;27;23;23;20;30;34;17;28;28;30;32;32;12;26;24;26;43;27
78;24;26;23;22;17;28;34;16;26;28;25;32;32;12;25;22;26;42
79;16;22;25;23;21;13;27;34;15;19;28;23;31;33;11;25;22;25
80;19;17;21;25;23;20;13;23;35;15;17;26;21;30;32;11;24;20
81;19;20;16;21;24;21;16;13;24;31;15;17;25;20;30;27;11;24
82;12;17;18;13;19;23;21;16;12;21;29;15;15;26;19;29;26;10
83;3;12;16;16;12;18;21;18;14;11;20;28;13;14;26;17;24;25
84;8;3;11;14;12;9;17;20;17;13;11;20;27;13;13;25;17;22
85;10;7;4;10;11;11;9;15;19;15;12;9;18;25;12;9;19;16
86;10;10;5;4;10;9;9;9;14;18;13;12;9;17;23;11;10;18
87;3;8;8;5;4;9;6;8;10;14;18;10;10;6;17;20;10;9
88;4;1;5;4;5;3;9;8;6;10;13;17;8;12;6;13;18;10
89;8;4;1;3;4;6;1;7;7;5;9;10;17;9;12;5;11;18
90;7;8;4;1;2;3;6;1;6;8;5;8;9;15;8;9;4;8
