"Popolazione per età, vista per singola area - Comune: 034027 - Parma"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Parma"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;1334;1429;1406;1588;1539;1499;1616;1673;1769;1733;1646;1682;1683;1632;1655;1651;1570;1529
1;1300;1337;1412;1404;1557;1526;1498;1648;1647;1744;1695;1660;1685;1697;1650;1670;1651;1587
2;1316;1315;1330;1417;1399;1542;1504;1514;1646;1637;1745;1720;1699;1695;1717;1690;1670;1662
3;1191;1325;1329;1332;1417;1389;1511;1540;1516;1667;1608;1748;1757;1704;1725;1745;1689;1678
4;1169;1221;1342;1332;1332;1409;1405;1532;1532;1509;1659;1644;1777;1772;1736;1722;1750;1702
5;1176;1193;1237;1347;1347;1330;1403;1451;1539;1539;1525;1679;1657;1796;1792;1747;1748;1764
6;1151;1188;1214;1260;1370;1367;1327;1412;1474;1526;1552;1557;1707;1679;1822;1802;1756;1750
7;1098;1168;1191;1246;1281;1374;1375;1365;1435;1489;1527;1582;1594;1731;1716;1832;1825;1770
8;1096;1114;1190;1202;1286;1302;1381;1423;1389;1450;1510;1545;1624;1610;1778;1712;1854;1835
9;1158;1108;1123;1205;1246;1310;1329;1425;1453;1397;1456;1526;1580;1648;1643;1793;1737;1862
10;1148;1163;1117;1148;1228;1269;1331;1370;1450;1466;1413;1484;1555;1608;1678;1673;1814;1741
11;1180;1156;1181;1139;1180;1249;1279;1405;1419;1477;1493;1441;1527;1587;1656;1702;1700;1831
12;1133;1173;1171;1201;1177;1220;1282;1321;1442;1437;1509;1523;1490;1544;1617;1663;1716;1709
13;1184;1141;1190;1190;1230;1206;1246;1328;1351;1457;1481;1537;1559;1511;1582;1647;1679;1719
14;1093;1196;1145;1197;1218;1258;1240;1286;1380;1387;1496;1507;1579;1578;1547;1595;1672;1697
15;1088;1096;1211;1160;1215;1244;1278;1280;1334;1407;1422;1528;1550;1610;1625;1580;1613;1686
16;1167;1084;1102;1232;1186;1222;1264;1337;1335;1361;1444;1446;1552;1588;1639;1647;1603;1623
17;1216;1154;1078;1129;1275;1207;1256;1309;1397;1358;1420;1483;1485;1567;1611;1655;1683;1615
18;1216;1215;1177;1115;1199;1319;1256;1318;1381;1448;1422;1466;1520;1515;1598;1651;1705;1702
19;1343;1243;1233;1224;1153;1245;1376;1353;1403;1446;1498;1467;1526;1556;1578;1655;1726;1757
20;1306;1386;1281;1264;1242;1159;1290;1493;1418;1462;1521;1567;1527;1565;1626;1655;1736;1757
21;1416;1332;1449;1342;1305;1285;1231;1394;1563;1485;1523;1601;1632;1573;1611;1731;1757;1784
22;1521;1467;1389;1524;1385;1334;1337;1376;1459;1668;1530;1631;1697;1713;1645;1734;1815;1810
23;1662;1578;1545;1512;1590;1455;1434;1476;1466;1547;1753;1650;1766;1784;1809;1739;1842;1865
24;1843;1766;1681;1644;1579;1625;1543;1574;1592;1581;1640;1878;1762;1872;1891;1953;1873;1903
25;2119;1936;1891;1796;1685;1636;1704;1731;1708;1710;1683;1759;2016;1890;2000;2003;2125;1918
26;2331;2180;2079;2010;1808;1783;1730;1879;1836;1825;1832;1878;1921;2123;2062;2163;2165;2235
27;2557;2407;2290;2175;2082;1867;1894;1900;2009;1964;1903;2028;2026;2063;2323;2226;2320;2229
28;2531;2640;2534;2425;2261;2115;1960;2054;2004;2151;2053;2018;2154;2144;2205;2420;2346;2397
29;2598;2575;2757;2657;2460;2311;2191;2137;2139;2095;2255;2157;2171;2216;2255;2341;2524;2427
30;2754;2631;2669;2860;2718;2494;2382;2324;2183;2221;2160;2362;2291;2298;2318;2354;2451;2604
31;2718;2822;2717;2791;2905;2768;2544;2483;2348;2277;2271;2257;2478;2357;2429;2428;2456;2470
32;2846;2757;2915;2809;2813;2958;2800;2610;2524;2404;2322;2339;2349;2529;2454;2513;2538;2484
33;2810;2886;2818;3013;2846;2862;3013;2859;2666;2566;2455;2359;2428;2396;2644;2490;2568;2563
34;2741;2827;2951;2896;3006;2877;2859;3090;2860;2682;2628;2526;2446;2482;2477;2702;2534;2614
35;2828;2777;2900;2987;2935;2992;2885;2934;3100;2891;2703;2675;2587;2487;2535;2504;2732;2572
36;2818;2848;2839;2921;3035;2962;3015;2952;2928;3070;2902;2729;2751;2617;2564;2586;2522;2735
37;2785;2825;2907;2869;2946;3028;2962;3047;2995;2949;3070;2940;2791;2810;2676;2610;2615;2554
