"Popolazione per età, vista per singola area - Comune: 036043 - Sestola"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Sestola"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;10;13;15;18;22;17;19;23;13;19;24;15;20;8;13;14;18;14
1;12;10;14;13;17;22;17;19;21;12;19;23;16;16;8;11;14;20
2;16;14;10;14;12;16;22;17;17;22;12;18;24;13;16;9;12;13
3;16;15;12;11;13;13;13;22;18;18;22;10;18;23;13;16;10;13
4;9;16;14;12;10;12;12;15;21;18;18;22;12;17;23;12;16;10
5;18;11;15;13;13;10;12;12;15;20;18;17;23;12;15;20;16;16
6;18;18;12;15;12;14;10;11;13;13;22;18;18;19;13;14;23;18
7;31;18;18;11;17;14;19;12;12;14;12;20;19;19;19;11;9;20
8;23;28;18;18;12;17;13;19;12;12;14;13;20;17;19;19;11;10
9;15;24;26;18;19;12;17;13;17;13;11;12;13;21;17;18;19;11
10;22;14;22;28;19;20;11;17;14;15;12;11;11;13;20;19;20;19
11;20;22;13;22;27;20;21;12;17;13;16;12;11;11;12;19;19;17
12;19;21;21;12;22;27;20;21;12;18;12;13;12;12;10;12;18;20
13;22;18;21;22;12;22;27;19;22;12;18;13;15;12;13;10;12;17
14;20;21;18;21;21;13;21;26;16;21;12;16;15;15;12;14;10;12
15;14;20;21;16;20;24;16;17;28;16;20;12;16;13;14;13;12;10
16;16;15;19;22;16;20;24;15;15;26;16;21;12;15;14;14;13;11
17;13;15;13;18;22;16;19;24;16;16;28;17;21;11;15;14;14;14
18;19;13;18;15;17;22;16;20;23;17;18;29;18;22;11;14;15;14
19;22;20;12;18;15;17;21;18;22;25;18;16;31;18;21;12;14;17
20;17;20;22;14;17;14;17;22;17;21;25;17;15;30;18;21;12;14
21;23;20;21;24;15;17;17;16;21;17;22;24;20;12;28;17;24;11
22;14;23;22;22;23;15;16;19;14;20;15;21;28;17;12;29;16;25
23;21;18;22;25;22;21;15;14;18;18;21;15;21;27;17;15;30;18
24;25;20;18;22;27;19;21;13;16;19;24;21;15;18;28;19;17;30
25;33;24;23;19;21;24;24;19;12;16;18;23;21;14;19;29;18;20
26;42;30;27;24;20;22;30;21;21;12;13;16;19;22;14;21;26;17
27;37;38;31;26;24;19;25;27;19;23;14;12;16;19;22;18;24;31
28;37;37;40;34;31;26;20;27;29;19;19;11;10;18;18;25;19;24
29;38;41;37;43;38;36;28;18;24;29;21;14;15;10;18;19;29;19
30;39;39;42;37;43;36;35;25;18;24;26;22;17;15;12;16;20;29
31;33;40;43;43;41;43;38;40;24;16;27;26;27;14;17;11;17;16
32;36;31;42;44;45;40;42;40;42;23;17;26;22;27;16;17;16;17
33;35;35;35;39;38;43;35;42;39;39;24;16;29;19;23;17;17;14
34;41;33;37;31;33;38;41;40;38;33;38;24;19;29;19;20;22;16
35;46;41;35;38;27;33;36;41;42;39;35;35;26;20;29;18;19;21
36;44;48;38;33;38;30;36;33;43;43;36;39;40;25;19;29;17;22
37;35;43;53;42;35;41;27;39;33;39;40;32;37;39;24;21;31;20
38;47;34;46;52;41;35;48;29;40;32;38;44;36;40;39;26;22;31
39;43;48;33;47;53;43;35;46;30;41;31;36;45;39;42;40;28;28
40;42;41;43;33;47;56;39;35;43;30;41;30;38;38;40;41;42;30
41;29;44;39;42;33;46;56;40;34;42;29;42;29;39;39;37;42;41
42;38;26;44;37;39;36;45;57;41;36;41;29;41;30;39;36;37;39
43;31;37;29;46;35;41;38;51;56;39;39;42;31;40;32;37;38;37
44;42;32;34;33;46;37;40;41;48;54;38;40;41;32;43;32;40;41
45;31;41;31;36;32;46;40;39;41;48;53;36;39;44;33;42;34;40
46;32;32;43;30;37;32;47;40;38;42;46;53;36;36;43;32;42;34
47;39;31;26;44;29;40;32;46;41;40;42;44;52;37;36;44;31;41
48;32;41;30;26;44;26;41;32;46;42;40;40;45;52;35;35;42;32
49;30;31;41;29;25;42;28;40;33;45;42;40;40;44;52;31;37;44
50;34;30;30;43;31;24;44;28;44;33;48;42;41;39;45;51;31;36
51;39;35;30;32;43;32;26;44;29;45;30;44;42;43;42;45;52;31
52;34;40;35;30;34;46;32;26;44;34;47;30;42;42;44;43;46;52
53;48;32;38;34;32;36;44;32;26;44;34;47;30;46;41;44;43;44
