"Popolazione per età, vista per singola area - Comune: 037003 - Baricella"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Baricella"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;50;63;64;48;46;59;54;67;63;61;73;64;59;57;62;57;60;47
1;49;51;64;60;45;49;59;57;65;66;66;73;64;60;58;66;55;67
2;48;53;52;70;65;42;45;62;62;67;65;66;72;59;59;56;67;58
3;54;48;53;51;62;64;41;47;70;59;69;66;68;73;59;62;62;64
4;52;55;44;53;59;62;65;42;46;73;57;65;67;64;73;66;65;68
5;40;49;55;47;57;61;63;68;40;47;73;56;64;68;64;80;65;66
6;35;40;51;54;49;58;61;66;66;42;47;74;53;63;72;67;80;62
7;66;38;39;51;58;54;60;64;67;67;45;51;73;56;67;74;66;82
8;45;65;36;43;49;59;57;62;71;66;68;45;51;75;57;70;75;72
9;44;47;63;38;44;54;60;59;62;73;68;69;46;55;73;61;67;69
10;44;45;50;61;40;49;56;62;62;63;76;67;71;48;54;72;63;66
11;41;46;45;55;62;39;50;61;66;63;62;77;64;69;49;51;68;63
12;46;43;47;43;57;61;44;52;62;64;64;59;77;64;69;56;50;69
13;45;46;41;46;46;57;61;42;55;64;65;67;60;77;65;69;56;53
14;46;45;47;44;45;51;58;63;40;54;63;70;68;62;74;65;72;57
15;39;45;47;47;46;52;50;59;63;43;55;62;69;64;62;76;64;69
16;40;38;47;48;47;49;53;51;60;62;45;53;61;67;61;61;73;65
17;39;40;40;46;47;49;50;53;55;59;61;46;49;60;64;61;61;71
18;47;36;43;42;48;50;54;46;57;54;59;58;44;53;61;62;65;57
19;53;47;37;41;38;44;54;51;46;57;54;64;62;47;56;65;64;64
20;31;58;49;35;45;43;48;58;51;50;59;57;63;61;47;55;64;70
21;41;32;61;48;33;44;42;53;63;57;50;59;54;64;60;49;56;70
22;48;38;35;62;49;36;56;43;60;64;62;51;58;54;60;61;52;58
23;54;54;39;38;67;54;39;64;48;62;64;58;54;56;52;56;67;54
24;57;64;59;44;43;69;56;40;65;54;67;68;61;59;57;50;55;69
25;73;53;66;61;48;46;79;59;45;67;58;63;61;61;57;57;62;59
26;73;86;61;64;65;52;46;88;63;57;63;54;65;61;60;57;63;65
27;81;75;93;66;68;69;57;55;83;74;56;66;52;63;68;63;53;63
28;89;79;73;100;68;74;73;61;65;92;77;58;69;49;65;61;59;60
29;81;94;86;84;92;79;78;85;64;68;93;78;65;77;56;65;64;63
30;84;81;92;93;86;94;86;78;93;75;71;93;79;64;70;61;68;69
31;101;86;93;91;95;82;98;88;89;95;75;71;105;79;72;76;76;78
32;84;98;96;96;92;93;84;107;92;92;98;83;74;105;86;66;75;76
33;105;83;95;94;104;92;95;89;117;95;100;100;89;75;99;98;69;74
34;93;105;87;101;97;101;92;100;90;121;98;104;98;82;77;97;97;70
35;92;99;109;91;105;89;107;96;112;92;118;103;105;95;76;74;98;91
36;126;92;104;122;97;113;94;111;105;121;91;126;107;98;93;77;78;105
37;97;125;91;107;118;98;112;92;117;107;129;92;126;104;100;89;80;83
38;84;95;123;91;116;124;102;121;96;121;107;130;91;120;101;106;97;80
39;85;88;102;119;94;117;128;99;127;101;124;106;127;91;121;107;104;104
40;96;81;92;102;124;98;122;134;96;129;110;129;110;131;99;120;102;105
41;84;99;83;99;101;121;100;121;136;98;130;112;125;108;127;95;114;103
42;98;87;107;80;104;102;128;106;115;142;99;126;110;125;109;125;103;120
43;95;97;86;105;83;103;102;127;104;117;145;101;124;111;126;107;129;101
44;96;100;104;83;105;87;103;102;130;105;120;144;100;122;110;125;108;125
45;81;92;108;105;84;101;83;105;107;129;111;120;144;100;127;109;121;114
46;66;81;96;107;104;84;103;89;104;112;132;108;117;145;99;130;113;119
47;83;70;86;98;101;96;87;111;95;106;117;134;110;111;142;99;132;120
48;69;82;72;86;93;100;99;81;110;95;103;120;135;111;110;140;102;134
49;62;68;82;78;87;94;104;100;83;102;97;109;118;137;110;113;146;106
50;82;62;70;83;79;87;96;106;101;87;102;95;107;119;136;113;117;146
51;73;81;63;66;87;80;80;101;107;98;91;102;96;111;124;135;112;118
52;80;72;85;66;68;88;79;82;98;108;100;92;102;97;109;124;130;114
53;76;82;75;86;67;67;91;80;87;102;110;103;98;101;99;108;118;136
54;77;75;85;73;84;67;61;89;85;93;103;115;100;97;102;97;107;120
55;77;76;76;84;71;83;66;60;85;87;99;104;120;98;98;103;97;107
56;49;77;77;76;87;74;83;66;62;84;84;100;105;115;99;96;104;99
57;70;51;83;77;73;87;72;86;69;66;84;82;100;107;118;106;94;105
58;60;71;51;84;76;73;84;74;83;75;70;82;81;98;113;117;103;95
59;60;60;69;53;82;77;74;83;74;82;76;73;79;80;96;112;116;108
60;55;57;63;67;52;85;76;73;83;76;81;78;76;79;80;96;111;117
61;65;54;58;64;68;50;88;79;78;84;78;82;81;77;77;82;92;110
62;74;60;58;60;59;67;48;90;81;76;86;78;81;81;78;75;82;92
63;69;75;61;59;58;56;66;50;91;78;75;84;75;81;77;76;73;82
64;70;70;76;62;59;57;56;67;52;91;77;76;86;78;80;74;77;74
