"Popolazione per età, vista per singola area - Comune: 037027 - Gaggio Montano"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Gaggio Montano"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;52;46;46;60;54;51;56;48;59;39;46;45;35;33;35;28;32;28
1;45;45;47;49;62;55;57;52;51;56;38;50;44;31;30;36;30;33
2;48;42;43;44;51;67;63;51;53;49;58;41;49;45;32;32;33;32
3;38;45;39;48;47;50;64;68;53;48;51;53;38;42;43;33;39;36
4;53;38;50;43;46;57;46;64;63;51;48;50;49;33;41;43;36;38
5;35;53;40;51;46;57;56;45;63;60;53;48;46;48;35;38;42;32
6;28;33;54;39;50;52;54;58;45;62;58;47;45;41;48;37;43;45
7;36;28;31;54;37;55;48;52;59;45;63;60;48;42;42;47;37;46
8;44;37;27;29;53;39;52;45;51;57;45;63;60;46;42;41;44;35
9;40;46;41;27;36;54;41;54;45;54;59;46;58;56;44;42;44;47
10;35;40;43;45;26;40;55;39;55;48;51;56;43;56;54;44;42;45
11;46;38;41;45;43;33;42;53;37;54;47;52;56;43;56;53;44;40
12;35;44;39;39;44;44;33;40;51;37;54;48;50;53;42;54;54;41
13;42;35;40;37;37;46;47;33;38;51;36;53;47;50;55;43;53;53
14;22;40;36;38;39;38;49;46;36;36;50;36;54;47;50;57;39;53
15;32;24;36;35;39;40;43;48;43;35;34;51;31;54;45;51;51;38
16;42;33;24;40;37;39;41;42;46;41;33;34;50;31;55;44;47;50
17;44;44;31;22;44;39;37;41;38;44;43;33;34;50;32;52;43;45
18;37;48;44;33;24;52;42;36;42;42;45;42;30;35;53;35;49;45
19;35;41;51;43;34;22;51;37;34;39;38;45;39;32;33;52;33;47
20;35;38;43;56;45;42;30;52;43;36;38;43;44;41;38;34;55;35
21;46;36;40;44;58;52;44;29;50;38;36;38;43;44;40;35;34;57
22;36;44;40;42;47;64;55;43;31;40;42;39;37;43;46;36;33;33
23;54;36;42;45;43;42;63;55;38;31;46;41;38;36;46;48;36;40
24;59;54;44;47;47;46;47;66;55;40;30;48;40;40;38;40;49;35
25;58;64;60;36;51;50;55;53;67;51;43;36;50;45;45;37;45;47
26;62;53;69;57;52;45;53;55;54;66;54;43;39;43;42;46;42;48
27;57;64;58;77;60;50;52;59;53;48;65;55;44;41;42;43;47;47
28;87;62;81;51;77;71;47;55;57;56;47;69;55;44;38;44;43;48
29;81;86;62;86;52;75;66;51;54;51;59;47;68;56;36;41;47;44
30;76;89;90;65;83;65;77;70;49;54;50;57;44;65;53;40;41;52
31;71;75;85;91;65;83;71;78;72;47;55;51;55;47;66;54;42;39
32;88;72;81;81;94;79;85;72;75;73;46;58;52;55;46;64;56;49
33;83;84;68;86;78;93;77;82;70;73;73;52;58;50;52;43;62;61
34;86;79;91;70;86;85;88;72;76;66;73;71;55;52;46;51;45;58
35;98;89;86;87;70;84;87;80;79;80;65;76;69;60;55;49;55;45
36;86;103;86;83;89;80;90;86;86;79;78;66;79;65;59;57;50;56
37;67;84;104;83;93;96;85;98;89;85;79;76;62;75;58;58;58;53
38;71;69;87;109;84;94;95;92;96;89;82;83;76;61;69;60;57;55
39;63;71;71;86;110;85;102;100;89;100;84;79;79;79;66;67;62;59
40;62;70;71;68;91;109;88;105;102;83;96;86;72;75;75;67;67;64
41;67;62;70;77;73;88;108;87;93;95;83;96;86;71;76;75;68;62
42;59;64;65;68;76;74;87;110;84;91;96;83;93;88;69;71;77;69
43;64;61;66;65;71;73;74;86;103;84;90;98;78;87;85;72;71;79
44;66;66;59;69;64;72;82;75;87;105;81;89;94;75;87;87;76;73
45;53;63;67;63;69;64;77;83;75;88;103;81;88;91;75;86;89;76
46;68;57;60;69;62;69;75;78;76;74;86;101;82;85;91;76;86;92
47;54;71;60;59;64;76;65;73;76;79;71;88;99;77;89;87;75;88
48;67;54;68;60;63;63;70;58;75;76;78;69;85;97;74;91;91;72
49;47;66;55;70;57;62;67;70;58;69;79;78;67;81;96;83;92;88
50;54;47;65;52;71;61;66;68;70;59;71;75;80;68;85;93;83;92
51;58;53;44;67;54;70;59;64;64;69;64;72;74;77;74;86;94;80
52;67;54;53;41;68;56;69;57;65;63;66;64;74;75;75;75;87;93
53;66;69;48;56;44;72;56;67;57;66;63;64;64;73;76;72;72;87
54;65;69;69;48;60;52;70;53;67;57;63;65;62;62;69;70;75;72
55;68;65;72;68;54;59;49;69;53;67;56;66;65;60;59;60;67;76
56;47;66;67;73;66;58;59;47;68;56;67;54;65;62;58;58;62;68
57;48;49;69;69;74;66;57;53;46;67;55;66;54;66;61;62;59;59
58;48;48;50;72;71;76;68;55;54;47;69;56;65;54;67;58;61;57
59;58;47;50;51;69;69;77;68;54;59;47;70;57;65;53;67;59;59
60;55;58;46;53;51;69;68;79;65;54;56;48;64;57;66;53;66;64
61;66;57;57;48;54;51;67;69;78;66;55;54;48;62;57;69;55;65
62;75;65;54;62;50;56;52;68;70;78;66;55;56;47;62;54;72;58
63;80;73;62;54;61;52;56;53;66;67;74;63;53;58;47;58;56;68
64;49;82;71;62;53;61;50;59;51;62;64;73;64;53;56;44;57;51
65;55;51;82;70;70;56;60;51;60;49;60;64;73;61;51;52;43;59
66;69;52;51;80;71;68;54;59;54;57;47;57;62;70;62;51;51;42
67;54;65;52;51;79;72;68;54;59;53;58;47;60;59;72;63;52;51
68;66;54;64;51;52;76;69;66;52;57;52;54;47;58;56;71;62;52
69;52;62;53;64;54;54;75;66;67;47;60;49;54;46;55;56;67;64
70;76;51;63;51;65;54;49;77;67;66;45;59;47;52;42;54;57;67
71;50;78;52;66;49;64;51;48;77;67;66;45;58;46;54;41;53;52
72;61;51;75;47;60;49;62;51;45;73;69;64;46;58;46;53;41;51
73;58;61;52;75;48;58;54;61;50;46;68;66;60;45;57;48;48;41
74;57;53;59;51;69;51;55;51;60;50;46;64;65;58;47;57;46;47
75;51;56;51;56;49;65;49;49;50;60;49;45;62;66;57;46;55;46
76;50;50;55;49;50;49;63;45;47;50;59;49;45;63;62;55;46;53
77;39;47;48;52;47;48;43;57;43;48;48;54;46;43;58;60;55;44
78;53;40;45;45;49;47;45;43;56;39;47;49;53;45;40;57;58;55
79;43;49;42;44;40;49;42;46;42;58;38;45;44;51;45;40;56;56
80;34;39;45;40;45;38;47;40;42;40;54;37;46;42;51;44;38;54
81;36;33;36;44;37;44;36;43;38;40;39;52;35;46;39;49;43;34
82;32;37;31;34;43;37;47;38;41;34;36;34;46;32;42;35;48;42
83;24;28;34;30;34;41;35;43;37;35;30;33;31;42;33;39;32;46
84;14;22;27;30;26;32;41;33;37;37;31;28;31;29;40;32;38;30
85;19;14;22;27;27;26;30;39;31;36;34;29;26;27;28;37;33;38
86;21;17;12;21;26;24;22;19;34;28;31;33;25;25;25;28;36;33
87;23;17;18;12;21;23;24;18;21;31;25;30;28;21;23;21;26;33
