"Popolazione per età, vista per singola area - Comune: 038011 - Lagosanto"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Lagosanto"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;25;33;20;39;37;26;40;35;32;34;52;34;28;33;37;30;29;29
1;37;24;33;23;37;36;29;43;40;34;42;53;36;27;34;36;28;29
2;41;36;25;35;20;38;38;33;42;42;33;42;50;38;29;33;34;29
3;31;45;36;26;34;18;42;38;30;44;45;35;40;52;35;29;28;37
4;31;30;43;38;26;33;21;43;38;31;46;45;36;40;51;33;29;30
5;24;30;28;42;38;26;36;20;40;38;36;44;46;37;44;49;33;31
6;19;25;28;30;44;40;27;36;20;40;41;38;43;43;37;44;48;34
7;33;22;29;26;31;44;41;28;38;22;45;40;40;43;40;36;46;50
8;32;33;21;31;27;31;43;40;30;39;21;42;41;39;43;39;35;45
9;26;30;34;21;31;28;32;43;41;29;42;20;42;42;35;40;38;34
10;29;26;30;33;22;31;31;32;48;43;31;44;20;41;40;34;40;39
11;36;30;27;31;34;23;30;31;32;48;42;29;42;20;42;40;33;45
12;34;38;31;27;31;33;23;26;33;32;48;43;29;44;21;42;37;32
13;29;32;40;32;29;31;34;24;26;35;31;49;42;30;41;23;41;39
14;22;29;31;39;33;30;31;32;29;25;36;33;48;41;31;39;24;41
15;30;22;28;32;39;31;28;32;30;31;27;36;34;49;39;31;39;24
16;36;30;23;29;33;38;35;28;31;31;31;28;36;34;49;38;31;39
17;37;37;30;23;29;32;43;38;31;32;32;33;28;36;35;51;39;29
18;35;39;39;31;24;29;32;43;36;32;33;33;33;29;36;33;52;39
19;41;38;39;40;30;25;28;35;43;37;36;32;33;32;28;37;33;50
20;45;44;38;40;40;31;26;31;34;49;35;36;31;31;32;27;35;32
21;40;47;46;37;40;37;32;28;33;34;49;36;34;32;32;29;28;36
22;57;40;48;48;36;40;36;33;27;34;36;48;39;32;33;31;29;27
23;55;56;39;49;45;37;40;41;32;29;35;34;46;39;33;33;34;27
24;55;55;56;38;50;45;40;40;41;34;31;37;33;44;38;34;35;32
25;64;58;60;56;41;58;53;42;41;44;36;33;38;31;46;38;31;34
26;68;68;60;63;59;47;59;53;44;46;45;37;34;41;32;49;35;30
27;66;75;68;71;63;57;51;59;59;46;49;50;38;35;42;36;52;30
28;61;69;74;71;81;64;61;53;59;59;49;54;50;39;29;41;37;49
29;72;58;68;74;75;82;70;63;51;61;54;50;50;48;35;26;43;40
