"Popolazione per età, vista per singola area - Comune: 040044 - Sarsina"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Sarsina"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;24;30;32;30;28;27;23;31;31;25;21;24;21;22;9;21;17;15
1;21;22;29;28;28;27;28;22;29;30;31;20;24;22;22;10;21;16
2;30;19;24;29;29;28;31;32;26;29;33;29;25;23;25;23;11;20
3;20;31;19;22;29;29;30;30;33;25;32;32;27;25;22;25;22;11
4;34;22;31;20;22;24;28;30;32;33;24;32;32;24;22;23;25;23
5;41;35;23;27;21;20;25;32;29;27;30;24;31;31;25;20;25;24
6;28;42;32;21;26;23;21;23;32;30;24;30;25;27;31;27;19;25
7;34;29;42;31;22;23;24;23;25;32;33;25;29;24;25;28;27;19
8;40;35;30;42;32;21;28;27;23;27;31;31;26;30;24;27;30;27
9;37;39;34;30;40;30;22;29;25;23;26;30;31;25;28;23;29;32
10;33;35;42;33;31;41;31;25;31;24;24;28;31;31;24;28;23;29
11;38;32;34;43;32;29;41;32;22;31;24;24;29;32;33;24;29;28
12;35;37;31;35;44;31;30;42;33;23;31;24;24;29;33;32;29;30
13;33;36;40;37;36;43;32;32;41;31;24;29;25;24;28;33;35;30
14;35;33;33;38;38;36;43;33;32;38;32;26;28;25;25;29;37;38
15;34;32;34;32;41;37;37;43;33;30;38;30;26;28;25;26;29;35
16;46;35;33;35;32;42;41;35;43;34;30;37;30;26;25;23;26;28
17;35;47;35;31;36;33;42;41;34;42;34;29;37;30;24;28;24;26
18;40;36;50;36;30;33;34;45;40;35;41;32;28;38;30;25;30;25
19;39;39;38;49;36;30;35;35;46;40;36;41;33;29;38;32;26;32
20;38;40;39;38;46;34;31;34;36;44;43;39;42;35;30;37;31;25
21;47;38;39;39;37;46;34;32;33;32;43;40;40;42;33;31;37;33
22;35;48;40;41;38;38;47;37;35;32;34;43;39;38;40;35;34;38
