"Popolazione per età, vista per singola area - Comune: 041001 - Acqualagna"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Acqualagna"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;43;40;45;40;50;44;43;39;45;42;54;46;38;34;32;33;37;29
1;47;49;42;48;43;52;45;44;39;45;42;51;49;37;34;30;34;38
2;39;45;53;43;46;42;51;50;46;42;47;43;51;51;37;33;29;35
3;31;37;49;48;45;50;41;50;48;47;42;44;41;54;52;37;31;31
4;36;30;36;47;48;47;46;42;51;47;45;40;44;41;53;50;35;31
5;47;37;30;37;49;45;46;46;39;50;48;46;38;45;37;56;51;36
6;41;46;40;28;39;50;44;43;46;43;49;45;45;43;44;37;55;53
7;38;41;46;41;30;36;46;46;42;50;38;47;44;45;43;47;39;54
8;38;39;41;49;40;33;37;45;44;42;50;42;48;44;47;42;42;38
9;41;36;42;42;49;38;32;37;45;42;40;51;40;46;43;49;40;47
10;43;42;36;40;45;50;38;31;36;51;43;39;52;40;48;44;48;41
11;49;42;39;37;40;44;54;38;33;36;50;42;42;49;39;49;42;46
12;43;53;42;39;38;41;45;51;38;36;36;50;43;43;50;40;48;39
13;43;42;54;44;40;34;40;44;50;40;36;36;50;43;39;50;39;49
14;42;44;42;54;44;40;36;41;47;52;38;37;36;49;44;39;49;37
15;42;43;44;43;51;43;42;38;40;48;49;37;33;35;49;44;36;50
16;44;43;44;44;43;53;42;42;38;42;47;47;37;33;37;51;41;36
17;34;45;43;48;46;44;52;43;44;39;42;42;46;36;30;35;51;39
18;48;34;44;45;48;45;45;53;44;45;39;42;43;46;38;35;40;51
19;69;52;33;47;47;49;46;45;54;44;45;38;42;43;43;42;35;39
20;49;71;53;35;44;47;44;45;45;53;46;46;39;42;41;50;42;35
21;50;50;72;52;38;45;49;45;44;49;54;44;51;39;41;43;53;42
22;51;50;56;72;52;36;42;52;47;44;48;54;46;49;39;41;40;51
23;51;51;49;56;76;53;38;41;51;48;43;44;54;47;46;39;43;38
24;52;54;54;54;58;78;48;39;40;49;49;44;47;52;47;43;39;40
25;65;61;58;45;59;54;74;49;43;44;49;49;43;49;51;49;42;40
26;65;75;59;68;46;57;52;73;56;44;44;48;47;49;50;52;48;40
27;52;67;70;63;65;48;53;53;71;53;44;46;49;47;48;54;55;49
28;63;50;71;72;65;69;48;55;57;73;57;47;48;47;44;51;52;56
29;62;67;49;69;74;62;70;52;56;53;74;60;45;50;44;48;50;53
30;55;64;73;53;68;73;63;69;55;56;56;71;59;41;48;53;51;49
31;45;57;68;71;52;66;80;58;71;57;58;58;69;56;43;45;51;50
32;70;47;56;65;65;56;66;90;63;75;54;57;58;68;54;44;42;49
33;64;71;44;55;61;64;50;68;89;65;75;50;57;58;63;60;48;43
34;58;67;65;43;54;63;66;51;68;88;60;71;54;54;58;66;57;48
35;45;59;68;66;51;56;64;68;50;67;90;57;73;55;53;56;68;55
36;71;51;59;68;70;54;52;67;75;55;66;83;58;74;55;53;60;64
37;89;75;50;59;74;72;53;51;67;73;56;67;83;56;78;55;56;59
38;75;90;74;50;53;71;67;57;52;67;69;61;65;86;58;80;56;55
39;58;75;89;73;54;53;71;66;60;57;64;70;63;63;83;57;75;55
40;56;59;79;89;75;53;53;71;71;62;57;63;69;59;59;86;58;74
41;61;60;65;81;90;71;57;59;69;77;62;58;61;72;57;65;85;59
42;77;62;60;60;78;92;70;56;60;67;76;62;63;68;66;55;67;85
43;51;76;64;66;60;80;92;71;58;62;67;75;64;63;63;68;54;68
44;51;50;75;64;66;58;77;92;73;56;64;69;76;68;61;66;67;55
45;60;51;52;75;63;65;63;76;92;75;58;65;68;75;65;62;67;66
46;47;64;49;51;75;62;65;61;77;93;74;60;65;69;74;65;59;66
47;53;51;62;49;52;72;63;68;58;75;92;73;61;64;67;75;60;59
48;75;52;53;59;50;56;72;62;71;58;73;92;74;57;60;68;75;62
49;49;74;52;49;59;50;54;72;62;68;58;70;92;73;55;61;68;80
50;52;49;76;53;49;60;55;57;73;64;64;58;68;91;71;56;61;71
51;64;56;49;79;54;49;61;54;56;76;64;63;57;70;91;73;56;61
52;55;64;54;49;76;55;49;61;53;56;74;64;62;59;69;92;71;58
53;50;54;67;55;48;78;56;48;62;56;58;76;66;60;58;67;94;71
54;42;50;52;69;54;50;79;57;49;60;57;55;78;63;59;58;69;93
55;50;41;51;53;68;54;52;77;59;49;62;55;52;76;61;63;59;68
56;38;49;40;53;53;68;56;53;76;60;49;61;50;53;76;62;62;59
57;40;38;50;41;54;53;66;54;53;76;59;48;59;51;49;76;62;63
58;45;39;38;49;40;55;55;64;54;53;75;60;48;56;53;49;75;60
59;42;46;38;38;49;40;54;53;66;54;51;74;59;49;56;54;48;71
