"Popolazione per età, vista per singola area - Comune: 041044 - Pesaro"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Pesaro"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;767;796;773;796;769;766;783;831;816;761;789;736;700;636;714;613;604;597
1;748;762;774;778;772;789;789;791;805;825;767;786;741;712;637;722;617;600
2;747;745;773;773;760;780;816;808;799;804;819;762;789;751;715;639;730;626
3;798;740;725;764;775;767;795;833;816;799;803;825;763;805;764;731;647;734
4;764;809;737;719;765;778;780;813;841;822;802;808;817;771;812;756;735;654
5;705;762;816;737;723;775;796;795;820;842;836;796;804;816;781;819;765;735
6;735;706;767;819;742;733;807;816;800;829;838;837;803;807;822;790;818;773
7;691;745;702;765;826;743;764;819;839;804;821;839;840;797;823;825;794;820
8;697;691;746;698;763;837;779;782;832;839;813;820;847;848;805;823;827;799
9;740;695;693;749;703;768;856;795;801;832;844;816;825;849;850;813;823;834
10;763;742;700;698;758;717;791;881;794;817;834;843;822;831;849;852;821;830
11;776;762;740;694;699;765;741;818;890;804;825;837;855;830;845;860;851;833
12;750;778;757;730;703;699;787;763;828;888;808;829;841;852;842;844;864;855
13;735;748;768;753;744;707;727;810;780;833;891;808;834;856;864;847;853;869
14;712;734;757;770;752;752;727;739;826;786;836;895;800;844;866;872;851;859
15;702;705;737;754;768;763;773;741;759;824;795;842;901;803;846;880;873;857
16;689;698;705;736;755;773;795;795;751;762;822;808;844;898;803;854;885;881
17;754;684;694;699;744;777;809;819;820;754;765;826;811;849;897;802;859;885
18;813;756;685;699;717;753;803;836;843;835;764;773;829;819;854;920;823;869
19;828;814;753;688;695;736;804;820;864;861;836;767;781;836;819;884;956;842
20;830;833;819;738;687;702;777;830;831;859;872;844;759;782;832;838;898;965
21;865;828;846;820;740;691;764;803;850;835;863;872;849;759;785;834;861;916
22;910;851;852;836;817;757;752;780;816;853;846;878;872;847;767;800;850;861
23;1014;913;862;830;836;817;834;805;802;836;859;857;885;872;851;788;821;863
24;1122;1001;928;848;834;853;891;891;811;801;845;866;856;897;884;863;814;833
25;1214;1133;1019;918;852;875;929;925;901;809;821;847;870;853;899;901;886;819
26;1271;1200;1152;1020;907;860;932;962;936;892;814;828;844;891;867;911;919;900
27;1347;1257;1222;1131;1008;931;960;956;954;943;887;836;830;862;885;891;934;926
28;1402;1342;1275;1225;1121;993;1027;984;963;956;937;877;833;824;877;896;899;927
29;1404;1375;1358;1260;1196;1138;1073;1066;981;986;955;934;892;845;833;896;916;904
30;1524;1398;1405;1316;1227;1198;1215;1133;1062;967;970;971;941;888;846;851;913;915
