"Popolazione per età, vista per singola area - Comune: 041058 - Sant'Ippolito"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Sant'Ippolito"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;13;11;19;17;14;22;17;11;16;12;23;17;13;17;12;8;17;11
1;13;13;12;21;19;14;22;18;12;16;13;25;15;14;16;12;9;17
2;17;14;13;11;23;19;14;23;17;12;16;12;25;16;14;16;12;7
3;13;15;14;15;11;21;20;15;20;13;12;18;11;25;10;14;16;11
4;12;14;15;16;16;9;23;20;15;21;12;15;17;11;23;11;14;15
5;16;12;16;14;16;16;10;23;17;14;23;15;15;15;11;20;11;14
6;20;16;15;14;14;18;16;10;22;15;14;23;16;15;13;11;20;12
7;11;18;17;16;13;14;19;16;10;22;17;14;23;16;16;11;11;20
8;13;11;18;16;13;14;15;20;16;10;22;18;13;25;16;14;10;11
9;14;11;12;19;16;13;14;16;21;13;10;21;17;15;26;16;15;10
10;15;15;13;12;18;16;11;14;16;22;11;11;21;19;15;27;15;15
11;12;15;15;16;12;19;16;12;13;16;18;13;11;22;19;15;26;16
12;19;11;15;17;16;12;21;16;12;13;15;19;13;11;22;19;15;25
13;17;21;11;17;16;16;12;19;16;13;13;14;19;16;11;22;19;14
14;20;17;22;11;17;14;15;13;18;16;13;13;14;17;15;11;22;16
15;17;18;20;22;9;19;14;15;13;18;16;12;12;13;16;13;10;23
16;15;15;17;20;23;9;17;13;15;14;18;16;13;13;12;17;12;10
17;15;15;15;19;21;24;9;19;14;15;12;18;16;12;13;12;19;12
18;10;15;15;16;16;20;23;10;17;16;14;13;18;16;12;12;10;16
19;16;10;15;15;16;16;21;22;10;17;15;14;13;18;16;12;11;13
20;17;15;11;15;15;17;15;21;19;13;15;15;12;16;18;16;12;11
21;19;20;16;11;16;14;16;15;19;18;15;14;17;14;14;16;16;12
22;19;19;19;16;11;17;12;16;15;19;18;11;14;18;14;13;15;17
23;27;21;19;21;16;11;20;13;16;17;17;18;11;13;19;17;13;15
24;24;25;24;20;21;17;11;22;12;15;18;19;17;12;13;17;16;12
25;20;25;25;23;19;16;16;12;27;12;15;18;20;20;15;13;15;17
26;13;23;28;27;21;20;15;16;12;27;14;15;19;18;19;15;14;16
27;22;18;27;27;27;23;23;16;18;12;28;13;17;20;16;18;14;13
28;26;27;22;29;28;27;24;26;11;18;16;27;14;17;20;16;16;13
29;19;25;27;20;29;28;31;24;24;12;19;16;26;15;14;22;14;18
30;23;18;31;27;21;31;27;26;24;24;14;17;18;29;15;13;22;14
31;20;26;16;31;28;20;32;32;22;20;21;15;17;18;25;17;12;23
32;21;18;23;17;28;29;25;33;34;21;19;18;15;17;18;26;17;8
33;26;20;18;23;18;22;32;23;31;33;19;19;20;11;14;14;24;18
34;24;24;20;19;26;18;26;36;22;26;30;19;19;19;11;13;12;24
35;21;22;26;23;17;23;20;25;31;23;25;29;18;19;20;9;14;14
36;22;20;25;29;24;19;22;26;26;30;26;24;28;22;18;21;10;14
37;30;21;26;29;32;25;19;27;26;25;29;26;23;25;21;18;22;10
38;17;28;23;28;28;33;24;18;31;28;27;31;26;25;24;22;17;21
39;21;17;28;22;28;28;31;26;18;29;27;30;30;25;27;27;23;17
40;17;23;17;27;21;28;30;30;28;20;26;26;30;25;22;26;27;25
41;24;17;23;22;26;20;29;31;28;28;21;25;26;32;22;23;24;29
42;23;25;18;21;21;26;20;29;29;28;26;19;24;25;32;22;23;23
43;25;23;24;17;21;21;23;20;29;28;27;26;18;26;25;28;22;22
44;13;26;23;22;18;22;20;23;19;29;27;28;23;19;26;26;27;21
45;23;13;28;23;20;18;20;20;23;19;28;26;27;26;19;29;25;26
46;21;22;11;28;22;22;18;19;18;24;19;29;25;27;27;18;29;27
47;25;22;21;11;26;24;21;18;18;19;23;19;28;27;27;24;17;30
48;16;26;21;21;10;25;23;20;18;21;19;23;19;25;28;27;26;16
49;22;18;26;21;23;10;25;24;19;18;22;19;23;19;26;27;27;26
50;25;22;18;25;21;21;10;25;24;18;17;21;19;22;19;27;27;26
51;23;24;22;18;25;22;21;11;25;23;17;18;22;17;24;20;27;26
52;15;25;26;21;17;24;21;21;11;26;23;17;18;20;17;24;20;25
53;20;15;24;27;21;17;24;21;21;12;27;22;18;19;21;17;24;20
54;16;20;15;24;25;21;18;24;20;23;12;25;22;18;18;21;16;24
55;27;16;23;15;26;24;21;17;24;20;22;14;26;22;18;19;21;18
56;16;27;16;24;18;27;27;21;16;23;20;23;14;24;22;18;18;19
57;18;16;27;15;23;17;25;27;21;15;24;21;24;14;22;24;17;18
58;15;19;18;27;15;20;18;24;27;20;15;23;21;25;14;23;24;19
59;17;15;19;17;25;14;20;16;22;27;20;15;24;22;23;14;23;23
60;13;16;16;19;17;24;14;20;16;22;27;20;15;25;22;23;14;23
61;14;12;17;15;18;18;24;14;20;16;20;29;19;16;23;22;23;14
62;14;14;12;17;14;18;19;22;15;19;16;20;27;19;18;23;22;21
63;16;14;13;12;17;14;17;19;20;15;19;15;20;27;19;18;23;22
64;11;17;16;14;12;15;15;17;21;19;14;19;14;21;26;19;17;24
65;15;11;16;17;12;12;16;15;17;20;18;14;18;13;22;26;19;16
66;15;14;11;19;17;12;12;15;15;17;19;16;12;18;13;22;26;19
67;20;15;14;11;19;17;12;12;16;14;17;19;16;13;18;13;22;25
68;22;20;12;14;11;19;15;11;12;17;14;17;18;16;13;18;15;21
69;17;22;20;12;13;10;19;15;9;12;16;14;16;18;16;13;18;16
70;18;18;21;19;12;13;10;19;14;9;12;16;14;16;16;16;13;18
71;14;18;18;22;18;12;12;10;17;15;11;12;16;14;16;16;16;13
72;12;14;17;18;21;18;12;13;11;17;15;10;12;16;13;15;16;15
73;11;11;13;17;18;20;18;10;13;11;16;14;9;12;12;13;15;16
74;14;11;11;14;16;18;20;16;10;13;11;16;14;9;12;12;12;15
75;12;13;11;12;14;16;18;20;16;10;13;11;16;14;10;12;11;11
76;17;12;12;11;12;15;17;18;19;16;10;12;9;15;13;10;12;10
77;18;18;12;12;11;13;15;17;18;16;16;8;11;9;14;12;8;12
78;11;18;17;11;12;10;12;14;16;18;17;15;6;11;8;14;12;6
79;12;12;18;17;11;13;10;12;13;16;18;17;14;7;10;8;13;12
80;12;11;13;16;17;10;13;8;12;13;15;18;16;14;7;9;5;13
81;9;12;9;12;15;17;10;13;7;12;13;14;18;14;14;7;9;5
82;9;8;11;8;10;14;17;9;12;7;10;13;14;16;15;14;6;10
83;5;8;9;11;7;9;12;11;10;10;5;8;12;14;16;12;14;6
84;6;4;4;9;10;9;8;12;11;11;10;4;8;11;12;14;11;11
85;10;5;4;4;10;7;10;7;11;9;9;10;4;8;9;12;13;8
86;3;6;3;4;4;10;7;8;7;11;7;9;9;4;7;8;12;13
87;10;3;5;3;3;4;9;7;7;7;8;7;8;9;3;7;8;12
88;8;8;2;5;3;2;4;7;7;5;7;7;7;8;6;3;6;6
89;5;7;6;2;4;3;1;1;5;7;4;6;7;6;7;6;3;5
90;8;4;3;4;2;3;3;1;1;5;6;3;4;7;5;6;4;3
91;2;6;4;3;3;2;3;3;1;0;5;3;3;4;6;3;5;3
92;0;2;5;4;3;2;2;3;3;1;0;4;2;3;3;4;3;5
93;0;0;1;4;2;3;2;2;3;3;1;0;4;2;2;2;4;3
94;0;0;0;1;3;2;2;2;2;3;3;1;0;3;1;1;0;4
95;0;0;0;0;1;2;1;2;2;0;3;3;0;0;1;1;1;0
96;0;0;0;0;0;0;2;0;2;2;0;3;3;0;0;1;2;1
97;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;1;1
98;0;0;0;0;0;0;0;0;0;0;1;2;0;1;0;0;0;1
99;0;0;0;0;0;0;0;0;0;0;0;1;2;0;1;0;0;0
100 e oltre;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1
Totale;1513;1517;1559;1600;1588;1592;1617;1624;1599;1591;1582;1584;1566;1589;1544;1529;1511;1498
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;8;5;12;7;7;10;11;6;7;5;9;7;2;7;5;4;10;5
1;5;7;6;12;9;6;11;10;6;8;6;9;6;2;6;6;5;10
2;7;5;7;5;13;9;6;12;9;6;10;5;9;7;2;7;5;4
3;3;5;6;9;6;12;10;8;11;8;6;12;5;9;6;2;7;5
4;8;3;5;6;10;5;13;10;7;12;9;7;12;5;9;6;3;6
5;9;7;4;5;6;10;5;13;10;7;14;11;7;10;5;8;6;4
6;11;9;10;4;5;8;8;5;13;8;7;13;11;7;8;5;8;7
7;6;12;8;11;6;5;8;9;5;13;9;7;12;10;8;6;5;9
8;6;6;12;7;8;5;6;7;9;5;12;10;6;14;9;8;5;5
9;7;4;6;13;7;8;4;6;8;6;5;12;10;8;15;9;9;6
10;6;7;4;6;12;7;8;4;6;9;5;5;12;11;8;16;9;9
11;5;6;7;7;6;13;7;8;4;6;8;6;5;11;11;8;15;9
