"Popolazione per età, vista per singola area - Comune: 043038 - Pieve Torina"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Pieve Torina"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;9;21;8;12;15;10;13;19;11;13;11;20;9;7;12;5;10;9
1;13;9;21;7;11;16;10;13;19;11;13;11;18;6;7;12;6;10
2;8;12;8;24;7;12;16;11;13;16;7;15;10;18;7;8;11;4
3;10;9;11;9;22;7;12;18;9;12;14;8;14;9;22;7;7;11
4;12;10;9;11;8;21;7;13;16;9;14;14;8;12;10;20;7;9
5;13;12;10;10;11;9;23;7;13;16;9;13;13;8;14;11;17;7
6;12;13;12;9;10;12;12;22;7;13;16;8;10;12;8;13;10;17
7;11;12;13;12;10;10;13;10;23;7;12;16;7;9;12;8;12;11
8;7;11;9;12;12;10;11;15;9;22;7;14;15;7;9;14;9;12
9;12;7;10;10;12;12;11;12;14;9;23;7;15;17;7;9;14;9
10;14;12;7;12;9;12;13;11;13;14;11;22;7;17;18;7;9;14
11;12;14;10;5;11;9;13;14;11;13;14;10;22;7;16;18;7;10
12;12;11;14;11;7;12;9;15;14;11;13;16;10;25;8;17;17;7
13;5;13;11;14;12;9;13;9;15;14;11;11;16;10;24;8;15;17
14;7;4;13;11;13;12;9;10;9;15;16;9;11;17;10;23;8;16
15;11;7;4;11;11;14;15;9;13;9;15;13;10;10;15;11;23;8
16;12;12;7;4;12;11;15;15;11;13;10;15;14;10;10;18;10;24
17;14;12;12;7;5;13;12;15;18;10;13;9;15;14;10;10;17;10
18;12;15;13;11;7;5;13;13;18;19;10;13;10;15;16;11;10;16
19;10;12;16;11;12;8;8;15;14;19;19;10;13;10;13;17;10;10
20;9;11;11;16;17;14;12;12;17;13;19;19;10;14;10;16;16;12
21;19;9;16;11;15;17;17;12;11;18;14;19;19;10;13;10;16;18
22;18;20;9;16;13;15;19;17;13;12;15;15;22;17;10;14;9;15
