"Popolazione per età, vista per singola area - Comune: 044014 - Colli del Tronto"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Colli del Tronto"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;41;21;28;36;24;31;23;33;24;33;46;47;33;39;35;44;39;26
1;31;38;20;28;35;23;30;25;33;24;33;44;52;33;35;36;48;38
2;29;33;36;21;29;35;24;29;24;32;22;32;44;56;33;35;35;49
3;36;28;35;36;21;28;34;23;28;25;38;22;30;45;57;33;36;36
4;31;38;28;34;39;23;28;34;24;27;26;37;25;33;43;54;37;37
5;29;28;40;30;34;36;25;28;34;25;29;25;40;28;34;45;52;37
6;24;30;28;40;32;35;38;27;31;33;24;29;24;42;27;32;46;50
7;28;25;34;28;41;31;37;38;27;30;36;24;28;24;41;28;33;47
8;31;28;26;35;29;40;32;36;38;27;31;36;27;28;24;38;28;32
9;38;30;31;26;37;29;40;34;36;36;27;30;38;25;27;25;38;26
10;29;38;31;31;26;42;29;41;34;35;35;28;30;40;24;26;25;37
11;43;29;38;31;32;25;43;31;41;34;35;34;27;30;37;24;27;24
12;22;44;27;40;32;34;26;42;31;42;34;33;36;28;31;36;22;23
13;32;22;44;28;42;29;33;27;43;32;42;35;34;38;26;31;35;22
14;20;32;24;45;30;42;30;33;30;42;37;43;33;38;37;23;31;35
15;38;22;32;27;43;30;41;30;33;32;43;38;40;33;37;37;24;29
16;23;36;23;31;27;44;32;41;29;34;32;42;37;39;33;37;36;22
17;41;27;36;26;31;30;44;31;43;30;35;31;42;35;39;33;35;35
18;42;41;27;37;25;34;32;46;31;46;33;36;34;41;37;40;31;35
19;38;45;41;27;37;28;36;28;42;33;45;32;35;37;42;36;41;32
20;39;40;42;41;25;36;27;35;27;44;35;44;32;33;37;42;35;44
21;43;37;39;43;41;24;35;26;32;26;46;34;46;31;34;36;42;36
22;40;43;39;39;43;40;28;34;31;32;25;46;37;45;30;34;37;42
23;41;38;40;39;37;44;41;34;36;31;32;25;47;38;44;30;35;37
24;29;46;40;42;38;38;45;45;39;38;32;32;29;46;41;41;32;30
25;41;31;45;41;43;40;40;49;47;43;41;31;31;31;48;40;41;35
26;39;42;33;46;43;44;40;42;47;50;46;44;33;32;29;46;42;40
27;29;47;43;32;47;41;47;46;42;50;49;42;50;33;32;32;49;46
28;42;31;48;46;31;42;42;53;48;41;56;56;41;54;32;35;32;52
29;59;45;35;50;45;31;41;47;56;49;44;60;57;39;53;31;34;32
30;46;67;49;40;52;43;35;46;47;54;53;47;59;58;40;53;35;34
31;43;49;67;51;43;50;48;43;50;51;55;52;45;64;56;38;54;35
32;55;47;55;65;51;45;53;41;46;49;53;51;55;49;63;54;39;56
33;67;56;50;55;63;50;45;52;41;48;51;51;50;55;44;63;55;46
34;53;67;57;49;60;62;45;47;59;43;46;50;51;52;57;46;66;55
35;65;52;67;55;54;59;65;47;49;57;46;51;53;56;56;60;48;62
36;55;68;53;66;50;53;67;64;46;45;59;44;52;52;60;60;64;43
37;45;62;72;59;72;55;54;65;69;47;45;55;48;53;52;61;59;59
38;61;45;63;74;59;72;54;50;62;69;48;46;54;51;53;54;59;57
39;49;59;47;60;73;59;74;60;49;63;67;48;47;59;51;56;58;58
40;46;51;60;48;60;79;62;74;58;48;65;67;50;51;59;53;56;59
41;40;46;49;59;46;60;80;62;74;60;52;67;67;49;50;59;54;57
42;34;40;44;48;61;46;65;82;61;76;58;51;71;68;50;52;54;54
43;44;34;40;44;50;62;50;64;82;61;78;58;50;68;65;53;52;57
44;48;43;36;38;48;47;61;50;62;81;66;79;59;49;68;63;54;52
45;62;49;43;36;37;47;48;61;49;58;78;66;79;60;48;67;64;53
46;32;64;47;47;35;38;48;50;64;51;61;77;66;79;60;49;65;64
47;46;33;65;48;47;37;38;50;51;60;52;59;79;64;81;58;48;64
48;43;48;36;65;49;48;37;41;52;50;60;53;62;80;63;76;57;52
49;41;44;47;35;67;50;47;35;43;52;53;63;51;61;79;59;72;54
50;44;41;43;46;35;64;52;44;36;43;51;56;64;51;57;79;55;72
51;32;44;40;43;46;36;64;52;43;35;45;49;57;63;50;61;77;59
52;48;32;44;40;43;48;37;65;53;43;36;45;51;56;60;52;58;75
53;52;48;34;44;39;44;48;33;64;55;43;36;47;53;53;59;52;57
54;42;50;47;34;43;41;45;49;30;64;55;43;35;48;51;53;59;52
55;40;39;47;48;35;44;40;44;49;31;63;54;41;34;47;52;49;57
56;32;41;40;49;47;35;46;43;44;50;33;63;56;42;35;48;52;48
57;37;32;41;40;47;46;34;47;43;46;48;31;61;57;41;37;49;56
58;31;37;33;42;38;47;45;36;47;41;45;47;33;63;58;41;38;49
59;34;31;38;34;43;38;47;45;35;46;43;45;47;32;63;57;41;39
