"Popolazione per età, vista per singola area - Comune: 044073 - Venarotta"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Venarotta"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;18;18;13;15;15;14;20;11;14;20;15;21;10;24;11;15;13;10
1;20;18;17;13;14;17;14;20;12;12;22;16;19;9;24;12;15;13
2;17;20;19;17;13;14;18;15;20;13;12;22;17;17;9;26;12;14
3;14;17;19;18;20;12;15;21;16;18;14;13;18;16;16;10;25;12
4;22;18;19;21;18;20;11;14;22;15;18;14;12;18;16;15;9;23
5;29;22;18;17;23;18;20;11;14;20;14;18;16;11;18;16;15;9
6;17;28;22;18;17;22;17;22;11;14;20;14;19;16;11;19;16;15
7;18;17;26;22;19;17;22;18;18;10;14;20;15;19;13;11;19;16
8;27;18;17;27;22;19;16;21;18;16;10;14;21;15;19;12;12;19
9;20;26;18;16;26;22;21;16;20;17;16;10;14;21;16;19;11;12
10;25;20;25;18;16;26;24;21;16;18;18;16;10;13;21;15;21;11
11;26;25;20;26;19;16;27;24;21;13;18;18;15;10;13;22;15;20
12;26;28;24;20;25;19;17;26;23;21;14;18;18;15;10;13;22;15
13;18;23;29;24;20;25;19;16;25;22;23;14;18;18;15;11;14;21
14;22;18;22;29;25;21;25;20;16;25;22;22;14;18;19;15;11;13
15;18;23;17;22;27;25;21;25;20;16;24;22;23;14;18;19;15;11
16;34;17;24;18;22;27;25;21;24;20;16;25;22;23;13;17;20;15
17;28;34;19;24;18;22;27;25;21;22;20;16;25;21;22;13;17;19
18;23;28;34;18;24;16;21;27;25;21;23;21;16;25;22;21;13;17
19;31;23;28;32;17;24;16;21;27;24;20;24;22;16;26;24;22;13
20;27;33;23;28;32;15;24;17;20;24;23;20;24;21;16;24;25;23
21;33;27;34;23;28;31;16;23;17;19;25;25;21;23;21;15;23;23
22;21;35;28;34;22;27;31;19;25;17;19;26;26;19;22;21;14;23
