"Popolazione per età, vista per singola area - Comune: 048018 - Firenzuola"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Firenzuola"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;33;35;43;54;46;46;46;37;45;44;41;52;42;41;30;25;29;24
1;44;33;37;44;51;44;44;46;38;47;47;37;50;40;41;32;28;28
2;35;42;31;36;45;50;42;42;42;38;49;45;38;46;40;44;31;25
3;50;34;42;30;36;41;48;40;44;47;33;46;45;33;44;39;42;33
4;25;48;34;42;32;36;42;51;39;48;43;33;46;47;33;46;35;40
5;41;25;49;32;44;31;36;42;51;43;50;45;33;43;45;34;46;38
6;34;41;25;49;34;47;32;36;41;51;43;48;47;31;41;46;35;45
7;33;32;42;24;48;35;45;33;35;42;54;40;46;45;30;41;46;36
8;37;34;34;40;27;47;35;44;32;36;41;52;40;45;43;30;40;44
9;36;35;33;36;40;27;46;35;43;34;37;39;52;40;46;43;28;41
10;42;36;38;33;39;41;27;43;38;43;36;37;37;52;36;45;42;26
11;39;39;36;39;34;36;41;26;44;39;46;36;39;38;49;36;45;41
12;31;38;40;37;40;33;35;42;23;46;38;45;32;36;39;47;35;44
13;30;31;39;39;39;40;33;36;41;23;45;39;47;33;31;40;49;35
14;20;31;30;37;38;37;39;32;35;44;24;46;39;48;30;32;40;48
15;31;20;33;31;37;37;38;38;32;33;44;24;45;39;47;30;32;37
16;43;31;18;35;31;37;37;37;38;33;33;45;23;47;37;47;30;31
17;41;43;32;18;36;35;38;37;37;39;33;35;45;22;46;36;46;28
18;28;42;41;31;19;35;36;37;40;37;38;32;38;44;21;47;35;43
19;42;32;43;41;33;21;36;35;37;43;36;38;35;38;45;21;49;33
20;46;43;33;48;40;30;22;35;38;37;44;36;40;34;38;44;24;47
21;43;46;43;34;49;40;34;26;36;43;39;48;36;39;31;30;49;22
