"Popolazione per età, vista per singola area - Comune: 049011 - Marciana Marina"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Marciana Marina"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;16;16;11;14;13;13;14;10;17;12;15;10;8;8;12;18;10;5
1;19;15;16;13;15;11;14;14;9;15;12;15;10;8;10;10;19;11
2;14;18;15;17;13;15;10;13;15;12;14;12;15;9;8;11;11;18
3;9;14;18;15;18;13;12;10;11;15;11;16;11;15;9;10;12;11
4;10;9;15;17;16;18;13;12;10;10;16;11;17;11;14;9;8;11
5;9;10;9;14;17;16;21;15;12;12;10;15;10;15;12;15;8;8
6;13;9;10;8;13;18;16;22;15;16;13;11;14;10;17;12;14;6
7;14;13;10;8;8;13;20;18;21;15;14;13;8;13;12;16;13;14
8;15;14;12;10;9;8;13;19;20;22;15;14;13;10;14;12;17;11
9;19;14;14;12;12;10;8;15;19;20;22;15;16;13;10;14;13;17
10;14;19;14;14;12;12;10;8;14;19;19;22;17;18;14;9;14;13
11;13;14;19;14;16;13;12;10;7;14;19;20;23;17;19;14;9;16
12;9;13;16;18;14;16;13;13;9;7;14;19;21;23;17;19;14;9
13;15;9;14;16;19;13;18;14;13;9;8;14;18;21;21;16;17;14
14;11;15;9;14;15;19;13;17;14;11;9;8;14;20;20;18;14;13
15;12;11;15;9;14;16;19;12;17;14;11;9;8;12;20;20;18;11
16;23;12;11;15;11;14;17;21;12;17;12;11;9;9;12;19;19;19
17;17;23;12;12;15;10;13;18;21;13;17;12;10;8;9;11;18;19
18;15;14;24;12;11;15;12;14;17;21;13;17;11;10;8;9;11;19
19;18;15;14;25;12;11;15;13;13;16;21;14;18;12;10;8;9;11
20;10;18;16;14;25;12;11;15;14;13;16;22;16;17;12;10;9;9
21;19;9;16;14;14;25;13;12;13;14;13;14;21;15;16;13;11;9
22;23;22;11;18;14;15;24;12;14;13;16;13;15;18;15;16;17;13
23;16;22;22;10;18;14;15;25;11;14;13;16;15;17;19;14;16;16
24;17;17;22;22;11;18;14;16;27;12;14;16;15;13;18;18;15;17
25;21;21;19;20;19;10;17;14;16;29;14;16;16;15;13;20;20;15
26;20;24;23;19;19;23;12;17;11;18;30;13;15;15;17;14;20;20
27;30;18;22;28;19;19;24;12;17;14;19;29;14;15;17;17;15;17
28;30;29;21;23;28;17;16;24;13;17;15;20;28;15;15;19;15;15
29;26;27;29;25;23;31;18;18;26;12;17;16;19;32;15;15;19;19
30;36;30;27;26;28;26;29;24;20;29;14;17;19;19;31;16;14;18
31;29;37;29;29;24;24;23;28;30;23;25;16;19;16;21;33;18;14
32;31;30;37;29;30;26;22;25;24;30;22;25;17;20;15;20;31;18
33;28;33;30;36;28;29;25;22;23;26;30;24;24;18;22;16;18;31
34;43;26;33;26;36;28;29;24;24;22;22;29;22;24;18;21;21;18
35;28;42;23;32;23;32;28;28;25;23;21;23;26;23;26;16;21;21
36;29;28;41;27;30;26;33;26;33;24;21;22;24;25;25;27;16;21
37;32;26;27;40;27;30;28;34;26;34;25;19;21;24;26;24;28;14
38;30;32;30;27;37;28;32;32;37;27;35;24;21;22;28;29;25;26
39;39;28;33;30;28;38;29;32;33;36;33;34;21;20;24;29;28;25
40;24;38;27;35;30;26;39;28;31;34;33;33;36;21;19;25;29;28
41;30;24;38;28;33;28;29;44;27;29;33;36;30;38;22;18;24;30
42;31;30;27;39;30;33;31;29;44;28;29;34;38;32;39;22;19;20
43;21;30;30;27;38;31;37;34;27;48;29;28;33;37;35;38;22;20
44;36;23;30;31;28;39;31;35;35;27;50;29;26;32;37;32;36;21
45;22;33;26;31;30;33;38;31;36;34;25;48;28;28;32;36;33;35
46;32;22;33;26;32;32;31;38;30;35;36;27;45;30;30;32;35;33
47;27;32;21;35;24;35;32;30;38;33;36;35;27;43;33;30;31;35
48;20;26;32;21;34;24;34;30;29;39;30;34;35;26;43;34;31;30
49;28;18;26;32;20;34;26;31;30;28;38;30;35;34;26;42;38;34
50;27;29;18;28;33;20;35;26;31;32;28;39;31;33;33;27;41;40
51;20;27;30;18;29;34;20;35;25;31;32;26;40;32;33;32;27;44
52;15;20;27;30;18;30;35;22;34;25;30;30;25;41;29;32;32;29
53;31;15;19;28;28;19;32;35;22;34;24;32;29;24;41;31;32;31
54;36;31;17;19;28;27;19;32;34;23;35;28;32;30;25;40;32;34
55;31;35;30;18;18;30;29;19;33;35;23;33;28;31;31;28;39;33
56;19;30;36;30;17;25;30;28;19;32;35;22;32;26;28;31;24;38
57;24;21;32;38;28;17;26;33;28;19;34;34;21;31;24;28;31;24
58;18;24;21;32;40;32;17;23;32;28;19;33;32;21;32;25;30;31
59;26;19;24;21;33;45;35;16;22;32;27;21;31;32;23;34;25;29
60;25;30;19;25;19;36;46;33;16;22;31;27;21;30;34;23;36;27
61;23;25;31;19;23;21;36;41;34;16;21;30;27;21;30;35;23;35
62;21;24;26;31;20;25;22;35;39;35;16;21;31;27;23;31;34;27
63;26;21;25;26;31;22;27;23;35;34;32;16;23;28;28;23;30;34
64;16;26;20;21;26;30;23;27;23;35;34;33;16;24;26;29;20;31
65;32;16;26;19;23;25;33;21;27;21;35;34;35;16;23;23;29;19
66;32;32;15;26;18;24;25;34;22;26;21;34;35;33;16;20;24;29
67;18;32;33;16;26;18;24;25;34;21;25;22;34;33;33;16;20;26
68;27;18;33;35;16;26;17;26;26;33;20;24;22;33;33;30;17;20
69;20;27;17;34;34;18;27;17;25;26;32;20;24;21;31;33;33;15
70;18;21;25;17;37;32;19;27;16;27;26;31;21;24;21;27;33;34
71;26;17;21;25;17;35;30;18;27;16;25;27;27;22;25;21;26;33
72;18;26;17;21;25;17;35;31;17;26;15;23;27;26;21;25;21;26
73;17;18;26;17;21;25;16;33;30;17;25;15;20;27;27;21;25;19
74;13;17;18;26;17;19;25;17;33;30;16;25;15;20;26;27;21;25
75;29;13;18;18;25;16;19;25;18;34;30;16;26;15;19;26;24;21
76;18;29;12;18;18;25;18;19;24;18;34;30;17;25;16;17;25;23
77;22;15;28;11;15;17;25;17;19;24;18;33;30;18;22;16;17;25
78;13;21;15;26;13;15;15;23;20;17;24;19;31;29;19;22;16;18
79;11;14;20;14;25;13;13;15;24;20;18;25;18;30;26;18;21;17
80;16;11;11;20;15;25;13;13;14;24;21;19;22;18;30;24;18;19
81;16;16;12;13;17;14;24;13;13;13;22;20;19;22;15;29;23;16
82;10;14;17;12;10;18;14;24;11;13;13;23;19;18;19;14;29;22
83;11;9;14;15;10;10;14;12;23;9;12;12;24;16;17;17;14;27
84;8;11;9;11;16;9;6;13;10;22;8;11;11;23;14;17;17;14
85;9;7;8;8;10;16;9;8;13;10;21;8;9;10;21;13;13;17
86;7;6;7;7;7;10;13;8;9;11;8;19;8;9;8;22;13;11
87;6;7;5;7;7;6;5;12;8;8;9;7;19;7;7;7;18;11
88;9;5;6;5;7;7;6;4;11;7;7;9;7;17;6;7;5;15
89;3;5;4;5;3;6;7;5;5;10;8;8;8;6;17;6;5;5
90;9;2;4;4;4;2;6;6;4;4;9;6;7;8;6;14;6;5
91;4;9;2;5;3;3;2;5;5;4;5;7;4;6;7;6;11;5
92;2;4;7;2;5;2;2;1;6;5;3;2;7;3;5;7;6;10
93;3;1;4;6;1;3;3;2;1;2;4;3;2;3;3;4;5;5
94;3;3;1;3;6;1;5;1;2;1;2;4;3;1;2;2;4;5
95;1;3;3;1;3;4;1;4;2;2;1;2;4;1;1;2;1;3
96;2;1;3;2;0;3;3;1;2;2;1;1;1;4;1;0;2;1
97;0;1;0;1;1;0;2;2;0;1;2;0;1;1;3;1;0;0
98;0;0;1;0;1;1;0;0;2;0;1;2;0;1;1;3;1;0
99;0;0;0;1;0;0;0;0;0;2;0;0;2;0;1;1;2;1
100 e oltre;1;0;0;0;1;0;0;0;0;0;1;1;0;2;1;0;1;4
