"Popolazione per età, vista per singola area - Comune: 050006 - Casale Marittimo"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Casale Marittimo"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;3;5;6;5;6;6;7;13;12;9;17;5;9;10;5;8;8;8
1;13;5;8;7;7;4;3;8;12;12;11;17;4;9;10;5;7;11
2;6;12;4;8;6;7;3;4;9;9;14;11;16;4;10;11;5;9
3;6;7;9;6;8;6;6;4;8;8;10;15;11;15;5;9;10;5
4;9;5;5;9;5;8;6;6;5;6;10;9;14;11;17;5;9;9
5;10;11;5;6;9;4;7;6;7;6;6;8;11;14;10;16;5;6
6;8;10;12;6;6;9;3;7;6;5;6;6;8;11;15;9;15;6
7;4;8;13;11;6;6;9;3;8;6;6;5;6;8;12;15;10;14
8;11;3;7;13;11;6;7;11;3;6;8;6;7;6;8;13;14;11
9;8;9;4;8;13;11;4;8;12;3;6;8;6;8;7;9;13;13
10;8;8;8;5;7;12;10;4;8;12;3;6;8;6;8;7;8;12
11;9;9;8;8;5;3;12;11;5;8;11;3;6;9;6;6;8;10
12;5;8;7;8;8;5;3;13;11;5;8;11;3;6;10;8;7;9
13;4;6;8;7;8;8;3;3;12;13;5;8;13;3;7;9;7;7
14;12;4;6;8;7;8;9;3;3;12;13;5;7;13;5;7;8;6
15;8;14;4;6;8;6;9;9;3;3;12;14;5;7;11;5;7;9
16;10;8;14;4;6;7;5;8;9;3;3;12;16;5;8;11;5;7
17;4;10;8;14;4;4;7;5;7;9;4;3;13;16;5;8;11;5
18;10;4;10;8;14;4;4;9;6;9;9;4;4;13;16;4;7;10
19;6;10;4;11;8;14;4;4;9;8;9;9;4;4;13;15;5;8
20;10;6;9;4;10;7;16;5;3;5;8;8;9;4;5;13;15;8
21;9;11;6;11;5;10;7;15;6;3;4;8;8;10;4;5;12;15
22;9;9;10;6;11;4;8;9;15;6;6;5;6;8;10;5;4;12
23;9;9;7;10;7;10;5;9;10;17;5;7;5;5;8;10;4;3
24;7;13;10;7;10;8;8;5;13;9;18;7;8;5;5;8;9;4
25;12;7;11;10;8;9;7;9;7;15;12;19;7;8;5;5;10;9
26;9;12;8;11;7;10;7;8;9;6;15;12;20;7;9;6;5;8
27;12;10;13;8;13;8;8;5;7;8;7;15;12;21;9;8;5;6
28;12;8;11;13;9;13;12;12;7;8;12;8;13;11;20;8;8;5
29;7;10;10;13;16;8;14;15;10;11;8;13;8;13;11;17;9;6
30;25;7;11;12;14;17;7;14;14;10;11;11;13;7;12;9;18;7
31;13;25;11;13;15;15;17;13;16;14;13;9;11;18;8;10;9;19
32;16;14;23;12;13;14;17;19;12;17;12;15;7;8;19;7;8;10
33;26;16;11;26;11;13;13;18;23;13;19;12;15;7;8;18;5;8
34;11;23;18;10;24;14;12;14;18;21;14;20;11;16;7;8;16;6
35;10;13;25;19;10;23;15;15;13;17;22;16;22;11;14;8;8;15
36;9;10;15;29;19;8;25;13;18;13;19;19;15;19;12;15;7;10
37;17;10;8;14;29;14;8;25;13;18;15;17;18;13;21;13;15;8
38;13;19;12;10;17;28;15;11;23;10;21;19;21;18;13;21;13;15
39;20;15;20;14;11;15;25;14;14;22;10;21;20;20;20;12;21;14
40;12;22;15;21;14;13;15;27;14;12;26;10;22;20;21;21;7;20
41;19;10;20;13;22;13;14;16;25;15;14;25;9;22;23;16;21;11
42;17;16;11;21;14;20;13;14;16;24;15;14;27;10;24;21;16;21
43;9;16;16;12;21;14;17;13;14;13;25;14;15;27;13;23;25;18
44;21;10;17;16;9;18;13;17;14;16;15;26;18;17;30;17;23;26
45;6;19;11;17;16;8;18;15;14;13;14;15;28;18;18;29;16;22
46;17;8;19;12;17;14;9;19;13;14;14;13;15;27;19;17;29;18
47;12;17;9;19;11;16;14;11;19;15;16;16;12;14;28;20;16;27
48;16;14;16;9;20;11;17;18;10;19;18;18;12;13;13;28;20;16
49;10;16;14;15;8;20;10;17;18;12;18;18;16;12;13;13;28;20
50;8;11;15;16;12;7;17;10;19;18;13;18;18;16;13;17;13;25
51;14;10;11;15;16;12;7;16;10;20;18;13;17;18;14;15;16;14
52;18;13;10;11;15;17;13;7;16;10;19;18;12;18;18;14;15;15
53;18;17;13;10;10;15;18;10;6;16;11;19;21;12;20;16;14;16
54;25;17;17;14;10;11;16;17;12;7;16;12;21;20;10;19;16;14
55;16;22;17;17;13;9;12;15;17;12;7;16;15;19;18;7;20;15
56;18;15;24;17;16;13;9;14;14;16;11;7;17;15;20;19;6;21
57;19;18;13;24;16;15;13;8;12;14;16;11;7;17;13;21;20;9
58;14;20;17;13;23;18;15;11;9;13;16;16;11;7;16;13;23;20
59;16;15;18;18;13;22;18;15;11;8;12;16;18;11;7;19;13;22
60;13;17;17;18;18;13;22;17;17;14;9;12;13;17;10;7;19;13
61;21;11;18;17;17;19;13;26;19;19;13;10;12;13;18;9;8;19
62;12;21;11;20;18;18;19;15;28;17;19;13;10;11;15;18;9;8
63;15;12;21;13;19;21;18;17;15;26;17;18;13;10;11;17;18;10
64;14;16;11;21;13;18;20;20;18;15;26;17;19;13;10;11;17;14
65;15;13;16;11;20;13;18;21;20;21;15;25;17;18;13;10;11;16
66;6;14;13;18;11;20;14;19;20;20;19;16;25;16;17;13;10;12
67;13;6;16;13;19;10;20;14;18;17;21;19;16;24;15;19;14;10
68;14;12;6;14;13;19;10;19;14;18;17;22;19;16;23;14;19;14
69;13;14;12;7;14;11;17;9;18;12;17;15;22;20;16;22;12;19
70;11;13;10;10;6;12;14;18;10;19;12;17;15;22;20;16;22;13
71;14;11;13;10;9;6;13;12;18;10;19;13;17;15;22;19;16;22
72;17;14;11;13;9;9;6;13;11;16;10;21;13;16;15;19;18;15
73;15;17;14;11;13;9;5;6;12;11;15;9;19;11;16;15;19;19
74;10;15;16;14;10;12;9;5;6;13;11;16;10;19;11;15;14;19
75;6;10;14;14;14;10;11;9;5;6;12;11;17;10;19;10;14;14
76;8;6;10;13;14;14;10;11;9;6;6;12;11;16;9;17;11;14
77;7;8;6;10;10;15;14;9;11;8;6;6;12;10;16;9;17;10
78;6;7;8;7;11;9;15;13;9;11;7;6;5;12;9;14;10;17
79;11;6;6;7;7;11;10;14;13;9;11;7;6;5;11;9;14;10
80;8;10;5;6;7;7;11;9;14;13;8;11;7;6;5;11;9;13
81;12;7;9;4;6;7;7;10;9;13;11;8;11;6;6;5;10;8
82;3;11;8;9;5;6;6;7;7;9;13;10;8;11;5;6;5;10
83;1;3;7;7;9;5;6;3;7;6;8;12;9;7;8;5;6;4
84;5;1;3;6;7;8;5;6;3;6;6;7;12;9;7;7;5;4
85;1;5;1;3;7;6;9;6;5;4;6;5;6;11;7;6;7;5
86;4;1;4;1;4;5;6;8;5;5;4;6;5;6;11;5;6;7
87;7;4;0;5;1;4;6;5;9;4;4;3;6;3;5;11;5;4
88;2;6;4;0;5;0;5;6;5;6;4;4;3;5;2;3;10;4
89;3;2;1;1;0;3;0;5;5;5;5;4;4;2;4;2;2;9
90;3;2;1;0;1;0;3;0;4;5;4;5;4;4;2;3;1;2
91;1;3;2;1;0;2;0;3;0;4;5;4;4;3;3;2;2;1
92;1;1;3;2;2;0;2;0;3;0;4;6;3;2;3;2;2;3
93;1;0;1;3;2;2;0;1;0;2;0;3;4;3;2;3;1;2
94;2;0;0;0;2;2;1;0;1;0;0;0;2;2;2;1;3;1
95;0;2;0;0;0;2;1;1;0;1;0;0;0;2;2;2;0;2
96;0;0;1;0;0;0;1;1;1;0;1;0;0;0;2;0;2;0
97;1;0;0;0;0;0;0;1;1;1;0;1;1;0;0;2;0;2
98;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0
99;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0
100 e oltre;0;0;0;0;0;0;0;0;0;0;1;2;2;0;0;0;0;0
Totale;1011;1010;1001;1029;1030;1000;992;1036;1060;1056;1104;1118;1135;1116;1131;1110;1095;1102
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;2;1;4;3;4;3;5;6;5;5;13;2;3;6;3;4;5;5
1;7;2;2;4;5;2;1;6;4;4;5;13;2;3;6;3;4;5
2;3;6;2;2;4;5;1;1;5;4;5;5;12;2;5;7;3;5
3;5;4;5;4;2;4;4;1;4;5;5;6;5;11;3;4;7;3
4;6;4;2;5;3;2;4;4;2;3;6;5;5;5;11;3;5;6
5;5;7;4;2;5;3;2;4;5;3;3;4;6;5;5;10;3;3
6;4;5;5;4;2;5;2;3;4;3;3;3;4;6;6;4;9;4
7;1;2;6;4;4;2;5;2;4;4;4;3;3;4;6;6;5;9
8;9;1;2;6;4;4;3;7;2;2;5;4;4;3;4;7;6;5
9;6;7;1;2;6;4;4;4;8;2;2;5;4;5;3;5;7;5
10;4;6;6;1;2;5;4;4;4;8;2;2;5;4;5;3;4;5
11;5;4;6;6;1;1;5;4;4;4;7;2;2;5;4;4;3;7
12;0;5;2;6;6;1;1;5;4;4;5;7;2;2;5;5;5;4
13;1;1;5;2;6;6;0;1;4;5;4;5;9;2;3;5;4;5
14;7;1;1;5;2;6;6;0;1;4;5;4;4;9;2;3;4;4
