"Popolazione per età, vista per singola area - Comune: 050027 - Pomarance"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Pomarance"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;33;32;37;38;41;36;45;40;44;31;29;37;39;32;30;37;44;38
1;33;36;29;35;39;40;38;45;38;45;30;33;35;39;35;34;36;46
2;40;36;34;30;35;41;38;36;46;35;45;29;35;35;40;35;32;38
3;44;41;35;34;32;34;43;38;36;47;39;48;33;39;36;39;30;31
4;39;45;40;37;38;32;34;46;37;37;45;40;48;32;42;38;37;30
5;44;39;46;37;37;39;38;34;43;39;38;48;39;49;35;40;39;36
6;50;44;35;46;36;37;40;39;36;43;40;38;47;42;50;34;38;38
7;40;51;42;36;47;37;37;39;39;34;44;40;38;47;43;51;32;38
8;48;41;51;41;37;47;37;38;38;39;33;44;40;38;47;43;49;33
9;50;46;41;50;45;36;47;39;38;37;39;35;44;41;40;47;45;46
10;34;50;45;41;52;45;41;48;42;38;38;38;37;48;44;39;45;46
11;44;31;49;43;46;52;47;42;46;42;38;39;36;39;49;42;39;47
12;43;45;31;49;46;47;56;46;44;44;42;38;38;37;40;48;41;39
13;38;42;46;32;49;47;47;56;48;43;45;42;38;39;38;41;46;39
14;46;38;44;46;34;49;47;48;56;50;43;46;40;38;40;38;40;44
15;55;44;39;43;49;33;49;48;45;55;50;44;47;39;37;41;37;40
16;38;54;42;39;45;48;34;49;48;45;55;49;43;45;39;39;40;38
17;56;36;53;42;40;45;50;32;48;49;44;54;47;43;47;38;40;40
18;37;56;36;52;44;42;44;49;31;48;50;46;55;47;44;47;38;39
19;58;37;57;37;51;45;42;46;50;32;50;50;49;53;49;47;43;41
20;63;53;36;53;36;52;45;40;45;53;34;49;51;48;53;48;46;47
21;52;64;53;38;56;36;52;43;39;47;53;36;52;53;47;52;46;43
22;60;50;66;58;36;61;41;54;48;39;49;54;41;52;54;46;49;48
23;85;62;55;66;64;38;59;42;59;53;41;51;54;41;53;49;45;52
24;62;89;64;55;67;62;37;59;44;55;52;44;53;52;42;55;51;43
25;71;62;83;65;54;67;58;41;60;44;58;56;46;56;51;42;57;53
26;79;68;61;85;67;54;71;59;41;57;46;59;54;47;59;51;36;54
27;85;75;62;65;85;66;57;69;60;43;61;50;57;55;49;59;44;37
28;77;87;75;64;64;84;66;54;69;66;46;64;51;57;54;46;54;45
29;73;73;83;72;67;63;85;63;50;67;68;47;60;48;56;53;45;51
30;74;71;74;82;76;65;57;80;60;50;66;66;44;60;50;56;50;45
31;71;73;70;73;84;72;62;58;74;57;53;67;63;47;59;47;58;49
32;78;64;68;71;71;83;76;57;60;70;56;53;66;62;44;57;45;59
33;77;74;61;65;69;66;81;70;56;56;67;55;54;66;62;43;54;44
34;73;71;74;65;63;65;64;75;66;59;58;72;50;53;68;60;44;53
35;78;70;69;73;64;60;67;58;70;70;61;57;73;50;55;70;58;43
36;84;76;67;71;71;65;61;71;59;70;68;65;57;74;53;53;67;58
37;80;87;73;70;75;70;60;59;73;61;70;73;67;58;73;58;49;64
38;70;77;85;71;72;78;77;60;62;73;62;72;74;67;57;76;56;47
39;88;72;80;83;77;73;79;76;62;63;74;65;73;73;68;53;69;54
40;81;87;70;83;88;82;74;79;75;64;59;73;66;75;70;68;53;70
41;79;84;89;70;86;87;81;72;77;77;67;61;75;70;79;70;74;54
42;88;80;86;84;69;87;86;82;69;79;78;70;64;75;67;81;68;72
43;99;87;79;86;83;71;90;89;80;70;81;79;67;64;77;68;80;69
44;83;100;88;82;89;84;75;90;94;80;70;81;78;65;59;79;68;80
45;77;82;102;90;83;87;83;74;91;96;82;74;79;80;67;59;74;71
46;68;80;82;101;96;85;91;83;77;87;102;81;77;78;73;69;56;73
47;80;64;78;83;105;98;86;92;85;77;87;99;86;76;77;72;69;59
48;94;80;68;80;83;106;100;88;93;86;78;86;97;85;79;74;72;68
49;79;94;78;69;75;85;105;95;89;97;88;80;84;95;85;80;76;72
50;95;78;94;80;68;72;87;104;100;87;98;88;83;86;98;85;77;76
51;84;94;74;92;81;68;71;88;107;102;89;101;87;83;85;96;87;74
