"Popolazione per età, vista per singola area - Comune: 053020 - Roccalbegna"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Roccalbegna"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;6;4;4;11;5;6;5;8;9;5;8;6;5;5;2;8;3;5
1;5;6;5;5;11;6;7;6;7;8;6;7;5;7;4;2;7;3
2;7;5;6;5;5;9;5;7;7;7;6;5;6;6;7;4;2;8
3;8;8;5;7;5;6;9;3;7;9;7;7;5;6;8;5;5;2
4;2;6;10;5;8;5;6;10;4;8;10;7;8;5;7;7;4;5
5;4;2;5;10;6;9;5;7;10;4;8;12;7;7;5;7;6;4
6;6;4;2;7;9;6;9;4;6;12;5;8;11;8;7;5;6;7
7;6;6;4;2;7;10;6;8;4;6;12;5;10;11;8;7;5;6
8;8;6;6;4;2;7;10;5;8;4;7;13;6;12;11;8;7;4
9;6;7;8;7;4;3;8;9;5;8;5;8;14;6;8;11;8;8
10;4;6;8;8;7;6;4;8;8;5;8;4;8;15;5;7;10;8
11;7;4;8;7;10;8;5;4;8;11;6;9;3;8;14;5;7;8
12;12;7;4;8;8;9;8;5;4;8;12;7;9;3;6;13;5;7
13;2;10;8;4;8;8;9;6;5;3;8;12;7;9;3;5;13;5
14;15;3;11;8;3;7;8;9;6;6;3;8;12;7;9;3;5;13
15;13;15;3;9;8;3;7;7;9;7;7;4;7;12;6;9;3;5
16;7;12;14;2;9;8;4;7;7;9;7;7;4;7;13;6;10;3
17;7;6;11;16;2;10;7;4;6;7;9;7;7;4;7;12;6;10
18;11;6;6;11;17;3;10;7;4;6;7;9;7;6;4;7;13;6
19;9;10;5;7;9;18;3;8;7;4;6;7;9;7;6;5;7;13
20;10;10;10;5;7;9;20;3;9;7;4;6;7;9;7;4;5;6
21;9;10;9;9;7;6;10;17;3;9;7;4;6;8;9;6;2;4
22;14;9;10;10;9;6;8;10;16;4;7;5;4;7;8;12;5;3
23;11;14;9;9;7;11;8;8;9;15;5;8;4;3;7;8;11;5
24;7;11;16;9;8;6;12;8;8;9;16;4;9;4;3;8;8;11
25;13;7;12;14;8;8;6;12;9;7;9;15;4;9;5;5;7;9
26;8;13;10;16;11;8;8;4;10;7;7;11;17;2;9;7;4;7
27;7;7;15;10;15;12;8;9;7;10;6;9;10;14;2;10;5;4
28;12;6;9;15;7;16;9;8;8;5;10;6;9;9;11;3;5;5
29;14;12;7;7;15;13;15;11;7;9;5;12;6;8;8;10;2;5
30;17;15;11;11;8;16;12;18;11;7;9;8;16;5;8;10;8;2
31;13;18;17;13;13;8;18;12;17;10;7;7;7;13;5;5;9;8
32;16;10;21;17;12;13;7;18;12;18;9;8;4;9;11;5;7;9
33;14;16;11;22;17;13;7;7;17;12;14;9;10;7;9;12;4;9
34;17;13;17;12;23;14;12;7;8;16;12;14;11;9;6;10;11;4
35;12;15;14;16;12;22;12;8;9;12;16;9;12;12;8;6;9;11
36;19;13;16;14;17;14;16;12;10;11;14;14;9;16;10;9;6;8
37;17;16;14;17;13;16;14;16;11;9;12;11;13;14;15;9;7;6
38;16;19;18;15;19;15;16;15;17;13;9;11;10;13;15;14;10;7
39;21;14;20;21;17;20;15;18;13;19;12;10;8;12;13;10;15;10
40;18;21;14;20;21;17;20;19;21;16;17;13;10;8;13;15;10;16
41;9;17;21;15;16;22;18;20;19;20;16;18;13;11;8;17;14;10
42;15;10;17;22;18;16;21;17;20;18;20;18;16;15;12;7;15;13
43;11;14;10;17;20;19;17;21;16;22;20;19;18;16;16;11;7;14
44;22;11;17;9;20;20;17;16;20;13;22;19;20;19;16;13;12;10
45;7;22;11;18;9;19;20;16;17;20;11;22;20;22;19;16;12;10
46;15;7;22;10;17;9;20;20;14;18;20;9;21;19;21;19;17;12
47;20;14;7;21;10;19;11;21;20;16;18;22;10;20;21;20;19;15
48;17;20;15;10;20;13;19;11;21;19;16;18;21;10;21;21;19;19
49;19;18;19;16;10;19;14;18;10;20;19;16;16;21;10;21;21;18
50;13;19;19;20;16;12;21;13;18;11;19;19;15;16;20;12;21;22
51;9;13;19;19;23;16;9;19;13;20;11;19;20;15;16;20;10;23
52;15;9;13;19;18;23;18;10;20;15;19;11;17;19;15;16;20;11
53;12;14;10;17;21;19;26;18;9;21;15;19;11;19;18;15;16;20
54;22;14;15;11;17;20;19;26;19;9;21;17;20;10;21;17;16;16
55;11;23;13;16;10;16;18;20;26;18;9;20;17;21;10;18;17;16
56;9;12;23;13;15;10;18;19;20;26;17;9;20;17;20;9;18;18
57;12;9;12;23;12;16;8;19;17;19;25;16;10;19;17;20;9;18
58;15;12;8;12;24;11;16;8;17;15;18;25;16;9;19;17;19;9
59;20;15;13;9;12;24;11;17;9;16;15;18;25;16;8;20;18;16
60;21;19;16;11;9;14;24;12;15;9;14;15;19;25;16;9;20;18
61;16;20;17;17;11;9;14;21;12;12;9;14;16;20;24;16;9;19
62;18;17;20;17;17;11;9;14;22;12;12;10;14;16;20;25;14;8
63;20;18;17;18;19;17;11;9;15;21;12;12;10;14;15;20;25;13
64;19;19;17;16;18;18;17;11;9;18;22;12;13;10;13;15;20;25
65;21;19;19;19;17;18;18;17;12;9;16;20;12;13;10;14;15;20
66;16;22;19;20;19;16;18;17;17;12;9;18;20;12;12;10;13;14
67;23;17;23;19;17;19;15;18;17;17;11;9;17;20;12;12;10;12
68;22;22;19;23;19;17;18;14;18;15;17;11;9;17;19;11;12;8
69;29;21;20;19;22;19;17;18;13;18;15;17;11;9;16;17;11;10
70;17;29;23;20;19;19;18;16;18;13;16;15;18;11;9;16;16;11
71;22;17;27;23;19;18;19;15;14;18;12;16;15;18;12;9;15;15
72;20;22;18;28;23;18;17;19;15;14;17;12;16;15;18;11;8;14
73;18;20;22;18;26;22;17;16;21;15;13;15;12;16;15;18;11;8
74;21;18;19;21;14;25;21;14;15;21;14;14;14;12;15;15;17;11
75;12;20;16;18;20;12;24;21;14;15;21;13;15;14;12;15;14;17
76;19;12;19;13;18;20;12;23;20;12;15;21;13;14;15;12;13;14
77;27;18;11;18;11;18;18;12;21;18;10;15;20;13;13;14;12;13
78;22;27;17;11;17;11;16;18;14;19;15;10;15;19;12;13;13;11
79;14;21;25;18;9;17;11;15;17;14;18;15;9;15;18;12;13;13
80;18;16;18;25;16;9;17;9;14;17;13;18;15;10;14;17;11;13
81;13;18;16;17;19;15;9;17;9;12;17;12;17;14;10;12;18;11
82;12;13;19;15;17;14;17;8;16;10;11;15;11;15;14;10;11;18
83;14;10;12;19;13;14;14;15;8;17;7;9;14;13;15;13;9;11
84;6;14;10;12;15;12;14;14;13;8;16;5;9;9;12;11;12;7
85;8;5;13;10;10;11;12;12;12;10;7;15;5;8;9;10;10;12
86;17;7;6;13;8;11;12;11;9;11;11;6;12;5;7;9;10;7
87;12;16;5;5;12;7;10;9;7;8;11;9;5;7;5;6;5;9
88;5;12;12;6;4;9;7;8;7;7;8;9;9;5;7;4;6;5
89;4;5;12;9;3;4;7;7;7;5;6;7;8;9;5;6;4;5
90;5;4;4;10;7;2;3;4;7;6;4;5;6;7;9;5;5;4
91;4;4;4;2;9;4;2;3;3;6;6;4;4;6;3;9;4;4
92;4;3;1;1;2;6;3;2;3;2;5;5;2;4;5;3;8;4
93;3;4;0;0;1;3;4;3;1;1;1;4;3;1;4;3;3;5
94;2;3;2;0;0;1;3;4;2;0;1;0;4;3;0;3;2;2
95;3;0;2;0;0;0;1;2;4;1;0;0;1;3;2;0;3;1
96;2;2;0;0;0;0;0;1;2;4;0;0;0;1;2;1;0;2
97;0;1;1;0;0;0;0;0;1;1;4;0;0;0;1;1;1;0
98;0;0;1;0;0;0;0;0;0;1;1;3;0;0;0;1;1;1
99;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;1;1
100 e oltre;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;0
Totale;1232;1210;1219;1233;1197;1193;1178;1150;1132;1127;1103;1090;1077;1081;1052;1032;988;965
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;3;3;2;5;3;2;2;3;4;2;6;4;3;4;1;5;3;3
1;3;3;4;3;5;3;2;3;4;3;3;5;3;3;3;1;4;3
2;7;3;3;4;3;5;2;2;4;4;1;2;4;3;3;3;1;5
3;3;8;3;3;4;4;5;1;2;5;4;1;1;4;5;2;4;1
4;2;2;10;3;4;2;4;5;2;3;6;4;3;1;5;5;2;4
5;3;2;1;10;4;5;2;5;5;2;3;7;4;2;1;5;4;2
6;2;3;2;3;9;4;5;2;4;7;2;3;8;4;2;1;5;4
7;3;2;3;2;3;8;4;4;2;4;7;1;3;8;4;2;1;5
8;6;3;1;3;2;3;8;3;4;2;5;7;2;6;8;4;2;1
9;2;5;5;2;3;2;4;7;3;4;2;5;7;2;4;8;4;3
10;2;2;6;5;2;4;3;4;6;3;4;2;5;7;2;3;8;4
11;6;2;2;5;5;2;4;3;4;8;4;4;2;5;7;2;3;7
12;4;6;2;2;5;4;2;4;3;4;8;4;4;2;4;7;2;3
13;1;2;7;2;2;6;3;2;4;2;4;7;4;4;2;3;7;2
14;10;2;2;7;2;2;6;3;2;4;2;4;7;4;4;2;3;7
15;8;10;2;2;7;2;2;5;3;3;4;3;3;7;4;5;2;3
16;3;7;10;1;2;7;3;2;5;3;3;4;3;3;8;4;5;2
17;5;2;7;10;1;3;6;3;2;4;3;3;4;3;3;8;4;5
18;6;5;2;7;10;1;3;6;3;2;4;3;3;3;3;3;10;4
19;6;5;5;2;6;10;1;3;6;3;2;4;3;3;3;4;3;10
20;8;7;6;5;2;6;10;1;3;6;3;2;4;3;3;2;4;2
21;5;8;6;5;6;2;7;10;1;4;6;3;2;5;3;3;2;4
22;4;5;8;7;5;5;3;7;8;1;3;5;3;3;5;5;3;3
23;6;5;5;7;5;5;5;3;7;8;1;4;4;2;3;5;4;3
24;6;6;7;5;6;4;7;5;3;7;8;1;5;4;2;4;5;4
