"Popolazione per età, vista per singola area - Comune: 054039 - Perugia"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Perugia"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;1317;1616;1590;1582;1665;1581;1513;1599;1578;1468;1539;1528;1405;1331;1325;1200;1218;1129
1;1259;1351;1598;1574;1540;1639;1564;1508;1585;1559;1468;1522;1515;1368;1330;1314;1209;1208
2;1229;1281;1372;1564;1527;1520;1626;1542;1504;1569;1548;1465;1515;1479;1370;1340;1303;1227
3;1221;1246;1294;1367;1543;1510;1509;1616;1554;1495;1566;1560;1456;1498;1486;1358;1306;1288
4;1207;1223;1253;1298;1360;1506;1498;1492;1618;1552;1502;1573;1563;1433;1503;1495;1347;1309
5;1193;1229;1250;1273;1315;1357;1496;1499;1488;1624;1569;1510;1575;1546;1453;1498;1497;1358
6;1198;1198;1249;1257;1292;1331;1355;1483;1485;1480;1630;1589;1519;1574;1543;1441;1497;1528
7;1164;1206;1219;1272;1275;1295;1355;1361;1472;1479;1465;1636;1582;1513;1588;1537;1442;1503
8;1226;1197;1216;1236;1297;1274;1309;1377;1379;1466;1487;1484;1629;1572;1529;1593;1541;1455
9;1334;1243;1226;1237;1271;1309;1289;1325;1391;1402;1468;1497;1494;1619;1586;1533;1571;1546
10;1248;1357;1274;1244;1266;1277;1340;1316;1348;1429;1401;1481;1506;1492;1643;1586;1519;1577
11;1306;1269;1379;1306;1268;1274;1311;1359;1337;1362;1461;1417;1482;1492;1504;1630;1586;1520
12;1262;1311;1280;1387;1333;1287;1286;1329;1383;1369;1376;1462;1415;1488;1504;1500;1609;1587
13;1317;1274;1329;1306;1427;1333;1302;1326;1360;1410;1380;1391;1445;1405;1497;1498;1507;1599
14;1210;1330;1287;1339;1325;1442;1359;1327;1338;1379;1435;1397;1390;1449;1412;1505;1484;1507
15;1247;1213;1339;1296;1351;1337;1451;1386;1346;1357;1389;1440;1415;1397;1453;1437;1508;1485
16;1231;1245;1220;1342;1331;1356;1360;1471;1391;1373;1372;1407;1447;1422;1416;1458;1436;1513
17;1304;1227;1248;1240;1370;1344;1377;1390;1500;1414;1402;1385;1410;1447;1439;1419;1451;1457
18;1392;1308;1222;1278;1293;1404;1368;1412;1430;1548;1458;1416;1418;1415;1462;1458;1433;1473
19;1431;1410;1343;1246;1316;1305;1445;1432;1474;1489;1593;1487;1439;1419;1428;1513;1484;1476
20;1528;1479;1485;1389;1299;1349;1383;1531;1515;1540;1536;1640;1514;1445;1456;1473;1568;1513
21;1585;1561;1551;1560;1441;1330;1432;1477;1605;1595;1588;1581;1669;1512;1495;1509;1541;1598
22;1710;1635;1631;1611;1600;1491;1425;1551;1555;1655;1649;1657;1611;1660;1545;1534;1549;1582
23;1808;1763;1721;1703;1649;1671;1542;1551;1643;1627;1742;1707;1688;1609;1679;1573;1568;1568
24;1954;1845;1872;1771;1731;1681;1740;1623;1613;1745;1688;1820;1740;1673;1628;1737;1624;1609
25;1924;2026;1953;1956;1789;1779;1742;1825;1676;1703;1777;1754;1867;1704;1677;1671;1775;1657
26;2173;1980;2115;2011;1970;1835;1867;1862;1885;1765;1725;1857;1792;1821;1743;1715;1683;1824
27;2259;2246;2100;2154;2019;1967;1906;1951;1912;1959;1810;1791;1879;1747;1846;1753;1762;1722
28;2319;2303;2341;2149;2196;2052;2009;1997;1974;1961;1970;1873;1818;1844;1750;1897;1784;1799
29;2302;2373;2394;2384;2174;2229;2089;2067;2015;1988;1970;2040;1904;1782;1864;1771;1918;1819
30;2329;2346;2451;2469;2388;2163;2256;2123;2091;2056;2023;1972;2061;1866;1815;1898;1762;1958
31;2345;2343;2448;2481;2502;2383;2189;2274;2153;2129;2069;2086;1976;2032;1889;1862;1916;1778
