"Popolazione per età, vista per singola area - Comune: 054059 - Valtopina"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Valtopina"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;12;21;15;7;20;14;3;17;18;15;14;6;11;9;11;8;8;11
1;8;12;18;14;11;20;15;3;15;18;17;12;3;13;9;11;8;6
2;5;8;13;17;16;8;15;15;3;16;19;17;11;3;12;9;12;8
3;3;6;8;12;17;17;8;15;14;3;17;20;18;13;2;13;8;14
4;7;4;7;9;14;17;15;9;15;16;3;18;20;18;10;1;11;8
5;11;8;6;10;10;15;20;15;10;14;18;3;17;21;16;11;1;11
6;8;13;10;5;10;12;15;18;15;10;14;17;3;16;19;16;11;1
7;7;9;14;9;7;9;12;15;18;14;10;12;19;3;16;19;16;10
8;3;7;12;13;10;7;9;12;15;18;14;9;14;19;3;16;19;15
9;13;3;7;12;13;11;6;9;13;14;17;14;8;14;15;3;15;19
10;13;13;4;7;12;13;11;6;9;13;15;18;14;8;15;15;4;14
11;12;12;13;5;8;11;13;12;6;9;15;15;17;13;8;15;14;5
12;11;12;12;12;6;8;12;13;12;6;9;16;15;18;14;9;15;13
13;8;11;12;12;12;5;7;11;13;11;6;9;13;14;17;14;9;14
14;6;8;11;13;14;12;5;7;11;13;11;5;10;13;14;19;14;9
15;9;7;10;11;13;14;12;5;7;13;14;11;6;11;12;14;18;12
16;15;11;7;10;11;13;14;13;5;8;13;12;9;7;10;12;14;18
17;10;14;11;7;10;11;13;14;12;6;8;12;12;9;6;12;12;14
18;17;12;15;12;8;9;11;13;14;13;6;9;15;12;9;6;10;11
19;11;15;14;13;12;8;10;11;15;15;14;6;10;14;12;9;6;9
20;19;11;15;14;14;12;10;10;12;13;15;12;5;10;14;10;9;7
21;15;17;12;14;13;17;12;10;10;13;13;16;11;5;9;15;11;9
22;15;15;16;11;15;15;21;12;10;12;13;12;16;11;6;9;15;10
23;21;17;15;16;10;14;13;19;14;10;13;11;13;15;11;7;8;13
24;14;19;17;14;19;11;15;14;17;14;11;13;12;12;13;12;6;5
25;19;9;19;17;16;19;13;19;15;17;13;12;12;11;12;14;12;5
26;20;20;9;18;23;16;21;16;18;16;17;13;14;12;10;13;15;12
27;22;20;18;11;22;20;18;20;18;17;16;16;13;13;11;11;12;13
28;27;23;26;19;10;25;18;17;22;16;18;16;16;13;10;12;11;12
29;25;25;21;25;22;8;24;19;18;20;18;17;16;18;14;10;11;10
30;22;28;31;23;28;24;9;25;20;16;23;16;15;15;15;16;9;12
31;19;22;30;33;24;26;24;10;25;18;16;21;15;15;13;13;17;8
32;18;19;22;29;31;23;24;23;11;23;17;14;17;14;14;14;13;18
33;18;19;16;25;27;31;22;22;24;13;20;16;16;18;11;14;13;12
34;11;17;17;18;26;27;29;21;22;26;13;20;13;16;16;10;12;13
35;15;10;18;17;22;26;23;29;23;26;26;13;20;14;12;16;11;14
36;15;13;11;19;20;22;26;23;32;24;28;25;14;21;13;12;16;11
37;28;14;11;15;24;18;19;25;21;33;25;26;26;13;20;12;14;16
