"Popolazione per età, vista per singola area - Comune: 055031 - Stroncone"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Stroncone"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;41;28;34;48;40;36;48;46;44;53;43;54;37;32;43;33;20;31
1;34;42;30;32;56;33;35;51;45;41;56;44;51;38;33;48;30;25
2;34;39;46;29;34;55;35;38;48;45;37;52;43;53;45;35;47;29
3;29;35;39;46;33;36;53;37;40;52;43;38;54;42;52;45;34;46
4;36;33;38;41;46;34;37;54;35;42;52;41;38;57;41;52;44;34
5;39;42;34;38;45;44;36;38;51;35;40;52;40;38;57;40;53;43
6;31;39;46;32;37;45;41;40;39;49;37;40;52;42;38;55;40;50
7;39;34;37;46;38;40;45;43;35;38;48;38;39;52;40;38;55;43
8;34;40;39;38;43;38;41;47;44;38;39;47;39;39;53;42;38;54
9;35;31;37;39;37;43;38;44;44;42;41;39;46;41;38;51;43;42
10;34;38;33;40;38;40;42;37;47;45;39;36;36;46;38;39;48;46
11;42;35;42;30;40;39;40;40;41;52;45;39;35;37;44;41;37;47
12;41;44;36;45;30;38;39;41;43;41;49;43;40;35;38;43;40;36
13;31;41;43;34;45;34;39;38;41;43;41;46;44;37;37;40;43;39
14;26;32;40;49;35;47;35;42;37;42;42;41;47;47;42;37;41;45
15;36;26;32;41;45;36;44;36;45;36;40;41;44;49;48;41;40;39
16;38;37;29;36;42;44;37;47;37;44;35;39;41;44;48;48;43;42
17;43;40;38;26;33;41;44;36;45;37;47;35;40;41;44;48;46;42
18;34;44;41;38;27;32;44;47;37;44;39;45;36;40;41;42;48;46
19;33;36;47;42;41;26;36;44;45;41;46;38;45;36;41;47;41;47
20;51;33;37;49;39;40;29;39;42;50;43;44;39;45;39;41;47;41
21;54;50;38;42;51;41;38;34;40;41;53;41;44;39;47;36;41;49
22;44;55;54;37;42;53;45;37;35;40;41;52;41;42;37;46;38;39
23;53;46;54;55;37;40;55;46;38;38;43;48;53;40;43;34;46;38
24;41;49;49;62;62;38;40;59;42;45;36;39;53;53;39;42;32;50
25;56;41;54;52;64;62;40;47;60;47;46;36;41;51;43;39;40;32
26;58;62;40;52;53;62;63;42;52;61;49;45;40;39;47;41;38;39
27;75;66;63;48;56;56;66;66;41;54;59;51;48;37;40;49;42;40
28;65;77;67;71;49;58;63;72;65;43;59;57;56;46;38;45;46;43
29;49;72;84;68;78;52;62;62;70;68;40;53;57;53;46;40;46;45
30;52;55;80;79;71;77;52;64;60;73;64;39;53;53;55;43;37;46
31;59;63;58;78;79;72;71;57;60;59;75;63;37;55;52;52;45;34
32;68;60;73;52;77;75;74;69;58;58;62;71;60;39;50;50;55;46
33;66;79;55;75;59;70;82;78;73;59;62;57;68;65;43;53;51;52
