"Popolazione per età, vista per singola area - Comune: 056020 - Cellere"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Cellere"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;6;6;3;8;5;10;7;5;5;12;11;1;5;3;5;8;5;5
1;8;6;5;4;10;7;11;6;5;6;11;9;1;5;3;6;8;4
2;7;8;6;6;4;9;8;10;6;5;6;9;10;1;5;4;7;8
3;2;7;8;5;7;4;9;9;10;8;5;6;9;8;2;6;2;7
4;9;2;8;8;5;7;5;9;9;9;7;4;6;9;9;2;5;2
5;8;9;2;8;10;5;8;5;9;9;9;7;4;7;8;9;1;5
6;8;8;9;2;9;10;6;8;5;10;9;8;7;5;5;8;9;1
7;7;6;9;9;2;10;10;6;8;5;10;9;9;7;5;5;7;8
8;11;7;6;8;11;2;10;9;7;6;5;9;9;10;7;6;5;9
9;10;11;7;6;7;11;2;8;9;6;6;4;9;10;10;7;6;5
10;10;10;9;8;9;7;12;4;8;9;6;6;4;10;11;10;6;6
11;10;10;11;9;8;10;7;12;4;8;9;5;6;4;9;11;9;7
12;11;10;9;9;10;8;11;7;11;3;8;9;4;7;4;10;11;9
13;14;11;10;8;9;10;11;9;7;11;2;8;10;4;8;4;10;12
14;14;14;11;9;10;9;9;9;10;6;11;1;7;11;4;8;4;11
15;9;13;13;11;9;10;9;8;8;8;6;11;1;7;11;4;7;5
16;12;9;13;13;11;9;11;9;9;8;8;6;11;1;6;11;4;7
17;9;12;7;10;15;12;10;9;9;9;8;8;6;9;1;8;11;4
18;7;9;13;7;10;15;13;10;9;9;9;8;8;6;8;1;7;12
19;15;7;9;12;8;10;17;14;9;9;9;9;9;8;6;9;1;9
20;7;15;7;9;12;8;11;15;13;8;8;9;10;13;8;6;12;2
21;15;7;15;8;9;12;8;12;15;12;8;8;9;9;11;8;8;12
22;13;15;7;15;8;9;12;9;11;14;12;10;9;8;10;11;8;7
23;16;13;14;8;17;8;10;12;9;13;12;13;13;10;9;10;13;11
24;9;16;13;14;9;15;8;10;10;9;14;12;13;13;10;8;10;16
25;11;9;16;13;14;9;18;7;8;11;10;14;11;15;11;10;10;8
26;19;11;9;14;13;14;10;18;7;7;11;6;15;9;13;10;8;8
27;11;19;11;11;14;15;16;8;16;7;9;10;6;14;9;12;11;8
28;15;11;20;13;12;14;14;16;8;16;8;7;9;5;13;13;17;12
29;9;14;11;20;14;13;14;17;15;10;16;7;6;8;5;12;14;15
30;9;9;12;14;20;14;15;12;18;18;9;17;8;8;8;6;11;14
31;23;7;11;14;17;21;18;14;11;21;17;9;16;7;8;8;6;9
32;9;20;7;12;16;15;21;19;9;14;17;15;7;17;7;5;6;7
33;14;10;17;9;17;16;14;19;19;9;12;13;15;6;16;9;5;6
34;11;13;8;18;10;19;13;15;21;16;11;12;15;13;6;16;9;5
35;27;11;10;9;19;16;16;13;15;22;18;12;14;16;15;7;16;8
36;18;28;12;12;12;22;19;14;14;14;22;18;13;13;17;16;7;15
37;9;17;28;13;12;16;20;16;14;14;15;19;18;14;12;20;14;8
38;19;8;15;28;16;11;16;21;15;12;16;14;19;18;14;12;17;15
39;17;18;9;15;29;17;13;17;24;15;11;17;14;20;18;13;12;17
40;12;16;18;10;16;28;19;13;14;21;15;13;16;14;19;18;12;12
41;21;11;18;16;9;15;27;14;13;14;23;17;13;16;14;21;16;13
42;20;22;10;14;16;9;17;28;12;15;15;25;17;12;15;13;17;15
43;14;21;22;8;15;16;8;17;28;10;14;14;26;16;12;16;13;17
44;11;14;21;22;8;15;17;8;19;29;10;13;15;25;16;11;18;11
45;24;11;15;21;21;9;17;17;9;19;28;10;14;16;26;15;13;17
46;17;24;10;15;21;20;7;14;17;10;19;27;10;13;18;26;15;11
47;14;18;24;14;16;21;19;10;14;16;11;19;31;10;13;17;26;16
48;12;14;20;24;16;16;24;19;11;14;15;11;20;31;12;13;18;24
49;16;12;14;20;24;17;17;24;20;11;14;15;13;23;29;12;14;19
50;17;15;12;15;20;24;18;18;23;21;11;14;15;13;25;31;12;14
51;14;18;16;14;15;20;25;20;18;23;21;10;14;15;14;25;30;12
52;10;14;18;16;14;17;19;26;20;18;23;19;11;14;16;14;24;31
53;16;10;14;18;16;14;20;19;26;19;18;23;20;10;13;15;13;23
54;9;16;9;14;18;16;15;21;19;26;19;18;24;22;11;13;15;13
