"Popolazione per età, vista per singola area - Comune: 056027 - Gallese"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Gallese"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;27;21;27;17;25;33;19;27;23;20;24;30;29;16;18;22;14;17
1;16;28;21;26;17;27;35;22;28;23;20;23;30;29;14;21;21;13
2;25;17;27;21;24;17;28;38;22;28;22;19;25;27;27;12;21;22
3;29;25;18;27;24;25;22;29;38;21;30;21;18;23;27;26;12;20
4;19;28;26;19;27;25;24;23;28;36;21;31;19;17;19;25;23;12
5;21;18;27;26;19;27;25;28;23;27;37;18;30;20;17;21;25;22
6;22;21;21;27;26;20;25;24;31;21;27;33;16;27;19;20;21;25
7;18;22;22;22;28;26;22;29;22;28;20;21;33;18;26;22;20;21
8;9;20;22;22;22;30;27;22;31;20;28;20;22;33;16;26;20;19
9;24;9;21;23;23;22;31;26;20;30;20;27;20;23;30;18;27;21
10;29;24;9;20;23;23;25;31;26;20;31;17;27;20;21;28;19;25
11;30;29;25;9;21;23;23;28;32;26;20;30;16;26;18;22;29;19
12;31;31;29;25;9;21;24;22;27;35;25;20;30;16;27;19;22;32
13;26;32;32;28;25;10;22;25;22;30;35;24;20;30;16;28;19;23
14;25;26;32;31;29;24;10;23;25;22;30;35;24;19;28;17;29;19
15;21;25;27;34;31;28;26;9;23;25;22;29;35;24;19;28;18;28
16;30;22;25;27;35;31;28;23;9;21;24;23;29;35;21;19;27;18
17;35;31;23;27;26;38;32;28;23;9;20;23;23;29;32;21;19;27
18;33;35;33;22;28;24;39;32;29;23;10;21;22;23;28;32;21;20
19;25;32;35;34;22;28;28;40;33;30;24;10;20;24;26;28;32;26
20;31;25;32;36;32;22;32;28;41;32;31;26;11;20;22;24;29;35
21;29;34;26;33;38;35;25;35;27;43;33;32;28;10;21;21;25;29
22;39;27;37;26;33;37;40;25;34;33;44;34;32;27;12;19;21;26
23;35;37;26;38;26;35;37;38;28;34;32;41;31;29;24;10;19;23
24;39;36;36;29;39;29;35;36;39;27;36;29;42;33;29;27;10;19
25;34;36;38;37;30;41;32;31;37;37;29;35;28;39;29;30;27;11
26;44;36;38;42;40;33;45;33;34;37;38;27;36;28;35;29;31;28
27;46;46;38;36;39;41;31;48;35;29;37;36;26;34;30;33;29;28
28;42;47;52;34;38;43;37;35;50;38;34;37;38;27;36;28;33;28
29;29;43;47;55;35;41;49;39;38;47;39;34;35;37;27;38;31;35
30;54;30;46;48;56;35;51;51;34;38;47;40;32;35;36;29;40;31
31;39;53;31;47;51;57;37;53;50;30;39;45;38;32;32;35;29;35
32;26;39;48;30;41;48;56;36;53;45;31;38;46;38;34;32;33;29
33;39;26;40;45;30;41;45;51;34;45;46;29;38;48;38;29;33;31
34;38;38;27;38;49;30;39;45;46;34;44;51;26;38;42;34;28;33
35;43;38;42;27;37;50;36;44;47;43;34;44;49;25;34;40;34;29
36;46;41;43;42;31;37;53;40;44;47;45;33;45;46;26;32;38;33
37;52;45;44;45;42;32;38;56;40;44;48;43;32;46;40;24;26;40
38;39;54;43;45;46;41;34;36;58;41;42;52;43;32;45;40;23;28
39;45;36;54;43;47;45;48;35;38;60;43;44;52;45;29;46;39;25
40;40;47;35;54;45;47;49;50;39;38;61;42;44;53;47;30;47;39
41;51;43;49;36;53;45;44;47;51;40;40;57;41;43;50;45;29;43
42;39;50;45;48;37;55;46;45;50;49;40;41;59;39;40;49;44;30
43;29;37;53;45;49;38;58;47;47;45;50;40;41;58;38;41;49;44
44;43;30;39;51;49;45;39;62;45;48;45;47;40;40;56;38;42;49
45;45;43;30;39;51;52;46;40;62;46;49;44;47;41;38;57;39;43
46;33;47;42;31;39;50;54;47;40;61;45;51;44;48;40;38;58;39
47;52;36;49;42;31;39;51;53;46;40;61;48;51;44;46;37;39;58
48;19;52;36;49;43;31;37;53;51;46;40;60;48;53;44;47;36;39
49;23;20;51;37;48;45;33;38;52;50;47;39;58;47;53;42;45;35
50;47;24;20;53;38;49;45;34;40;54;50;45;42;55;46;51;41;46
51;36;45;29;25;55;38;48;42;32;39;55;50;42;43;55;42;50;39
52;33;36;47;31;28;54;38;51;43;30;41;52;49;40;45;57;41;46
53;43;35;38;47;32;28;54;38;55;42;31;42;52;47;37;44;56;41
54;39;42;36;37;45;33;32;57;38;55;41;32;42;53;46;40;45;55
55;33;39;41;38;35;44;37;31;58;39;56;42;31;42;52;43;42;44
56;31;34;40;41;37;35;44;36;34;57;40;54;42;30;42;51;44;42
57;34;31;33;39;40;39;39;45;37;32;57;41;57;43;29;42;53;45
58;32;33;29;33;38;40;38;40;42;39;30;57;40;57;42;27;42;53
59;32;31;32;29;34;38;40;38;39;43;37;29;58;41;54;42;27;42
60;30;32;31;32;29;35;37;38;40;40;43;37;29;56;39;54;42;28
61;38;31;32;31;33;29;33;38;37;40;38;43;36;29;54;38;52;43
62;26;38;31;32;33;33;30;34;39;37;42;37;43;36;29;51;38;51
63;31;26;39;31;31;32;34;27;34;38;36;41;36;43;35;28;52;38
64;43;31;27;38;30;32;32;35;27;32;35;37;43;35;43;36;27;51
65;40;43;32;27;39;30;31;32;33;27;31;35;37;42;35;43;37;27
66;36;40;42;32;26;37;29;31;32;32;29;31;36;36;38;36;41;37
67;30;38;40;42;31;27;35;29;31;32;32;28;33;36;36;33;35;38
68;43;30;38;39;41;32;28;36;30;31;32;32;27;33;36;35;34;34
69;28;39;30;36;39;40;32;30;36;29;32;31;30;28;33;32;34;34
70;31;26;37;30;36;39;39;31;29;35;30;31;30;30;28;32;33;35
71;24;31;26;38;29;36;36;39;31;29;34;28;28;30;28;27;30;33
72;26;24;31;26;37;26;35;35;39;31;28;33;26;29;30;28;26;29
73;36;25;23;30;26;38;27;35;33;37;31;29;32;25;26;30;27;26
74;46;34;25;22;25;26;36;27;36;32;38;31;29;31;24;25;29;27
75;25;45;33;24;22;23;26;35;27;34;31;37;27;31;30;21;24;29
76;21;20;43;33;21;20;23;26;32;26;33;30;37;26;29;30;21;23
77;27;21;20;42;29;20;21;23;24;31;25;31;29;37;24;28;29;22
78;20;28;21;21;39;29;20;20;24;21;30;23;29;29;37;22;24;29
79;28;18;26;21;22;38;28;18;20;22;20;29;22;29;30;37;22;23
80;20;26;17;24;20;20;36;27;14;19;22;19;29;22;31;28;37;22
81;24;20;23;17;24;17;17;35;23;13;17;21;18;27;22;29;26;36
82;14;23;17;19;19;21;18;15;35;23;13;16;22;15;24;23;26;24
83;8;14;23;16;17;17;16;17;13;33;22;11;17;20;15;21;21;22
84;6;8;10;21;13;14;14;17;17;13;28;18;10;16;19;15;20;20
85;9;6;7;9;21;10;11;12;14;15;11;27;17;10;12;19;13;19
86;10;6;6;7;8;19;9;10;14;14;14;11;24;15;9;8;15;13
87;10;9;6;5;6;7;13;7;10;11;13;11;11;21;12;9;8;13
88;8;10;8;5;4;6;5;14;4;9;10;10;11;10;20;11;8;8
89;12;6;7;3;5;4;4;6;11;4;10;9;9;7;8;18;10;7
