"Popolazione per età, vista per singola area - Comune: 056055 - Vasanello"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Vasanello"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;32;29;31;30;35;30;48;40;39;42;37;31;29;28;27;34;28;36
1;36;32;29;28;30;35;31;50;42;39;41;35;32;29;29;28;34;28
2;29;37;34;26;28;32;39;32;51;41;37;40;36;29;30;26;30;32
3;35;30;37;35;31;27;37;39;30;47;41;34;41;31;28;29;27;30
4;39;33;30;37;33;29;32;35;41;35;48;42;34;38;33;29;28;28
5;32;39;32;30;38;34;27;30;32;40;33;46;43;34;41;32;30;28
6;30;32;40;33;26;41;38;29;29;33;41;33;47;40;34;42;33;29
7;38;31;32;39;33;27;40;38;29;28;33;43;33;45;36;33;41;30
8;36;39;31;33;40;34;27;39;41;32;28;33;43;31;44;36;32;40
9;25;35;44;31;33;39;34;27;40;44;32;29;34;43;32;42;36;34
10;39;28;35;44;31;32;40;35;26;39;44;33;30;34;42;30;43;36
11;42;38;28;36;49;31;32;38;36;28;39;41;34;31;35;43;30;44
12;36;42;39;27;35;49;32;31;40;38;28;40;40;34;30;36;44;29
13;40;37;42;39;26;35;47;33;33;41;38;30;39;41;34;30;35;44
14;45;41;36;40;41;27;35;46;34;31;41;38;31;38;39;32;29;35
15;53;45;41;35;41;41;26;33;45;32;31;42;39;31;39;37;31;28
16;51;53;45;42;34;43;41;24;34;50;31;32;39;39;31;39;37;31
17;46;55;55;46;46;34;41;38;24;36;50;33;31;39;39;31;39;36
18;43;49;55;56;46;49;35;40;38;26;35;50;34;33;39;38;31;40
19;42;44;50;52;59;48;48;36;42;40;28;39;50;35;32;40;37;32
20;44;41;48;50;55;58;49;44;38;43;41;27;39;52;37;31;41;38
21;61;47;43;49;51;55;56;53;48;39;45;41;28;39;49;40;29;41
22;53;60;50;43;49;49;57;55;55;46;40;44;38;30;38;50;41;30
23;63;53;63;52;46;51;51;60;54;55;46;47;44;40;30;38;47;36
24;59;62;53;64;52;49;54;49;63;55;56;49;47;45;39;27;37;47
25;50;57;68;53;68;60;52;53;50;64;60;57;48;46;42;42;29;34
26;62;51;57;68;54;74;59;54;55;52;64;58;58;46;47;42;43;29
27;63;60;55;61;64;57;77;54;51;55;56;65;56;59;46;44;42;40
28;47;68;61;52;63;64;58;79;49;55;55;56;64;58;59;45;41;40
29;67;49;71;64;52;71;64;59;72;51;59;56;53;65;60;58;46;40
30;52;67;59;72;62;53;77;70;56;68;57;56;55;49;61;60;57;42
31;63;55;68;55;78;63;55;81;69;56;68;57;56;55;53;61;60;56
32;55;65;54;66;55;76;66;53;73;68;51;63;55;52;55;53;61;58
33;47;52;65;53;66;53;72;66;56;73;64;55;64;52;52;55;54;66
34;48;50;53;64;57;65;54;72;61;62;67;63;56;62;51;52;53;57
35;51;50;52;52;66;53;63;54;75;68;58;64;64;55;62;51;48;54
36;60;51;50;53;55;65;57;67;52;76;70;60;62;63;51;57;54;48
37;54;64;55;50;56;53;70;53;65;53;74;68;58;61;61;50;57;55
38;45;55;66;54;51;58;56;71;48;66;56;72;69;57;62;62;48;55
39;64;46;57;65;52;50;61;55;74;54;67;56;70;67;61;64;64;44
40;59;65;49;56;63;52;52;60;54;75;53;68;57;69;65;60;64;64
41;53;57;64;50;59;63;56;53;57;58;79;53;66;57;69;68;62;67
42;73;56;58;64;50;57;61;55;54;55;59;75;52;67;57;70;65;60
43;65;76;57;58;66;48;54;60;52;54;59;59;76;56;67;53;72;62
44;45;66;78;60;59;65;50;55;58;52;53;61;58;73;55;64;53;69
45;51;45;65;77;62;59;64;51;58;57;55;55;62;59;72;55;63;52
46;51;54;46;66;76;65;61;62;53;58;56;56;53;61;58;73;54;61
47;76;54;54;46;68;75;65;61;62;53;57;56;54;54;61;57;74;56
48;51;73;54;54;46;70;74;66;61;60;53;55;56;54;55;59;56;72
49;64;52;72;55;54;46;71;75;67;63;61;55;54;53;53;51;60;54
50;58;64;55;73;56;53;48;68;77;66;65;61;57;56;53;51;51;59
