"Popolazione per età, vista per singola area - Comune: 057055 - Poggio Nativo"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Poggio Nativo"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;26;15;8;20;16;19;19;19;22;22;22;14;20;24;29;12;13;8
1;16;26;16;10;21;17;20;18;22;21;26;18;13;22;26;28;15;14
2;14;14;25;15;13;22;21;20;21;22;22;24;19;15;24;24;25;16
3;22;15;14;25;17;14;23;22;18;22;22;19;25;19;15;20;24;24
4;13;24;15;13;26;16;14;23;21;25;27;22;24;28;21;18;19;26
5;24;14;24;16;14;25;17;15;23;23;26;27;23;24;26;18;15;19
6;20;24;13;24;18;15;25;16;16;26;23;27;28;24;25;26;20;12
7;21;22;23;13;24;18;17;26;16;20;26;24;27;27;25;23;25;20
8;14;21;21;23;13;24;16;19;26;16;18;26;25;28;27;23;22;22
9;17;14;21;21;25;16;25;17;20;26;18;17;29;23;28;26;24;21
10;24;19;13;21;21;27;17;24;16;22;26;16;19;28;23;27;25;26
11;19;26;20;13;21;22;25;21;23;16;23;26;19;20;27;20;25;22
12;26;18;26;23;13;22;23;27;21;27;17;24;24;20;20;28;21;28
13;29;26;17;26;23;12;24;23;27;20;27;16;24;24;20;20;27;20
14;28;29;26;18;26;23;11;24;21;29;21;27;20;26;24;19;18;25
15;23;29;29;26;18;26;23;12;24;21;29;22;28;20;27;25;17;18
16;15;24;30;29;26;17;25;23;11;26;23;27;27;28;20;25;25;19
17;27;15;26;30;29;27;17;26;23;12;26;24;28;26;26;20;23;25
18;27;26;13;25;31;29;28;15;25;24;10;25;24;27;24;26;20;23
19;29;26;24;13;25;31;30;31;16;26;22;12;27;23;27;24;24;20
20;18;30;26;25;16;24;31;29;30;17;30;23;15;29;23;28;25;22
21;21;16;30;27;27;17;25;33;29;31;17;27;29;12;29;24;28;26
22;23;20;18;30;30;28;19;28;33;27;32;18;26;27;14;29;23;30
23;21;22;21;18;32;30;24;21;32;34;29;32;18;27;28;15;27;27
24;24;21;24;23;19;31;32;29;21;33;35;29;37;21;29;27;16;26
25;22;23;21;22;24;19;34;36;30;21;32;40;30;38;18;27;29;21
26;26;20;23;21;23;25;20;34;40;33;14;34;39;30;34;14;25;26
27;32;26;16;22;22;25;26;22;35;43;35;15;32;36;29;31;16;25
28;27;32;14;14;20;22;28;30;30;33;41;36;17;31;37;30;32;17
29;36;23;32;19;16;22;28;30;37;29;30;43;38;16;34;37;27;35
30;26;32;23;30;21;20;28;36;40;42;35;33;38;41;18;29;34;29
31;24;28;33;28;34;25;18;29;37;38;37;33;33;38;39;17;26;34
32;37;23;29;34;32;36;27;24;37;38;39;37;31;35;42;37;23;26
33;24;34;27;29;39;34;38;37;34;34;39;44;34;30;34;39;34;20
34;21;27;34;29;34;35;36;51;47;28;35;38;38;32;32;35;37;32
35;26;25;28;38;28;35;38;41;53;45;26;36;40;37;33;30;35;38
36;33;29;26;32;42;30;39;45;39;49;44;32;37;42;38;32;32;36
37;29;36;27;28;31;42;32;39;43;38;43;44;32;37;40;39;34;34
38;29;30;35;27;31;33;49;35;39;43;39;40;41;29;37;40;39;32
39;37;30;30;34;27;32;36;47;35;43;40;37;37;40;26;38;40;37
