"Popolazione per età, vista per singola area - Comune: 057063 - Salisano"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Salisano"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;0;2;4;2;3;5;3;2;7;1;7;7;4;6;8;1;5;3
1;5;0;2;4;2;3;5;2;2;7;1;6;8;4;5;6;1;5
2;1;4;0;2;6;3;2;3;2;2;7;1;6;7;4;5;6;1
3;2;2;3;1;2;6;3;3;2;2;2;7;1;7;7;4;6;5
4;3;1;2;4;1;2;6;3;3;2;2;2;7;1;7;6;4;7
5;3;3;1;2;4;1;2;6;3;3;1;2;2;8;1;8;7;4
6;4;3;3;1;1;3;1;2;6;4;3;1;2;3;8;1;8;7
7;6;6;4;3;1;2;3;1;2;7;4;3;2;2;3;7;1;7
8;2;7;6;4;3;2;3;4;0;2;7;4;3;3;2;3;6;1
9;5;3;6;6;4;2;2;3;3;0;2;7;4;3;3;2;3;6
10;6;5;3;4;5;4;3;3;3;5;0;2;6;5;2;3;2;3
11;6;6;5;3;3;5;6;4;3;3;5;0;2;6;5;3;2;2
12;7;6;6;5;3;2;6;5;3;6;3;5;0;1;6;5;3;2
13;2;7;6;7;5;3;2;6;5;3;5;3;5;0;2;6;5;3
14;2;2;7;7;7;5;3;3;6;5;3;5;3;5;0;2;7;5
15;5;2;2;7;6;7;5;3;3;6;5;3;5;3;4;1;2;7
16;4;5;2;3;7;5;9;5;3;6;6;4;3;4;3;4;1;2
17;8;4;4;3;3;7;5;8;4;3;5;7;4;3;5;3;4;1
18;12;7;4;4;3;4;8;5;9;4;3;5;6;4;3;5;3;4
19;2;12;7;3;4;3;4;8;6;9;5;3;5;6;4;3;5;3
20;7;2;11;6;2;4;4;4;8;6;9;4;4;5;6;4;3;3
21;7;6;3;10;6;2;4;2;3;8;6;9;4;4;5;6;4;3
22;9;7;6;3;10;5;2;3;2;3;8;7;9;4;3;6;8;4
23;5;8;7;7;3;11;5;1;6;2;3;8;7;9;5;3;4;7
24;5;5;7;7;7;4;11;7;4;6;2;2;7;7;10;5;3;4
25;6;6;6;7;8;6;4;10;8;4;6;2;1;7;7;10;6;3
26;6;6;6;5;7;9;7;7;9;8;4;6;2;1;7;7;10;6
27;9;6;6;6;5;7;9;5;7;11;7;4;6;4;1;7;7;7
28;6;8;7;4;6;8;6;10;5;7;11;8;4;8;4;1;7;7
29;6;6;9;7;4;7;7;6;9;5;7;13;9;4;8;2;1;8
30;7;6;7;8;6;5;7;9;4;8;5;7;13;8;4;7;1;4
31;8;6;6;6;6;8;6;6;7;4;8;6;5;13;6;4;7;1
32;10;8;5;5;7;6;7;6;7;8;6;8;6;6;13;6;4;5
33;4;10;7;6;4;8;7;8;6;8;9;3;9;6;6;12;5;4
34;3;6;10;7;5;4;8;10;6;4;7;9;3;9;6;6;11;5
35;7;3;7;7;7;7;5;7;10;6;4;7;10;2;10;5;5;11
36;9;7;4;7;8;6;10;7;6;12;6;3;8;12;1;7;5;4
37;13;8;7;4;6;9;5;11;7;4;12;6;3;10;12;1;6;5
38;6;13;10;7;4;5;8;5;10;9;4;12;6;3;10;13;1;6
39;7;5;13;9;7;5;3;8;5;10;11;3;13;6;3;11;10;1
40;6;6;5;14;9;5;7;5;9;5;10;12;4;11;6;3;11;10
41;9;5;6;5;14;10;5;4;4;8;6;10;11;4;13;7;3;11
42;6;9;6;5;5;14;10;5;4;4;8;5;10;11;4;12;7;3
43;13;6;10;6;4;5;16;10;5;4;4;7;5;8;9;4;12;7
44;7;13;7;11;7;4;6;16;11;6;5;6;7;5;7;9;4;13
45;11;7;13;8;11;6;4;7;16;11;6;5;6;7;5;6;9;4
46;5;11;7;13;6;10;6;4;5;14;12;6;4;6;9;5;8;10
