"Popolazione per età, vista per singola area - Comune: 058020 - Carpineto Romano"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Carpineto Romano"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;28;37;32;30;41;42;34;37;38;39;30;21;30;35;30;44;35;19
1;35;29;37;28;30;41;44;34;36;37;37;31;22;32;34;29;40;35
2;33;32;27;36;29;30;39;41;33;36;36;35;29;22;32;30;30;42
3;31;32;32;27;36;27;30;37;42;32;36;37;35;28;24;32;32;29
4;35;33;32;32;30;36;26;30;38;40;30;36;36;35;28;26;31;30
5;34;36;34;32;32;28;36;27;30;38;39;30;36;35;35;27;27;30
6;35;34;37;32;32;31;29;36;28;29;38;40;29;36;35;36;28;25
7;39;35;33;37;33;32;33;28;37;32;29;38;42;29;36;33;36;29
8;42;39;35;33;37;35;32;32;28;36;32;29;38;42;29;37;35;35
9;30;42;38;34;35;37;35;32;34;27;36;33;27;38;42;28;37;34
10;31;29;43;38;34;35;38;35;30;37;27;36;33;28;38;40;28;37
11;39;31;29;43;37;34;33;36;35;31;38;27;36;33;29;36;40;28
12;53;38;31;29;43;37;34;33;36;33;31;38;27;36;32;29;40;40
13;43;54;39;32;30;43;39;35;33;36;32;31;37;26;35;31;29;40
14;50;43;54;39;33;30;44;39;35;33;36;31;31;37;26;34;30;29
15;53;49;43;54;36;30;35;44;38;41;33;36;32;31;36;26;34;30
16;42;51;51;42;53;36;32;36;44;37;41;32;36;33;31;35;26;32
17;49;42;51;51;44;52;36;32;37;44;37;41;34;36;36;30;34;26
18;75;49;42;50;52;44;52;36;32;35;44;38;40;35;35;37;29;33
19;56;74;50;43;50;52;41;53;35;32;35;44;39;43;35;34;36;30
20;52;57;75;49;44;49;57;41;56;33;35;37;44;36;43;32;33;32
21;55;53;58;76;49;43;52;63;41;57;31;35;36;46;36;43;30;33
22;68;54;52;59;75;49;42;53;62;43;59;32;34;34;43;35;42;30
23;65;66;52;52;60;74;52;44;54;64;44;59;35;34;32;43;35;41
24;80;66;67;52;56;60;78;51;42;55;65;42;57;34;32;31;43;34
25;61;83;71;67;55;58;57;78;52;41;55;67;42;58;35;30;30;43
26;65;57;86;72;67;54;63;53;72;51;44;56;67;41;59;37;27;31
27;66;64;57;85;71;66;52;60;53;70;49;44;58;64;39;56;37;27
28;68;65;63;58;88;69;71;50;57;49;65;45;44;57;61;40;57;34
29;73;67;70;63;59;90;73;73;50;59;48;62;43;45;57;57;43;49
30;90;76;70;70;64;61;88;72;69;46;57;46;63;45;42;56;57;41
31;57;87;81;72;71;61;65;86;69;64;43;55;47;65;45;40;55;48
32;71;56;89;77;71;67;63;66;81;68;64;45;54;46;60;46;39;51
33;71;71;53;88;74;68;68;68;63;77;64;60;41;58;47;58;39;36
34;83;69;73;53;89;71;71;69;63;61;70;63;60;41;56;44;59;34
35;83;83;67;66;54;88;75;70;66;58;58;67;66;62;40;59;46;55
36;76;84;84;66;67;54;87;76;67;64;57;57;67;65;60;42;60;45
37;71;78;86;80;70;72;53;85;74;63;64;57;56;67;62;62;40;56
38;58;71;79;85;83;70;73;52;82;71;60;62;55;57;68;59;65;39
39;68;60;71;79;83;79;69;73;54;82;71;63;60;54;55;65;57;64
40;66;67;60;73;76;83;81;68;75;55;83;74;62;62;54;51;68;57
