"Popolazione per età, vista per singola area - Comune: 058041 - Gavignano"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Gavignano"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;14;17;14;23;21;11;22;17;18;17;17;6;9;12;17;14;11;14
1;13;13;18;16;25;18;11;23;18;17;18;17;6;9;12;15;16;11
2;15;13;13;19;14;25;20;10;21;17;17;21;16;5;10;11;16;15
3;19;15;12;16;21;14;21;21;9;21;18;15;21;16;5;10;12;15
4;22;18;15;14;18;26;14;22;22;9;21;20;15;19;16;6;10;13
5;20;23;20;14;14;16;27;15;22;19;10;20;18;16;19;14;10;9
6;20;22;24;20;15;18;15;26;16;21;18;11;21;18;15;19;13;10
7;19;21;22;24;20;15;22;16;27;17;22;17;12;22;19;14;16;13
8;19;16;22;23;25;20;17;22;12;25;17;20;17;12;21;19;14;16
9;22;20;15;22;23;25;19;17;22;11;26;17;19;15;12;21;20;13
10;26;25;20;16;22;22;24;20;17;21;11;27;17;20;16;11;20;20
11;23;27;25;22;17;23;22;23;21;15;22;11;26;16;20;16;11;22
12;18;23;27;26;22;16;22;21;23;21;15;19;9;25;16;20;16;11
13;20;18;23;27;27;22;16;22;21;23;22;13;18;9;25;16;22;15
14;23;20;18;23;28;26;23;16;21;22;23;23;14;20;9;25;15;22
15;23;22;20;18;25;28;27;22;17;21;23;23;22;14;20;9;25;16
16;15;22;22;20;19;24;27;26;22;17;22;22;23;22;14;19;9;24
17;23;15;21;23;21;19;25;28;26;22;17;23;22;23;21;14;22;8
18;14;22;17;21;22;22;19;25;30;25;22;18;23;22;23;20;13;23
19;28;17;23;19;22;21;23;19;25;31;24;21;17;21;22;22;20;14
20;15;28;19;25;20;24;24;24;20;24;29;23;21;18;19;22;21;20
21;25;17;29;20;25;21;26;26;25;19;22;28;23;21;17;19;21;21
22;21;26;18;31;17;27;25;25;26;25;19;22;28;22;20;18;22;21
23;26;21;28;18;32;18;27;22;24;26;25;19;22;27;23;20;18;22
24;19;26;22;27;19;31;23;23;21;22;26;25;19;22;26;25;21;18
25;24;19;25;24;24;20;30;22;23;21;21;25;27;19;21;25;23;22
26;36;24;23;30;25;24;20;32;23;23;21;20;23;22;19;22;26;22
27;24;33;24;29;30;23;27;21;33;22;23;20;20;25;20;18;23;27
