"Popolazione per età, vista per singola area - Comune: 058047 - Guidonia Montecelio"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Guidonia Montecelio"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;762;822;825;869;915;889;883;986;951;932;922;950;835;880;773;735;777;715
1;785;789;835;835;908;914;890;906;953;938;926;906;943;828;868;780;755;779
2;728;803;794;841;852;901;913;948;912;952;944;937;915;920;838;878;787;764
3;747;743;811;802;868;881;899;946;955;883;969;947;940;935;912;855;887;798
4;738;770;760;821;841;872;899;939;976;974;891;975;957;936;948;919;865;881
5;755;756;800;769;851;863;874;927;938;970;987;888;979;970;959;942;925;867
6;800;761;764;806;808;856;867;898;939;941;979;983;886;991;978;972;963;937
7;761;805;768;776;826;812;873;890;893;937;939;974;984;890;992;999;967;976
8;752;777;820;769;808;835;841;892;897;880;920;940;974;978;902;989;986;958
9;782;776;788;831;796;803;853;863;896;896;859;928;936;960;981;897;1008;986
10;798;787;789;793;842;798;811;873;862;902;890;862;937;946;957;990;898;1010
11;744;809;796;798;818;849;820;823;876;861;892;900;856;926;952;958;982;904
12;800;735;819;798;820;815;858;846;821;870;865;898;915;854;921;947;953;994
13;714;797;739;831;822;823;828;875;844;825;884;878;898;904;843;927;939;949
14;645;716;799;732;840;816;825;832;877;835;824;894;872;902;896;855;921;942
15;674;655;718;799;748;847;831;846;848;879;840;829;889;866;904;887;855;925
16;724;674;666;717;804;755;856;856;856;850;881;842;841;894;870;906;887;861
17;722;717;683;668;728;805;757;874;856;867;867;884;852;849;903;871;906;888
18;725;730;703;691;699;720;816;790;866;858;875;873;885;856;843;896;887;914
19;773;732;718;703;698;698;721;836;791;868;875;881;876;888;868;867;918;897
20;757;777;737;715;727;695;717;766;845;789;877;891;890;881;880;892;877;929
21;809;746;786;751;730;713;718;777;792;873;801;881;903;902;870;901;880;889
22;874;815;742;798;784;732;752;773;816;816;899;838;897;907;896;880;911;897
23;898;883;831;775;818;780;749;802;791;843;839;906;853;905;915;916;868;926
24;962;897;907;837;810;813;809;818;833;807;860;849;918;863;912;929;921;889
25;1002;952;927;932;888;811;839;889;857;842;841;871;857;911;906;930;921;925
26;1059;1041;993;975;1009;890;857;917;922;895;869;870;893;862;937;931;934;903
27;1202;1088;1061;1023;1049;1015;930;920;938;912;921;900;909;906;869;961;928;954
28;1145;1213;1127;1118;1099;1069;1060;1040;969;944;925;947;939;916;933;935;977;950
29;1198;1187;1236;1179;1212;1093;1103;1135;1069;985;961;930;970;938;919;961;970;1010
30;1249;1243;1251;1267;1249;1195;1187;1179;1146;1067;1011;993;973;956;946;949;1007;1023
