"Popolazione per età, vista per singola area - Comune: 058058 - Mazzano Romano"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Mazzano Romano"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;23;31;19;21;15;22;14;26;28;37;30;33;29;38;26;17;23;20
1;14;24;30;18;20;17;25;17;27;32;38;29;32;27;45;24;18;23
2;18;18;23;28;20;18;19;23;24;28;29;43;28;31;25;41;24;20
3;27;19;22;23;29;21;19;21;19;23;29;29;44;26;32;26;44;22
4;29;27;18;25;26;30;22;23;21;21;23;32;28;43;26;32;28;41
5;32;30;24;17;21;30;31;21;24;19;18;25;35;23;42;26;32;27
6;22;30;31;23;16;21;34;31;22;23;20;22;27;29;22;38;27;32
7;25;21;29;31;23;17;21;34;30;22;21;20;22;26;28;21;35;28
8;30;23;22;30;31;27;23;23;34;30;21;22;21;23;24;30;22;37
9;31;30;20;22;33;35;28;24;24;31;28;22;24;21;23;22;28;21
10;40;34;29;21;21;33;33;31;24;25;29;29;20;22;19;27;23;27
11;17;36;31;29;21;22;35;33;27;23;26;31;31;20;22;19;25;19
12;24;16;33;31;31;23;22;35;32;29;25;27;33;30;19;24;19;25
13;14;24;18;33;32;31;24;23;35;31;29;25;25;35;28;19;23;19
14;22;14;21;17;35;30;32;24;22;37;34;28;22;23;32;29;21;25
15;19;21;12;20;16;34;28;34;26;24;38;35;26;22;23;31;25;21
16;31;17;21;13;19;16;34;30;34;27;23;38;34;26;21;23;30;26
17;17;29;15;19;12;22;18;35;30;33;30;27;37;32;23;19;23;28
18;28;16;27;14;21;12;31;18;36;31;33;31;26;40;32;27;19;24
19;33;30;16;27;14;22;15;34;18;37;33;38;30;26;41;30;26;21
20;30;33;29;18;29;14;25;14;33;21;36;35;38;30;25;40;30;27
21;33;28;33;28;17;27;15;23;18;32;22;38;33;38;28;26;40;30
22;29;32;28;30;30;18;37;23;27;18;35;22;40;33;39;27;23;36
23;31;29;32;28;29;29;25;39;24;28;22;35;22;41;34;36;27;22
24;39;33;33;31;29;30;32;25;42;25;30;24;31;22;40;32;36;28
25;30;39;41;33;32;30;33;36;24;43;29;33;23;33;25;43;31;35
26;30;31;37;36;34;35;32;35;38;27;42;32;35;22;36;23;40;30
27;46;27;31;39;39;40;35;38;38;42;27;46;32;36;23;33;22;41
28;30;48;31;32;34;38;49;36;51;36;42;32;47;28;34;23;32;22
29;25;28;51;34;33;37;41;49;38;44;37;37;26;45;29;33;19;28
30;40;27;34;52;33;36;47;41;56;39;46;37;38;23;40;30;33;21
31;42;40;31;33;48;34;44;50;45;59;42;51;37;41;23;36;32;33
32;37;44;40;33;37;45;42;49;49;47;56;49;54;40;41;26;34;34
33;48;41;42;39;29;37;43;42;51;47;57;56;50;50;37;39;23;38
34;46;44;36;34;39;28;41;46;46;52;47;60;55;49;50;34;39;27
35;47;44;43;34;35;34;36;43;48;50;50;51;59;51;47;51;42;44
36;36;47;42;43;32;36;33;45;51;46;51;51;50;58;53;46;46;42
