"Popolazione per età, vista per singola area - Comune: 058078 - Poli"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Poli"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;15;22;18;20;15;22;27;21;30;33;25;22;24;30;19;20;10;21
1;19;17;24;21;22;17;23;30;23;29;31;26;25;25;31;23;19;11
2;18;17;17;23;19;21;17;21;30;24;32;32;25;25;26;30;21;20
3;14;17;16;20;21;19;22;21;21;32;26;30;32;25;23;27;28;19
4;19;12;17;15;19;20;19;20;21;19;28;25;29;32;24;22;27;29
5;28;19;10;20;14;17;21;19;21;19;19;27;24;27;33;21;22;23
6;25;26;19;10;17;15;19;22;20;22;16;19;25;22;29;34;22;22
7;17;25;26;20;11;15;15;19;22;20;23;17;19;27;19;26;37;19
8;22;17;24;26;21;13;18;15;17;20;19;23;15;19;26;19;26;31
9;26;22;18;24;24;18;12;18;14;20;19;20;24;15;19;25;18;25
10;17;26;22;20;26;26;20;15;19;15;20;21;21;24;15;20;25;17
11;25;19;24;23;18;26;28;20;14;18;16;20;21;20;25;17;21;25
12;35;25;18;27;24;18;29;30;21;16;19;15;17;22;20;24;18;20
13;21;33;24;18;26;23;21;30;28;21;16;18;15;17;24;22;21;16
14;14;20;32;24;17;26;25;24;30;27;21;18;18;15;18;23;19;20
15;32;14;20;34;24;17;28;26;24;30;27;22;17;19;15;17;24;19
16;33;32;15;21;33;22;20;30;28;24;29;27;22;17;19;14;16;23
17;32;33;32;15;20;33;22;20;31;29;23;29;27;22;19;21;17;16
18;27;33;32;32;15;18;35;24;19;30;30;24;29;27;23;20;20;17
19;26;28;34;32;28;14;20;33;25;22;32;30;23;28;27;22;19;20
20;29;29;28;34;35;28;16;20;34;27;22;32;30;25;28;26;22;17
21;23;29;30;29;35;36;29;18;22;35;31;22;34;29;24;29;25;22
22;32;23;29;32;29;36;38;30;18;25;33;31;21;32;28;22;29;26
23;28;31;25;31;31;32;39;38;32;20;26;35;29;22;31;30;24;28
24;27;28;31;30;33;30;36;37;39;34;21;27;35;28;25;27;29;25
25;27;28;29;35;26;34;33;37;36;38;34;24;28;35;30;21;27;29
26;28;28;31;32;38;25;37;36;36;36;36;38;24;28;34;27;18;29
27;43;31;30;34;32;37;29;31;38;34;36;33;37;21;26;37;27;18
28;34;44;35;30;34;36;41;33;26;34;31;35;33;33;22;26;34;28
29;27;36;45;35;35;35;40;42;31;27;38;35;33;31;32;24;24;32
30;20;29;39;44;32;37;40;39;42;30;28;39;38;34;36;37;22;21
31;22;18;33;41;49;32;43;40;44;41;28;26;42;36;35;36;33;21
32;24;19;23;35;40;52;44;45;39;42;38;29;27;40;32;35;37;31
33;33;23;24;24;31;35;58;51;41;40;47;32;28;27;38;32;37;34
34;34;34;26;26;28;31;46;57;49;39;39;44;35;25;25;35;33;34
35;45;34;34;26;27;24;33;45;51;48;38;43;41;36;27;24;31;33
36;38;45;34;38;26;32;25;31;42;47;47;36;40;39;32;27;24;26
37;33;34;46;36;40;24;37;29;28;43;45;46;36;43;38;33;28;24
38;31;32;34;50;34;39;27;40;31;32;44;46;45;34;47;36;33;25
39;48;33;35;35;49;35;45;28;42;33;33;44;41;41;37;42;35;31
40;36;47;34;35;34;48;36;45;26;39;32;34;42;40;37;36;39;31
41;23;38;49;35;35;33;50;39;43;28;40;30;32;43;41;39;31;33
42;26;21;37;48;37;34;34;47;38;43;27;37;26;34;43;45;38;34
43;38;27;24;40;47;39;35;34;45;37;44;25;37;28;36;41;41;40
44;33;38;28;28;38;46;40;42;32;45;36;43;24;37;28;32;39;39
45;36;34;37;30;27;37;46;41;39;31;43;38;40;26;39;28;31;35
46;31;37;34;39;29;27;38;48;41;40;33;41;37;40;28;39;30;33
47;27;32;38;36;39;27;29;39;48;39;41;34;41;35;40;30;40;29
48;32;29;32;39;36;38;30;31;41;50;39;39;30;41;36;39;30;36
