"Popolazione per età, vista per singola area - Comune: 058080 - Ponzano Romano"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Ponzano Romano"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;5;5;15;8;7;9;14;9;4;12;9;13;13;8;7;5;10;11
1;11;3;6;14;12;7;8;15;12;5;13;10;13;11;8;8;7;11
2;12;9;6;5;13;10;12;12;16;12;5;13;8;13;12;6;10;8
3;11;12;8;6;6;13;11;13;10;14;14;3;14;8;11;12;6;10
4;8;11;13;9;6;7;13;10;11;10;14;15;3;12;10;10;12;7
5;7;7;11;14;10;7;9;12;12;10;13;13;13;3;12;10;10;11
6;8;7;6;10;15;12;5;9;12;11;11;11;12;12;5;12;9;11
7;14;8;8;6;8;14;12;6;9;12;13;11;10;12;11;4;10;8
8;11;14;7;9;6;8;16;12;6;9;12;11;10;9;10;10;3;11
9;10;11;13;7;9;7;8;16;12;8;10;11;13;10;8;10;10;3
10;6;10;11;13;5;10;8;9;13;10;10;8;11;12;10;7;12;9
11;11;5;10;12;13;5;10;9;9;13;10;10;6;13;10;10;9;12
12;10;11;6;10;9;13;4;10;8;9;15;10;10;6;13;10;9;9
13;13;10;12;8;9;9;17;4;11;7;8;14;10;10;6;13;11;10
14;6;14;10;10;9;9;9;17;4;10;7;8;13;9;10;7;12;11
15;9;6;14;11;10;10;9;10;16;4;12;8;8;11;9;8;7;13
16;12;8;6;14;9;10;9;9;12;16;4;13;8;8;10;9;8;7
17;13;10;8;6;14;10;10;9;9;13;16;3;14;10;8;10;11;8
18;10;13;11;8;6;14;12;11;8;8;14;15;2;15;11;9;12;11
19;9;10;13;11;9;7;13;10;10;8;9;13;14;2;12;10;9;15
20;11;9;9;14;11;8;8;13;8;10;8;10;13;14;1;12;9;9
21;5;10;8;9;14;10;10;8;16;8;10;8;10;13;14;2;13;9
22;14;5;9;8;9;15;10;12;7;17;10;11;7;10;13;13;4;12
23;14;12;7;8;8;9;18;12;15;9;18;11;15;7;10;11;13;5
24;14;12;12;7;9;10;7;17;11;14;11;18;11;15;8;8;11;13
25;12;13;12;12;7;13;16;10;18;14;13;10;20;11;16;6;8;14
26;15;10;13;12;13;8;16;21;10;22;15;15;9;21;14;13;7;9
27;17;15;12;16;15;13;10;19;17;10;20;15;15;8;22;18;15;8
28;8;18;16;14;14;18;17;13;18;13;10;25;15;15;9;22;17;17
29;15;7;20;15;11;14;20;18;12;21;15;9;22;18;14;10;24;17
30;17;14;11;22;14;14;19;19;16;12;23;18;8;20;19;10;10;22
31;19;17;15;9;21;14;16;23;18;17;14;20;14;7;19;16;10;10
32;15;20;19;18;8;25;13;22;18;17;16;12;17;17;7;20;15;10
33;19;17;23;17;19;7;24;15;17;19;18;18;10;17;16;6;21;18
34;22;19;17;24;14;19;7;26;12;17;21;18;17;10;18;14;6;22
35;19;23;20;17;24;15;24;7;24;11;19;19;19;18;12;18;16;6
36;19;20;27;19;18;26;20;25;8;21;13;19;17;20;16;12;19;17
37;23;20;20;25;17;20;26;22;22;6;23;14;18;16;19;16;12;16
38;18;20;19;20;24;19;22;27;19;24;8;20;14;16;16;20;16;12
39;20;20;22;19;16;24;18;25;27;18;22;8;19;16;16;16;20;18
40;22;18;20;21;18;16;28;19;22;20;21;23;10;21;13;17;16;22
41;15;19;18;18;20;20;17;26;17;22;22;20;19;7;22;12;18;18
42;10;14;18;19;17;21;23;18;26;19;24;23;20;19;8;25;10;22
43;8;11;15;20;20;20;22;22;17;28;19;25;20;19;18;8;24;10
44;19;8;12;14;18;20;18;23;22;17;28;19;24;20;19;18;10;26
45;11;19;8;9;19;20;21;19;22;22;18;27;18;26;21;17;19;11
46;13;8;20;6;9;19;21;22;18;24;22;18;25;19;21;21;17;18
47;12;14;9;21;7;8;20;21;20;19;25;20;18;22;19;19;19;18
48;10;11;14;7;19;8;11;20;21;20;21;25;22;18;22;22;19;21
49;5;10;12;12;7;19;8;10;16;22;20;18;22;23;15;22;20;20
50;16;5;10;12;14;7;21;11;10;15;22;22;18;21;23;13;25;22
51;2;17;5;12;14;14;8;21;10;13;15;22;23;18;21;23;14;25
52;10;2;18;5;12;15;15;8;23;10;14;15;20;26;18;23;20;14
53;18;10;3;16;6;10;15;14;8;20;9;14;16;21;25;17;22;19
54;10;18;10;3;15;6;11;15;14;8;19;11;15;16;22;22;17;23
55;15;9;19;11;4;18;6;11;15;14;10;16;13;15;16;22;23;13
56;9;15;8;17;11;4;18;7;9;14;13;11;15;12;14;17;22;22
57;6;9;15;8;18;12;4;20;7;10;15;12;11;14;12;14;17;19
58;6;6;10;14;9;18;10;4;18;8;10;15;12;12;13;14;14;20
59;12;6;6;9;14;10;18;12;5;18;8;10;15;11;12;14;11;12
60;7;12;5;4;8;14;9;18;13;6;17;7;11;14;11;10;14;11
61;7;8;12;5;5;8;14;9;18;14;6;16;8;11;14;12;10;13
62;17;8;8;9;5;6;7;16;9;18;15;6;18;6;13;16;12;10
63;8;18;8;8;9;6;9;7;17;10;17;14;5;18;6;12;17;11
64;17;7;17;6;9;9;5;10;11;17;10;14;13;5;18;5;12;15
65;18;17;10;17;6;10;12;7;11;11;16;10;14;13;6;18;5;12
66;15;17;19;8;17;7;9;12;7;11;11;16;9;15;15;6;15;5
67;15;14;17;21;7;16;7;8;12;7;11;11;16;8;15;15;5;17
68;12;15;13;15;19;7;16;5;10;13;8;11;11;18;8;14;16;5
69;13;12;15;13;15;18;7;14;7;10;13;8;10;11;18;9;14;15
70;11;13;12;14;12;13;18;7;14;7;9;13;8;10;11;17;9;15
71;11;11;12;12;14;10;14;18;7;14;7;8;13;8;10;10;15;9
72;11;9;12;12;13;13;9;14;18;9;14;6;8;12;8;11;10;15
73;10;11;10;10;13;14;13;9;17;18;9;15;6;8;12;10;11;9
74;9;10;11;11;10;12;12;11;11;16;19;9;16;6;9;11;10;10
75;11;9;9;9;9;10;12;12;11;11;17;19;8;14;7;10;12;10
76;15;11;9;8;10;9;10;12;12;11;11;17;16;7;15;6;10;12
77;10;14;11;7;7;10;9;10;11;12;11;11;17;14;6;14;6;9
78;6;10;13;9;6;8;10;6;9;10;12;11;10;16;12;6;11;5
79;12;5;10;12;9;6;7;10;6;9;9;12;11;7;14;11;5;8
80;12;11;8;9;11;7;6;7;11;6;7;9;10;10;7;14;10;5
81;9;11;12;8;8;10;7;4;6;11;6;6;9;10;9;6;12;10
82;4;7;10;12;6;7;6;5;5;7;11;6;5;9;9;8;5;12
83;5;6;9;9;10;6;6;6;6;5;6;11;6;5;6;8;8;5
84;3;5;6;9;9;11;6;5;7;4;4;6;11;6;4;6;6;8
85;3;3;5;6;6;8;10;6;2;6;3;2;6;9;4;3;6;6
86;3;3;3;4;5;6;9;10;6;2;6;3;2;5;7;4;4;6
87;1;3;3;2;3;4;6;9;10;4;2;5;3;2;5;4;3;2
88;6;1;1;1;2;3;5;6;9;8;4;2;5;1;3;3;2;3
89;1;5;2;0;1;2;3;5;5;8;7;4;1;3;1;3;3;3
90;2;1;3;1;1;1;2;1;4;3;6;6;4;1;3;0;2;2
91;3;2;1;1;1;1;1;2;1;4;1;3;6;3;1;2;0;2
92;2;3;1;1;1;1;1;1;1;0;4;1;2;5;3;1;1;0
93;0;2;3;1;0;0;1;1;1;1;0;3;0;2;5;1;1;1
94;1;0;1;3;1;0;0;0;1;1;1;0;3;0;3;4;1;1
95;0;1;0;0;3;0;0;0;0;1;1;1;0;1;0;3;4;1
96;0;0;1;0;0;1;0;0;0;0;0;1;1;0;1;0;2;3
97;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;1;0;2
98;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;1;0
99;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1
100 e oltre;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0
Totale;1032;1010;1058;1029;1015;1051;1124;1173;1144;1149;1192;1180;1154;1138;1126;1098;1101;1124
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;1;5;9;5;5;5;8;5;1;5;5;3;8;4;4;4;2;9
1;7;0;5;7;7;5;5;8;8;3;6;5;3;7;4;5;4;3
2;7;6;1;4;7;6;7;6;9;8;3;5;4;3;7;3;5;5
3;6;7;5;1;4;7;7;7;5;9;9;1;5;4;3;7;3;5
4;6;6;7;6;1;5;7;6;6;5;9;10;0;3;5;3;7;4
5;4;6;6;8;6;0;6;7;6;6;6;8;8;0;3;6;3;6
6;4;4;5;5;8;8;0;6;6;6;7;6;7;7;2;3;6;4
7;9;3;4;5;3;8;8;1;6;6;8;7;4;7;7;2;3;6
8;7;9;2;5;5;3;9;8;1;6;6;6;8;4;6;6;1;3
9;2;7;10;2;5;6;3;9;8;2;7;6;8;8;3;6;6;1
10;3;2;7;10;1;5;6;4;6;6;3;7;6;8;8;4;6;5
11;7;3;2;8;10;2;5;6;4;6;6;3;5;6;7;8;4;6
12;6;7;5;2;5;10;1;5;6;4;7;6;4;5;6;7;7;4
13;5;6;8;7;2;5;12;1;6;5;3;6;6;4;5;6;8;8
14;1;5;6;6;6;2;5;12;1;5;6;3;5;6;4;5;6;8
15;5;1;5;7;6;7;2;5;12;1;6;7;3;5;6;3;5;6
16;11;4;1;5;5;6;6;2;7;12;1;7;7;3;4;6;3;5
17;7;9;4;1;5;6;6;6;2;7;12;1;7;8;3;4;7;3
18;7;7;10;4;1;4;9;7;5;2;8;11;1;8;9;4;4;7
19;4;7;7;10;5;1;4;8;6;6;2;7;10;1;7;8;4;7
20;7;4;6;7;10;4;1;4;7;6;6;3;6;10;0;7;7;4
21;4;7;4;6;7;10;4;1;4;7;6;6;3;6;10;1;7;7
22;9;4;6;4;6;7;9;4;2;5;9;6;5;3;6;10;1;7
23;7;9;5;5;4;5;10;11;4;4;5;8;7;5;3;6;10;2
24;6;7;9;5;6;5;5;8;10;5;5;5;8;7;5;1;6;10
25;8;5;7;9;4;8;7;5;8;10;6;4;5;7;8;4;1;9
26;9;6;5;8;10;4;10;11;5;9;10;8;3;5;7;7;5;1
27;6;9;7;7;8;11;4;11;7;4;9;9;9;2;5;10;8;5
28;3;5;9;7;6;11;13;7;12;4;5;14;9;9;3;5;11;8
29;7;4;6;8;4;6;11;12;6;14;6;5;12;13;9;4;5;12
30;10;6;7;8;7;6;10;9;10;6;12;9;6;10;11;6;5;5
31;10;10;6;7;7;9;10;8;6;10;8;13;6;6;10;10;6;5
32;10;10;11;8;5;11;8;11;6;7;10;8;11;9;6;10;10;5
33;13;11;13;11;8;4;10;9;10;9;7;11;7;11;9;5;10;13
34;10;12;10;15;10;7;4;12;6;11;10;7;10;7;11;7;5;10
35;9;11;12;9;15;9;10;2;10;6;12;9;7;11;7;10;6;5
36;14;9;13;12;9;18;11;11;2;9;7;13;6;8;11;7;11;8
37;10;15;9;12;9;11;18;13;11;2;10;8;12;4;8;11;7;8
38;9;10;15;9;12;10;12;17;11;10;2;9;7;10;4;8;11;7
39;9;12;12;16;7;12;10;13;17;9;9;2;9;11;10;4;8;12
40;13;8;12;11;16;7;14;10;10;12;11;11;3;10;9;11;4;9
41;8;12;9;10;11;17;9;11;9;11;14;11;9;3;10;8;11;5
42;4;7;12;9;8;12;18;9;11;11;13;14;11;8;4;10;7;12
43;4;5;6;12;10;8;12;17;8;12;11;12;11;11;8;4;10;7
44;14;4;6;5;11;11;8;13;17;7;14;9;11;11;11;9;4;11
45;6;14;4;5;9;12;12;7;13;17;7;13;9;13;12;11;7;6
46;7;3;14;2;6;10;13;13;7;13;17;7;11;10;12;12;11;7
47;7;8;4;13;2;5;12;12;12;7;14;16;6;8;10;12;10;11
48;5;6;8;3;12;3;7;10;11;12;8;14;17;6;8;14;12;12
49;3;5;7;6;3;12;3;6;9;12;11;8;11;16;5;10;12;12
50;9;3;4;6;8;3;12;6;6;8;12;12;7;10;16;5;14;14
51;0;10;3;6;7;8;3;12;5;7;8;12;13;8;9;16;6;14
52;6;0;11;3;6;8;8;3;14;5;8;8;11;15;8;10;15;6
53;11;6;1;11;3;4;8;7;3;12;4;8;9;10;14;8;10;14
54;3;11;6;1;10;3;4;8;7;3;12;4;9;9;11;11;9;11
55;9;2;12;6;2;10;3;4;8;6;4;10;6;10;9;11;12;7
56;3;9;1;11;6;2;10;3;4;7;5;6;9;5;9;10;11;12
57;4;3;9;1;11;7;2;11;3;4;7;5;5;9;5;9;10;10
58;2;4;3;9;2;11;6;2;9;3;4;8;5;5;9;6;9;13
59;6;2;4;2;8;2;11;8;2;9;3;4;8;4;5;9;5;7
60;5;6;2;3;2;8;2;11;9;2;9;3;4;7;4;3;9;5
61;4;5;6;2;4;2;8;2;11;10;3;9;3;4;7;5;3;9
62;13;5;5;4;2;4;2;8;2;12;11;3;9;3;6;8;5;4
63;2;14;5;5;4;3;7;2;9;2;11;10;3;9;3;5;8;4
64;11;2;13;4;6;4;2;7;6;9;2;8;9;2;9;3;5;8
65;3;10;2;13;3;7;5;3;7;6;7;2;8;9;2;9;3;5
66;9;2;11;2;12;4;7;5;3;7;6;7;1;9;10;2;7;3
67;8;8;2;13;2;12;4;6;5;3;7;6;7;1;9;10;1;8
68;8;8;8;2;11;2;12;2;6;5;3;7;6;7;1;8;10;1
69;6;8;8;8;2;10;2;11;3;6;5;3;6;6;8;1;8;9
70;2;6;8;8;7;1;10;2;11;3;5;5;3;6;6;8;1;8
71;5;2;5;8;8;6;1;10;2;11;3;5;5;3;6;5;8;1
72;6;5;3;5;9;8;5;1;10;4;11;3;5;5;3;7;5;8
73;5;6;5;1;5;9;8;5;1;10;4;12;3;5;5;4;7;4
74;4;5;7;5;2;5;7;6;5;0;11;4;12;3;6;4;4;7
75;6;4;4;5;3;2;4;7;5;4;0;11;4;10;3;7;4;4
76;4;6;4;3;6;3;2;4;7;5;4;0;9;3;11;3;7;4
77;4;4;7;3;2;6;3;2;3;7;5;5;0;9;2;10;3;6
78;3;3;3;5;3;3;6;3;1;3;7;5;4;0;7;2;7;3
79;5;2;3;2;5;3;2;6;3;1;2;7;5;3;0;6;1;6
80;4;4;5;3;2;4;3;2;7;3;0;2;6;4;3;0;5;1
81;2;4;3;5;2;2;4;2;1;7;3;0;2;6;3;2;0;5
82;2;0;5;3;3;1;2;3;2;2;7;3;0;2;6;2;2;0
83;3;3;0;4;2;3;1;2;3;2;2;7;3;0;1;5;2;2
84;0;3;3;0;4;2;3;0;2;3;1;2;7;3;0;1;4;2
85;2;0;3;3;0;4;2;3;0;2;2;0;1;6;1;0;1;4
86;0;2;0;2;1;0;5;1;3;0;2;2;0;1;5;1;0;1
87;1;0;2;0;2;1;0;5;1;3;0;2;2;0;1;2;0;0
88;1;1;0;1;0;2;1;0;5;0;3;0;2;1;0;0;2;0
89;1;1;1;0;1;0;2;1;0;4;0;3;0;1;1;0;0;2
90;1;1;1;0;0;1;0;0;1;0;4;0;3;0;1;0;0;0
91;0;1;1;0;0;0;1;0;0;1;0;2;0;3;0;0;0;0
92;1;0;1;1;0;0;0;1;0;0;1;0;1;0;3;0;0;0
93;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0
94;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0
95;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1
96;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
97;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
98;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100 e oltre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Totale;534;524;553;537;518;546;591;593;568;573;603;603;572;569;564;554;547;574
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Femmine
0;4;0;6;3;2;4;6;4;3;7;4;10;5;4;3;1;8;2
1;4;3;1;7;5;2;3;7;4;2;7;5;10;4;4;3;3;8
2;5;3;5;1;6;4;5;6;7;4;2;8;4;10;5;3;5;3
3;5;5;3;5;2;6;4;6;5;5;5;2;9;4;8;5;3;5
4;2;5;6;3;5;2;6;4;5;5;5;5;3;9;5;7;5;3
5;3;1;5;6;4;7;3;5;6;4;7;5;5;3;9;4;7;5
6;4;3;1;5;7;4;5;3;6;5;4;5;5;5;3;9;3;7
7;5;5;4;1;5;6;4;5;3;6;5;4;6;5;4;2;7;2
8;4;5;5;4;1;5;7;4;5;3;6;5;2;5;4;4;2;8
9;8;4;3;5;4;1;5;7;4;6;3;5;5;2;5;4;4;2
10;3;8;4;3;4;5;2;5;7;4;7;1;5;4;2;3;6;4
11;4;2;8;4;3;3;5;3;5;7;4;7;1;7;3;2;5;6
12;4;4;1;8;4;3;3;5;2;5;8;4;6;1;7;3;2;5
13;8;4;4;1;7;4;5;3;5;2;5;8;4;6;1;7;3;2
14;5;9;4;4;3;7;4;5;3;5;1;5;8;3;6;2;6;3
15;4;5;9;4;4;3;7;5;4;3;6;1;5;6;3;5;2;7
16;1;4;5;9;4;4;3;7;5;4;3;6;1;5;6;3;5;2
17;6;1;4;5;9;4;4;3;7;6;4;2;7;2;5;6;4;5
18;3;6;1;4;5;10;3;4;3;6;6;4;1;7;2;5;8;4
19;5;3;6;1;4;6;9;2;4;2;7;6;4;1;5;2;5;8
20;4;5;3;7;1;4;7;9;1;4;2;7;7;4;1;5;2;5
21;1;3;4;3;7;0;6;7;12;1;4;2;7;7;4;1;6;2
22;5;1;3;4;3;8;1;8;5;12;1;5;2;7;7;3;3;5
23;7;3;2;3;4;4;8;1;11;5;13;3;8;2;7;5;3;3
24;8;5;3;2;3;5;2;9;1;9;6;13;3;8;3;7;5;3
25;4;8;5;3;3;5;9;5;10;4;7;6;15;4;8;2;7;5
26;6;4;8;4;3;4;6;10;5;13;5;7;6;16;7;6;2;8
27;11;6;5;9;7;2;6;8;10;6;11;6;6;6;17;8;7;3
28;5;13;7;7;8;7;4;6;6;9;5;11;6;6;6;17;6;9
29;8;3;14;7;7;8;9;6;6;7;9;4;10;5;5;6;19;5
30;7;8;4;14;7;8;9;10;6;6;11;9;2;10;8;4;5;17
31;9;7;9;2;14;5;6;15;12;7;6;7;8;1;9;6;4;5
32;5;10;8;10;3;14;5;11;12;10;6;4;6;8;1;10;5;5
33;6;6;10;6;11;3;14;6;7;10;11;7;3;6;7;1;11;5
34;12;7;7;9;4;12;3;14;6;6;11;11;7;3;7;7;1;12
35;10;12;8;8;9;6;14;5;14;5;7;10;12;7;5;8;10;1
36;5;11;14;7;9;8;9;14;6;12;6;6;11;12;5;5;8;9
37;13;5;11;13;8;9;8;9;11;4;13;6;6;12;11;5;5;8
38;9;10;4;11;12;9;10;10;8;14;6;11;7;6;12;12;5;5
39;11;8;10;3;9;12;8;12;10;9;13;6;10;5;6;12;12;6
40;9;10;8;10;2;9;14;9;12;8;10;12;7;11;4;6;12;13
41;7;7;9;8;9;3;8;15;8;11;8;9;10;4;12;4;7;13
42;6;7;6;10;9;9;5;9;15;8;11;9;9;11;4;15;3;10
43;4;6;9;8;10;12;10;5;9;16;8;13;9;8;10;4;14;3
44;5;4;6;9;7;9;10;10;5;10;14;10;13;9;8;9;6;15
45;5;5;4;4;10;8;9;12;9;5;11;14;9;13;9;6;12;5
46;6;5;6;4;3;9;8;9;11;11;5;11;14;9;9;9;6;11
47;5;6;5;8;5;3;8;9;8;12;11;4;12;14;9;7;9;7
48;5;5;6;4;7;5;4;10;10;8;13;11;5;12;14;8;7;9
49;2;5;5;6;4;7;5;4;7;10;9;10;11;7;10;12;8;8
50;7;2;6;6;6;4;9;5;4;7;10;10;11;11;7;8;11;8
51;2;7;2;6;7;6;5;9;5;6;7;10;10;10;12;7;8;11
52;4;2;7;2;6;7;7;5;9;5;6;7;9;11;10;13;5;8
53;7;4;2;5;3;6;7;7;5;8;5;6;7;11;11;9;12;5
