"Popolazione per età, vista per singola area - Comune: 059030 - Sperlonga"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Sperlonga"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;31;18;21;16;22;19;39;28;26;21;27;30;30;21;26;23;18;21
1;17;30;19;20;16;23;17;34;28;23;21;27;26;29;23;24;25;19
2;29;19;29;21;18;15;24;20;34;26;23;20;28;25;28;23;27;25
3;19;29;19;28;19;22;14;24;19;34;27;22;19;29;24;30;22;23
4;22;19;29;17;30;19;22;13;25;20;33;26;24;20;31;23;27;22
5;22;21;22;31;16;30;19;22;13;25;19;30;26;22;20;34;20;28
6;27;21;22;23;33;19;30;19;23;13;23;19;30;25;21;21;32;19
7;23;31;22;23;23;33;21;29;19;23;14;23;19;30;25;21;20;31
8;28;25;33;24;24;24;33;20;28;19;22;15;24;18;31;25;21;21
9;36;30;25;32;26;24;24;34;20;28;20;20;16;24;17;32;26;20
10;29;36;34;26;32;26;24;23;33;20;29;20;18;16;23;17;32;26
11;37;30;36;33;27;31;27;25;21;33;20;27;21;21;14;24;16;31
12;33;38;31;37;33;28;33;26;25;22;33;19;28;21;21;13;23;15
13;21;35;39;31;38;33;28;32;26;23;23;32;20;25;21;19;13;23
14;28;21;36;39;32;38;32;29;32;27;22;22;33;17;27;21;19;13
15;32;31;21;36;39;32;38;32;28;32;26;21;24;33;16;29;21;18
16;31;31;31;21;36;39;32;38;30;27;32;26;22;25;30;16;29;19
17;28;32;31;31;21;36;40;32;37;30;27;32;28;22;26;32;17;28
18;31;30;33;31;33;23;37;40;32;38;30;28;32;27;23;27;34;16
19;41;35;30;32;34;33;23;37;39;35;41;31;28;33;27;24;26;31
20;32;43;34;29;31;34;32;23;36;43;35;43;35;28;31;28;24;24
21;31;34;45;37;32;31;36;33;24;39;41;36;43;38;27;32;31;23
22;54;35;37;45;38;32;31;37;32;26;38;44;37;45;39;31;33;29
23;40;57;38;38;45;38;33;32;36;33;29;38;45;36;46;41;33;30
24;38;39;60;38;39;46;39;34;32;36;31;29;38;46;35;46;40;32
25;41;38;42;59;38;38;46;37;34;31;36;30;28;37;47;37;45;34
26;55;44;43;42;65;39;37;41;34;34;31;37;29;28;36;47;32;43
