"Popolazione per età, vista per singola area - Comune: 060036 - Fontana Liri"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Fontana Liri"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;23;17;15;22;20;21;23;30;15;28;24;21;24;18;19;23;20;16
1;23;23;15;17;22;23;23;24;27;16;27;24;20;23;19;18;24;21
2;19;22;22;13;17;22;23;22;27;28;15;29;25;21;23;17;19;24
3;14;19;20;23;10;18;22;23;21;25;28;17;30;25;22;23;19;19
4;12;15;18;23;23;11;16;20;23;20;25;29;16;29;25;24;24;19
5;25;13;13;18;20;24;12;16;20;22;21;25;29;18;29;24;24;24
6;35;25;13;12;16;22;23;13;17;20;21;22;26;30;20;31;24;24
7;19;35;23;11;13;14;23;20;15;17;21;21;19;24;30;20;31;24
8;25;18;33;23;11;13;16;23;20;17;17;21;21;20;24;31;17;32
9;27;25;18;32;24;13;13;15;23;18;17;16;19;21;22;24;30;17
10;31;29;25;19;30;24;14;13;16;23;18;20;16;18;20;23;24;30
11;36;29;29;25;18;28;25;14;16;16;23;16;20;16;18;20;21;25
12;29;36;28;27;24;18;27;26;14;16;15;23;16;19;16;22;20;19
13;35;31;36;29;28;23;18;27;26;14;16;14;23;14;19;17;20;19
14;24;35;32;36;28;28;22;18;27;27;14;18;13;25;15;20;17;20
15;33;23;33;32;38;29;27;21;19;27;26;14;18;13;25;18;19;18
16;30;37;23;33;31;37;30;27;22;19;27;26;14;17;13;25;18;19
17;38;30;35;22;33;34;38;31;28;22;18;29;26;14;16;15;24;19
18;45;40;30;32;20;34;36;38;31;29;22;18;30;26;14;16;16;25
19;44;45;40;33;34;22;35;37;38;31;29;22;19;28;27;14;19;15
20;41;45;44;37;32;33;23;37;36;37;29;29;23;19;27;27;14;18
21;50;41;46;45;37;34;37;23;36;33;36;29;30;23;21;28;28;14
22;38;49;40;47;44;37;34;35;24;37;32;37;31;31;24;22;30;25
23;42;37;47;41;46;44;39;36;34;25;38;31;38;32;34;26;20;29
24;55;38;37;45;43;46;45;38;34;36;24;37;30;37;33;35;25;21
25;48;52;38;37;45;44;46;46;38;34;36;24;39;30;39;31;33;23
26;41;47;57;32;36;43;42;47;45;38;34;37;24;39;32;41;33;32
27;37;42;45;52;30;35;44;38;47;47;39;33;40;23;37;33;39;33
28;48;38;42;43;51;28;32;44;39;46;47;40;33;41;23;36;35;39
29;47;51;35;40;42;51;33;32;42;40;47;42;35;36;43;23;35;33
30;47;46;44;36;40;40;52;32;34;38;39;48;40;37;41;44;22;32
31;55;44;47;45;34;39;39;52;35;33;44;40;46;41;39;41;40;22
32;38;55;44;46;44;32;40;40;55;37;36;45;36;46;39;38;40;40
33;40;34;50;46;41;41;40;46;43;53;36;39;41;36;38;39;43;40
34;40;34;29;48;46;38;40;43;49;42;50;35;40;43;34;39;37;45
35;39;39;31;31;44;45;40;38;47;47;43;51;37;42;42;33;34;38
