"Popolazione per età, vista per singola area - Comune: 060049 - Pescosolido"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Comune: Pescosolido"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;13;9;9;16;15;9;11;8;12;13;9;8;16;9;8;14;4;11
1;20;14;9;10;18;12;11;11;7;12;13;11;7;16;11;9;15;6
2;19;20;14;10;8;18;12;11;11;7;11;13;10;7;15;11;10;15
3;12;19;20;15;11;7;18;13;12;11;7;12;12;11;9;16;11;10
4;14;9;19;20;15;12;9;17;13;9;9;8;12;12;11;11;15;9
5;17;13;10;19;18;16;12;9;16;13;9;9;8;13;12;11;11;15
6;14;16;12;11;18;16;15;9;9;15;13;11;9;8;13;13;10;9
7;13;15;16;13;11;20;17;14;10;9;15;13;10;8;8;12;13;10
8;19;13;15;17;14;11;18;18;14;10;9;17;12;10;10;8;12;13
9;21;19;12;15;15;14;11;18;18;13;10;10;17;13;9;11;7;13
10;22;20;19;14;14;16;13;10;18;17;13;11;9;17;12;10;10;7
11;18;23;19;19;16;14;16;13;10;18;17;13;11;10;16;12;10;8
12;15;19;23;20;19;16;14;15;13;10;18;17;13;11;10;17;12;10
13;17;15;20;22;20;19;18;12;16;14;10;18;17;12;12;9;16;12
14;25;17;16;20;21;22;19;18;12;16;14;10;19;17;11;12;9;15
15;13;25;18;17;20;20;25;19;19;14;16;15;9;19;17;11;11;9
16;16;13;25;19;16;19;21;25;19;19;13;16;14;9;19;17;11;11
17;17;16;14;25;19;17;19;21;24;19;18;13;16;14;9;19;16;11
18;19;19;16;14;25;18;18;19;21;26;20;17;13;16;14;9;19;16
19;19;19;19;18;14;25;19;17;20;23;26;20;17;13;15;14;9;20
20;22;21;21;18;17;15;25;19;17;20;23;27;21;17;13;14;14;10
21;15;22;21;21;18;16;17;24;19;16;20;24;28;21;17;14;14;16
22;23;16;21;22;23;16;16;18;23;19;17;20;25;26;20;17;14;14
23;24;24;15;23;20;22;16;17;18;24;19;15;20;24;28;20;18;15
24;12;23;23;15;24;20;23;17;17;19;24;19;15;21;24;29;19;18
25;36;12;25;22;14;22;19;24;15;15;20;26;18;13;21;22;27;19
26;18;34;12;27;20;11;24;21;23;15;13;23;23;18;13;21;21;27
27;27;18;35;11;28;18;10;26;20;20;15;13;21;22;18;11;20;24
28;23;25;19;33;10;27;18;11;26;19;19;14;10;23;23;17;12;19
29;20;23;25;17;36;10;29;17;11;26;21;15;15;12;22;23;16;15
30;17;22;24;25;14;35;14;29;16;10;27;21;17;14;12;19;21;13
31;19;17;21;24;29;12;35;15;28;15;13;26;20;17;16;11;16;19
32;32;19;20;24;24;28;15;35;15;29;14;14;25;18;17;17;12;20
33;27;31;17;20;24;23;30;14;31;13;29;16;14;26;22;16;16;13
34;30;24;29;21;19;25;21;30;11;33;13;30;15;16;27;19;15;16
35;26;28;22;29;20;20;27;17;27;13;31;13;29;14;15;27;16;17
36;25;28;27;24;31;20;19;24;19;26;14;34;13;28;15;14;25;17
37;18;24;28;28;24;33;24;18;24;20;25;15;32;15;26;16;14;25
38;22;17;24;29;27;23;34;24;20;24;18;22;15;33;13;26;16;13
39;26;23;18;21;29;27;25;34;26;18;23;21;22;16;30;14;26;13
40;23;26;23;18;22;27;28;27;34;26;16;23;20;24;18;27;12;24
41;14;22;25;24;17;22;27;29;28;34;27;16;23;22;25;18;26;12
42;19;13;21;25;24;18;22;26;31;27;33;27;16;23;22;28;19;25
43;20;17;15;24;25;24;21;23;25;31;27;34;26;16;24;21;27;17
44;18;22;18;15;21;26;22;21;23;24;31;27;33;27;16;24;21;27
45;20;18;24;18;15;21;25;22;21;23;24;30;28;31;25;16;25;20
46;17;20;19;22;19;15;20;24;21;20;22;23;30;28;31;23;16;24
47;21;16;20;19;22;20;15;20;24;21;20;22;22;31;27;34;24;16
48;18;22;17;21;18;21;21;15;20;24;20;19;20;20;29;27;32;23
49;24;20;22;20;22;18;21;21;16;21;25;21;19;20;20;29;27;32
50;16;23;21;21;21;22;17;21;20;16;20;24;23;19;21;21;28;26
51;19;16;20;22;22;20;22;15;21;20;15;20;23;24;19;21;22;28
52;29;20;17;20;22;22;20;22;16;20;20;15;21;23;23;19;21;22
53;23;31;22;19;20;22;22;22;22;17;20;20;15;21;23;23;20;20
54;19;23;30;21;19;20;22;22;21;22;17;20;20;15;22;22;24;20
55;21;20;22;30;20;18;22;22;23;22;22;18;21;21;15;22;24;24
56;15;22;20;22;30;20;18;23;22;24;22;22;17;22;21;15;23;24
57;11;16;21;21;22;29;21;18;23;22;24;22;22;18;22;20;15;23
58;14;11;16;21;23;21;30;21;18;23;22;22;21;21;17;22;20;15
59;6;14;11;16;22;23;21;30;22;18;23;21;21;21;20;17;22;20
60;16;6;15;11;16;22;23;22;29;22;18;24;20;21;22;20;17;22
61;21;16;8;15;11;17;21;22;21;29;22;20;24;20;21;21;19;16
62;22;21;16;7;14;11;16;23;22;21;29;24;20;23;20;21;20;20
63;22;22;21;16;7;14;11;16;23;22;21;30;23;20;23;20;22;21
